Date,DENMARK IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,392.678
2001-01-02,400.058
2001-01-03,396.748
2001-01-04,400.356
2001-01-05,404.112
2001-01-08,408.715
2001-01-09,404.661
2001-01-10,405.685
2001-01-11,408.323
2001-01-12,411.066
2001-01-15,407.592
2001-01-16,410.221
2001-01-17,418.832
2001-01-18,428.145
2001-01-19,424.723
2001-01-22,432.755
2001-01-23,435.628
2001-01-24,433.385
2001-01-25,429.969
2001-01-26,432.498
2001-01-29,431.618
2001-01-30,431.657
2001-01-31,436.405
2001-02-01,433.981
2001-02-02,423.089
2001-02-05,425.671
2001-02-06,427.379
2001-02-07,428.839
2001-02-08,422.867
2001-02-09,426.713
2001-02-12,426.746
2001-02-13,420.433
2001-02-14,415.974
2001-02-15,417.049
2001-02-16,423.054
2001-02-19,421.584
2001-02-20,417.292
2001-02-21,420.992
2001-02-22,412.598
2001-02-23,409.091
2001-02-26,410.846
2001-02-27,416.69
2001-02-28,412.849
2001-03-01,414.382
2001-03-02,410.131
2001-03-05,404.2
2001-03-06,408.245
2001-03-07,409.797
2001-03-08,411.213
2001-03-09,407.537
2001-03-12,400.954
2001-03-13,386.999
2001-03-14,373.369
2001-03-15,373.883
2001-03-16,364.968
2001-03-19,358.356
2001-03-20,361.449
2001-03-21,360.978
2001-03-22,349.659
2001-03-23,356.23
2001-03-26,371.443
2001-03-27,371.77
2001-03-28,364.794
2001-03-29,358.393
2001-03-30,362.065
2001-04-02,351.382
2001-04-03,341.649
2001-04-04,340.997
2001-04-05,347.242
2001-04-06,354.002
2001-04-09,353.493
2001-04-10,353.435
2001-04-11,353.961
2001-04-12,355.11
2001-04-13,355.11
2001-04-16,355.575
2001-04-17,357.375
2001-04-18,363.43
2001-04-19,368.746
2001-04-20,369.695
2001-04-23,366.518
2001-04-24,363.468
2001-04-25,363.2
2001-04-26,363.937
2001-04-27,363.832
2001-04-30,367.281
2001-05-01,367.796
2001-05-02,364.499
2001-05-03,364.776
2001-05-04,360.255
2001-05-07,363.31
2001-05-08,367.039
2001-05-09,362.484
2001-05-10,367.601
2001-05-11,364.667
2001-05-14,362.066
2001-05-15,366.699
2001-05-16,367.974
2001-05-17,371.212
2001-05-18,373.615
2001-05-21,370.203
2001-05-22,374.434
2001-05-23,373.139
2001-05-24,371.761
2001-05-25,371.152
2001-05-28,370.255
2001-05-29,367.75
2001-05-30,367.942
2001-05-31,365.017
2001-06-01,366.05
2001-06-04,366.558
2001-06-05,366.698
2001-06-06,364.657
2001-06-07,364.516
2001-06-08,363.282
2001-06-11,359.474
2001-06-12,361.078
2001-06-13,366.0
2001-06-14,364.526
2001-06-15,358.844
2001-06-18,361.34
2001-06-19,358.065
2001-06-20,358.076
2001-06-21,355.557
2001-06-22,355.196
2001-06-25,357.766
2001-06-26,354.261
2001-06-27,355.619
2001-06-28,352.892
2001-06-29,352.506
2001-07-02,354.519
2001-07-03,359.445
2001-07-04,361.046
2001-07-05,357.318
2001-07-06,359.844
2001-07-09,363.873
2001-07-10,367.696
2001-07-11,367.459
2001-07-12,360.973
2001-07-13,359.823
2001-07-16,356.347
2001-07-17,355.875
2001-07-18,364.081
2001-07-19,370.132
2001-07-20,368.064
2001-07-23,364.327
2001-07-24,366.267
2001-07-25,362.624
2001-07-26,362.454
2001-07-27,365.863
2001-07-30,371.233
2001-07-31,374.298
2001-08-01,379.125
2001-08-02,381.199
2001-08-03,379.512
2001-08-06,376.871
2001-08-07,371.117
2001-08-08,368.512
2001-08-09,368.218
2001-08-10,370.246
2001-08-13,372.564
2001-08-14,372.877
2001-08-15,378.993
2001-08-16,376.871
2001-08-17,378.919
2001-08-20,374.901
2001-08-21,371.661
2001-08-22,369.687
2001-08-23,367.689
