Date,DENMARK IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,172.982
1994-06-30,177.821
1994-07-29,185.936
1994-08-31,172.868
1994-09-30,170.426
1994-10-31,171.986
1994-11-30,166.824
1994-12-30,172.26
1995-01-31,174.887
1995-02-28,179.759
1995-03-31,179.848
1995-04-28,187.002
1995-05-31,192.469
1995-06-30,189.639
1995-07-31,200.321
1995-08-31,191.317
1995-09-29,194.238
1995-10-31,192.697
1995-11-30,191.436
1995-12-29,196.123
1996-01-31,203.756
1996-02-29,207.269
1996-03-29,207.88
1996-04-30,206.861
1996-05-31,210.768
1996-06-28,214.377
1996-07-31,221.954
1996-08-30,231.519
1996-09-30,229.668
1996-10-31,238.646
1996-11-29,244.217
1996-12-31,250.177
1997-01-31,259.125
1997-02-28,259.939
1997-03-31,269.355
1997-04-30,266.061
1997-05-30,288.929
1997-06-30,288.292
1997-07-31,306.329
1997-08-29,295.07
1997-09-30,334.503
1997-10-31,307.595
1997-11-28,305.164
1997-12-31,329.45
1998-01-30,325.474
1998-02-27,338.282
1998-03-31,365.004
1998-04-30,356.15
1998-05-29,363.709
1998-06-30,348.66
1998-07-31,344.456
1998-08-31,296.03
1998-09-30,293.62
1998-10-30,305.775
1998-11-30,287.885
1998-12-31,308.39
1999-01-29,297.328
1999-02-26,279.155
1999-03-31,297.024
1999-04-30,318.023
1999-05-31,297.337
1999-06-30,311.348
1999-07-30,328.185
1999-08-31,338.195
1999-09-30,344.909
1999-10-29,339.527
1999-11-30,357.291
1999-12-31,383.978
2000-01-31,376.553
2000-02-29,380.58
2000-03-31,408.131
2000-04-28,374.536
2000-05-31,397.624
2000-06-30,403.733
2000-07-31,417.863
2000-08-31,451.938
2000-09-29,440.809
2000-10-31,410.868
2000-11-30,382.082
2000-12-29,400.675
2001-01-31,445.293
2001-02-28,421.257
2001-03-30,369.224
2001-04-30,373.986
2001-05-31,371.48
2001-06-29,358.743
2001-07-31,380.92
2001-08-31,354.322
2001-09-28,305.321
2001-10-31,323.133
2001-11-30,326.667
2001-12-31,325.135
2002-01-31,314.236
2002-02-28,329.051
2002-03-29,336.465
2002-04-30,306.693
2002-05-31,313.856
2002-06-28,316.844
2002-07-31,261.819
2002-08-30,275.889
2002-09-30,238.238
2002-10-31,240.912
2002-11-29,244.313
2002-12-31,247.563
2003-01-31,230.817
