Date,DENMARK GROWTH Standard (Large+Mid Cap)
2001-01-01,2925.105
2001-01-02,3018.399
2001-01-03,2949.694
2001-01-04,3044.665
2001-01-05,3061.558
2001-01-08,3157.398
2001-01-09,3127.472
2001-01-10,3164.663
2001-01-11,3178.391
2001-01-12,3190.314
2001-01-15,3167.365
2001-01-16,3156.345
2001-01-17,3251.568
2001-01-18,3295.142
2001-01-19,3301.169
2001-01-22,3418.394
2001-01-23,3471.333
2001-01-24,3424.8
2001-01-25,3451.79
2001-01-26,3436.142
2001-01-29,3407.516
2001-01-30,3400.257
2001-01-31,3395.744
2001-02-01,3340.542
2001-02-02,3219.758
2001-02-05,3306.913
2001-02-06,3295.204
2001-02-07,3282.116
2001-02-08,3247.925
2001-02-09,3269.079
2001-02-12,3260.166
2001-02-13,3202.947
2001-02-14,3174.213
2001-02-15,3199.914
2001-02-16,3246.197
2001-02-19,3213.779
2001-02-20,3192.491
2001-02-21,3203.438
2001-02-22,3103.299
2001-02-23,3084.437
2001-02-26,3083.006
2001-02-27,3176.528
2001-02-28,3181.837
2001-03-01,3225.14
2001-03-02,3164.507
2001-03-05,3148.975
2001-03-06,3128.403
2001-03-07,3141.024
2001-03-08,3161.801
2001-03-09,3126.929
2001-03-12,3081.689
2001-03-13,2969.726
2001-03-14,2847.714
2001-03-15,2857.226
2001-03-16,2783.498
2001-03-19,2747.475
2001-03-20,2753.316
2001-03-21,2751.602
2001-03-22,2682.524
2001-03-23,2743.32
2001-03-26,2884.116
2001-03-27,2865.202
2001-03-28,2855.883
2001-03-29,2800.225
2001-03-30,2824.51
2001-04-02,2736.129
2001-04-03,2656.545
2001-04-04,2632.587
2001-04-05,2706.263
2001-04-06,2788.447
2001-04-09,2779.643
2001-04-10,2752.268
2001-04-11,2748.301
2001-04-12,2757.225
2001-04-13,2757.225
2001-04-16,2760.837
2001-04-17,2779.504
2001-04-18,2795.859
2001-04-19,2817.714
2001-04-20,2824.844
2001-04-23,2835.714
2001-04-24,2828.597
2001-04-25,2806.711
2001-04-26,2789.108
2001-04-27,2776.34
2001-04-30,2809.344
2001-05-01,2814.577
2001-05-02,2773.339
2001-05-03,2790.235
2001-05-04,2730.601
2001-05-07,2749.263
2001-05-08,2805.005
2001-05-09,2775.917
2001-05-10,2780.972
2001-05-11,2758.773
2001-05-14,2728.706
2001-05-15,2766.819
2001-05-16,2813.184
2001-05-17,2826.068
2001-05-18,2854.378
2001-05-21,2817.111
2001-05-22,2846.431
2001-05-23,2838.96
2001-05-24,2828.481
2001-05-25,2814.583
2001-05-28,2806.177
2001-05-29,2769.652
2001-05-30,2765.582
2001-05-31,2765.077
2001-06-01,2788.704
2001-06-04,2792.572
2001-06-05,2793.636
2001-06-06,2788.979
2001-06-07,2795.348
2001-06-08,2771.323
2001-06-11,2744.374
2001-06-12,2765.013
2001-06-13,2823.945
2001-06-14,2803.933
2001-06-15,2747.999
2001-06-18,2790.192
2001-06-19,2771.727
2001-06-20,2793.589
2001-06-21,2753.068
2001-06-22,2752.472
2001-06-25,2749.786
2001-06-26,2721.969
2001-06-27,2713.763
2001-06-28,2714.4
2001-06-29,2703.941
2001-07-02,2724.119
2001-07-03,2769.201
2001-07-04,2798.165
2001-07-05,2762.408
2001-07-06,2771.562
2001-07-09,2837.711
2001-07-10,2859.248
2001-07-11,2853.68
2001-07-12,2788.879
2001-07-13,2778.389
2001-07-16,2741.427
2001-07-17,2745.146
2001-07-18,2794.369
2001-07-19,2873.822
2001-07-20,2827.256
2001-07-23,2787.245
2001-07-24,2818.379
2001-07-25,2766.755
2001-07-26,2781.144
2001-07-27,2820.004
2001-07-30,2863.671
2001-07-31,2879.306
2001-08-01,2906.082
2001-08-02,2924.349
2001-08-03,2894.884
2001-08-06,2884.069
2001-08-07,2831.442
2001-08-08,2809.581
2001-08-09,2803.485
2001-08-10,2821.944
2001-08-13,2842.908
2001-08-14,2812.772
2001-08-15,2868.274
2001-08-16,2854.544
2001-08-17,2877.726
2001-08-20,2860.351
2001-08-21,2852.452
2001-08-22,2830.295
2001-08-23,2800.439
2001-08-24,2831.803
2001-08-27,2805.604
2001-08-28,2713.537
2001-08-29,2657.927
2001-08-30,2592.901
2001-08-31,2628.315
2001-09-03,2598.735
2001-09-04,2526.254
2001-09-05,2519.038
2001-09-06,2592.577
2001-09-07,2626.435
2001-09-10,2518.123
2001-09-11,2508.108
2001-09-12,2531.585
2001-09-13,2584.523
2001-09-14,2525.251
2001-09-17,2497.626
2001-09-18,2412.677
2001-09-19,2438.853
2001-09-20,2333.633
2001-09-21,2236.706
2001-09-24,2281.681
2001-09-25,2251.021
2001-09-26,2315.338
2001-09-27,2329.048
2001-09-28,2336.809
2001-10-01,2273.391
2001-10-02,2358.819
2001-10-03,2363.61
2001-10-04,2391.443
2001-10-05,2439.949
2001-10-08,2402.416
2001-10-09,2452.852
2001-10-10,2490.99
2001-10-11,2545.545
2001-10-12,2489.433
2001-10-15,2489.683
2001-10-16,2478.836
2001-10-17,2483.741
2001-10-18,2466.749
2001-10-19,2431.001
2001-10-22,2434.127
2001-10-23,2436.989
2001-10-24,2480.586
2001-10-25,2459.757
2001-10-26,2551.288
2001-10-29,2492.485
2001-10-30,2467.351
2001-10-31,2492.157
2001-11-01,2519.133
2001-11-02,2515.559
2001-11-05,2550.441
2001-11-06,2528.391
2001-11-07,2473.348
2001-11-08,2435.791
2001-11-09,2382.35
2001-11-12,2335.339
2001-11-13,2303.892
2001-11-14,2350.998
2001-11-15,2345.182
2001-11-16,2334.069
2001-11-19,2300.651
2001-11-20,2349.984
2001-11-21,2346.941
2001-11-22,2376.742
2001-11-23,2343.048
2001-11-26,2281.637
2001-11-27,2311.473
2001-11-28,2336.636
2001-11-29,2363.891
2001-11-30,2482.723
2001-12-03,2412.961
2001-12-04,2408.872
2001-12-05,2417.675
2001-12-06,2422.958
2001-12-07,2420.736
2001-12-10,2397.979
2001-12-11,2387.409
2001-12-12,2380.987
2001-12-13,2375.011
2001-12-14,2347.845
2001-12-17,2288.405
2001-12-18,2360.353
2001-12-19,2359.521
2001-12-20,2384.993
2001-12-21,2355.398
2001-12-24,2332.515
2001-12-25,2332.515
2001-12-26,2334.458
