Date,DENMARK GROWTH Standard (Large+Mid Cap)
2001-01-01,2550.145
2001-01-02,2631.481
2001-01-03,2571.583
2001-01-04,2654.379
2001-01-05,2669.106
2001-01-08,2752.661
2001-01-09,2726.571
2001-01-10,2758.995
2001-01-11,2770.963
2001-01-12,2781.358
2001-01-15,2761.351
2001-01-16,2751.744
2001-01-17,2834.761
2001-01-18,2872.748
2001-01-19,2878.003
2001-01-22,2980.202
2001-01-23,3026.354
2001-01-24,2985.786
2001-01-25,3009.317
2001-01-26,2995.675
2001-01-29,2970.718
2001-01-30,2964.389
2001-01-31,2960.455
2001-02-01,2912.329
2001-02-02,2807.028
2001-02-05,2883.011
2001-02-06,2872.802
2001-02-07,2861.392
2001-02-08,2831.584
2001-02-09,2850.026
2001-02-12,2842.256
2001-02-13,2792.372
2001-02-14,2767.321
2001-02-15,2789.728
2001-02-16,2830.078
2001-02-19,2801.815
2001-02-20,2783.256
2001-02-21,2792.8
2001-02-22,2705.497
2001-02-23,2689.054
2001-02-26,2687.806
2001-02-27,2769.34
2001-02-28,2773.968
2001-03-01,2811.72
2001-03-02,2758.86
2001-03-05,2745.318
2001-03-06,2727.383
2001-03-07,2738.386
2001-03-08,2756.5
2001-03-09,2726.099
2001-03-12,2686.657
2001-03-13,2589.046
2001-03-14,2482.675
2001-03-15,2490.967
2001-03-16,2426.691
2001-03-19,2395.285
2001-03-20,2400.378
2001-03-21,2397.158
2001-03-22,2336.979
2001-03-23,2389.943
2001-03-26,2512.603
2001-03-27,2496.126
2001-03-28,2488.007
2001-03-29,2439.518
2001-03-30,2460.675
2001-04-02,2383.679
2001-04-03,2314.346
2001-04-04,2293.475
2001-04-05,2357.66
2001-04-06,2429.257
2001-04-09,2421.587
2001-04-10,2397.739
2001-04-11,2394.283
2001-04-12,2402.057
2001-04-13,2402.057
2001-04-16,2405.204
2001-04-17,2421.466
2001-04-18,2435.715
2001-04-19,2454.691
2001-04-20,2460.902
2001-04-23,2470.372
2001-04-24,2464.171
2001-04-25,2445.105
2001-04-26,2429.771
2001-04-27,2418.648
2001-04-30,2447.4
2001-05-01,2451.958
2001-05-02,2416.033
2001-05-03,2430.752
2001-05-04,2378.599
2001-05-07,2394.855
2001-05-08,2442.792
2001-05-09,2417.46
2001-05-10,2421.223
2001-05-11,2401.895
2001-05-14,2375.718
2001-05-15,2408.901
2001-05-16,2449.268
2001-05-17,2460.485
2001-05-18,2485.133
2001-05-21,2452.687
2001-05-22,2478.214
2001-05-23,2471.709
2001-05-24,2462.586
2001-05-25,2450.486
2001-05-28,2443.168
2001-05-29,2411.367
2001-05-30,2407.824
2001-05-31,2407.384
2001-06-01,2427.955
2001-06-04,2431.322
2001-06-05,2432.248
2001-06-06,2428.194
2001-06-07,2433.739
2001-06-08,2412.822
2001-06-11,2389.359
2001-06-12,2407.328
2001-06-13,2458.637
2001-06-14,2441.213
2001-06-15,2392.515
2001-06-18,2429.25
2001-06-19,2413.173
2001-06-20,2432.208
2001-06-21,2396.929
2001-06-22,2396.409
2001-06-25,2394.071
2001-06-26,2369.853
2001-06-27,2362.708
2001-06-28,2363.262
2001-06-29,2354.156
2001-07-02,2371.724
2001-07-03,2410.975
2001-07-04,2436.192
2001-07-05,2405.06
2001-07-06,2413.03
2001-07-09,2470.622
2001-07-10,2489.373
2001-07-11,2484.525
2001-07-12,2428.106
2001-07-13,2418.974
2001-07-16,2386.793
2001-07-17,2390.031
2001-07-18,2432.887
2001-07-19,2502.062
2001-07-20,2461.519
2001-07-23,2426.684
2001-07-24,2453.791
2001-07-25,2408.845
2001-07-26,2421.373
2001-07-27,2455.206
2001-07-30,2493.224
2001-07-31,2506.836
2001-08-01,2530.148
2001-08-02,2546.052
2001-08-03,2520.399
2001-08-06,2510.983
2001-08-07,2465.164
2001-08-08,2446.13
2001-08-09,2440.824
2001-08-10,2456.895
2001-08-13,2475.147
2001-08-14,2448.909
2001-08-15,2497.232
2001-08-16,2485.277
2001-08-17,2505.46
2001-08-20,2490.333
2001-08-21,2483.456
2001-08-22,2464.165
2001-08-23,2438.171
2001-08-24,2465.478
2001-08-27,2442.668
2001-08-28,2362.511
2001-08-29,2314.095
2001-08-30,2257.481
2001-08-31,2288.313
2001-09-03,2262.56
2001-09-04,2199.455
2001-09-05,2193.173
2001-09-06,2257.198
2001-09-07,2286.677
2001-09-10,2192.376
2001-09-11,2183.657
2001-09-12,2204.096
2001-09-13,2250.186
2001-09-14,2198.582
2001-09-17,2174.53
2001-09-18,2100.57
2001-09-19,2123.36
2001-09-20,2031.752
2001-09-21,1947.364
2001-09-24,1986.521
2001-09-25,1959.826
2001-09-26,2015.824
2001-09-27,2027.76
2001-09-28,2034.517
2001-10-01,1979.303
2001-10-02,2053.679
2001-10-03,2057.851
2001-10-04,2082.083
2001-10-05,2124.315
2001-10-08,2091.637
2001-10-09,2135.548
2001-10-10,2168.753
2001-10-11,2216.25
