Date,DENMARK GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,104.64
1975-02-28,110.661
1975-03-31,104.252
1975-04-30,115.374
1975-05-30,122.843
1975-06-30,118.583
1975-07-31,114.36
1975-08-29,115.017
1975-09-30,109.67
1975-10-31,123.075
1975-11-28,120.799
1975-12-31,123.554
1976-01-30,133.936
1976-02-27,130.388
1976-03-31,134.718
1976-04-30,137.294
1976-05-31,140.512
1976-06-30,142.059
1976-07-30,145.424
1976-08-31,146.961
1976-09-30,144.468
1976-10-29,137.756
1976-11-30,130.018
1976-12-31,133.387
1977-01-31,133.15
1977-02-28,139.21
1977-03-31,144.745
1977-04-29,140.161
1977-05-31,137.173
1977-06-30,136.891
1977-07-29,132.218
1977-08-31,131.924
1977-09-30,136.091
1977-10-31,137.722
1977-11-30,129.247
1977-12-30,138.149
1978-01-31,139.047
1978-02-28,144.985
1978-03-31,141.506
1978-04-28,137.44
1978-05-31,139.139
1978-06-30,140.335
1978-07-31,145.867
1978-08-31,146.477
1978-09-29,145.025
1978-10-31,150.184
1978-11-30,139.085
1978-12-29,141.611
1979-01-31,149.182
1979-02-28,149.885
1979-03-30,158.21
1979-04-30,157.396
1979-05-31,147.417
1979-06-29,151.044
1979-07-31,154.193
1979-08-31,154.219
1979-09-28,153.988
1979-10-31,146.637
1979-11-30,149.994
1979-12-31,140.895
1980-01-31,133.987
1980-02-29,125.073
1980-03-31,113.671
1980-04-30,121.325
1980-05-30,124.422
1980-06-30,130.423
1980-07-31,137.736
1980-08-29,139.734
1980-09-30,159.872
1980-10-31,182.796
1980-11-28,179.645
1980-12-31,180.986
1981-01-30,186.141
1981-02-27,183.22
1981-03-31,203.796
1981-04-30,210.788
1981-05-29,220.75
1981-06-30,246.884
1981-07-31,231.049
1981-08-31,234.891
1981-09-30,230.225
1981-10-30,253.913
1981-11-30,255.599
1981-12-31,257.743
1982-01-29,263.105
1982-02-26,259.378
1982-03-31,252.474
1982-04-30,277.547
1982-05-31,271.648
1982-06-30,251.748
1982-07-30,260.344
1982-08-31,286.148
1982-09-30,278.786
1982-10-29,296.175
1982-11-30,279.73
1982-12-31,279.861
1983-01-31,287.006
1983-02-28,312.484
1983-03-31,331.477
1983-04-29,352.518
1983-05-31,366.117
1983-06-30,385.972
1983-07-29,377.322
1983-08-31,429.876
1983-09-30,449.221
1983-10-31,446.017
1983-11-30,434.728
1983-12-30,404.683
1984-01-31,402.956
1984-02-29,381.894
1984-03-30,355.037
1984-04-30,357.788
1984-05-31,302.505
1984-06-29,305.196
1984-07-31,291.593
1984-08-31,282.52
1984-09-28,242.911
1984-10-31,212.465
1984-11-30,221.441
1984-12-31,220.216
1985-01-31,249.292
1985-02-28,238.825
1985-03-29,254.836
1985-04-30,248.695
1985-05-31,259.961
1985-06-28,268.705
1985-07-31,295.778
1985-08-30,272.745
1985-09-30,284.238
1985-10-31,298.439
1985-11-29,295.031
1985-12-31,331.542
1986-01-31,310.693
1986-02-28,336.776
1986-03-31,328.971
1986-04-30,362.49
1986-05-30,315.767
1986-06-30,319.465
1986-07-31,305.476
1986-08-29,317.026
1986-09-30,315.912
1986-10-31,316.834
1986-11-28,326.829
1986-12-31,327.23
1987-01-30,389.022
1987-02-27,366.364
1987-03-31,366.783
1987-04-30,360.138
1987-05-29,367.779
1987-06-30,373.363
1987-07-31,370.469
1987-08-31,391.917
1987-09-30,373.601
1987-10-30,350.214
1987-11-30,379.046
1987-12-31,384.74
1988-01-29,381.239
1988-02-29,406.69
1988-03-31,424.587
1988-04-29,420.877
1988-05-31,463.866
1988-06-30,450.14
1988-07-29,437.04
1988-08-31,422.083
1988-09-30,466.518
1988-10-31,545.24
1988-11-30,596.824
1988-12-30,660.36
1989-01-31,672.964
1989-02-28,648.108
1989-03-31,679.462
1989-04-28,742.525
1989-05-31,737.256
1989-06-30,872.887
1989-07-31,917.399
1989-08-31,835.779
1989-09-29,852.599
1989-10-31,911.549
1989-11-30,986.618
1989-12-29,1060.46
1990-01-31,1114.125
1990-02-28,1145.931
1990-03-30,1233.48
1990-04-30,1104.534
1990-05-31,1173.015
1990-06-29,1152.261
1990-07-31,1262.589
1990-08-31,1177.827
1990-09-28,1089.686
1990-10-31,1144.156
1990-11-30,1092.237
1990-12-31,1026.087
1991-01-31,1078.741
1991-02-28,1220.99
1991-03-29,1123.791
1991-04-30,1108.042
1991-05-31,1164.705
1991-06-28,1160.505
1991-07-31,1229.098
1991-08-30,1199.955
1991-09-30,1250.597
1991-10-31,1266.723
1991-11-29,1234.505
1991-12-31,1286.363
1992-01-31,1279.735
1992-02-28,1193.678
1992-03-31,1083.943
1992-04-30,1093.38
1992-05-29,1277.796
1992-06-30,1226.139
1992-07-31,1229.87
1992-08-31,1145.959
1992-09-30,1126.216
1992-10-30,1049.706
1992-11-30,1027.356
1992-12-31,1020.063
1993-01-29,1136.867
1993-02-26,1093.022
1993-03-31,1111.928
1993-04-30,1161.893
1993-05-31,1192.909
1993-06-30,1240.103
1993-07-30,1206.246
1993-08-31,1278.965
1993-09-30,1305.452
1993-10-29,1335.657
1993-11-30,1300.242
1993-12-31,1410.662
1994-01-31,1480.753
1994-02-28,1507.886
1994-03-31,1523.09
1994-04-29,1542.448
1994-05-31,1438.741
1994-06-30,1500.498
1994-07-29,1565.924
1994-08-31,1490.194
1994-09-30,1461.402
1994-10-31,1457.314
1994-11-30,1410.196
1994-12-30,1443.122
1995-01-31,1454.381
1995-02-28,1460.861
1995-03-31,1451.11
1995-04-28,1497.299
1995-05-31,1577.724
1995-06-30,1529.462
1995-07-31,1598.473
1995-08-31,1565.75
1995-09-29,1615.938
1995-10-31,1596.754
1995-11-30,1585.763
1995-12-29,1656.51
1996-01-31,1729.147
1996-02-29,1752.229
1996-03-29,1749.483
1996-04-30,1756.322
1996-05-31,1781.362
1996-06-28,1821.559
1996-07-31,1881.209
1996-08-30,1952.218
1996-09-30,1913.92
1996-10-31,1979.157
