Date,DENMARK GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,104.51
1975-02-28,110.386
1975-03-31,103.852
1975-04-30,114.813
1975-05-30,122.12
1975-06-30,117.751
1975-07-31,113.44
1975-08-29,113.97
1975-09-30,108.558
1975-10-31,121.713
1975-11-28,119.343
1975-12-31,121.948
1976-01-30,132.083
1976-02-27,128.459
1976-03-31,132.607
1976-04-30,135.023
1976-05-31,138.073
1976-06-30,139.474
1976-07-30,142.661
1976-08-31,144.047
1976-09-30,141.483
1976-10-29,134.791
1976-11-30,127.1
1976-12-31,130.279
1977-01-31,129.936
1977-02-28,135.739
1977-03-31,141.024
1977-04-29,136.443
1977-05-31,133.421
1977-06-30,133.035
1977-07-29,128.373
1977-08-31,127.979
1977-09-30,131.911
1977-10-31,133.376
1977-11-30,125.048
1977-12-30,133.538
1978-01-31,134.282
1978-02-28,139.892
1978-03-31,136.404
1978-04-28,132.356
1978-05-31,133.865
1978-06-30,134.887
1978-07-31,140.071
1978-08-31,140.515
1978-09-29,138.97
1978-10-31,143.736
1978-11-30,132.972
1978-12-29,135.228
1979-01-31,142.305
1979-02-28,142.814
1979-03-30,150.623
1979-04-30,149.722
1979-05-31,140.101
1979-06-29,143.417
1979-07-31,146.279
1979-08-31,146.172
1979-09-28,145.776
1979-10-31,138.641
1979-11-30,141.637
1979-12-31,132.865
1980-01-31,126.176
1980-02-29,117.603
1980-03-31,106.696
1980-04-30,113.685
1980-05-30,116.389
1980-06-30,121.805
1980-07-31,128.442
1980-08-29,130.115
1980-09-30,148.707
1980-10-31,169.882
1980-11-28,166.777
1980-12-31,167.855
1981-01-30,172.491
1981-02-27,169.624
1981-03-31,188.562
1981-04-30,194.923
1981-05-29,204.034
1981-06-30,228.094
1981-07-31,213.354
1981-08-31,216.796
1981-09-30,212.381
1981-10-30,234.135
1981-11-30,235.582
1981-12-31,237.456
1982-01-29,242.305
1982-02-26,238.782
1982-03-31,232.351
1982-04-30,255.354
1982-05-31,249.849
1982-06-30,231.474
1982-07-30,239.308
1982-08-31,262.968
1982-09-30,256.15
1982-10-29,272.084
1982-11-30,256.92
1982-12-31,256.98
1983-01-31,263.477
1983-02-28,286.801
1983-03-31,304.147
1983-04-29,323.37
1983-05-31,335.767
1983-06-30,353.896
1983-07-29,345.885
1983-08-31,393.992
1983-09-30,411.65
1983-10-31,408.644
1983-11-30,398.234
1983-12-30,370.637
1984-01-31,368.988
1984-02-29,349.609
1984-03-30,324.955
1984-04-30,327.416
1984-05-31,276.757
1984-06-29,279.16
1984-07-31,266.66
1984-08-31,258.302
1984-09-28,222.02
1984-10-31,194.119
1984-11-30,202.261
1984-12-31,201.081
1985-01-31,227.577
1985-02-28,217.963
1985-03-29,232.497
1985-04-30,226.816
1985-05-31,237.015
1985-06-28,244.907
1985-07-31,269.495
1985-08-30,248.412
1985-09-30,258.792
1985-10-31,271.634
1985-11-29,268.433
1985-12-31,301.562
1986-01-31,282.495
1986-02-28,306.111
1986-03-31,298.936
1986-04-30,329.306
1986-05-30,286.779
1986-06-30,290.054
1986-07-31,277.263
1986-08-29,287.663
1986-09-30,286.546
1986-10-31,287.282
1986-11-28,296.238
1986-12-31,296.492
1987-01-30,352.378
1987-02-27,331.728
1987-03-31,331.986
1987-04-30,325.844
1987-05-29,332.64
1987-06-30,337.571
1987-07-31,334.831
1987-08-31,354.097
1987-09-30,337.433
1987-10-30,316.175
1987-11-30,342.082
1987-12-31,347.089
1988-01-29,343.811
1988-02-29,366.646
1988-03-31,382.678
1988-04-29,379.204
1988-05-31,417.849
1988-06-30,405.371
1988-07-29,393.447
1988-08-31,379.847
1988-09-30,419.729
1988-10-31,490.422
1988-11-30,536.676
1988-12-30,593.699
1989-01-31,604.897
1989-02-28,582.402
1989-03-31,610.464
1989-04-28,666.987
1989-05-31,662.109
1989-06-30,783.775
1989-07-31,823.568
1989-08-31,750.123
1989-09-29,765.086
1989-10-31,817.853
1989-11-30,885.078
1989-12-29,951.176
1990-01-31,999.163
1990-02-28,1027.534
1990-03-30,1105.894
1990-04-30,990.117
1990-05-31,1051.356
1990-06-29,1032.572
1990-07-31,1131.26
1990-08-31,1055.115
1990-09-28,975.663
1990-10-31,1023.964
1990-11-30,976.993
1990-12-31,917.329
1991-01-31,963.934
1991-02-28,1090.639
1991-03-29,1003.331
1991-04-30,988.784
1991-05-31,1038.874
1991-06-28,1034.676
1991-07-31,1095.35
1991-08-30,1068.868
1991-09-30,1113.834
1991-10-31,1128.056
1991-11-29,1099.211
1991-12-31,1145.183
1992-01-31,1139.102
1992-02-28,1062.306
1992-03-31,964.473
1992-04-30,972.69
1992-05-29,1136.591
1992-06-30,1090.425
1992-07-31,1093.538
1992-08-31,1018.693
1992-09-30,1000.931
1992-10-30,932.74
1992-11-30,912.697
1992-12-31,906.034
1993-01-29,1009.61
1993-02-26,970.487
1993-03-31,987.09
1993-04-30,1031.257
1993-05-31,1058.602
1993-06-30,1100.318
1993-07-30,1070.105
1993-08-31,1134.459
1993-09-30,1157.773
1993-10-29,1184.393
1993-11-30,1152.816
1993-12-31,1250.561
1994-01-31,1312.536
1994-02-28,1336.417
1994-03-31,1349.713
1994-04-29,1366.684
1994-05-31,1274.244
1994-06-30,1328.423
1994-07-29,1385.833
1994-08-31,1318.247
1994-09-30,1292.162
1994-10-31,1287.927
1994-11-30,1245.709
1994-12-30,1274.211
1995-01-31,1283.545
1995-02-28,1288.618
1995-03-31,1279.322
1995-04-28,1319.42
1995-05-31,1389.697
1995-06-30,1346.501
1995-07-31,1406.622
1995-08-31,1377.213
1995-09-29,1421.077
1995-10-31,1403.917
1995-11-30,1393.972
1995-12-29,1455.885
1996-01-31,1519.511
1996-02-29,1539.561
1996-03-29,1536.915
1996-04-30,1542.702
1996-05-31,1564.468
1996-06-28,1599.524
1996-07-31,1651.636
1996-08-30,1713.719
1996-09-30,1679.827
1996-10-31,1736.815
1996-11-29,1751.385
1996-12-31,1812.285
1997-01-31,1891.46
1997-02-28,1910.077
1997-03-31,2009.173
1997-04-30,1988.463
1997-05-30,2193.626
1997-06-30,2217.591
1997-07-31,2399.956
1997-08-29,2313.133
1997-09-30,2662.933
1997-10-31,2397.228
1997-11-28,2411.701
1997-12-31,2701.889
1998-01-30,2625.334
1998-02-27,2771.954
1998-03-31,2992.91
1998-04-30,2869.465
1998-05-29,2870.345
1998-06-30,2664.826
1998-07-31,2608.523
1998-08-31,2234.554
1998-09-30,2145.594
1998-10-30,2340.36
1998-11-30,2144.472
1998-12-31,2326.594
1999-01-29,2227.381
1999-02-26,2059.177
1999-03-31,2081.704
1999-04-30,2327.18
1999-05-31,2202.139
1999-06-30,2247.718
1999-07-30,2500.485
1999-08-31,2478.741
1999-09-30,2608.793
1999-10-29,2619.089
1999-11-30,2732.18
1999-12-31,3059.898
2000-01-31,2961.113
2000-02-29,3164.9
2000-03-31,3473.205
2000-04-28,2970.88
2000-05-31,3013.029
2000-06-30,2946.507
2000-07-31,2889.237
2000-08-31,3143.413
2000-09-29,2931.915
2000-10-31,2734.552
2000-11-30,2456.059
2000-12-29,2550.145
2001-01-31,2960.455
2001-02-28,2773.968
2001-03-30,2460.675
2001-04-30,2447.4
2001-05-31,2407.384
2001-06-29,2354.156
2001-07-31,2506.836
2001-08-31,2288.313
2001-09-28,2034.517
2001-10-31,2169.769
2001-11-30,2161.556
2001-12-31,2149.771
2002-01-31,2029.365
2002-02-28,2141.589
2002-03-29,2229.928
2002-04-30,1949.291
2002-05-31,2005.001
2002-06-28,2051.638
2002-07-31,1674.574
2002-08-30,1784.421
2002-09-30,1544.038
2002-10-31,1613.612
2002-11-29,1622.084
2002-12-31,1660.314
2003-01-31,1541.8
2003-02-28,1490.669
2003-03-31,1659.345
2003-04-30,1850.003
2003-05-30,1899.513
2003-06-30,1928.091
2003-07-31,1926.821
2003-08-29,2130.005
2003-09-30,2221.553
2003-10-31,2335.516
2003-11-28,2271.282
2003-12-31,2401.484
2004-01-30,2505.279
2004-02-27,2760.416
2004-03-31,2653.113
2004-04-30,2654.386
2004-05-31,2642.704
2004-06-30,2843.637
2004-07-30,2777.606
2004-08-31,2816.808
2004-09-30,2975.699
2004-10-29,2811.269
2004-11-30,2990.626
2004-12-31,3121.064
2005-01-31,3045.137
2005-02-28,3227.262
2005-03-31,3345.003
2005-04-29,3174.997
2005-05-31,3263.247
2005-06-30,3323.538
2005-07-29,3397.353
2005-08-31,3544.135
2005-09-30,3496.128
2005-10-31,3388.952
2005-11-30,3502.861
2005-12-30,3763.829
2006-01-31,3927.353
2006-02-28,3968.313
2006-03-31,4260.674
2006-04-28,4546.822
2006-05-31,4328.664
2006-06-30,4380.964
2006-07-31,4364.203
2006-08-31,4751.54
2006-09-29,4852.208
2006-10-31,5000.855
2006-11-30,5332.428
2006-12-29,5670.726
2007-01-31,5800.126
2007-02-28,5801.966
2007-03-30,6208.939
2007-04-30,6806.456
2007-05-31,7134.267
2007-06-29,7104.948
2007-07-31,7238.629
2007-08-31,7337.397
2007-09-28,7954.179
2007-10-31,8279.864
2007-11-30,8252.484
2007-12-31,8327.446
2008-01-31,7337.6
2008-02-29,8000.039
