Date,NIHONKABU IMI IMI (Large+Mid+Small Cap)
2001-01-01,792.781
2001-01-02,790.738
2001-01-03,791.498
2001-01-04,783.74
2001-01-05,788.958
2001-01-08,788.788
2001-01-09,771.398
2001-01-10,762.133
2001-01-11,739.574
2001-01-12,741.301
2001-01-15,741.259
2001-01-16,760.091
2001-01-17,769.609
2001-01-18,784.704
2001-01-19,790.375
2001-01-22,794.757
2001-01-23,789.581
2001-01-24,779.586
2001-01-25,786.825
2001-01-26,781.867
2001-01-29,784.951
2001-01-30,786.171
2001-01-31,789.797
2001-02-01,795.033
2001-02-02,784.476
2001-02-05,774.019
2001-02-06,770.276
2001-02-07,770.364
2001-02-08,758.533
2001-02-09,758.729
2001-02-12,758.729
2001-02-13,756.398
2001-02-14,759.065
2001-02-15,766.052
2001-02-16,761.14
2001-02-19,750.941
2001-02-20,760.626
2001-02-21,748.779
2001-02-22,752.117
2001-02-23,761.256
2001-02-26,763.619
2001-02-27,760.296
2001-02-28,745.947
2001-03-01,738.269
2001-03-02,710.094
2001-03-05,706.844
2001-03-06,724.786
2001-03-07,727.839
2001-03-08,727.946
2001-03-09,729.088
2001-03-12,705.068
2001-03-13,686.77
2001-03-14,676.897
2001-03-15,685.655
2001-03-16,687.714
2001-03-19,692.744
2001-03-20,690.371
2001-03-21,731.751
2001-03-22,714.985
2001-03-23,737.043
2001-03-26,765.891
2001-03-27,763.513
2001-03-28,776.06
2001-03-29,738.122
2001-03-30,720.508
2001-04-02,708.851
2001-04-03,726.052
2001-04-04,735.55
2001-04-05,746.91
2001-04-06,749.513
2001-04-09,724.41
2001-04-10,716.446
2001-04-11,732.398
2001-04-12,745.236
2001-04-13,743.97
2001-04-16,734.05
2001-04-17,733.339
2001-04-18,761.313
2001-04-19,776.568
2001-04-20,765.903
2001-04-23,772.128
2001-04-24,766.86
2001-04-25,775.966
2001-04-26,784.315
2001-04-27,779.644
2001-04-30,781.227
2001-05-01,816.59
2001-05-02,825.098
2001-05-03,831.574
2001-05-04,831.711
2001-05-07,840.848
2001-05-08,818.129
2001-05-09,805.628
2001-05-10,795.202
2001-05-11,795.259
2001-05-14,781.633
2001-05-15,789.63
2001-05-16,774.749
2001-05-17,789.806
2001-05-18,781.08
2001-05-21,793.118
2001-05-22,792.457
2001-05-23,803.56
2001-05-24,802.152
2001-05-25,793.27
2001-05-28,784.615
2001-05-29,794.726
2001-05-30,777.446
2001-05-31,776.272
2001-06-01,774.683
2001-06-04,772.237
2001-06-05,765.442
2001-06-06,763.795
2001-06-07,768.902
2001-06-08,766.728
2001-06-11,754.5
2001-06-12,733.377
2001-06-13,733.762
2001-06-14,736.108
2001-06-15,726.81
2001-06-18,719.429
2001-06-19,717.049
2001-06-20,716.278
2001-06-21,728.282
2001-06-22,737.46
2001-06-25,731.895
2001-06-26,734.251
2001-06-27,728.566
2001-06-28,717.895
2001-06-29,732.232
2001-07-02,726.853
2001-07-03,729.559
2001-07-04,721.54
2001-07-05,712.625
2001-07-06,698.484
2001-07-09,694.017
2001-07-10,700.888
2001-07-11,695.218
2001-07-12,709.15
