Date,NIHONKABU IMI IMI (Large+Mid+Small Cap)
1994-05-31,1000.0
1994-06-30,1051.995
1994-07-29,1012.202
1994-08-31,1018.456
1994-09-30,994.425
1994-10-31,1022.579
1994-11-30,962.661
1994-12-30,978.593
1995-01-31,921.912
1995-02-28,870.386
1995-03-31,953.929
1995-04-28,999.821
1995-05-31,936.831
1995-06-30,893.812
1995-07-31,962.253
1995-08-31,924.806
1995-09-29,931.01
1995-10-31,879.693
1995-11-30,928.869
1995-12-29,970.522
1996-01-31,952.354
1996-02-29,937.437
1996-03-29,971.997
1996-04-30,1029.617
1996-05-31,977.301
1996-06-28,983.22
1996-07-31,937.788
1996-08-30,899.453
1996-09-30,930.182
1996-10-31,868.123
1996-11-29,879.017
1996-12-31,818.279
1997-01-31,730.515
1997-02-28,745.282
1997-03-31,722.239
1997-04-30,740.59
1997-05-30,837.074
1997-06-30,892.762
1997-07-31,862.413
1997-08-29,785.039
1997-09-30,766.536
1997-10-31,703.424
1997-11-28,654.284
1997-12-31,607.972
1998-01-30,669.526
1998-02-27,674.23
1998-03-31,630.54
1998-04-30,623.958
1998-05-29,593.572
1998-06-30,597.133
1998-07-31,590.719
1998-08-31,527.493
1998-09-30,517.305
1998-10-30,603.179
1998-11-30,631.069
1998-12-31,653.994
1999-01-29,658.077
1999-02-26,643.061
1999-03-31,733.923
1999-04-30,769.369
1999-05-31,729.253
1999-06-30,804.488
1999-07-30,887.267
1999-08-31,911.452
1999-09-30,974.395
1999-10-29,1036.909
1999-11-30,1112.763
1999-12-31,1167.035
2000-01-31,1105.693
2000-02-29,1081.071
2000-03-31,1166.055
2000-04-28,1073.374
2000-05-31,995.834
2000-06-30,1061.379
2000-07-31,936.684
2000-08-31,1001.839
2000-09-29,959.196
2000-10-31,890.856
2000-11-30,865.771
2000-12-29,792.781
2001-01-31,789.797
2001-02-28,745.947
2001-03-30,720.508
2001-04-30,781.227
2001-05-31,776.272
2001-06-29,732.232
2001-07-31,668.487
2001-08-31,648.898
2001-09-28,602.526
2001-10-31,606.083
2001-11-30,600.084
2001-12-31,553.814
2002-01-31,511.038
2002-02-28,532.177
2002-03-29,566.55
2002-04-30,597.276
2002-05-31,639.427
2002-06-28,606.59
2002-07-31,568.44
2002-08-30,561.307
2002-09-30,536.713
2002-10-31,500.219
2002-11-29,518.917
2002-12-31,506.921
2003-01-31,487.498
2003-02-28,493.001
2003-03-31,472.658
2003-04-30,471.779
2003-05-30,493.885
2003-06-30,531.549
2003-07-31,552.465
2003-08-29,609.093
2003-09-30,647.273
2003-10-31,676.01
2003-11-28,653.91
2003-12-31,697.938
2004-01-30,711.786
2004-02-27,710.448
2004-03-31,811.124
2004-04-30,770.049
2004-05-31,742.049
2004-06-30,785.193
2004-07-30,737.463
2004-08-31,740.715
2004-09-30,722.68
2004-10-29,740.307
2004-11-30,775.42
2004-12-31,814.804
2005-01-31,800.384
2005-02-28,816.896
2005-03-31,802.575
2005-04-29,783.168
2005-05-31,775.571
2005-06-30,776.502
2005-07-29,785.373
2005-08-31,835.571
2005-09-30,916.731
2005-10-31,911.94
2005-11-30,947.264
2005-12-30,1033.168
2006-01-31,1080.442
2006-02-28,1062.315
2006-03-31,1091.565
2006-04-28,1120.043
2006-05-31,1049.498
2006-06-30,1034.807
2006-07-31,1022.925
2006-08-31,1038.635
2006-09-29,1021.489
2006-10-31,1036.5
2006-11-30,1042.011
2006-12-29,1063.098
2007-01-31,1072.505
2007-02-28,1113.969
2007-03-30,1098.39
2007-04-30,1077.423
2007-05-31,1089.413
2007-06-29,1088.353
2007-07-31,1086.723
2007-08-31,1053.233
2007-09-28,1074.877
2007-10-31,1074.714
2007-11-30,1054.693
2007-12-31,1010.311
2008-01-31,965.673
2008-02-29,971.905
2008-03-31,938.017
2008-04-30,999.034
2008-05-30,1025.424
2008-06-30,957.023
2008-07-31,925.055
2008-08-29,888.239
2008-09-30,790.228
2008-10-31,678.6
2008-11-28,674.973
2008-12-31,729.603
2009-01-30,681.064
2009-02-27,596.877
2009-03-31,609.707
2009-04-30,664.578
2009-05-29,734.573
2009-06-30,751.52
2009-07-31,781.205
2009-08-31,814.014
2009-09-30,801.257
2009-10-30,779.677
2009-11-30,769.337
2009-12-31,771.993
2010-01-29,786.589
2010-02-26,796.141
2010-03-31,835.445
2010-04-30,836.988
2010-05-31,770.643
2010-06-30,757.897
2010-07-30,781.972
2010-08-31,764.238
2010-09-30,798.573
2010-10-29,811.334
2010-11-30,827.948
2010-12-31,892.711
2011-01-31,895.435
2011-02-28,936.172
2011-03-31,853.442
2011-04-29,855.795
2011-05-31,842.115
2011-06-30,857.849
2011-07-29,889.21
2011-08-31,821.547
2011-09-30,811.121
2011-10-31,805.406
2011-11-30,771.987
2011-12-30,779.512
2012-01-31,814.011
2012-02-29,849.319
2012-03-30,862.103
2012-04-30,836.434
2012-05-31,761.953
2012-06-29,800.561
2012-07-31,781.893
2012-08-31,775.776
2012-09-28,793.883
2012-10-31,778.248
2012-11-30,794.991
2012-12-31,834.385
2013-01-31,864.48
2013-02-28,888.461
2013-03-29,932.472
2013-04-30,1014.285
2013-05-31,956.425
2013-06-28,969.743
2013-07-31,977.907
2013-08-30,957.925
2013-09-30,1040.592
2013-10-31,1040.241
2013-11-29,1052.814
2013-12-31,1061.429
2014-01-31,1025.641
2014-02-28,1017.339
2014-03-31,1007.181
2014-04-30,981.576
2014-05-30,1019.823
