Date,NIHONKABU IMI IMI (Large+Mid+Small Cap)
2001-01-01,797.657
2001-01-02,795.602
2001-01-03,796.366
2001-01-04,788.561
2001-01-05,793.811
2001-01-08,793.64
2001-01-09,776.143
2001-01-10,766.821
2001-01-11,744.123
2001-01-12,745.861
2001-01-15,745.818
2001-01-16,764.766
2001-01-17,774.343
2001-01-18,789.531
2001-01-19,795.236
2001-01-22,799.645
2001-01-23,794.438
2001-01-24,784.381
2001-01-25,791.665
2001-01-26,786.684
2001-01-29,789.787
2001-01-30,791.014
2001-01-31,794.663
2001-02-01,799.931
2001-02-02,789.309
2001-02-05,778.788
2001-02-06,775.021
2001-02-07,775.11
2001-02-08,763.206
2001-02-09,763.404
2001-02-12,763.404
2001-02-13,761.059
2001-02-14,763.742
2001-02-15,770.777
2001-02-16,765.834
2001-02-19,755.572
2001-02-20,765.317
2001-02-21,753.397
2001-02-22,756.756
2001-02-23,765.971
2001-02-26,768.349
2001-02-27,765.005
2001-02-28,750.567
2001-03-01,742.842
2001-03-02,714.492
2001-03-05,711.223
2001-03-06,729.276
2001-03-07,732.347
2001-03-08,732.455
2001-03-09,733.604
2001-03-12,709.435
2001-03-13,691.024
2001-03-14,681.09
2001-03-15,689.904
2001-03-16,691.975
2001-03-19,697.036
2001-03-20,694.648
2001-03-21,736.285
2001-03-22,719.415
2001-03-23,741.609
2001-03-26,770.636
2001-03-27,768.834
2001-03-28,781.473
2001-03-29,743.272
2001-03-30,725.536
2001-04-02,713.798
2001-04-03,731.118
2001-04-04,740.682
2001-04-05,752.122
2001-04-06,754.743
2001-04-09,729.465
2001-04-10,721.445
2001-04-11,737.508
2001-04-12,750.436
2001-04-13,749.161
2001-04-16,739.173
2001-04-17,738.457
2001-04-18,766.625
2001-04-19,781.987
2001-04-20,771.247
2001-04-23,777.516
2001-04-24,772.212
2001-04-25,781.394
2001-04-26,789.802
2001-04-27,785.098
2001-04-30,786.694
2001-05-01,822.304
2001-05-02,830.872
2001-05-03,837.393
2001-05-04,837.531
2001-05-07,846.732
2001-05-08,823.854
2001-05-09,811.266
2001-05-10,800.767
2001-05-11,800.824
2001-05-14,787.103
2001-05-15,795.156
2001-05-16,780.171
2001-05-17,795.333
2001-05-18,786.546
2001-05-21,798.67
