Date,IRELAND IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,156.412
1994-06-30,153.177
1994-07-29,165.754
1994-08-31,179.197
1994-09-30,175.417
1994-10-31,175.405
1994-11-30,166.736
1994-12-30,170.818
1995-01-31,176.621
1995-02-28,180.264
1995-03-31,181.989
1995-04-28,182.653
1995-05-31,184.363
1995-06-30,196.028
1995-07-31,204.406
1995-08-31,203.53
1995-09-29,208.127
1995-10-31,204.021
1995-11-30,210.202
1995-12-29,217.443
1996-01-31,223.957
1996-02-29,231.793
1996-03-29,247.008
1996-04-30,256.568
1996-05-31,264.041
1996-06-28,267.003
1996-07-31,258.234
1996-08-30,269.779
1996-09-30,276.677
1996-10-31,272.707
1996-11-29,280.474
1996-12-31,287.824
1997-01-31,295.248
1997-02-28,292.699
1997-03-31,288.702
1997-04-30,279.712
1997-05-30,298.399
1997-06-30,314.252
1997-07-31,321.181
1997-08-29,324.721
1997-09-30,340.854
1997-10-31,343.778
1997-11-28,346.017
1997-12-31,348.025
1998-01-30,360.027
1998-02-27,405.093
1998-03-31,432.555
1998-04-30,444.88
1998-05-29,432.049
1998-06-30,424.63
1998-07-31,422.296
1998-08-31,344.238
1998-09-30,373.394
1998-10-30,384.932
1998-11-30,402.683
1998-12-31,441.347
1999-01-29,443.321
1999-02-26,444.835
1999-03-31,429.609
1999-04-30,405.199
1999-05-31,367.951
1999-06-30,369.193
1999-07-30,388.845
1999-08-31,388.372
1999-09-30,374.165
1999-10-29,348.809
1999-11-30,365.002
1999-12-31,391.962
2000-01-31,387.381
2000-02-29,424.335
2000-03-31,460.866
2000-04-28,407.549
2000-05-31,385.677
2000-06-30,400.987
2000-07-31,408.034
2000-08-31,415.434
2000-09-29,400.486
2000-10-31,394.993
2000-11-30,388.769
2000-12-29,385.06
2001-01-31,397.141
2001-02-28,408.787
2001-03-30,380.22
2001-04-30,380.909
2001-05-31,405.534
2001-06-29,429.022
2001-07-31,402.798
2001-08-31,373.61
2001-09-28,344.409
2001-10-31,334.457
2001-11-30,345.59
2001-12-31,358.803
2002-01-31,292.561
2002-02-28,243.981
2002-03-29,252.708
2002-04-30,251.836
2002-05-31,263.338
2002-06-28,262.244
2002-07-31,242.032
2002-08-30,246.656
2002-09-30,212.479
2002-10-31,237.65
2002-11-29,244.659
2002-12-31,234.288
2003-01-31,245.999
2003-02-28,246.828
2003-03-31,243.453
2003-04-30,273.324
2003-05-30,294.713
2003-06-30,292.692
2003-07-31,288.681
2003-08-29,296.323
2003-09-30,310.294
2003-10-31,332.064
2003-11-28,343.688
2003-12-31,384.643
2004-01-30,394.629
2004-02-27,416.702
2004-03-31,431.743
2004-04-30,445.09
2004-05-31,446.691
2004-06-30,462.807
2004-07-30,454.385
2004-08-31,469.887
2004-09-30,497.867
2004-10-29,512.048
2004-11-30,557.321
2004-12-31,594.32
2005-01-31,589.313
2005-02-28,571.132
2005-03-31,528.967
2005-04-29,511.361
2005-05-31,521.708
2005-06-30,535.758
2005-07-29,568.257
2005-08-31,560.496
2005-09-30,559.823
2005-10-31,526.434
2005-11-30,546.003
2005-12-30,603.287
2006-01-31,639.551
2006-02-28,658.229
2006-03-31,688.985
2006-04-28,717.557
2006-05-31,704.263
2006-06-30,680.497
2006-07-31,667.318
2006-08-31,731.325
2006-09-29,730.054
