Date,IRELAND IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,155.472
1994-06-30,152.257
1994-07-29,164.758
1994-08-31,178.12
1994-09-30,174.363
1994-10-31,174.351
1994-11-30,165.735
1994-12-30,169.792
1995-01-31,175.56
1995-02-28,179.181
1995-03-31,180.895
1995-04-28,181.555
1995-05-31,183.255
1995-06-30,194.851
1995-07-31,203.178
1995-08-31,202.308
1995-09-29,206.877
1995-10-31,202.796
1995-11-30,208.939
1995-12-29,216.136
1996-01-31,222.612
1996-02-29,230.4
1996-03-29,245.524
1996-04-30,255.027
1996-05-31,262.454
1996-06-28,265.399
1996-07-31,256.683
1996-08-30,268.159
1996-09-30,275.014
1996-10-31,271.068
1996-11-29,278.789
1996-12-31,286.095
1997-01-31,293.474
1997-02-28,290.941
1997-03-31,286.968
1997-04-30,278.032
1997-05-30,296.606
1997-06-30,312.364
1997-07-31,319.251
1997-08-29,322.77
1997-09-30,338.806
1997-10-31,341.713
1997-11-28,343.938
1997-12-31,345.934
1998-01-30,357.864
1998-02-27,402.66
1998-03-31,429.957
1998-04-30,442.207
1998-05-29,429.453
1998-06-30,422.079
1998-07-31,419.759
1998-08-31,342.17
1998-09-30,371.151
1998-10-30,382.62
1998-11-30,400.264
1998-12-31,438.696
1999-01-29,440.658
1999-02-26,442.162
1999-03-31,427.028
1999-04-30,402.764
1999-05-31,365.74
1999-06-30,366.975
1999-07-30,386.509
1999-08-31,386.039
1999-09-30,371.917
1999-10-29,346.714
1999-11-30,362.809
1999-12-31,389.607
2000-01-31,385.053
2000-02-29,421.786
2000-03-31,458.097
2000-04-28,405.101
2000-05-31,383.36
2000-06-30,398.578
2000-07-31,405.583
2000-08-31,412.938
2000-09-29,398.08
2000-10-31,392.62
2000-11-30,386.433
2000-12-29,382.747
2001-01-31,394.755
2001-02-28,406.331
2001-03-30,377.936
2001-04-30,378.642
2001-05-31,403.139
2001-06-29,426.497
2001-07-31,400.427
2001-08-31,371.41
2001-09-28,342.381
2001-10-31,332.489
2001-11-30,343.556
2001-12-31,356.691
2002-01-31,290.839
2002-02-28,242.545
2002-03-29,251.22
2002-04-30,250.354
2002-05-31,261.787
2002-06-28,260.7
2002-07-31,240.607
2002-08-30,245.204
2002-09-30,211.228
2002-10-31,236.251
2002-11-29,243.219
2002-12-31,232.909
2003-01-31,244.551
2003-02-28,245.375
2003-03-31,242.02
2003-04-30,271.715
2003-05-30,292.979
2003-06-30,290.969
2003-07-31,286.982
2003-08-29,294.579
2003-09-30,308.467
2003-10-31,330.109
2003-11-28,341.665
2003-12-31,382.379
2004-01-30,392.306
2004-02-27,414.249
2004-03-31,429.201
2004-04-30,442.471
2004-05-31,444.061
2004-06-30,460.083
2004-07-30,451.71
2004-08-31,467.122
2004-09-30,494.937
2004-10-29,509.034
2004-11-30,554.04
2004-12-31,590.822
2005-01-31,585.844
2005-02-28,567.771
2005-03-31,525.853
2005-04-29,508.351
2005-05-31,518.637
2005-06-30,532.604
2005-07-29,564.969
2005-08-31,557.253
2005-09-30,556.825
2005-10-31,523.687
2005-11-30,543.489
2005-12-30,600.508
2006-01-31,636.628
2006-02-28,655.22
2006-03-31,686.485
2006-04-28,715.047
2006-05-31,702.033
2006-06-30,678.342
2006-07-31,665.327
2006-08-31,729.143
2006-09-29,728.19
2006-10-31,774.757
2006-11-30,803.856
2006-12-29,878.237
2007-01-31,834.204
2007-02-28,870.301
2007-03-30,890.04
2007-04-30,937.437
2007-05-31,1000.0
2007-06-29,955.475
2007-07-31,859.396
2007-08-31,839.883
2007-09-28,827.775
2007-10-31,823.621
2007-11-30,784.603
2007-12-31,743.044
2008-01-31,727.199
2008-02-29,733.766
2008-03-31,730.588
2008-04-30,760.542
2008-05-30,728.935
2008-06-30,702.971
2008-07-31,571.065
2008-08-29,541.58
2008-09-30,433.915
2008-10-31,371.44
2008-11-28,332.625
2008-12-31,333.209
2009-01-30,342.297
2009-02-27,329.796
2009-03-31,340.416
2009-04-30,354.565
2009-05-29,419.797
2009-06-30,394.819
2009-07-31,421.963
2009-08-31,444.751
2009-09-30,471.28
2009-10-30,441.142
2009-11-30,465.733
2009-12-31,481.666
2010-01-29,461.02
2010-02-26,437.249
2010-03-31,479.201
2010-04-30,518.215
2010-05-31,418.207
2010-06-30,397.22
2010-07-30,416.6
2010-08-31,358.343
2010-09-30,395.652
2010-10-29,414.081
2010-11-30,391.338
2010-12-31,424.547
2011-01-31,431.076
2011-02-28,448.795
2011-03-31,456.83
2011-04-29,511.956
2011-05-31,539.45
2011-06-30,562.231
2011-07-29,539.507
2011-08-31,520.673
2011-09-30,501.922
2011-10-31,547.32
2011-11-30,530.337
2011-12-30,572.085
2012-01-31,567.92
2012-02-29,598.014
2012-03-30,653.53
2012-04-30,643.049
2012-05-31,628.016
2012-06-29,637.607
2012-07-31,606.801
2012-08-31,627.498
2012-09-28,649.235
2012-10-31,660.916
2012-11-30,661.556
2012-12-31,687.896
2013-01-31,700.104
2013-02-28,732.746
2013-03-29,770.216
2013-04-30,770.292
2013-05-31,779.555
2013-06-28,764.495
2013-07-31,811.667
2013-08-30,859.638
2013-09-30,848.722
2013-10-31,932.103
2013-11-29,954.551
2013-12-31,963.869
2014-01-31,980.864
2014-02-28,1154.152
2014-03-31,1067.563
2014-04-30,1043.397
2014-05-30,1016.295
2014-06-30,959.5
2014-07-31,967.775
2014-08-29,1002.87
2014-09-30,971.665
2014-10-31,953.124
2014-11-28,1025.285
2014-12-31,993.478
2015-01-30,954.336
2015-02-27,1042.741
2015-03-31,1031.97
2015-04-30,1083.725
2015-05-29,1102.678
2015-06-30,1113.656
2015-07-31,1166.964
2015-08-31,1152.225
2015-09-30,1136.364
2015-10-30,1174.532
2015-11-30,1180.091
2015-12-31,1183.878
2016-01-29,1115.826
2016-02-29,1115.93
2016-03-31,1174.14
2016-04-29,1167.207
2016-05-31,1195.832
2016-06-30,1063.122
2016-07-29,1109.829
2016-08-31,1170.757
2016-09-30,1147.48
2016-10-31,1076.473
2016-11-30,1094.027
2016-12-30,1129.641
2017-01-31,1135.577
2017-02-28,1155.503
2017-03-31,1194.189
2017-04-28,1245.536
2017-05-31,1267.785
2017-06-30,1246.306
2017-07-31,1251.189
2017-08-31,1253.556
2017-09-29,1341.411
2017-10-31,1348.475
2017-11-30,1328.075
2017-12-29,1384.711
2018-01-31,1400.11
2018-02-28,1300.947
2018-03-30,1305.499
2018-04-30,1338.744
2018-05-31,1406.509
2018-06-29,1374.259
2018-07-31,1343.062
2018-08-31,1333.613
2018-09-28,1294.422
2018-10-31,1188.884
2018-11-30,1135.364
2018-12-31,1091.73
2019-01-31,1158.208
2019-02-28,1228.435
2019-03-29,1247.906
2019-04-30,1314.434
2019-05-31,1265.646
2019-06-28,1320.127
2019-07-31,1299.786
2019-08-30,1279.292
2019-09-30,1309.141
2019-10-31,1377.052
2019-11-29,1446.416
2019-12-31,1489.914
2020-01-31,1457.35
2020-02-28,1375.145
2020-03-31,1190.351
2020-04-30,1236.661
2020-05-29,1357.995
2020-06-30,1377.532
2020-07-31,1511.575
2020-08-31,1609.471
2020-09-30,1592.784
2020-10-30,1547.824
2020-11-30,1711.189
2020-12-31,1713.826
2021-01-29,1606.058
2021-02-26,1579.252
2021-03-31,1726.999
2021-04-30,1740.612
2021-05-31,1738.111
2021-06-30,1745.954
2021-07-30,1837.802
2021-08-31,1924.568
2021-09-30,1803.128
2021-10-29,1858.881
2021-11-30,1648.714
2021-12-31,1785.045
2022-01-31,1626.471
2022-02-28,1580.878
2022-03-31,1468.327
2022-04-29,1386.926
2022-05-31,1356.416
2022-06-30,1131.701
2022-07-29,1188.629
2022-08-31,1265.505
2022-09-30,1087.048
2022-10-31,1199.705
2022-11-30,1301.549
2022-12-30,1242.316
2023-01-31,1382.02
2023-02-28,1430.249
2023-03-31,1549.285
2023-04-28,1659.767
2023-05-31,1591.46
2023-06-30,1622.583
2023-07-31,1687.606
2023-08-31,1598.197
2023-09-29,1443.92
2023-10-31,1344.207
2023-11-30,1415.282
2023-12-29,1541.365
2024-01-31,1654.376
2024-02-29,1694.473
2024-03-29,1742.682
2024-04-30,1758.236
2024-05-31,1834.643
2024-06-28,1680.16
2024-07-31,1883.28
2024-08-30,1872.133
2024-09-30,1988.023
2024-10-31,1883.955
2024-11-29,1725.721
2024-12-31,1713.881
2025-01-31,1751.079
2025-02-28,1874.331
2025-03-31,1843.761
2025-04-30,1929.238
2025-05-30,1991.631
2025-06-30,2053.456
2025-07-31,2023.043
2025-08-29,1994.247
2025-09-30,2002.019
