Date,USA Standard (Large+Mid Cap)
2001-01-01,3801.778
2001-01-02,3701.069
2001-01-03,3886.878
2001-01-04,3842.312
2001-01-05,3739.567
2001-01-08,3730.976
2001-01-09,3752.561
2001-01-10,3788.719
2001-01-11,3825.849
2001-01-12,3804.815
2001-01-15,3804.815
2001-01-16,3833.657
2001-01-17,3837.521
2001-01-18,3889.21
2001-01-19,3876.528
2001-01-22,3873.927
2001-01-23,3921.344
2001-01-24,3938.501
2001-01-25,3917.396
2001-01-26,3909.749
2001-01-29,3933.385
2001-01-30,3962.948
2001-01-31,3940.799
2001-02-01,3962.02
2001-02-02,3888.781
2001-02-05,3905.127
2001-02-06,3902.269
2001-02-07,3870.28
2001-02-08,3845.042
2001-02-09,3785.521
2001-02-12,3833.563
2001-02-13,3798.844
2001-02-14,3789.006
2001-02-15,3821.083
2001-02-16,3761.04
2001-02-19,3761.04
2001-02-20,3696.865
2001-02-21,3629.368
2001-02-22,3620.19
2001-02-23,3599.853
2001-02-26,3668.358
2001-02-27,3641.077
2001-02-28,3588.647
2001-03-01,3591.656
2001-03-02,3566.344
2001-03-05,3586.716
2001-03-06,3618.03
2001-03-07,3641.013
2001-03-08,3649.478
2001-03-09,3560.817
2001-03-12,3401.711
2001-03-13,3459.646
2001-03-14,3368.934
2001-03-15,3387.55
2001-03-16,3317.83
2001-03-19,3376.932
2001-03-20,3294.986
2001-03-21,3233.417
2001-03-22,3216.995
2001-03-23,3283.106
2001-03-26,3326.122
2001-03-27,3417.956
2001-03-28,3335.665
2001-03-29,3323.321
2001-03-30,3359.872
2001-04-02,3317.897
2001-04-03,3199.831
2001-04-04,3191.128
2001-04-05,3333.698
2001-04-06,3269.705
2001-04-09,3297.646
2001-04-10,3384.009
2001-04-11,3374.431
2001-04-12,3421.967
2001-04-13,3421.967
2001-04-16,3414.209
2001-04-17,3452.065
2001-04-18,3583.609
2001-04-19,3632.634
2001-04-20,3603.5
2001-04-23,3548.847
2001-04-24,3504.299
2001-04-25,3563.731
2001-04-26,3582.117
2001-04-27,3631.503
2001-04-30,3621.65
2001-05-01,3673.604
2001-05-02,3677.91
2001-05-03,3622.65
2001-05-04,3677.228
2001-05-07,3669.174
2001-05-08,3660.956
2001-05-09,3644.007
2001-05-10,3642.538
2001-05-11,3615.084
2001-05-14,3627.052
2001-05-15,3625.971
2001-05-16,3729.681
