Date,USA Standard (Large+Mid Cap)
2002-01-07,2425.631
2002-01-08,2417.431
2002-01-09,2405.664
2002-01-10,2408.576
2002-01-11,2385.855
2002-01-14,2371.174
2002-01-15,2388.727
2002-01-16,2350.153
2002-01-17,2374.964
2002-01-18,2349.697
2002-01-21,2349.697
2002-01-22,2331.314
2002-01-23,2349.25
2002-01-24,2356.912
2002-01-25,2359.779
2002-01-28,2359.865
2002-01-29,2292.392
2002-01-30,2317.06
2002-01-31,2351.732
2002-02-01,2334.058
2002-02-04,2275.564
2002-02-05,2268.695
2002-02-06,2255.535
2002-02-07,2248.86
2002-02-08,2283.447
2002-02-11,2315.622
2002-02-12,2306.416
2002-02-13,2329.768
2002-02-14,2326.532
2002-02-15,2298.089
2002-02-18,2298.089
2002-02-19,2255.066
2002-02-20,2286.055
2002-02-21,2250.493
2002-02-22,2269.428
2002-02-25,2310.281
2002-02-26,2309.614
2002-02-27,2311.092
2002-02-28,2304.703
2002-03-01,2359.926
2002-03-04,2406.905
2002-03-05,2391.073
2002-03-06,2425.335
2002-03-07,2413.04
2002-03-08,2427.673
2002-03-11,2436.388
2002-03-12,2430.644
2002-03-13,2406.813
2002-03-14,2403.882
2002-03-15,2432.091
2002-03-18,2430.729
2002-03-19,2439.51
2002-03-20,2399.888
2002-03-21,2404.361
2002-03-22,2394.728
2002-03-25,2359.865
2002-03-26,2372.88
2002-03-27,2384.471
2002-03-28,2390.039
2002-03-29,2390.039
2002-04-01,2388.204
2002-04-02,2366.543
2002-04-03,2343.62
2002-04-04,2345.44
2002-04-05,2337.685
2002-04-08,2342.012
2002-04-09,2325.089
2002-04-10,2350.201
2002-04-11,2292.258
2002-04-12,2307.832
2002-04-15,2288.879
2002-04-16,2343.242
2002-04-17,2338.498
2002-04-18,2335.856
2002-04-19,2337.185
2002-04-22,2299.627
2002-04-23,2283.91
2002-04-24,2268.237
2002-04-25,2266.105
2002-04-26,2233.38
2002-04-29,2209.923
2002-04-30,2234.445
2002-05-01,2255.506
2002-05-02,2250.302
2002-05-03,2225.258
2002-05-06,2181.37
2002-05-07,2173.921
2002-05-08,2260.303
2002-05-09,2226.073
2002-05-10,2188.743
2002-05-13,2230.366
2002-05-14,2279.228
2002-05-15,2268.078
2002-05-16,2283.362
2002-05-17,2301.504
2002-05-20,2270.23
2002-05-21,2244.609
2002-05-22,2257.349
2002-05-23,2281.429
2002-05-24,2253.108
2002-05-27,2253.108
2002-05-28,2234.146
2002-05-29,2219.186
2002-05-30,2213.747
2002-05-31,2216.781
2002-06-03,2160.147
2002-06-04,2160.992
2002-06-05,2179.986
2002-06-06,2135.875
2002-06-07,2130.906
2002-06-10,2137.52
2002-06-11,2099.392
2002-06-12,2114.819
2002-06-13,2093.933
2002-06-14,2089.978
2002-06-17,2149.92
2002-06-18,2151.953
2002-06-19,2116.135
2002-06-20,2084.563
2002-06-21,2047.287
2002-06-24,2055.449
2002-06-25,2019.527
2002-06-26,2013.431
2002-06-27,2048.377
2002-06-28,2047.008
2002-07-01,1999.84
2002-07-02,1958.522
2002-07-03,1971.076
2002-07-04,1971.076
2002-07-05,2044.702
2002-07-08,2019.119
2002-07-09,1967.816
2002-07-10,1903.604
2002-07-11,1920.057
2002-07-12,1909.172
2002-07-15,1903.835
2002-07-16,1870.991
2002-07-17,1884.35
2002-07-18,1831.087
2002-07-19,1762.887
2002-07-22,1704.637
2002-07-23,1657.363
2002-07-24,1753.012
2002-07-25,1741.296
2002-07-26,1773.607
2002-07-29,1871.22
2002-07-30,1880.251
2002-07-31,1899.204
2002-08-01,1841.038
2002-08-02,1798.993
2002-08-05,1736.611
2002-08-06,1788.95
2002-08-07,1825.586
2002-08-08,1886.906
2002-08-09,1893.54
2002-08-12,1883.977
2002-08-13,1841.684
2002-08-14,1916.049
2002-08-15,1937.813
2002-08-16,1935.817
2002-08-19,1981.9
2002-08-20,1953.916
2002-08-21,1979.868
2002-08-22,2007.791
2002-08-23,1961.218
2002-08-26,1976.445
2002-08-27,1947.63
2002-08-28,1912.064
2002-08-29,1911.745
2002-08-30,1907.347
2002-09-02,1907.347
2002-09-03,1826.264
2002-09-04,1858.645
2002-09-05,1828.263
2002-09-06,1859.51
2002-09-09,1877.745
2002-09-10,1891.454
2002-09-11,1891.552
2002-09-12,1843.984
2002-09-13,1848.992
2002-09-16,1852.186
2002-09-17,1815.198
2002-09-18,1806.85
2002-09-19,1751.136
2002-09-20,1754.196
2002-09-23,1730.934
2002-09-24,1700.301
2002-09-25,1743.269
2002-09-26,1774.44
2002-09-27,1715.933
2002-09-30,1691.335
2002-10-01,1760.55
2002-10-02,1719.41
2002-10-03,1700.703
2002-10-04,1661.883
2002-10-07,1630.068
2002-10-08,1656.786
2002-10-09,1612.187
2002-10-10,1669.699
2002-10-11,1735.835
2002-10-14,1748.666
2002-10-15,1833.142
2002-10-16,1788.145
2002-10-17,1829.207
2002-10-18,1839.726
2002-10-21,1870.983
2002-10-22,1852.089
2002-10-23,1863.982
2002-10-24,1835.311
2002-10-25,1866.638
2002-10-28,1851.574
2002-10-29,1833.675
2002-10-30,1853.393
2002-10-31,1844.172
2002-11-01,1876.386
2002-11-04,1893.308
2002-11-05,1909.255
2002-11-06,1927.089
2002-11-07,1882.373
2002-11-08,1865.247
2002-11-11,1825.446
2002-11-12,1840.023
2002-11-13,1838.467
2002-11-14,1884.076
2002-11-15,1895.311
2002-11-18,1876.305
2002-11-19,1868.924
2002-11-20,1905.731
2002-11-21,1948.26
2002-11-22,1941.179
2002-11-25,1946.865
2002-11-26,1905.255
2002-11-27,1959.43
2002-11-28,1959.43
2002-11-29,1954.156
2002-12-02,1950.627
2002-12-03,1921.272
2002-12-04,1914.265
2002-12-05,1891.388
2002-12-06,1903.619
2002-12-09,1860.52
2002-12-10,1886.851
2002-12-11,1888.453
