Date,USA Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,92.886
1970-02-27,98.13
1970-03-31,98.729
1970-04-30,90.2
1970-05-29,85.125
1970-06-30,81.667
1970-07-31,87.823
1970-08-31,91.445
1970-09-30,94.574
1970-10-30,93.91
1970-11-30,99.08
1970-12-31,104.83
1971-01-29,109.712
1971-02-26,110.885
1971-03-31,115.446
1971-04-30,119.987
1971-05-31,115.381
1971-06-30,116.229
1971-07-30,112.147
1971-08-31,116.828
1971-09-30,115.434
1971-10-29,111.371
1971-11-30,111.897
1971-12-31,118.976
1972-01-31,121.455
1972-02-29,124.948
1972-03-31,126.991
1972-04-28,127.288
1972-05-31,127.239
1972-06-30,125.054
1972-07-31,124.441
1972-08-31,129.073
1972-09-29,129.375
1972-10-31,131.162
1972-11-30,136.315
1972-12-29,138.685
1973-01-31,135.496
1973-02-28,129.271
1973-03-30,127.862
1973-04-30,123.065
1973-05-31,121.224
1973-06-29,121.493
1973-07-31,126.387
1973-08-31,122.291
1973-09-28,126.776
1973-10-31,127.435
1973-11-30,114.036
1973-12-31,116.157
1974-01-31,114.282
1974-02-28,114.27
1974-03-29,111.59
1974-04-30,107.411
1974-05-31,104.2
1974-06-28,102.561
1974-07-31,94.53
1974-08-30,86.081
1974-09-30,76.191
1974-10-31,89.746
1974-11-29,85.702
1974-12-31,84.012
1975-01-31,94.945
1975-02-28,100.942
1975-03-31,103.442
1975-04-30,108.144
1975-05-30,113.121
1975-06-30,118.595
1975-07-31,110.687
1975-08-29,108.301
1975-09-30,104.554
1975-10-31,111.787
1975-11-28,115.207
1975-12-31,114.104
1976-01-30,127.461
1976-02-27,126.193
1976-03-31,130.651
1976-04-30,129.331
1976-05-31,127.993
1976-06-30,133.733
1976-07-30,133.06
1976-08-31,132.995
1976-09-30,136.431
1976-10-29,133.951
1976-11-30,133.468
1976-12-31,140.63
1977-01-31,133.864
1977-02-28,131.223
1977-03-31,129.807
1977-04-29,130.303
1977-05-31,127.953
1977-06-30,134.267
1977-07-29,132.697
1977-08-31,130.304
1977-09-30,130.472
1977-10-31,125.16
1977-11-30,128.508
1977-12-30,129.353
1978-01-31,121.914
1978-02-28,119.291
1978-03-31,122.298
1978-04-28,133.96
1978-05-31,134.608
1978-06-30,132.576
1978-07-31,140.702
1978-08-31,144.507
1978-09-29,143.978
1978-10-31,131.816
1978-11-30,134.563
1978-12-29,137.066
1979-01-31,143.397
1979-02-28,138.508
1979-03-30,146.444
1979-04-30,146.503
1979-05-31,143.722
1979-06-29,149.302
1979-07-31,151.002
1979-08-31,158.52
1979-09-28,158.296
1979-10-31,148.176
1979-11-30,154.339
1979-12-31,156.871
1980-01-31,166.343
1980-02-29,164.679
1980-03-31,150.127
1980-04-30,156.657
1980-05-30,164.213
1980-06-30,169.553
1980-07-31,180.816
1980-08-29,182.07
1980-09-30,186.663
1980-10-31,191.383
1980-11-28,211.35
1980-12-31,204.002
1981-01-30,196.434
1981-02-27,200.605
1981-03-31,207.305
1981-04-30,203.476
1981-05-29,202.915
1981-06-30,202.518
1981-07-31,204.017
1981-08-31,192.382
1981-09-30,183.347
1981-10-30,192.458
1981-11-30,200.892
1981-12-31,195.58
1982-01-29,193.369
1982-02-26,183.389
1982-03-31,182.399
1982-04-30,190.406
1982-05-31,184.098
1982-06-30,181.792
1982-07-30,178.554
1982-08-31,200.536
1982-09-30,203.196
1982-10-29,225.851
1982-11-30,234.64
1982-12-31,238.888
1983-01-31,248.474
1983-02-28,253.785
1983-03-31,262.619
1983-04-29,283.293
1983-05-31,278.964
1983-06-30,289.822
1983-07-29,280.481
1983-08-31,286.262
1983-09-30,290.035
1983-10-31,286.821
1983-11-30,293.048
1983-12-30,291.501
1984-01-31,288.315
1984-02-29,276.421
1984-03-30,281.595
1984-04-30,284.581
1984-05-31,268.699
1984-06-29,274.478
1984-07-31,272.413
1984-08-31,302.067
1984-09-28,302.595
1984-10-31,304.195
1984-11-30,301.281
1984-12-31,308.921
1985-01-31,333.786
1985-02-28,337.785
1985-03-29,338.745
1985-04-30,338.042
1985-05-31,359.024
1985-06-28,364.338
1985-07-31,363.296
1985-08-30,360.048
1985-09-30,348.707
1985-10-31,364.583
1985-11-29,389.965
1985-12-31,410.105
1986-01-31,412.709
1986-02-28,443.997
1986-03-31,468.801
1986-04-30,462.301
1986-05-30,485.082
1986-06-30,491.419
1986-07-31,465.208
1986-08-29,499.603
1986-09-30,457.133
1986-10-31,483.078
1986-11-28,494.433
1986-12-31,481.976
1987-01-30,545.985
1987-02-27,565.593
1987-03-31,580.841
1987-04-30,575.593
1987-05-29,578.843
1987-06-30,608.817
1987-07-31,637.762
1987-08-31,662.893
1987-09-30,648.76
1987-10-30,511.075
1987-11-30,467.875
1987-12-31,500.821
1988-01-29,522.273
1988-02-29,544.14
1988-03-31,525.935
1988-04-29,530.765
1988-05-31,535.331
1988-06-30,560.25
1988-07-29,558.518
1988-08-31,539.784
1988-09-30,562.85
1988-10-31,580.103
1988-11-30,571.162
1988-12-30,580.518
1989-01-31,624.69
1989-02-28,605.958
1989-03-31,619.615
1989-04-28,653.282
1989-05-31,678.503
1989-06-30,675.979
1989-07-31,737.954
1989-08-31,749.128
1989-09-29,747.547
1989-10-31,730.628
1989-11-30,745.749
1989-12-29,762.584
1990-01-31,713.133
1990-02-28,723.758
1990-03-30,740.92
1990-04-30,725.864
1990-05-31,793.009
1990-06-29,790.122
1990-07-31,788.972
1990-08-31,716.853
1990-09-28,683.662
1990-10-31,681.623
1990-11-30,726.455
1990-12-31,746.708
1991-01-31,782.388
1991-02-28,836.52
1991-03-29,856.964
1991-04-30,860.373
1991-05-31,896.179
1991-06-28,855.168
1991-07-31,895.261
1991-08-30,917.013
1991-09-30,901.496
1991-10-31,917.089
1991-11-29,880.074
1991-12-31,980.63
1992-01-31,964.318
1992-02-28,975.39
1992-03-31,957.436
1992-04-30,985.481
1992-05-29,989.539
1992-06-30,974.462
1992-07-31,1015.136
1992-08-31,990.832
1992-09-30,1001.632
1992-10-30,1007.776
1992-11-30,1041.304
1992-12-31,1052.826
1993-01-29,1062.116
1993-02-26,1076.114
1993-03-31,1098.308
1993-04-30,1074.114
1993-05-31,1101.624
1993-06-30,1105.089
1993-07-30,1103.94
1993-08-31,1143.856
1993-09-30,1132.651
1993-10-29,1152.626
1993-11-30,1144.907
1993-12-31,1158.852
1994-01-31,1201.082
1994-02-28,1167.437
1994-03-31,1117.015
1994-04-29,1133.025
1994-05-31,1152.004
1994-06-30,1119.778
1994-07-29,1157.778
1994-08-31,1203.548
1994-09-30,1178.293
1994-10-31,1205.588
1994-11-30,1164.663
1994-12-30,1182.011
1995-01-31,1214.883
1995-02-28,1263.074
1995-03-31,1297.222
1995-04-28,1338.256
1995-05-31,1390.833
1995-06-30,1425.372
1995-07-31,1474.114
1995-08-31,1474.553
1995-09-29,1541.034
1995-10-31,1540.647
1995-11-30,1608.724
1995-12-29,1633.386
1996-01-31,1692.017
1996-02-29,1709.998
1996-03-29,1727.687
1996-04-30,1753.61
1996-05-31,1800.809
1996-06-28,1811.811
1996-07-31,1732.479
1996-08-30,1771.655
1996-09-30,1871.283
1996-10-31,1919.512
1996-11-29,2064.995
1996-12-31,2026.293
1997-01-31,2165.497
1997-02-28,2181.224
1997-03-31,2084.009
1997-04-30,2221.712
1997-05-30,2347.995
1997-06-30,2455.442
1997-07-31,2650.06
1997-08-29,2493.214
1997-09-30,2623.869
1997-10-31,2552.82
1997-11-28,2676.92
1997-12-31,2716.982
1998-01-30,2752.48
1998-02-27,2946.083
1998-03-31,3099.36
1998-04-30,3136.193
1998-05-29,3073.75
1998-06-30,3206.355
1998-07-31,3175.11
1998-08-31,2733.618
1998-09-30,2913.732
1998-10-30,3139.696
1998-11-30,3353.374
1998-12-31,3551.723
1999-01-29,3705.311
1999-02-26,3601.942
1999-03-31,3751.828
1999-04-30,3887.652
1999-05-31,3797.28
1999-06-30,4001.631
1999-07-30,3872.025
1999-08-31,3847.674
1999-09-30,3733.527
1999-10-29,3977.809
1999-11-30,4063.205
1999-12-31,4346.659
2000-01-31,4113.942
2000-02-29,4016.239
2000-03-31,4417.244
2000-04-28,4274.448
2000-05-31,4161.501
2000-06-30,4261.432
2000-07-31,4185.351
2000-08-31,4403.062
2000-09-29,4163.637
2000-10-31,4134.069
2000-11-30,3807.643
2000-12-29,3801.778
2001-01-31,3940.799
2001-02-28,3588.647
2001-03-30,3359.872
2001-04-30,3621.65
2001-05-31,3643.445
2001-06-29,3560.065
2001-07-31,3526.865
2001-08-31,3292.648
2001-09-28,3040.927
2001-10-31,3085.453
2001-11-30,3323.252
2001-12-31,3344.37
2002-01-31,3297.208
2002-02-28,3232.827
2002-03-29,3353.375
2002-04-30,3135.884
2002-05-31,3112.559
2002-06-28,2875.354
2002-07-31,2668.65
2002-08-30,2681.354
2002-09-30,2378.786
2002-10-31,2594.869
2002-11-29,2751.065
2002-12-31,2584.929
2003-01-31,2522.505
2003-02-28,2484.112
2003-03-31,2507.246
2003-04-30,2716.722
2003-05-30,2862.49
2003-06-30,2897.97
2003-07-31,2951.784
2003-08-29,3007.171
2003-09-30,2972.457
2003-10-31,3142.133
2003-11-28,3172.555
2003-12-31,3337.41
2004-01-30,3397.874
2004-02-27,3439.102
2004-03-31,3384.481
2004-04-30,3332.517
2004-05-31,3376.846
2004-06-30,3440.639
2004-07-30,3323.49
2004-08-31,3340.507
2004-09-30,3377.187
2004-10-29,3428.833
2004-11-30,3569.833
2004-12-31,3694.97
2005-01-31,3603.494
2005-02-28,3678.646
2005-03-31,3619.894
2005-04-29,3554.49
2005-05-31,3670.69
2005-06-30,3679.889
2005-07-29,3818.157
2005-08-31,3782.703
2005-09-30,3815.117
2005-10-31,3752.529
2005-11-30,3904.158
2005-12-30,3906.351
2006-01-31,4012.973
2006-02-28,4017.045
2006-03-31,4068.566
2006-04-28,4122.201
2006-05-31,4000.222
2006-06-30,4004.709
2006-07-31,4018.081
2006-08-31,4115.145
2006-09-29,4219.909
2006-10-31,4364.118
2006-11-30,4450.719
2006-12-29,4504.774
2007-01-31,4586.413
2007-02-28,4502.528
2007-03-30,4551.226
2007-04-30,4746.318
2007-05-31,4912.532
2007-06-29,4830.393
2007-07-31,4680.877
2007-08-31,4751.956
2007-09-28,4932.33
2007-10-31,5015.452
2007-11-30,4803.743
2007-12-31,4776.315
2008-01-31,4486.439
2008-02-29,4346.96
2008-03-31,4330.946
2008-04-30,4545.319
2008-05-30,4617.845
2008-06-30,4241.463
2008-07-31,4192.954
2008-08-29,4250.383
2008-09-30,3860.514
2008-10-31,3200.304
2008-11-28,2964.17
2008-12-31,3002.604
2009-01-30,2757.992
2009-02-27,2475.326
2009-03-31,2687.434
2009-04-30,2945.475
2009-05-29,3107.532
2009-06-30,3114.565
2009-07-31,3349.331
2009-08-31,3465.82
2009-09-30,3600.257
2009-10-30,3530.52
2009-11-30,3740.563
2009-12-31,3817.617
2010-01-29,3683.695
2010-02-26,3797.381
2010-03-31,4024.789
2010-04-30,4089.279
2010-05-31,3759.572
2010-06-30,3559.653
2010-07-30,3808.436
2010-08-31,3639.268
2010-09-30,3970.138
2010-10-29,4126.484
2010-11-30,4131.084
2010-12-31,4407.359
2011-01-31,4513.031
2011-02-28,4664.337
2011-03-31,4669.889
2011-04-29,4812.786
2011-05-31,4760.617
2011-06-30,4679.897
2011-07-29,4588.744
2011-08-31,4334.932
2011-09-30,4023.147
2011-10-31,4465.154
2011-11-30,4452.91
2011-12-30,4495.07
2012-01-31,4706.759
2012-02-29,4914.136
2012-03-30,5071.5
2012-04-30,5040.928
2012-05-31,4731.22
2012-06-29,4918.302
2012-07-31,4984.978
2012-08-31,5101.984
2012-09-28,5232.081
2012-10-31,5137.66
2012-11-30,5171.124
2012-12-31,5220.28
2013-01-31,5496.521
2013-02-28,5567.152
2013-03-29,5776.561
2013-04-30,5890.806
2013-05-31,6014.938
2013-06-28,5934.743
2013-07-31,6246.996
2013-08-30,6074.659
2013-09-30,6275.865
2013-10-31,6554.499
2013-11-29,6741.446
2013-12-31,6922.497
2014-01-31,6687.485
2014-02-28,7001.931
2014-03-31,7050.019
2014-04-30,7092.383
2014-05-30,7261.646
2014-06-30,7417.225
2014-07-31,7312.88
2014-08-29,7606.391
2014-09-30,7487.563
2014-10-31,7668.259
2014-11-28,7871.617
2014-12-31,7847.602
2015-01-30,7626.069
2015-02-27,8072.21
2015-03-31,7955.684
2015-04-30,8028.432
2015-05-29,8135.42
2015-06-30,7981.335
2015-07-31,8140.837
2015-08-31,7646.982
2015-09-30,7444.467
2015-10-30,8058.738
2015-11-30,8086.848
2015-12-31,7950.974
2016-01-29,7528.367
2016-02-29,7512.496
2016-03-31,8027.008
2016-04-29,8066.671
2016-05-31,8214.231
2016-06-30,8235.481
2016-07-29,8548.023
2016-08-31,8560.956
2016-09-30,8570.215
2016-10-31,8407.798
2016-11-30,8711.439
2016-12-30,8873.983
2017-01-31,9057.802
2017-02-28,9413.932
2017-03-31,9427.218
2017-04-28,9529.124
2017-05-31,9659.082
2017-06-30,9719.6
2017-07-31,9917.617
2017-08-31,9950.135
2017-09-29,10153.05
2017-10-31,10385.544
2017-11-30,10701.685
2017-12-29,10817.693
2018-01-31,11438.549
2018-02-28,11018.81
2018-03-30,10749.935
2018-04-30,10793.112
2018-05-31,11056.293
2018-06-29,11131.375
2018-07-31,11530.98
2018-08-31,11912.821
2018-09-28,11967.295
2018-10-31,11136.457
2018-11-30,11353.427
2018-12-31,10330.721
2019-01-31,11180.301
2019-02-28,11554.586
2019-03-29,11768.215
2019-04-30,12240.112
2019-05-31,11466.228
2019-06-28,12271.574
2019-07-31,12461.153
2019-08-30,12244.446
2019-09-30,12462.251
2019-10-31,12733.556
2019-11-29,13212.258
2019-12-31,13599.625
2020-01-31,13626.248
2020-02-28,12515.095
2020-03-31,10927.735
2020-04-30,12365.16
2020-05-29,13008.361
2020-06-30,13305.193
2020-07-31,14095.015
2020-08-31,15153.279
2020-09-30,14587.965
2020-10-30,14208.39
2020-11-30,15852.247
2020-12-31,16506.004
2021-01-29,16352.894
2021-02-26,16779.964
2021-03-31,17411.232
2021-04-30,18358.842
2021-05-31,18447.106
2021-06-30,18960.703
2021-07-30,19409.049
2021-08-31,19981.838
2021-09-30,19038.379
2021-10-29,20366.286
2021-11-30,20161.22
2021-12-31,20958.031
2022-01-31,19771.407
2022-02-28,19192.166
2022-03-31,19866.929
2022-04-29,18065.869
2022-05-31,18026.301
2022-06-30,16534.169
2022-07-29,18076.357
2022-08-31,17368.286
2022-09-30,15757.494
2022-10-31,17008.384
2022-11-30,17933.754
2022-12-30,16879.298
2023-01-31,17989.883
2023-02-28,17560.423
2023-03-31,18184.144
2023-04-28,18414.905
2023-05-31,18534.694
2023-06-30,19770.619
2023-07-31,20451.177
2023-08-31,20106.455
2023-09-29,19163.672
2023-10-31,18722.685
2023-11-30,20488.088
2023-12-29,21453.38
2024-01-31,21787.56
2024-02-29,22956.655
2024-03-29,23686.847
2024-04-30,22709.095
2024-05-31,23793.786
2024-06-28,24644.686
2024-07-31,24954.022
2024-08-30,25555.841
2024-09-30,26105.67
2024-10-31,25912.877
2024-11-29,27534.738
2024-12-31,26834.015
2025-01-31,27650.963
2025-02-28,27215.41
2025-03-31,25623.121
2025-04-30,25491.877
2025-05-30,27137.267
2025-06-30,28533.321
2025-07-31,29186.247
