Date,USA Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,92.798
1970-02-27,97.949
1970-03-31,98.458
1970-04-30,89.865
1970-05-29,84.722
1970-06-30,81.194
1970-07-31,87.227
1970-08-31,90.738
1970-09-30,93.757
1970-10-30,93.013
1970-11-30,98.046
1970-12-31,103.645
1971-01-29,108.382
1971-02-26,109.453
1971-03-31,113.871
1971-04-30,118.263
1971-05-31,113.636
1971-06-30,114.383
1971-07-30,110.278
1971-08-31,114.792
1971-09-30,113.335
1971-10-29,109.258
1971-11-30,109.684
1971-12-31,116.536
1972-01-31,118.878
1972-02-29,122.208
1972-03-31,124.115
1972-04-28,124.317
1972-05-31,124.182
1972-06-30,121.96
1972-07-31,121.274
1972-08-31,125.702
1972-09-29,125.908
1972-10-31,127.554
1972-11-30,132.475
1972-12-29,134.687
1973-01-31,131.5
1973-02-28,125.374
1973-03-30,123.918
1973-04-30,119.179
1973-05-31,117.315
1973-06-29,117.493
1973-07-31,122.134
1973-08-31,118.085
1973-09-28,122.322
1973-10-31,122.864
1973-11-30,109.849
1973-12-31,111.79
1974-01-31,109.887
1974-02-28,109.775
1974-03-29,107.099
1974-04-30,102.988
1974-05-31,99.806
1974-06-28,98.134
1974-07-31,90.345
1974-08-30,82.166
1974-09-30,72.618
1974-10-31,85.431
1974-11-29,81.476
1974-12-31,79.768
1975-01-31,90.045
1975-02-28,95.632
1975-03-31,97.899
1975-04-30,102.247
1975-05-30,106.851
1975-06-30,111.921
1975-07-31,104.356
1975-08-29,102.005
1975-09-30,98.372
1975-10-31,105.071
1975-11-28,108.183
1975-12-31,107.043
1976-01-30,119.468
1976-02-27,118.171
1976-03-31,122.236
1976-04-30,120.89
1976-05-31,119.527
1976-06-30,124.773
1976-07-30,124.031
1976-08-31,123.853
1976-09-30,126.932
1976-10-29,124.503
1976-11-30,123.927
1976-12-31,130.45
1977-01-31,124.044
1977-02-28,121.464
1977-03-31,120.018
1977-04-29,120.341
1977-05-31,118.032
1977-06-30,123.717
1977-07-29,122.13
1977-08-31,119.786
