Date,NIHONKABU Standard (Large+Mid Cap)
1994-05-31,1000.0
1994-06-30,1049.135
1994-07-29,1011.003
1994-08-31,1017.511
1994-09-30,994.175
1994-10-31,1020.96
1994-11-30,969.137
1994-12-30,979.984
1995-01-31,922.407
1995-02-28,877.52
1995-03-31,961.652
1995-04-28,1008.006
1995-05-31,944.953
1995-06-30,899.34
1995-07-31,970.395
1995-08-31,930.995
1995-09-29,940.924
1995-10-31,887.821
1995-11-30,939.932
1995-12-29,987.638
1996-01-31,974.259
1996-02-29,956.608
1996-03-29,993.311
1996-04-30,1049.318
1996-05-31,994.873
1996-06-28,999.775
1996-07-31,954.568
1996-08-30,911.529
1996-09-30,945.025
1996-10-31,881.186
1996-11-29,897.574
1996-12-31,835.229
1997-01-31,743.96
1997-02-28,761.052
1997-03-31,738.66
1997-04-30,765.058
1997-05-30,849.116
1997-06-30,912.221
1997-07-31,884.026
1997-08-29,807.003
1997-09-30,796.506
1997-10-31,721.892
1997-11-28,677.194
1997-12-31,638.168
1998-01-30,694.762
1998-02-27,698.084
1998-03-31,653.047
1998-04-30,650.017
1998-05-29,613.926
1998-06-30,622.258
1998-07-31,613.728
1998-08-31,543.417
1998-09-30,529.984
1998-10-30,618.432
1998-11-30,646.307
1998-12-31,671.0
1999-01-29,675.479
1999-02-26,660.316
1999-03-31,753.975
1999-04-30,785.035
1999-05-31,740.407
1999-06-30,810.18
1999-07-30,890.679
1999-08-31,884.072
1999-09-30,939.304
1999-10-29,979.148
1999-11-30,1020.703
1999-12-31,1083.674
2000-01-31,1036.37
2000-02-29,1009.181
2000-03-31,1094.791
2000-04-28,1012.061
2000-05-31,960.141
2000-06-30,1025.813
2000-07-31,907.29
2000-08-31,965.653
2000-09-29,919.161
2000-10-31,865.464
2000-11-30,829.129
2000-12-29,778.403
2001-01-31,769.144
2001-02-28,734.549
2001-03-30,712.744
2001-04-30,761.167
2001-05-31,759.342
2001-06-29,714.114
2001-07-31,660.906
2001-08-31,644.373
2001-09-28,584.17
2001-10-31,582.967
2001-11-30,589.293
2001-12-31,545.231
2002-01-31,500.867
2002-02-28,519.539
2002-03-29,555.102
2002-04-30,585.005
2002-05-31,624.451
2002-06-28,591.662
2002-07-31,551.071
2002-08-30,544.686
2002-09-30,519.617
2002-10-31,484.289
2002-11-29,503.925
2002-12-31,490.568
2003-01-31,470.52
2003-02-28,473.653
2003-03-31,452.098
2003-04-30,448.717
2003-05-30,470.021
2003-06-30,505.146
2003-07-31,525.697
2003-08-29,581.089
2003-09-30,615.401
2003-10-31,643.26
2003-11-28,623.836
2003-12-31,666.629
2004-01-30,678.164
2004-02-27,676.494
2004-03-31,768.029
2004-04-30,726.126
2004-05-31,700.281
2004-06-30,738.209
2004-07-30,694.269
2004-08-31,698.202
2004-09-30,681.351
2004-10-29,699.29
2004-11-30,733.048
2004-12-31,770.297
2005-01-31,752.374
2005-02-28,767.983
2005-03-31,752.378
2005-04-29,732.705
2005-05-31,725.845
2005-06-30,725.072
2005-07-29,732.416
2005-08-31,783.383
2005-09-30,864.631
2005-10-31,854.559
2005-11-30,890.217
2005-12-30,966.505
2006-01-31,1014.851
2006-02-28,1005.702
2006-03-31,1030.79
2006-04-28,1060.749
2006-05-31,995.443
