Date,NIHONKABU Standard (Large+Mid Cap)
2001-01-01,783.417
2001-01-02,781.398
2001-01-03,782.15
2001-01-04,774.505
2001-01-05,777.63
2001-01-08,777.463
2001-01-09,762.497
2001-01-10,754.648
2001-01-11,734.051
2001-01-12,734.41
2001-01-15,734.592
2001-01-16,752.377
2001-01-17,759.38
2001-01-18,768.03
2001-01-19,774.508
2001-01-22,776.345
2001-01-23,773.149
2001-01-24,764.685
2001-01-25,769.423
2001-01-26,765.104
2001-01-29,770.096
2001-01-30,770.846
2001-01-31,774.109
2001-02-01,780.071
2001-02-02,769.503
2001-02-05,759.823
2001-02-06,755.665
2001-02-07,753.94
2001-02-08,745.868
2001-02-09,746.825
2001-02-12,746.825
2001-02-13,746.241
2001-02-14,747.163
2001-02-15,754.547
2001-02-16,750.263
2001-02-19,740.722
2001-02-20,749.315
2001-02-21,737.295
2001-02-22,742.548
2001-02-23,751.726
2001-02-26,754.754
2001-02-27,752.023
2001-02-28,739.309
2001-03-01,730.705
2001-03-02,703.678
2001-03-05,703.611
2001-03-06,719.368
2001-03-07,722.289
2001-03-08,724.431
2001-03-09,724.225
2001-03-12,700.644
2001-03-13,685.162
2001-03-14,674.716
2001-03-15,685.987
2001-03-16,684.929
2001-03-19,689.904
2001-03-20,687.54
2001-03-21,728.189
2001-03-22,710.308
2001-03-23,732.666
2001-03-26,759.699
2001-03-27,757.671
2001-03-28,769.313
2001-03-29,732.906
2001-03-30,717.937
2001-04-02,705.629
2001-04-03,722.957
2001-04-04,732.414
2001-04-05,743.267
2001-04-06,745.087
2001-04-09,717.348
2001-04-10,708.331
2001-04-11,722.818
2001-04-12,735.562
2001-04-13,732.454
2001-04-16,723.77
2001-04-17,724.887
2001-04-18,751.208
2001-04-19,763.194
2001-04-20,754.837
2001-04-23,758.289
2001-04-24,754.251
2001-04-25,760.543
2001-04-26,768.706
2001-04-27,765.183
2001-04-30,766.747
2001-05-01,800.468
2001-05-02,808.021
2001-05-03,814.363
2001-05-04,814.497
2001-05-07,817.942
2001-05-08,798.473
2001-05-09,787.293
2001-05-10,777.897
2001-05-11,779.764
2001-05-14,767.075
2001-05-15,771.753
2001-05-16,757.545
2001-05-17,771.631
2001-05-18,765.124
2001-05-21,777.416
2001-05-22,777.368
2001-05-23,789.31
2001-05-24,786.2
2001-05-25,779.133
2001-05-28,771.341
2001-05-29,781.769
2001-05-30,765.596
2001-05-31,764.915
2001-06-01,763.063
2001-06-04,761.102
2001-06-05,753.776
2001-06-06,752.396
2001-06-07,756.509
2001-06-08,754.085
2001-06-11,742.734
2001-06-12,724.665
2001-06-13,724.523
2001-06-14,726.301
2001-06-15,718.084
2001-06-18,712.674
2001-06-19,710.02
2001-06-20,708.784
2001-06-21,719.395
2001-06-22,725.448
2001-06-25,720.839
2001-06-26,722.922
2001-06-27,717.683
2001-06-28,707.553
2001-06-29,719.379
2001-07-02,716.422
2001-07-03,718.183
2001-07-04,711.194
2001-07-05,703.252
2001-07-06,687.58
2001-07-09,685.193
2001-07-10,692.19
2001-07-11,686.426
2001-07-12,698.909
2001-07-13,691.924
2001-07-16,689.84
2001-07-17,681.174
2001-07-18,671.771
2001-07-19,673.592
2001-07-20,675.753
2001-07-23,652.716
2001-07-24,662.24
2001-07-25,669.916
2001-07-26,669.662
2001-07-27,666.101
2001-07-30,651.266
2001-07-31,665.784
2001-08-01,671.869
2001-08-02,692.557
2001-08-03,685.718
2001-08-06,684.144
2001-08-07,688.482
2001-08-08,687.124
2001-08-09,669.899
2001-08-10,673.569
2001-08-13,663.028
2001-08-14,683.873
2001-08-15,692.073
2001-08-16,679.495
2001-08-17,676.009
2001-08-20,666.375
2001-08-21,673.295
2001-08-22,680.007
2001-08-23,669.775
2001-08-24,668.48
2001-08-27,673.3
2001-08-28,668.699
2001-08-29,660.706
2001-08-30,650.136
2001-08-31,649.135
2001-09-03,633.277
2001-09-04,649.417
2001-09-05,635.537
2001-09-06,634.072
2001-09-07,634.086
2001-09-10,615.3
2001-09-11,628.439
2001-09-12,585.027
2001-09-13,593.024
2001-09-14,617.233
2001-09-17,589.652
2001-09-18,597.93
2001-09-19,613.736
2001-09-20,610.35
2001-09-21,589.866
2001-09-24,585.497
2001-09-25,591.982
2001-09-26,581.659
2001-09-27,575.813
2001-09-28,588.935
2001-10-01,595.662
2001-10-02,605.559
2001-10-03,594.377
2001-10-04,607.859
2001-10-05,607.56
