Date,ISRAEL IMI VALUE IMI (Large+Mid+Small Cap)
2002-05-31,273.563
2002-06-03,277.227
2002-06-04,276.102
2002-06-05,273.139
2002-06-06,270.324
2002-06-07,268.862
2002-06-10,264.517
2002-06-11,262.11
2002-06-12,259.993
2002-06-13,263.654
2002-06-14,262.886
2002-06-17,265.162
2002-06-18,266.136
2002-06-19,263.066
2002-06-20,256.985
2002-06-21,257.703
2002-06-24,253.778
2002-06-25,261.944
2002-06-26,258.61
2002-06-27,267.858
2002-06-28,271.851
2002-07-01,272.927
2002-07-02,268.64
2002-07-03,267.001
2002-07-04,267.011
2002-07-05,266.86
2002-07-08,270.043
2002-07-09,273.335
2002-07-10,273.612
2002-07-11,260.552
2002-07-12,261.785
2002-07-15,271.99
2002-07-16,271.863
2002-07-17,279.376
2002-07-18,278.988
2002-07-19,278.688
2002-07-22,274.302
2002-07-23,266.743
2002-07-24,257.776
2002-07-25,258.104
2002-07-26,257.688
2002-07-29,271.378
2002-07-30,273.277
2002-07-31,274.986
2002-08-01,274.49
2002-08-02,274.173
2002-08-05,268.818
2002-08-06,271.012
2002-08-07,273.578
2002-08-08,273.154
2002-08-09,274.149
2002-08-12,272.868
2002-08-13,274.196
2002-08-14,275.584
2002-08-15,277.25
2002-08-16,276.86
2002-08-19,283.309
2002-08-20,283.355
2002-08-21,284.392
2002-08-22,279.903
2002-08-23,279.628
2002-08-26,282.504
2002-08-27,283.043
2002-08-28,279.237
2002-08-29,276.769
2002-08-30,276.791
2002-09-02,275.612
2002-09-03,272.865
2002-09-04,271.973
2002-09-05,271.529
2002-09-06,272.051
2002-09-09,274.283
2002-09-10,276.407
2002-09-11,277.006
2002-09-12,276.356
2002-09-13,276.104
2002-09-16,275.869
2002-09-17,281.181
2002-09-18,272.746
2002-09-19,271.278
2002-09-20,269.258
2002-09-23,265.385
2002-09-24,263.164
2002-09-25,264.101
2002-09-26,267.247
2002-09-27,266.759
2002-09-30,260.775
2002-10-01,263.996
2002-10-02,264.902
2002-10-03,262.896
2002-10-04,262.527
2002-10-07,256.983
2002-10-08,256.197
2002-10-09,255.872
2002-10-10,257.172
2002-10-11,258.02
2002-10-14,256.403
2002-10-15,260.675
2002-10-16,255.727
2002-10-17,261.413
2002-10-18,261.609
2002-10-21,264.374
2002-10-22,263.595
2002-10-23,264.286
2002-10-24,265.96
2002-10-25,265.175
2002-10-28,260.147
2002-10-29,261.009
2002-10-30,272.681
2002-10-31,269.464
2002-11-01,271.471
2002-11-04,276.285
2002-11-05,275.527
2002-11-06,282.763
2002-11-07,280.303
2002-11-08,280.94
2002-11-11,278.368
2002-11-12,274.711
2002-11-13,271.196
2002-11-14,276.345
2002-11-15,276.815
2002-11-18,282.123
2002-11-19,279.584
2002-11-20,283.037
2002-11-21,286.514
2002-11-22,286.664
2002-11-25,286.482
2002-11-26,291.8
2002-11-27,295.855
2002-11-28,298.114
2002-11-29,298.767
2002-12-02,304.877
2002-12-03,298.155
2002-12-04,295.696
2002-12-05,296.911
2002-12-06,294.746
2002-12-09,293.201
2002-12-10,297.018
2002-12-11,297.488
2002-12-12,297.674
2002-12-13,298.014
2002-12-16,298.344
2002-12-17,295.191
2002-12-18,294.486
2002-12-19,290.524
2002-12-20,290.747
2002-12-23,278.576
2002-12-24,276.127
2002-12-25,273.476
2002-12-26,276.427
2002-12-27,274.589
2002-12-30,274.307
2002-12-31,274.508
2003-01-01,276.317
2003-01-02,275.589
2003-01-03,274.967
2003-01-06,278.347
2003-01-07,275.343
2003-01-08,276.17
2003-01-09,274.863
2003-01-10,275.349
2003-01-13,268.959
2003-01-14,268.253
2003-01-15,269.369
2003-01-16,271.148
2003-01-17,269.085
2003-01-20,267.174
2003-01-21,267.161
2003-01-22,264.981
2003-01-23,266.252
2003-01-24,265.34
2003-01-27,265.204
2003-01-28,265.157
2003-01-29,267.737
2003-01-30,269.336
2003-01-31,268.274
2003-02-03,266.092
2003-02-04,260.768
2003-02-05,257.141
2003-02-06,255.887
2003-02-07,255.799
2003-02-10,254.873
2003-02-11,258.973
2003-02-12,257.13
2003-02-13,247.591
2003-02-14,249.196
2003-02-17,264.493
2003-02-18,267.51
2003-02-19,264.217
2003-02-20,262.506
2003-02-21,262.931
2003-02-24,261.933
2003-02-25,260.224
2003-02-26,261.554
2003-02-27,268.928
2003-02-28,269.787
2003-03-03,271.076
2003-03-04,269.42
2003-03-05,265.094
2003-03-06,268.676
2003-03-07,268.55
2003-03-10,264.531
2003-03-11,264.795
2003-03-12,265.31
2003-03-13,269.416
2003-03-14,267.988
2003-03-17,276.624
2003-03-18,276.778
2003-03-19,289.149
2003-03-20,287.555
2003-03-21,288.465
2003-03-24,291.065
2003-03-25,293.976
2003-03-26,304.753
2003-03-27,302.192
2003-03-28,301.893
2003-03-31,297.263
2003-04-01,301.723
2003-04-02,310.933
2003-04-03,314.327
2003-04-04,313.483
2003-04-07,319.829
2003-04-08,319.289
2003-04-09,323.846
2003-04-10,321.265
2003-04-11,321.032
2003-04-14,328.789
2003-04-15,334.939
2003-04-16,335.39
2003-04-17,335.587
2003-04-18,335.587
2003-04-21,336.836
2003-04-22,335.151
2003-04-23,335.191
2003-04-24,338.324
2003-04-25,337.738
2003-04-28,337.183
2003-04-29,344.463
2003-04-30,343.642
2003-05-01,344.666
2003-05-02,348.466
2003-05-05,351.165
2003-05-06,353.245
2003-05-07,353.537
2003-05-08,351.845
2003-05-09,353.261
2003-05-12,363.794
2003-05-13,359.815
2003-05-14,359.727
2003-05-15,358.444
2003-05-16,358.833
2003-05-19,348.983
2003-05-20,341.909
2003-05-21,334.227
2003-05-22,342.09
2003-05-23,346.355
2003-05-26,364.284
2003-05-27,365.264
2003-05-28,379.756
2003-05-29,379.618
2003-05-30,380.353
2003-06-02,382.985
2003-06-03,380.479
2003-06-04,371.897
2003-06-05,368.649
2003-06-06,369.412
2003-06-09,371.783
2003-06-10,368.119
2003-06-11,375.092
2003-06-12,379.115
2003-06-13,380.548
2003-06-16,399.949
2003-06-17,403.004
2003-06-18,400.095
2003-06-19,408.995
2003-06-20,409.286
2003-06-23,401.063
2003-06-24,396.082
2003-06-25,400.868
2003-06-26,406.49
2003-06-27,404.5
2003-06-30,414.075
2003-07-01,413.496
2003-07-02,418.576
2003-07-03,415.02
2003-07-04,415.498
2003-07-07,418.278
2003-07-08,403.875
2003-07-09,410.186
2003-07-10,405.887
2003-07-11,405.396
2003-07-14,402.118
2003-07-15,400.843
2003-07-16,398.152
2003-07-17,397.865
2003-07-18,397.531
2003-07-21,393.299
2003-07-22,394.737
2003-07-23,390.505
2003-07-24,389.084
2003-07-25,390.396
2003-07-28,401.777
2003-07-29,404.915
2003-07-30,398.553
2003-07-31,391.378
2003-08-01,390.574
2003-08-04,381.502
2003-08-05,385.195
2003-08-06,380.353
2003-08-07,380.081
2003-08-08,380.24
2003-08-11,373.866
2003-08-12,375.129
2003-08-13,383.332
2003-08-14,382.488
2003-08-15,383.014
2003-08-18,389.618
2003-08-19,392.421
2003-08-20,385.554
2003-08-21,382.155
2003-08-22,380.167
2003-08-25,387.125
2003-08-26,387.941
2003-08-27,390.637
2003-08-28,394.406
2003-08-29,395.53
2003-09-01,391.914
2003-09-02,396.289
2003-09-03,405.578
2003-09-04,404.862
2003-09-05,405.487
2003-09-08,401.683
2003-09-09,403.816
2003-09-10,399.205
2003-09-11,392.461
2003-09-12,390.24
2003-09-15,396.659
2003-09-16,395.554
2003-09-17,397.814
2003-09-18,401.615
2003-09-19,401.13
2003-09-22,404.665
2003-09-23,405.451
2003-09-24,408.332
2003-09-25,402.164
2003-09-26,401.814
2003-09-29,399.404
2003-09-30,397.46
2003-10-01,403.016
2003-10-02,407.016
2003-10-03,407.474
2003-10-06,407.427
2003-10-07,399.39
2003-10-08,397.724
2003-10-09,400.416
2003-10-10,400.148
2003-10-13,404.154
2003-10-14,403.625
2003-10-15,410.787
2003-10-16,410.258
2003-10-17,410.829
2003-10-20,408.528
2003-10-21,411.292
2003-10-22,407.583
2003-10-23,403.27
2003-10-24,402.547
2003-10-27,405.08
2003-10-28,415.239
2003-10-29,421.36
2003-10-30,416.317
2003-10-31,417.293
2003-11-03,426.733
2003-11-04,427.834
2003-11-05,430.864
2003-11-06,427.536
2003-11-07,428.377
2003-11-10,426.302
2003-11-11,418.525
2003-11-12,425.421
2003-11-13,427.643
2003-11-14,426.5
2003-11-17,427.441
2003-11-18,435.281
2003-11-19,435.141
2003-11-20,431.039
2003-11-21,430.584
2003-11-24,430.677
2003-11-25,435.65
2003-11-26,438.217
2003-11-27,444.496
2003-11-28,445.53
2003-12-01,449.832
2003-12-02,447.39
2003-12-03,448.258
2003-12-04,439.518
2003-12-05,438.695
2003-12-08,431.153
2003-12-09,442.09
2003-12-10,437.353
2003-12-11,446.567
2003-12-12,446.088
2003-12-15,450.722
2003-12-16,451.324
2003-12-17,445.667
2003-12-18,445.787
2003-12-19,445.002
2003-12-22,444.426
2003-12-23,443.2
2003-12-24,444.083
2003-12-25,445.45
2003-12-26,445.247
2003-12-29,454.6
2003-12-30,454.955
2003-12-31,455.589
2004-01-01,455.589
2004-01-02,456.133
2004-01-05,474.084
2004-01-06,477.122
2004-01-07,470.994
2004-01-08,475.12
2004-01-09,476.333
2004-01-12,478.32
2004-01-13,482.769
2004-01-14,482.296
2004-01-15,486.038
2004-01-16,492.783
2004-01-19,497.631
2004-01-20,503.6
2004-01-21,491.182
2004-01-22,485.301
2004-01-23,485.364
2004-01-26,490.797
2004-01-27,492.131
2004-01-28,484.172
2004-01-29,478.622
2004-01-30,478.901
2004-02-02,479.087
2004-02-03,480.459
2004-02-04,473.875
2004-02-05,479.311
2004-02-06,487.917
2004-02-09,504.929
2004-02-10,506.696
2004-02-11,508.109
2004-02-12,508.414
2004-02-13,507.987
2004-02-16,510.876
2004-02-17,515.855
2004-02-18,511.857
2004-02-19,511.106
2004-02-20,508.4
2004-02-23,503.697
2004-02-24,498.587
2004-02-25,501.232
2004-02-26,492.328
2004-02-27,492.698
2004-03-01,503.182
2004-03-02,503.491
2004-03-03,496.938
2004-03-04,502.42
2004-03-05,502.172
2004-03-08,503.507
2004-03-09,501.502
2004-03-10,496.891
2004-03-11,488.707
2004-03-12,489.285
2004-03-15,492.295
2004-03-16,498.03
2004-03-17,502.39
2004-03-18,501.679
2004-03-19,501.2
2004-03-22,494.425
2004-03-23,493.064
2004-03-24,485.137
2004-03-25,487.395
2004-03-26,487.299
2004-03-29,495.7
2004-03-30,494.996
2004-03-31,495.234
2004-04-01,499.048
2004-04-02,500.82
2004-04-05,506.115
2004-04-06,502.937
2004-04-07,504.922
2004-04-08,508.463
2004-04-09,508.463
2004-04-12,509.903
2004-04-13,510.07
2004-04-14,503.242
2004-04-15,506.069
2004-04-16,502.362
2004-04-19,509.01
2004-04-20,514.89
2004-04-21,514.243
2004-04-22,519.704
2004-04-23,524.007
2004-04-26,521.658
2004-04-27,523.079
2004-04-28,511.483
2004-04-29,507.613
