Date,ISRAEL IMI VALUE IMI (Large+Mid+Small Cap)
2002-05-31,273.563
2002-06-28,271.851
2002-07-31,274.986
2002-08-30,276.791
2002-09-30,260.775
2002-10-31,269.464
2002-11-29,298.767
2002-12-31,274.508
2003-01-31,268.274
2003-02-28,269.787
2003-03-31,297.263
2003-04-30,343.642
2003-05-30,380.353
2003-06-30,414.075
2003-07-31,391.378
2003-08-29,395.53
2003-09-30,397.46
2003-10-31,417.293
2003-11-28,445.53
2003-12-31,455.589
2004-01-30,478.901
2004-02-27,492.698
2004-03-31,495.234
2004-04-30,500.756
2004-05-31,502.215
2004-06-30,539.477
2004-07-30,486.292
2004-08-31,463.906
2004-09-30,462.517
2004-10-29,473.669
2004-11-30,516.416
2004-12-31,564.109
2005-01-31,575.191
2005-02-28,591.384
2005-03-31,585.567
2005-04-29,589.822
2005-05-31,618.319
2005-06-30,557.462
2005-07-29,607.025
2005-08-31,626.817
2005-09-30,656.877
2005-10-31,643.729
2005-11-30,663.73
2005-12-30,689.425
2006-01-31,702.039
2006-02-28,682.024
2006-03-31,686.643
2006-04-28,744.104
2006-05-31,729.769
2006-06-30,679.662
2006-07-31,694.659
2006-08-31,713.016
2006-09-29,750.69
2006-10-31,813.253
2006-11-30,849.712
2006-12-29,840.13
2007-01-31,868.582
2007-02-28,878.531
2007-03-30,900.457
2007-04-30,958.921
2007-05-31,1000.0
2007-06-29,969.883
2007-07-31,969.863
2007-08-31,962.393
2007-09-28,1035.568
2007-10-31,1087.598
2007-11-30,1054.821
2007-12-31,1078.317
2008-01-31,1028.065
2008-02-29,1052.73
2008-03-31,992.237
2008-04-30,1062.349
2008-05-30,1112.045
2008-06-30,1042.186
2008-07-31,988.366
2008-08-29,967.839
2008-09-30,882.287
2008-10-31,712.425
2008-11-28,670.298
2008-12-31,695.029
2009-01-30,679.486
2009-02-27,718.772
2009-03-31,746.951
2009-04-30,815.489
2009-05-29,915.928
2009-06-30,929.946
2009-07-31,1048.898
2009-08-31,1035.113
2009-09-30,1049.332
2009-10-30,1074.694
2009-11-30,1131.478
2009-12-31,1198.134
2010-01-29,1213.374
2010-02-26,1239.868
2010-03-31,1332.633
2010-04-30,1233.482
2010-05-31,1096.758
2010-06-30,1072.136
2010-07-30,1098.693
2010-08-31,1114.633
2010-09-30,1240.263
2010-10-29,1253.284
2010-11-30,1245.147
2010-12-31,1337.787
2011-01-31,1282.534
2011-02-28,1255.581
2011-03-31,1315.043
2011-04-29,1277.447
2011-05-31,1283.02
2011-06-30,1227.689
