Date,IRELAND GROWTH Standard (Large+Mid Cap)
2001-01-01,205.988
2001-01-02,205.919
2001-01-03,197.092
2001-01-04,198.809
2001-01-05,198.658
2001-01-08,196.059
2001-01-09,194.466
2001-01-10,192.193
2001-01-11,197.357
2001-01-12,196.777
2001-01-15,197.429
2001-01-16,196.091
2001-01-17,196.75
2001-01-18,199.251
2001-01-19,199.2
2001-01-22,199.405
2001-01-23,200.258
2001-01-24,206.996
2001-01-25,209.016
2001-01-26,210.414
2001-01-29,211.59
2001-01-30,205.752
2001-01-31,208.512
2001-02-01,208.553
2001-02-02,207.122
2001-02-05,210.042
2001-02-06,208.357
2001-02-07,213.957
2001-02-08,212.7
2001-02-09,211.53
2001-02-12,215.848
2001-02-13,217.123
2001-02-14,212.508
2001-02-15,210.998
2001-02-16,213.454
2001-02-19,214.14
2001-02-20,213.354
2001-02-21,212.044
2001-02-22,211.98
2001-02-23,212.524
2001-02-26,210.236
2001-02-27,212.379
2001-02-28,211.088
2001-03-01,214.547
2001-03-02,210.49
2001-03-05,210.117
2001-03-06,210.44
2001-03-07,206.445
2001-03-08,201.316
2001-03-09,198.796
2001-03-12,194.78
2001-03-13,191.03
2001-03-14,187.926
2001-03-15,195.52
2001-03-16,190.796
2001-03-19,187.16
2001-03-20,192.601
2001-03-21,188.833
2001-03-22,175.476
2001-03-23,183.086
2001-03-26,191.652
2001-03-27,201.015
2001-03-28,200.883
2001-03-29,198.3
2001-03-30,199.096
2001-04-02,195.135
2001-04-03,189.793
2001-04-04,189.314
2001-04-05,194.855
2001-04-06,197.888
2001-04-09,201.453
2001-04-10,203.916
2001-04-11,203.07
2001-04-12,200.125
2001-04-13,200.125
2001-04-16,198.076
2001-04-17,201.014
2001-04-18,200.111
2001-04-19,197.267
2001-04-20,196.456
2001-04-23,195.605
2001-04-24,193.778
2001-04-25,197.247
2001-04-26,197.504
2001-04-27,198.121
2001-04-30,201.578
2001-05-01,202.647
2001-05-02,200.253
2001-05-03,201.702
2001-05-04,202.29
2001-05-07,201.465
2001-05-08,200.69
2001-05-09,201.22
2001-05-10,205.969
2001-05-11,204.217
2001-05-14,206.286
2001-05-15,205.49
2001-05-16,208.247
2001-05-17,208.353
2001-05-18,208.15
2001-05-21,206.275
2001-05-22,212.677
2001-05-23,216.756
2001-05-24,212.238
2001-05-25,213.037
2001-05-28,213.697
2001-05-29,217.471
2001-05-30,217.136
2001-05-31,214.293
2001-06-01,217.358
2001-06-04,217.654
2001-06-05,222.717
2001-06-06,221.881
2001-06-07,218.466
2001-06-08,217.817
2001-06-11,214.024
2001-06-12,212.048
2001-06-13,212.189
2001-06-14,216.861
2001-06-15,225.433
2001-06-18,226.417
2001-06-19,225.949
2001-06-20,228.283
2001-06-21,227.224
2001-06-22,227.515
2001-06-25,222.494
2001-06-26,220.418
2001-06-27,220.637
2001-06-28,220.242
2001-06-29,227.288
2001-07-02,224.577
2001-07-03,222.61
2001-07-04,219.575
2001-07-05,219.884
2001-07-06,219.43
2001-07-09,222.941
2001-07-10,225.635
2001-07-11,224.988
2001-07-12,224.146
2001-07-13,224.444
2001-07-16,224.065
2001-07-17,219.621
2001-07-18,227.635
2001-07-19,233.159
2001-07-20,226.862
2001-07-23,231.048
2001-07-24,225.131
2001-07-25,216.458
2001-07-26,216.097
2001-07-27,219.157
2001-07-30,217.216
2001-07-31,216.247
2001-08-01,217.067
2001-08-02,216.632
2001-08-03,215.912
2001-08-06,208.817
2001-08-07,208.376
2001-08-08,209.42
2001-08-09,205.025
2001-08-10,206.457
2001-08-13,211.504
2001-08-14,212.545
2001-08-15,210.04
2001-08-16,208.494
2001-08-17,209.024
2001-08-20,207.855
2001-08-21,207.451
2001-08-22,205.141
2001-08-23,206.064
2001-08-24,210.479
2001-08-27,209.012
2001-08-28,208.79
2001-08-29,206.862
2001-08-30,200.524
2001-08-31,200.825
2001-09-03,201.631
2001-09-04,197.916
2001-09-05,201.785
2001-09-06,205.077
2001-09-07,204.157
2001-09-10,200.718
2001-09-11,198.196
2001-09-12,188.67
2001-09-13,197.484
2001-09-14,194.073
2001-09-17,189.055
2001-09-18,190.743
2001-09-19,177.086
2001-09-20,174.336
2001-09-21,171.596
2001-09-24,171.747
2001-09-25,177.28
2001-09-26,179.356
2001-09-27,184.426
2001-09-28,189.182
2001-10-01,185.36
2001-10-02,188.613
2001-10-03,190.972
2001-10-04,190.117
2001-10-05,188.13
2001-10-08,184.601
2001-10-09,180.252
2001-10-10,182.752
2001-10-11,188.702
2001-10-12,187.585
2001-10-15,187.277
2001-10-16,191.361
2001-10-17,190.714
2001-10-18,191.705
2001-10-19,189.53
2001-10-22,190.978
2001-10-23,195.575
2001-10-24,195.22
2001-10-25,191.932
2001-10-26,191.7
2001-10-29,186.732
2001-10-30,181.125
2001-10-31,182.607
2001-11-01,184.518
2001-11-02,184.848
2001-11-05,187.894
2001-11-06,189.686
2001-11-07,185.36
2001-11-08,183.055
2001-11-09,183.106
2001-11-12,178.33
2001-11-13,179.817
2001-11-14,173.293
2001-11-15,178.252
2001-11-16,178.1
2001-11-19,177.031
2001-11-20,184.117
2001-11-21,183.251
2001-11-22,184.699
2001-11-23,185.325
2001-11-26,185.929
2001-11-27,185.657
2001-11-28,182.546
2001-11-29,183.472
2001-11-30,186.38
2001-12-03,185.678
