Date,NETHERLANDS SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,100.59
2001-01-03,98.909
2001-01-04,98.694
2001-01-05,98.178
2001-01-08,96.852
2001-01-09,95.945
2001-01-10,96.042
2001-01-11,98.416
2001-01-12,97.765
2001-01-15,97.675
2001-01-16,97.71
2001-01-17,97.647
2001-01-18,99.479
2001-01-19,99.572
2001-01-22,99.724
2001-01-23,100.702
2001-01-24,99.609
2001-01-25,100.195
2001-01-26,99.582
2001-01-29,99.48
2001-01-30,100.968
2001-01-31,103.352
2001-02-01,103.784
2001-02-02,101.812
2001-02-05,102.361
2001-02-06,101.219
2001-02-07,101.56
2001-02-08,100.743
2001-02-09,101.244
2001-02-12,102.84
2001-02-13,102.613
2001-02-14,102.564
2001-02-15,101.428
2001-02-16,103.009
2001-02-19,103.311
2001-02-20,101.744
2001-02-21,100.992
2001-02-22,100.359
2001-02-23,99.461
2001-02-26,100.366
2001-02-27,101.522
2001-02-28,101.679
2001-03-01,102.563
2001-03-02,103.095
2001-03-05,104.604
2001-03-06,103.993
2001-03-07,101.658
2001-03-08,101.989
2001-03-09,101.724
2001-03-12,99.669
2001-03-13,97.171
2001-03-14,95.334
2001-03-15,93.979
2001-03-16,92.621
2001-03-19,92.607
2001-03-20,93.47
2001-03-21,91.693
2001-03-22,86.81
2001-03-23,88.913
2001-03-26,91.409
2001-03-27,91.705
2001-03-28,91.021
2001-03-29,89.453
2001-03-30,90.144
2001-04-02,89.532
2001-04-03,88.901
2001-04-04,89.96
2001-04-05,91.799
2001-04-06,91.245
2001-04-09,91.041
2001-04-10,89.661
2001-04-11,92.076
2001-04-12,94.481
2001-04-13,94.481
2001-04-16,93.513
2001-04-17,93.185
2001-04-18,93.858
2001-04-19,94.701
2001-04-20,95.739
2001-04-23,95.584
2001-04-24,96.445
2001-04-25,97.236
2001-04-26,97.928
2001-04-27,96.729
2001-04-30,96.079
2001-05-01,97.283
2001-05-02,97.947
2001-05-03,98.455
2001-05-04,98.695
2001-05-07,99.416
2001-05-08,99.693
2001-05-09,99.384
2001-05-10,99.956
2001-05-11,98.903
2001-05-14,98.662
2001-05-15,98.711
2001-05-16,98.631
2001-05-17,99.048
2001-05-18,99.299
2001-05-21,98.702
2001-05-22,98.03
2001-05-23,96.534
2001-05-24,96.831
2001-05-25,95.944
2001-05-28,96.688
2001-05-29,96.227
2001-05-30,95.905
2001-05-31,94.103
2001-06-01,93.29
2001-06-04,93.417
2001-06-05,94.19
2001-06-06,94.064
2001-06-07,94.207
2001-06-08,94.242
2001-06-11,92.958
2001-06-12,92.788
2001-06-13,93.251
2001-06-14,93.58
2001-06-15,92.728
2001-06-18,91.719
2001-06-19,90.754
2001-06-20,90.428
2001-06-21,91.77
2001-06-22,91.084
2001-06-25,91.403
2001-06-26,90.125
2001-06-27,88.355
2001-06-28,86.73
2001-06-29,88.554
2001-07-02,87.647
2001-07-03,88.167
2001-07-04,89.138
2001-07-05,88.148
2001-07-06,88.329
2001-07-09,88.646
2001-07-10,89.597
2001-07-11,88.725
2001-07-12,88.316
2001-07-13,88.461
2001-07-16,87.683
2001-07-17,86.764
2001-07-18,87.529
2001-07-19,88.213
2001-07-20,88.243
2001-07-23,87.65
2001-07-24,88.824
2001-07-25,88.917
2001-07-26,88.813
2001-07-27,88.654
2001-07-30,88.533
2001-07-31,88.299
2001-08-01,89.089
