Date,CANADA MID GROWTH Mid Cap
2001-01-01,299.579
2001-01-02,293.462
2001-01-03,301.003
2001-01-04,298.013
2001-01-05,291.417
2001-01-08,293.035
2001-01-09,294.191
2001-01-10,295.706
2001-01-11,306.048
2001-01-12,310.482
2001-01-15,312.843
2001-01-16,312.446
2001-01-17,313.953
2001-01-18,314.982
2001-01-19,319.616
2001-01-22,317.917
2001-01-23,321.187
2001-01-24,321.458
2001-01-25,317.223
2001-01-26,315.45
2001-01-29,318.934
2001-01-30,324.156
2001-01-31,324.936
2001-02-01,328.332
2001-02-02,324.623
2001-02-05,322.25
2001-02-06,322.335
2001-02-07,316.584
2001-02-08,319.637
2001-02-09,316.452
2001-02-12,315.367
2001-02-13,314.769
2001-02-14,310.315
2001-02-15,311.831
2001-02-16,298.859
2001-02-19,298.568
2001-02-20,292.587
2001-02-21,282.437
2001-02-22,281.903
2001-02-23,281.307
2001-02-26,285.66
2001-02-27,282.922
2001-02-28,278.83
2001-03-01,274.269
2001-03-02,272.418
2001-03-05,269.514
2001-03-06,275.613
2001-03-07,278.486
2001-03-08,275.203
2001-03-09,272.898
2001-03-12,263.09
2001-03-13,261.897
2001-03-14,258.714
2001-03-15,257.103
2001-03-16,248.256
2001-03-19,253.293
2001-03-20,249.543
2001-03-21,243.48
2001-03-22,238.228
2001-03-23,243.548
2001-03-26,250.214
2001-03-27,253.406
2001-03-28,246.789
2001-03-29,243.372
2001-03-30,246.395
2001-04-02,242.013
2001-04-03,231.055
2001-04-04,232.208
2001-04-05,241.524
2001-04-06,241.027
2001-04-09,244.436
2001-04-10,253.835
2001-04-11,253.634
2001-04-12,257.345
2001-04-13,257.345
2001-04-16,256.08
2001-04-17,261.397
2001-04-18,270.927
2001-04-19,278.366
2001-04-20,274.775
2001-04-23,267.744
2001-04-24,265.261
2001-04-25,269.379
2001-04-26,272.299
2001-04-27,273.986
2001-04-30,278.06
2001-05-01,278.125
2001-05-02,282.598
2001-05-03,280.937
2001-05-04,283.01
2001-05-07,282.738
2001-05-08,282.113
2001-05-09,281.529
2001-05-10,283.223
2001-05-11,278.317
2001-05-14,276.871
2001-05-15,277.476
2001-05-16,281.851
2001-05-17,285.841
2001-05-18,287.313
2001-05-21,287.695
2001-05-22,293.7
2001-05-23,289.177
2001-05-24,288.134
2001-05-25,286.03
2001-05-28,287.053
2001-05-29,286.078
2001-05-30,278.76
2001-05-31,279.47
2001-06-01,285.611
2001-06-04,285.684
2001-06-05,286.209
2001-06-06,283.825
2001-06-07,283.896
2001-06-08,278.802
2001-06-11,277.528
2001-06-12,278.451
2001-06-13,277.24
2001-06-14,273.032
2001-06-15,266.931
2001-06-18,261.945
2001-06-19,261.93
2001-06-20,264.106
2001-06-21,266.211
2001-06-22,264.126
2001-06-25,264.08
2001-06-26,263.121
2001-06-27,261.389
2001-06-28,265.114
2001-06-29,272.522
2001-07-02,272.945
2001-07-03,272.835
2001-07-04,271.976
2001-07-05,269.341
2001-07-06,264.645
2001-07-09,263.241
2001-07-10,260.345
2001-07-11,257.908
2001-07-12,263.372
2001-07-13,264.715
2001-07-16,262.4
2001-07-17,265.638
2001-07-18,261.667
2001-07-19,261.904
2001-07-20,261.191
2001-07-23,258.509
2001-07-24,258.804
2001-07-25,260.773
2001-07-26,259.575
2001-07-27,261.111
2001-07-30,260.763
2001-07-31,262.099
2001-08-01,264.654
2001-08-02,267.243
2001-08-03,266.484
2001-08-06,267.882
2001-08-07,265.287
2001-08-08,261.844
2001-08-09,263.189
2001-08-10,260.849
2001-08-13,260.134
