Date,CANADA MID GROWTH Mid Cap
1998-05-29,222.814
1998-06-30,218.385
1998-07-31,201.413
1998-08-31,156.618
1998-09-30,164.473
1998-10-30,176.41
1998-11-30,184.679
1998-12-31,192.559
1999-01-29,211.952
1999-02-26,205.091
1999-03-31,225.655
1999-04-30,253.125
1999-05-31,244.094
1999-06-30,240.716
1999-07-30,243.285
1999-08-31,242.425
1999-09-30,239.358
1999-10-29,243.476
1999-11-30,267.356
1999-12-31,312.012
2000-01-31,342.319
2000-02-29,418.558
2000-03-31,378.897
2000-04-28,358.272
2000-05-31,335.652
2000-06-30,353.44
2000-07-31,342.415
2000-08-31,386.535
2000-09-29,380.604
2000-10-31,350.17
2000-11-30,295.037
1994-05-31,144.189
1994-06-30,134.407
1994-07-29,138.58
1994-08-31,141.917
1994-09-30,146.275
1994-10-31,143.566
1994-11-30,131.667
1994-12-30,132.59
1995-01-31,126.328
1995-02-28,130.977
1995-03-31,136.808
1995-04-28,142.301
1995-05-31,147.431
1995-06-30,148.991
1995-07-31,154.589
1995-08-31,154.229
1995-09-29,153.355
1995-10-31,151.237
1995-11-30,150.481
1995-12-29,149.88
1996-01-31,158.124
1996-02-29,160.518
1996-03-29,161.548
1996-04-30,165.493
1996-05-31,167.832
1996-06-28,160.926
1996-07-31,155.754
1996-08-30,166.005
1996-09-30,173.002
1996-10-31,184.103
1996-11-29,191.16
1996-12-31,193.016
1997-01-31,205.354
1997-02-28,207.174
1997-03-31,195.437
1997-04-30,196.9
1997-05-30,211.249
1997-06-30,212.433
1997-07-31,219.581
1997-08-29,215.689
1997-09-30,234.387
1997-10-31,218.701
1997-11-28,194.965
1997-12-31,202.051
1998-01-30,192.588
1998-02-27,215.698
1998-03-31,229.851
1998-04-30,228.27
2000-12-29,303.295
2001-01-31,329.017
2001-02-28,282.307
2001-03-30,249.423
2001-04-30,281.474
2001-05-31,282.836
2001-06-29,275.726
2001-07-31,265.177
2001-08-31,246.987
2001-09-28,227.162
2001-10-31,240.923
2001-11-30,267.571
2001-12-31,281.948
2002-01-31,277.776
2002-02-28,271.655
2002-03-29,284.466
2002-04-30,276.187
2002-05-31,283.791
2002-06-28,263.426
2002-07-31,230.124
2002-08-30,235.935
2002-09-30,217.712
2002-10-31,223.317
2002-11-29,239.213
2002-12-31,234.238
2003-01-31,235.839
2003-02-28,232.797
2003-03-31,231.17
2003-04-30,241.349
2003-05-30,267.036
2003-06-30,275.473
2003-07-31,281.084
2003-08-29,298.863
2003-09-30,303.625
2003-10-31,329.091
2003-11-28,338.19
2003-12-31,363.52
2004-01-30,362.862
2004-02-27,373.81
2004-03-31,375.634
2004-04-30,349.828
2004-05-31,382.144
2004-06-30,399.708
2004-07-30,387.036
2004-08-31,389.309
2004-09-30,425.588
2004-10-29,454.183
2004-11-30,484.543
2004-12-31,494.631
2005-01-31,479.237
2005-02-28,534.572
2005-03-31,534.359
2005-04-29,492.472
2005-05-31,507.679
2005-06-30,521.872
2005-07-29,561.832
2005-08-31,590.104
2005-09-30,649.063
2005-10-31,607.058
2005-11-30,652.343
2005-12-30,699.345
2006-01-31,801.724
2006-02-28,772.846
2006-03-31,789.562
2006-04-28,846.109
2006-05-31,814.446
2006-06-30,795.654
2006-07-31,805.924
2006-08-31,851.112
2006-09-29,802.574
2006-10-31,835.928
2006-11-30,856.644
2006-12-29,852.293
2007-01-31,865.471
2007-02-28,876.112
2007-03-30,905.228
2007-04-30,948.52
2007-05-31,1000.0
2007-06-29,986.636
2007-07-31,979.495
2007-08-31,961.896
2007-09-28,1079.924
2007-10-31,1184.96
2007-11-30,1042.413
2007-12-31,1084.451
2008-01-31,986.847
2008-02-29,1072.127
2008-03-31,995.669
2008-04-30,1042.365
2008-05-30,1109.986
2008-06-30,1144.747
2008-07-31,1010.679
2008-08-29,979.121
2008-09-30,757.991
2008-10-31,529.449
2008-11-28,501.248
2008-12-31,537.771
2009-01-30,516.475
2009-02-27,486.872
2009-03-31,535.811
2009-04-30,609.77
2009-05-29,725.556
2009-06-30,698.558
2009-07-31,769.152
2009-08-31,789.776
2009-09-30,851.699
2009-10-30,822.338
2009-11-30,918.707
2009-12-31,953.608
2010-01-29,887.378
2010-02-26,939.733
2010-03-31,985.106
2010-04-30,1013.805
2010-05-31,945.098
2010-06-30,912.184
2010-07-30,974.443
2010-08-31,1011.453
2010-09-30,1105.182
2010-10-29,1171.839
2010-11-30,1185.24
2010-12-31,1293.179
2011-01-31,1277.499
2011-02-28,1370.233
2011-03-31,1387.497
2011-04-29,1418.057
2011-05-31,1387.811
2011-06-30,1331.42
2011-07-29,1349.954
2011-08-31,1280.285
2011-09-30,1059.594
2011-10-31,1214.712
2011-11-30,1166.114
2011-12-30,1100.775
2012-01-31,1181.834
2012-02-29,1215.069
2012-03-30,1143.067
2012-04-30,1169.628
2012-05-31,1046.573
2012-06-29,1071.237
2012-07-31,1094.994
2012-08-31,1145.6
2012-09-28,1207.817
2012-10-31,1207.216
2012-11-30,1170.331
2012-12-31,1181.195
2013-01-31,1169.184
2013-02-28,1140.417
2013-03-29,1151.868
2013-04-30,1139.37
2013-05-31,1114.823
2013-06-28,1040.303
2013-07-31,1101.878
2013-08-30,1081.845
2013-09-30,1117.106
2013-10-31,1132.753
2013-11-29,1091.786
2013-12-31,1111.191
2014-01-31,1076.559
2014-02-28,1125.723
2014-03-31,1138.581
2014-04-30,1182.157
2014-05-30,1177.857
2014-06-30,1251.326
2014-07-31,1233.499
2014-08-29,1282.652
2014-09-30,1194.677
2014-10-31,1149.17
2014-11-28,1136.7
2014-12-31,1141.688
2015-01-30,1059.562
2015-02-27,1137.828
2015-03-31,1097.347
2015-04-30,1180.317
2015-05-29,1130.668
2015-06-30,1101.657
2015-07-31,1053.584
2015-08-31,1005.163
2015-09-30,972.86
2015-10-30,1024.622
2015-11-30,1011.696
2015-12-31,955.945
2016-01-29,919.426
2016-02-29,986.318
2016-03-31,1079.86
2016-04-29,1130.69
2016-05-31,1113.222
2016-06-30,1138.752
2016-07-29,1188.821
2016-08-31,1170.723
2016-09-30,1179.481
2016-10-31,1152.439
2016-11-30,1147.796
2016-12-30,1137.084
2017-01-31,1182.918
2017-02-28,1148.527
2017-03-31,1169.828
2017-04-28,1169.042
2017-05-31,1174.429
2017-06-30,1182.9
2017-07-31,1215.884
2017-08-31,1238.374
2017-09-29,1261.965
2017-10-31,1261.67
