Date,CANADA MID GROWTH Mid Cap
1994-05-31,140.116
1994-06-30,130.645
1994-07-29,134.702
1994-08-31,137.989
1994-09-30,142.24
1994-10-31,139.606
1994-11-30,128.135
1994-12-30,129.045
1995-01-31,122.952
1995-02-28,127.526
1995-03-31,133.348
1995-04-28,138.705
1995-05-31,143.774
1995-06-30,145.351
1995-07-31,150.813
1995-08-31,150.503
1995-09-29,149.668
1995-10-31,147.601
1995-11-30,147.047
1995-12-29,146.476
1996-01-31,154.532
1996-02-29,156.932
1996-03-29,157.983
1996-04-30,161.841
1996-05-31,164.193
1996-06-28,157.477
1996-07-31,152.473
1996-08-30,162.529
1996-09-30,169.494
1996-10-31,180.371
1996-11-29,187.323
1996-12-31,189.173
1997-01-31,201.266
1997-02-28,203.49
1997-03-31,192.009
1997-04-30,193.447
1997-05-30,207.586
1997-06-30,208.798
1997-07-31,215.827
1997-08-29,212.031
1997-09-30,230.452
1997-10-31,215.03
1997-11-28,191.741
1997-12-31,198.745
1998-01-30,189.437
1998-02-27,212.187
1998-03-31,226.149
1998-04-30,224.594
1998-05-29,219.246
1998-06-30,214.933
1998-07-31,198.233
1998-08-31,154.158
1998-09-30,161.918
1998-10-30,173.676
1998-11-30,181.835
1998-12-31,189.929
1999-01-29,209.059
1999-02-26,202.313
1999-03-31,222.642
1999-04-30,249.759
1999-05-31,240.866
1999-06-30,237.545
1999-07-30,240.082
1999-08-31,239.251
1999-09-30,236.237
1999-10-29,240.306
1999-11-30,263.897
1999-12-31,307.996
2000-01-31,337.916
2000-02-29,413.182
2000-03-31,374.082
2000-04-28,353.725
2000-05-31,331.396
2000-06-30,348.968
2000-07-31,338.083
2000-08-31,381.651
2000-09-29,375.804
2000-10-31,345.759
2000-11-30,291.329
2000-12-29,299.53
2001-01-31,324.936
2001-02-28,278.83
2001-03-30,246.395
2001-04-30,278.06
2001-05-31,279.47
2001-06-29,272.522
2001-07-31,262.099
2001-08-31,244.153
2001-09-28,224.649
2001-10-31,238.261
2001-11-30,264.662
2001-12-31,278.965
2002-01-31,274.84
2002-02-28,268.841
2002-03-29,281.607
2002-04-30,273.423
2002-05-31,281.026
2002-06-28,260.905
2002-07-31,227.946
2002-08-30,233.721
2002-09-30,215.734
2002-10-31,221.301
2002-11-29,237.062
2002-12-31,232.211
2003-01-31,233.817
2003-02-28,230.822
2003-03-31,229.288
2003-04-30,239.412
2003-05-30,264.915
2003-06-30,273.351
2003-07-31,278.947
2003-08-29,296.622
2003-09-30,301.402
2003-10-31,326.717
2003-11-28,335.781
2003-12-31,361.017
2004-01-30,360.413
2004-02-27,371.336
2004-03-31,373.207
2004-04-30,347.599
2004-05-31,379.754
2004-06-30,397.304
2004-07-30,384.752
2004-08-31,387.04
2004-09-30,423.191
2004-10-29,451.649
2004-11-30,481.871
2004-12-31,492.09
2005-01-31,476.813
2005-02-28,532.102
2005-03-31,531.978
2005-04-29,490.33
2005-05-31,505.521
2005-06-30,519.915
2005-07-29,559.78
2005-08-31,588.0
2005-09-30,646.877
2005-10-31,605.069
2005-11-30,650.405
2005-12-30,697.521
2006-01-31,799.698
2006-02-28,770.957
2006-03-31,787.775
2006-04-28,844.266
2006-05-31,812.738
2006-06-30,794.449
2006-07-31,804.791
2006-08-31,850.002
2006-09-29,801.698
2006-10-31,835.085
2006-11-30,855.873
2006-12-29,851.688
2007-01-31,864.957
2007-02-28,875.68
2007-03-30,904.98
2007-04-30,948.409
2007-05-31,1000.0
2007-06-29,986.745
2007-07-31,979.692
2007-08-31,962.34
2007-09-28,1080.497
2007-10-31,1185.667
2007-11-30,1043.204
2007-12-31,1085.395
2008-01-31,987.745
2008-02-29,1073.235
2008-03-31,996.927
2008-04-30,1043.826
2008-05-30,1111.773
2008-06-30,1147.216
2008-07-31,1012.918
2008-08-29,981.562
2008-09-30,759.978
2008-10-31,530.838
2008-11-28,502.843
2008-12-31,539.671
2009-01-30,518.301
2009-02-27,488.79
2009-03-31,538.223
2009-04-30,612.516
2009-05-29,729.211
2009-06-30,702.268
2009-07-31,773.351
2009-08-31,794.379
2009-09-30,856.885
2009-10-30,827.383
2009-11-30,924.596
2009-12-31,959.969
2010-01-29,893.326
2010-02-26,946.101
2010-03-31,992.034
2010-04-30,1021.072
2010-05-31,952.243
2010-06-30,919.282
2010-07-30,982.185
2010-08-31,1019.911
2010-09-30,1114.619
2010-10-29,1182.018
2010-11-30,1195.949
2010-12-31,1305.178
2011-01-31,1289.486
2011-02-28,1383.431
2011-03-31,1401.318
2011-04-29,1432.434
2011-05-31,1402.427
2011-06-30,1345.937
2011-07-29,1364.943
2011-08-31,1295.082
2011-09-30,1072.25
2011-10-31,1229.452
2011-11-30,1180.658
2011-12-30,1115.052
2012-01-31,1197.708
2012-02-29,1231.816
2012-03-30,1159.316
2012-04-30,1186.573
2012-05-31,1062.274
2012-06-29,1087.657
2012-07-31,1112.011
2012-08-31,1163.967
2012-09-28,1227.646
2012-10-31,1227.225
2012-11-30,1190.157
2012-12-31,1201.698
2013-01-31,1189.696
2013-02-28,1160.929
2013-03-29,1173.078
2013-04-30,1160.599
2013-05-31,1136.124
2013-06-28,1060.633
2013-07-31,1123.639
2013-08-30,1103.822
2013-09-30,1140.343
2013-10-31,1156.478
2013-11-29,1115.162
2013-12-31,1135.483
2014-01-31,1100.518
2014-02-28,1151.242
2014-03-31,1164.953
2014-04-30,1209.882
2014-05-30,1205.994
2014-06-30,1281.757
2014-07-31,1263.837
2014-08-29,1314.704
2014-09-30,1225.118
2014-10-31,1178.699
2014-11-28,1166.4
2014-12-31,1172.087
2015-01-30,1088.028
2015-02-27,1168.79
2015-03-31,1127.805
2015-04-30,1213.374
2015-05-29,1162.874
2015-06-30,1133.482
2015-07-31,1084.259
2015-08-31,1034.896
2015-09-30,1002.07
2015-10-30,1055.59
2015-11-30,1042.729
2015-12-31,985.67
2016-01-29,948.187
2016-02-29,1017.486
2016-03-31,1114.66
2016-04-29,1167.31
2016-05-31,1149.919
2016-06-30,1176.685
2016-07-29,1228.695
2016-08-31,1210.55
2016-09-30,1220.077
2016-10-31,1192.393
2016-11-30,1188.173
2016-12-30,1177.513
2017-01-31,1225.227
2017-02-28,1189.869
2017-03-31,1212.502
2017-04-28,1211.97
2017-05-31,1218.081
2017-06-30,1227.17
2017-07-31,1261.544
2017-08-31,1285.344
2017-09-29,1310.148
2017-10-31,1310.046
2017-11-30,1322.829
2017-12-29,1382.542
2018-01-31,1424.591
2018-02-28,1346.504
2018-03-30,1346.515
2018-04-30,1384.049
2018-05-31,1423.075
2018-06-29,1418.321
2018-07-31,1404.638
2018-08-31,1347.82
2018-09-28,1349.098
2018-10-31,1206.754
2018-11-30,1182.704
2018-12-31,1128.213
2019-01-31,1260.013
2019-02-28,1310.735
2019-03-29,1334.685
2019-04-30,1344.664
2019-05-31,1335.657
2019-06-28,1467.713
2019-07-31,1462.411
2019-08-30,1460.108
2019-09-30,1425.442
2019-10-31,1446.585
2019-11-29,1476.029
2019-12-31,1500.437
2020-01-31,1466.825
2020-02-28,1315.694
2020-03-31,1035.959
2020-04-30,1246.08
2020-05-29,1293.286
2020-06-30,1302.125
2020-07-31,1431.648
2020-08-31,1475.343
2020-09-30,1435.872
2020-10-30,1400.433
2020-11-30,1558.004
2020-12-31,1639.462
2021-01-29,1600.673
2021-02-26,1628.248
2021-03-31,1685.387
2021-04-30,1776.013
2021-05-31,1818.245
2021-06-30,1795.511
2021-07-30,1805.065
2021-08-31,1836.316
2021-09-30,1741.531
2021-10-29,1855.083
2021-11-30,1708.63
2021-12-31,1780.26
2022-01-31,1699.701
2022-02-28,1714.583
2022-03-31,1841.11
2022-04-29,1660.828
2022-05-31,1644.153
2022-06-30,1480.641
2022-07-29,1599.518
2022-08-31,1536.205
2022-09-30,1406.02
2022-10-31,1473.282
2022-11-30,1548.792
2022-12-30,1465.819
2023-01-31,1562.877
2023-02-28,1526.459
2023-03-31,1558.26
2023-04-28,1579.734
2023-05-31,1501.855
2023-06-30,1632.336
2023-07-31,1702.347
2023-08-31,1648.313
2023-09-29,1619.065
2023-10-31,1500.778
2023-11-30,1604.973
2023-12-29,1671.184
2024-01-31,1687.507
2024-02-29,1729.892
2024-03-29,1792.856
2024-04-30,1765.014
2024-05-31,1840.312
2024-06-28,1828.493
2024-07-31,1890.711
2024-08-30,1919.13
2024-09-30,1976.942
2024-10-31,1976.192
2024-11-29,2114.423
2024-12-31,1977.124
2025-01-31,1960.379
2025-02-28,1969.755
2025-03-31,1902.855
2025-04-30,1977.559
2025-05-30,2156.957
2025-06-30,2313.127
2025-07-31,2336.759
2025-08-29,2448.411
2025-09-30,2593.572
2025-10-31,2644.526
2025-11-28,2721.265
2025-12-31,2788.683
2026-01-30,2865.896
