Date,WORLD LARGE GROWTH Large Cap
2014-12-31,1414.666
2015-01-30,1405.745
2015-02-27,1492.51
2015-03-31,1475.76
2015-04-30,1499.068
2015-05-29,1512.223
2015-06-30,1483.981
2015-07-31,1530.599
2015-08-31,1421.785
2015-09-30,1373.819
2015-10-30,1490.021
2015-11-30,1486.12
2015-12-31,1463.799
2016-01-29,1378.602
2016-02-29,1362.099
2016-03-31,1449.566
2016-04-29,1457.597
2016-05-31,1471.871
2016-06-30,1460.968
2016-07-29,1526.74
2016-08-31,1515.982
2016-09-30,1528.11
2016-10-31,1482.585
2016-11-30,1481.304
2016-12-30,1504.149
2017-01-31,1556.621
2017-02-28,1611.582
2017-03-31,1639.555
2017-04-28,1679.983
2017-05-31,1739.949
2017-06-30,1726.881
2017-07-31,1772.093
2017-08-31,1794.141
2017-09-29,1817.194
2017-10-31,1870.015
2017-11-30,1911.854
2017-12-29,1934.944
2018-01-31,2061.004
2018-02-28,1998.615
2018-03-30,1948.621
2018-04-30,1970.385
2018-05-31,2022.841
2018-06-29,2026.232
2018-07-31,2082.685
2018-08-31,2152.293
2018-09-28,2160.653
2018-10-31,1969.868
2018-11-30,1985.439
2018-12-31,1837.853
2019-01-31,1988.201
2019-02-28,2054.087
2019-03-29,2108.767
2019-04-30,2199.716
2019-05-31,2082.699
2019-06-28,2225.755
2019-07-31,2255.67
2019-08-30,2237.984
2019-09-30,2247.434
2019-10-31,2315.232
2019-11-29,2394.955
2019-12-31,2470.968
2020-01-31,2521.668
2020-02-28,2341.231
2020-03-31,2127.487
2020-04-30,2399.007
2020-05-29,2541.85
2020-06-30,2665.087
2020-07-31,2849.485
2020-08-31,3113.17
2020-09-30,2986.04
2020-10-30,2876.161
2020-11-30,3179.511
2020-12-31,3332.783
2021-01-29,3301.258
2021-02-26,3308.061
2021-03-31,3343.691
2021-04-30,3561.367
2021-05-31,3551.508
2021-06-30,3721.017
2021-07-30,3840.295
2021-08-31,3971.233
2021-09-30,3759.482
2021-10-29,4021.341
2021-11-30,4010.576
2021-12-31,4095.472
2022-01-31,3733.38
2022-02-28,3589.742
2022-03-31,3716.567
