Date,WORLD LARGE GROWTH Large Cap
1994-05-31,398.784
1994-06-30,398.383
1994-07-29,403.357
1994-08-31,416.141
1994-09-30,406.684
1994-10-31,417.159
1994-11-30,398.669
1994-12-30,404.059
1995-01-31,398.006
1995-02-28,399.698
1995-03-31,420.516
1995-04-28,435.778
1995-05-31,437.529
1995-06-30,441.033
1995-07-31,464.486
1995-08-31,454.692
1995-09-29,469.103
1995-10-31,461.884
1995-11-30,477.938
1995-12-29,487.463
1996-01-31,492.931
1996-02-29,497.375
1996-03-29,506.103
1996-04-30,520.672
1996-05-31,524.058
1996-06-28,526.301
1996-07-31,502.14
1996-08-30,509.557
1996-09-30,533.188
1996-10-31,530.127
1996-11-29,557.953
1996-12-31,544.391
1997-01-31,551.186
1997-02-28,553.569
1997-03-31,542.696
1997-04-30,565.595
1997-05-30,607.037
1997-06-30,640.739
1997-07-31,676.38
1997-08-29,628.485
1997-09-30,664.582
1997-10-31,624.406
1997-11-28,638.57
1997-12-31,646.914
1998-01-30,671.329
1998-02-27,717.881
1998-03-31,743.416
1998-04-30,754.391
1998-05-29,745.379
1998-06-30,778.008
1998-07-31,784.003
1998-08-31,678.21
1998-09-30,695.07
1998-10-30,759.174
1998-11-30,812.347
1998-12-31,877.51
1999-01-29,918.633
1999-02-26,885.262
1999-03-31,930.355
1999-04-30,938.263
1999-05-31,901.47
1999-06-30,961.081
1999-07-30,959.315
1999-08-31,976.774
1999-09-30,982.477
1999-10-29,1056.038
1999-11-30,1135.002
1999-12-31,1287.506
2000-01-31,1215.2
2000-02-29,1285.954
2000-03-31,1321.625
2000-04-28,1217.723
2000-05-31,1130.883
2000-06-30,1215.692
2000-07-31,1159.749
2000-08-31,1221.721
2000-09-29,1107.518
2000-10-31,1045.358
2000-11-30,928.581
2000-12-29,910.951
2001-01-31,943.43
2001-02-28,805.869
2001-03-30,728.79
2001-04-30,805.714
2001-05-31,778.572
2001-06-29,747.647
2001-07-31,726.73
2001-08-31,672.244
2001-09-28,611.559
2001-10-31,638.281
