Date,HONG KONG MID GROWTH Mid Cap
2001-01-01,400.026
2001-01-02,391.991
2001-01-03,374.958
2001-01-04,396.042
2001-01-05,398.51
2001-01-08,388.175
2001-01-09,379.883
2001-01-10,382.16
2001-01-11,382.362
2001-01-12,392.052
2001-01-15,398.119
2001-01-16,401.16
2001-01-17,392.476
2001-01-18,401.865
2001-01-19,417.816
2001-01-22,415.143
2001-01-23,422.912
2001-01-24,422.915
2001-01-25,422.917
2001-01-26,422.912
2001-01-29,421.841
2001-01-30,422.143
2001-01-31,423.612
2001-02-01,426.654
2001-02-02,415.025
2001-02-05,407.102
2001-02-06,409.919
2001-02-07,407.089
2001-02-08,396.923
2001-02-09,400.024
2001-02-12,400.748
2001-02-13,402.824
2001-02-14,408.093
2001-02-15,409.388
2001-02-16,412.139
2001-02-19,411.625
2001-02-20,406.796
2001-02-21,410.12
2001-02-22,405.535
2001-02-23,403.42
2001-02-26,403.035
2001-02-27,400.688
2001-02-28,399.141
2001-03-01,395.883
2001-03-02,394.525
2001-03-05,393.919
2001-03-06,406.38
2001-03-07,404.483
2001-03-08,402.705
2001-03-09,400.057
2001-03-12,378.557
2001-03-13,372.78
2001-03-14,366.156
2001-03-15,374.001
2001-03-16,375.299
2001-03-19,376.445
2001-03-20,368.932
2001-03-21,365.119
2001-03-22,349.349
2001-03-23,356.212
2001-03-26,365.708
2001-03-27,364.43
2001-03-28,363.546
2001-03-29,355.155
2001-03-30,355.616
2001-04-02,356.811
2001-04-03,355.59
2001-04-04,349.0
2001-04-05,348.994
2001-04-06,362.835
2001-04-09,353.522
2001-04-10,359.891
2001-04-11,380.288
2001-04-12,423.823
2001-04-13,423.823
2001-04-16,423.81
2001-04-17,414.564
2001-04-18,415.999
2001-04-19,432.838
2001-04-20,434.991
2001-04-23,433.671
2001-04-24,421.532
2001-04-25,425.202
2001-04-26,429.233
2001-04-27,433.271
2001-04-30,433.282
2001-05-01,433.288
2001-05-02,448.095
2001-05-03,450.648
2001-05-04,442.384
2001-05-07,436.767
2001-05-08,438.935
2001-05-09,431.572
2001-05-10,437.257
2001-05-11,441.778
2001-05-14,432.969
2001-05-15,435.647
2001-05-16,440.367
2001-05-17,437.788
2001-05-18,430.98
2001-05-21,438.806
2001-05-22,442.682
2001-05-23,443.465
2001-05-24,438.921
2001-05-25,442.506
2001-05-28,443.54
2001-05-29,443.112
2001-05-30,437.51
2001-05-31,423.8
2001-06-01,419.627
2001-06-04,429.895
2001-06-05,434.884
2001-06-06,442.099
2001-06-07,438.495
2001-06-08,433.375
2001-06-11,420.699
2001-06-12,414.105
2001-06-13,410.181
2001-06-14,400.027
2001-06-15,393.4
2001-06-18,394.666
2001-06-19,397.643
2001-06-20,394.305
2001-06-21,397.881
2001-06-22,396.239
2001-06-25,396.244
2001-06-26,393.259
2001-06-27,389.093
2001-06-28,387.759
2001-06-29,386.306
2001-07-02,386.314
2001-07-03,390.797
2001-07-04,400.016
2001-07-05,393.478
2001-07-06,393.473
2001-07-09,385.05
2001-07-10,386.843
2001-07-11,384.028
2001-07-12,381.398
2001-07-13,384.939
2001-07-16,392.633
2001-07-17,383.893
2001-07-18,380.504
2001-07-19,374.576
2001-07-20,373.767
2001-07-23,374.812
2001-07-24,369.856
2001-07-25,369.849
2001-07-26,373.168
2001-07-27,377.869
2001-07-30,376.183
2001-07-31,392.252
2001-08-01,397.602
2001-08-02,396.923
2001-08-03,385.047
2001-08-06,381.466
2001-08-07,378.16
2001-08-08,381.414
2001-08-09,372.401
2001-08-10,368.734
2001-08-13,360.141
2001-08-14,360.042
2001-08-15,367.476
2001-08-16,368.762
2001-08-17,370.832
2001-08-20,359.589
2001-08-21,330.409
2001-08-22,330.902
2001-08-23,336.807
2001-08-24,326.001
2001-08-27,328.979
2001-08-28,326.38
2001-08-29,321.942
2001-08-30,324.147
2001-08-31,323.344
2001-09-03,315.789
2001-09-04,311.731
2001-09-05,309.177
2001-09-06,293.479
2001-09-07,288.838
2001-09-10,288.636
2001-09-11,280.039
2001-09-12,243.305
2001-09-13,248.168
2001-09-14,242.991
2001-09-17,236.849
2001-09-18,233.873
2001-09-19,242.273
2001-09-20,237.525
2001-09-21,226.115
2001-09-24,233.834
2001-09-25,248.409
2001-09-26,240.684
2001-09-27,251.552
2001-09-28,250.242
2001-10-01,250.269
2001-10-02,250.261
2001-10-03,248.441
2001-10-04,269.676
2001-10-05,278.155
2001-10-08,265.074
2001-10-09,280.65
2001-10-10,275.692
2001-10-11,281.7
2001-10-12,278.405
2001-10-15,279.425
2001-10-16,253.706
2001-10-17,250.949
2001-10-18,247.879
2001-10-19,251.482
2001-10-22,252.781
2001-10-23,261.612
2001-10-24,260.844
2001-10-25,260.847
2001-10-26,262.698
2001-10-29,260.832
2001-10-30,259.746
2001-10-31,260.292
2001-11-01,263.424
2001-11-02,266.656
2001-11-05,273.031
2001-11-06,271.09
2001-11-07,268.976
2001-11-08,280.565
2001-11-09,290.244
2001-11-12,284.02
2001-11-13,284.673
2001-11-14,303.494
2001-11-15,311.241
2001-11-16,309.52
2001-11-19,310.625
2001-11-20,301.953
2001-11-21,298.047
2001-11-22,301.603
2001-11-23,311.052
2001-11-26,319.758
2001-11-27,317.508
2001-11-28,307.109
2001-11-29,300.81
2001-11-30,307.4
2001-12-03,305.513
2001-12-04,318.286
2001-12-05,323.631
2001-12-06,326.847
2001-12-07,333.465
2001-12-10,331.602
2001-12-11,323.688
2001-12-12,324.107
2001-12-13,319.467
2001-12-14,321.457
2001-12-17,314.994
2001-12-18,316.225
2001-12-19,319.726
2001-12-20,326.785
2001-12-21,318.148
2001-12-24,317.381
2001-12-25,317.381
2001-12-26,317.377
2001-12-27,320.97
2001-12-28,322.492
2001-12-31,327.492
2002-01-01,327.492
2002-01-02,332.762
2002-01-03,335.269
2002-01-04,347.016
2002-01-07,357.129
2002-01-08,356.8
2002-01-09,351.994
2002-01-10,358.908
2002-01-11,356.018
2002-01-14,352.546
2002-01-15,348.104
2002-01-16,339.502
2002-01-17,343.194
2002-01-18,340.519
2002-01-21,343.282
2002-01-22,341.44
2002-01-23,344.108
2002-01-24,342.775
2002-01-25,352.186
2002-01-28,357.046
2002-01-29,354.95
2002-01-30,344.394
2002-01-31,337.428
2002-02-01,332.477
2002-02-04,330.534
2002-02-05,330.789
2002-02-06,331.156
2002-02-07,325.136
2002-02-08,332.767
2002-02-11,343.576
2002-02-12,343.572
2002-02-13,343.576
2002-02-14,343.576
2002-02-15,350.983
2002-02-18,350.72
2002-02-19,348.834
2002-02-20,351.233
2002-02-21,348.539
2002-02-22,342.949
2002-02-25,341.36
2002-02-26,345.273
2002-02-27,345.752
2002-02-28,342.112
2002-03-01,346.991
2002-03-04,357.506
2002-03-05,365.102
2002-03-06,368.023
2002-03-07,373.308
2002-03-08,376.637
2002-03-11,381.846
2002-03-12,380.963
2002-03-13,382.637
2002-03-14,379.524
2002-03-15,378.548
2002-03-18,378.314
2002-03-19,372.358
2002-03-20,370.725
2002-03-21,363.837
2002-03-22,372.122
2002-03-25,372.81
2002-03-26,370.972
2002-03-27,389.198
2002-03-28,387.068
2002-03-29,387.068
2002-04-01,387.072
2002-04-02,380.343
2002-04-03,379.919
2002-04-04,380.069
2002-04-05,380.069
2002-04-08,382.094
2002-04-09,379.508
2002-04-10,376.368
2002-04-11,382.813
2002-04-12,381.79
2002-04-15,385.1
2002-04-16,385.611
2002-04-17,395.658
2002-04-18,401.364
2002-04-19,404.496
2002-04-22,409.374
2002-04-23,417.748
2002-04-24,423.164
2002-04-25,416.676
2002-04-26,412.064
2002-04-29,406.809
2002-04-30,411.143
2002-05-01,411.153
2002-05-02,421.971
2002-05-03,422.865
2002-05-06,416.679
2002-05-07,425.919
2002-05-08,423.382
2002-05-09,421.984
2002-05-10,419.966
2002-05-13,421.219
2002-05-14,417.918
2002-05-15,422.462
2002-05-16,415.363
2002-05-17,412.855
2002-05-20,412.847
2002-05-21,404.371
2002-05-22,400.284
2002-05-23,398.138
2002-05-24,400.762
2002-05-27,398.765
2002-05-28,399.193
2002-05-29,397.955
2002-05-30,398.326
2002-05-31,396.644
2002-06-03,393.274
2002-06-04,393.097
