Date,DENMARK Standard (Large+Mid Cap)
2001-01-01,6114.477
2001-01-02,6246.145
2001-01-03,6311.622
2001-01-04,6401.221
2001-01-05,6497.512
2001-01-08,6524.252
2001-01-09,6448.272
2001-01-10,6448.489
2001-01-11,6471.231
2001-01-12,6541.545
2001-01-15,6511.424
2001-01-16,6501.292
2001-01-17,6618.52
2001-01-18,6723.54
2001-01-19,6660.324
2001-01-22,6767.566
2001-01-23,6792.156
2001-01-24,6777.493
2001-01-25,6767.293
2001-01-26,6776.689
2001-01-29,6758.186
2001-01-30,6773.9
2001-01-31,6831.821
2001-02-01,6821.201
2001-02-02,6638.827
2001-02-05,6654.977
2001-02-06,6659.62
2001-02-07,6643.733
2001-02-08,6515.306
2001-02-09,6551.269
2001-02-12,6571.18
2001-02-13,6462.588
2001-02-14,6445.173
2001-02-15,6467.479
2001-02-16,6579.391
2001-02-19,6561.268
2001-02-20,6509.013
2001-02-21,6519.377
2001-02-22,6271.927
2001-02-23,6181.561
2001-02-26,6144.321
2001-02-27,6262.648
2001-02-28,6213.979
2001-03-01,6255.108
2001-03-02,6192.799
2001-03-05,6162.142
2001-03-06,6194.737
2001-03-07,6203.343
2001-03-08,6257.384
2001-03-09,6203.448
2001-03-12,6103.09
2001-03-13,5908.365
2001-03-14,5717.656
2001-03-15,5713.95
2001-03-16,5583.692
2001-03-19,5499.555
2001-03-20,5544.56
2001-03-21,5525.869
2001-03-22,5368.109
2001-03-23,5489.919
2001-03-26,5703.57
2001-03-27,5697.797
2001-03-28,5679.078
2001-03-29,5560.308
2001-03-30,5632.015
2001-04-02,5521.853
2001-04-03,5435.15
2001-04-04,5407.689
2001-04-05,5509.475
2001-04-06,5597.84
2001-04-09,5606.083
2001-04-10,5571.41
2001-04-11,5595.46
2001-04-12,5613.627
2001-04-13,5613.627
2001-04-16,5620.981
2001-04-17,5646.653
2001-04-18,5694.39
2001-04-19,5771.147
2001-04-20,5782.603
2001-04-23,5757.501
2001-04-24,5746.394
2001-04-25,5742.615
2001-04-26,5744.828
2001-04-27,5734.343
2001-04-30,5786.05
2001-05-01,5793.81
2001-05-02,5730.726
2001-05-03,5780.081
2001-05-04,5713.853
2001-05-07,5751.617
2001-05-08,5781.232
2001-05-09,5744.388
2001-05-10,5761.108
2001-05-11,5715.119
2001-05-14,5677.312
2001-05-15,5725.731
2001-05-16,5771.846
2001-05-17,5841.383
2001-05-18,5860.535
2001-05-21,5816.705
2001-05-22,5834.344
2001-05-23,5811.148
2001-05-24,5789.7
2001-05-25,5840.437
2001-05-28,5852.096
2001-05-29,5785.843
2001-05-30,5785.492
2001-05-31,5783.622
2001-06-01,5767.155
2001-06-04,5775.153
2001-06-05,5777.354
2001-06-06,5768.479
2001-06-07,5753.707
2001-06-08,5701.869
2001-06-11,5646.866
2001-06-12,5696.635
2001-06-13,5795.272
2001-06-14,5775.372
2001-06-15,5720.34
2001-06-18,5777.322
2001-06-19,5761.415
2001-06-20,5756.969
2001-06-21,5707.515
2001-06-22,5717.148
2001-06-25,5746.858
2001-06-26,5672.887
2001-06-27,5684.042
2001-06-28,5711.071
2001-06-29,5683.484
2001-07-02,5685.681
2001-07-03,5734.018
2001-07-04,5749.116
2001-07-05,5703.059
2001-07-06,5692.388
2001-07-09,5792.439
2001-07-10,5853.596
2001-07-11,5846.253
2001-07-12,5725.277
2001-07-13,5696.773
2001-07-16,5671.355
2001-07-17,5631.953
2001-07-18,5750.556
2001-07-19,5868.164
2001-07-20,5793.091
2001-07-23,5728.194
2001-07-24,5762.735
2001-07-25,5705.977
2001-07-26,5715.424
2001-07-27,5775.527
2001-07-30,5851.452
2001-07-31,5878.527
2001-08-01,5949.431
2001-08-02,5969.603
2001-08-03,5929.638
2001-08-06,5890.932
2001-08-07,5805.362
2001-08-08,5742.849
2001-08-09,5731.036
2001-08-10,5774.202
2001-08-13,5820.133
2001-08-14,5794.407
2001-08-15,5908.216
2001-08-16,5871.904
2001-08-17,5907.615
2001-08-20,5869.656
2001-08-21,5875.673
2001-08-22,5856.838
2001-08-23,5822.949
2001-08-24,5874.565
2001-08-27,5819.844
2001-08-28,5700.293
2001-08-29,5640.89
2001-08-30,5540.548
2001-08-31,5556.749
2001-09-03,5483.181
2001-09-04,5368.2
2001-09-05,5340.417
2001-09-06,5419.863
2001-09-07,5473.876
2001-09-10,5314.205
2001-09-11,5264.212
2001-09-12,5301.901
2001-09-13,5399.314
2001-09-14,5352.074
2001-09-17,5263.642
2001-09-18,5110.48
2001-09-19,5193.102
2001-09-20,5007.779
2001-09-21,4772.985
2001-09-24,4883.884
2001-09-25,4837.545
2001-09-26,4958.683
2001-09-27,5011.481
2001-09-28,5070.537
2001-10-01,4958.14
2001-10-02,5090.493
2001-10-03,5075.236
2001-10-04,5137.544
2001-10-05,5174.883
2001-10-08,5136.012
2001-10-09,5207.307
2001-10-10,5263.22
2001-10-11,5384.935
2001-10-12,5277.819
2001-10-15,5280.506
2001-10-16,5260.978
2001-10-17,5289.593
2001-10-18,5238.128
2001-10-19,5142.964
2001-10-22,5173.952
2001-10-23,5175.677
2001-10-24,5212.742
2001-10-25,5155.62
2001-10-26,5297.715
2001-10-29,5212.853
2001-10-30,5141.44
2001-10-31,5172.2
2001-11-01,5204.044
2001-11-02,5185.861
2001-11-05,5209.053
2001-11-06,5179.026
2001-11-07,5173.644
2001-11-08,5120.939
2001-11-09,5023.641
2001-11-12,4951.503
2001-11-13,4894.24
2001-11-14,4982.231
2001-11-15,4968.941
2001-11-16,5004.859
2001-11-19,4973.586
2001-11-20,5044.893
