Date,DENMARK Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,100.541
1970-02-27,98.964
1970-03-31,96.504
1970-04-30,92.867
1970-05-29,89.245
1970-06-30,89.314
1970-07-31,85.979
1970-08-31,90.529
1970-09-30,87.448
1970-10-30,89.554
1970-11-30,90.829
1970-12-31,91.702
1971-01-29,92.721
1971-02-26,90.387
1971-03-31,87.398
1971-04-30,87.621
1971-05-31,86.712
1971-06-30,87.011
1971-07-30,91.518
1971-08-31,95.344
1971-09-30,96.082
1971-10-29,95.997
1971-11-30,93.509
1971-12-31,99.001
1972-01-31,104.916
1972-02-29,108.751
1972-03-31,108.1
1972-04-28,114.758
1972-05-31,125.488
1972-06-30,137.994
1972-07-31,140.262
1972-08-31,143.873
1972-09-29,141.862
1972-10-31,176.801
1972-11-30,187.581
1972-12-29,207.595
1973-01-31,233.239
1973-02-28,245.192
1973-03-30,240.54
1973-04-30,245.672
1973-05-31,258.387
1973-06-29,284.394
1973-07-31,297.234
1973-08-31,275.387
1973-09-28,265.507
1973-10-31,263.04
1973-11-30,217.908
1973-12-31,216.59
1974-01-31,204.127
1974-02-28,208.852
1974-03-29,195.059
1974-04-30,200.669
1974-05-31,195.973
1974-06-28,187.764
1974-07-31,178.968
1974-08-30,161.681
1974-09-30,167.055
1974-10-31,172.427
1974-11-29,169.781
1974-12-31,190.036
1975-01-31,203.031
1975-02-28,213.169
1975-03-31,201.704
1975-04-30,219.314
1975-05-30,229.151
1975-06-30,223.722
1975-07-31,215.549
1975-08-29,217.547
1975-09-30,210.976
1975-10-31,229.344
1975-11-28,228.176
1975-12-31,231.793
1976-01-30,248.033
1976-02-27,239.519
1976-03-31,238.653
1976-04-30,241.165
1976-05-31,246.955
1976-06-30,256.026
1976-07-30,259.439
1976-08-31,259.735
1976-09-30,254.731
1976-10-29,245.633
1976-11-30,234.968
1976-12-31,244.898
1977-01-31,242.848
1977-02-28,255.665
1977-03-31,260.026
1977-04-29,254.814
1977-05-31,251.365
1977-06-30,250.086
1977-07-29,243.669
1977-08-31,239.625
1977-09-30,241.605
1977-10-31,243.263
1977-11-30,230.982
1977-12-30,246.84
1978-01-31,250.441
1978-02-28,260.724
1978-03-31,255.582
1978-04-28,248.066
1978-05-31,249.736
1978-06-30,251.061
1978-07-31,263.104
1978-08-31,266.477
1978-09-29,265.112
1978-10-31,282.221
1978-11-30,258.308
1978-12-29,265.567
1979-01-31,278.396
1979-02-28,279.765
1979-03-30,280.939
1979-04-30,276.548
1979-05-31,263.675
1979-06-29,269.318
1979-07-31,277.27
1979-08-31,274.919
1979-09-28,274.893
1979-10-31,260.954
1979-11-30,266.569
1979-12-31,254.536
1980-01-31,243.415
1980-02-29,231.668
1980-03-31,206.471
1980-04-30,218.94
1980-05-30,224.047
1980-06-30,233.774
1980-07-31,246.998
1980-08-29,250.634
1980-09-30,271.142
1980-10-31,296.542
1980-11-28,293.502
1980-12-31,293.861
1981-01-30,298.502
1981-02-27,296.2
1981-03-31,308.354
1981-04-30,308.577
1981-05-29,310.412
1981-06-30,328.985
1981-07-31,316.133
1981-08-31,327.532
1981-09-30,322.868
1981-10-30,355.274
1981-11-30,362.519
1981-12-31,362.999
1982-01-29,361.043
1982-02-26,353.164
1982-03-31,325.951
1982-04-30,346.516
1982-05-31,335.413
1982-06-30,311.903
1982-07-30,318.167
1982-08-31,328.398
1982-09-30,329.132
1982-10-29,341.2
1982-11-30,333.819
1982-12-31,369.284
1983-01-31,376.533
1983-02-28,420.063
1983-03-31,476.243
1983-04-29,483.447
1983-05-31,481.939
1983-06-30,515.054
1983-07-29,514.073
1983-08-31,570.902
1983-09-30,621.283
1983-10-31,605.597
1983-11-30,600.211
1983-12-30,621.499
1984-01-31,606.823
1984-02-29,563.939
1984-03-30,531.455
1984-04-30,553.595
1984-05-31,484.722
1984-06-29,487.585
1984-07-31,478.17
1984-08-31,473.751
1984-09-28,414.463
1984-10-31,400.288
1984-11-30,400.859
1984-12-31,398.816
1985-01-31,431.461
1985-02-28,407.548
1985-03-29,438.65
1985-04-30,442.56
1985-05-31,461.213
1985-06-28,485.878
1985-07-31,560.153
1985-08-30,531.204
1985-09-30,551.85
1985-10-31,593.737
1985-11-29,592.697
1985-12-31,639.268
1986-01-31,598.559
1986-02-28,661.399
1986-03-31,648.326
1986-04-30,696.994
1986-05-30,614.19
1986-06-30,626.288
1986-07-31,602.111
1986-08-29,612.276
1986-09-30,616.724
1986-10-31,615.463
1986-11-28,631.718
1986-12-31,647.171
1987-01-30,784.6
1987-02-27,722.026
1987-03-31,719.749
1987-04-30,727.26
1987-05-29,737.122
1987-06-30,741.222
1987-07-31,728.876
1987-08-31,776.752
1987-09-30,734.701
1987-10-30,679.344
1987-11-30,721.523
1987-12-31,732.781
1988-01-29,732.108
1988-02-29,763.118
1988-03-31,775.678
1988-04-29,777.121
1988-05-31,845.106
1988-06-30,844.336
1988-07-29,836.196
1988-08-31,795.037
1988-09-30,864.969
1988-10-31,987.907
1988-11-30,1036.101
1988-12-30,1118.706
1989-01-31,1114.173
1989-02-28,1095.985
1989-03-31,1106.678
1989-04-28,1183.426
1989-05-31,1152.056
1989-06-30,1322.934
1989-07-31,1435.696
1989-08-31,1289.51
1989-09-29,1322.036
1989-10-31,1400.281
1989-11-30,1511.903
1989-12-29,1610.242
1990-01-31,1656.015
1990-02-28,1654.983
1990-03-30,1735.901
1990-04-30,1623.045
1990-05-31,1714.838
1990-06-29,1731.861
1990-07-31,1864.6
1990-08-31,1734.208
1990-09-28,1583.109
1990-10-31,1726.767
1990-11-30,1649.278
1990-12-31,1595.618
1991-01-31,1641.033
1991-02-28,1807.273
1991-03-29,1644.429
1991-04-30,1588.045
1991-05-31,1650.056
1991-06-28,1634.091
1991-07-31,1748.692
1991-08-30,1749.16
1991-09-30,1807.845
1991-10-31,1791.659
1991-11-29,1755.671
1991-12-31,1859.841
1992-01-31,1836.047
1992-02-28,1729.976
1992-03-31,1598.775
1992-04-30,1600.185
1992-05-29,1798.466
1992-06-30,1707.37
1992-07-31,1700.54
1992-08-31,1576.944
1992-09-30,1488.179
1992-10-30,1351.986
1992-11-30,1344.32
1992-12-31,1334.478
1993-01-29,1512.489
1993-02-26,1444.721
1993-03-31,1463.046
1993-04-30,1536.738
1993-05-31,1569.377
1993-06-30,1589.442
1993-07-30,1530.779
1993-08-31,1599.787
1993-09-30,1656.078
1993-10-29,1724.186
1993-11-30,1672.092
1993-12-31,1772.31
1994-01-31,1925.223
1994-02-28,1932.308
1994-03-31,1905.363
1994-04-29,1938.136
1994-05-31,1791.096
1994-06-30,1872.447
1994-07-29,1965.223
1994-08-31,1827.309
1994-09-30,1832.026
1994-10-31,1867.951
1994-11-30,1791.589
1994-12-30,1839.061
1995-01-31,1864.717
1995-02-28,1919.586
1995-03-31,1909.095
1995-04-28,2001.184
1995-05-31,2086.7
1995-06-30,2053.42
1995-07-31,2197.722
1995-08-31,2082.396
