Date,AUSTRALIA MID VALUE Mid Cap
2001-01-01,199.333
2001-01-02,203.346
2001-01-03,204.67
2001-01-04,208.183
2001-01-05,209.362
2001-01-08,206.419
2001-01-09,204.085
2001-01-10,204.256
2001-01-11,203.371
2001-01-12,202.879
2001-01-15,200.45
2001-01-16,201.584
2001-01-17,201.88
2001-01-18,205.469
2001-01-19,206.067
2001-01-22,205.587
2001-01-23,204.806
2001-01-24,201.036
2001-01-25,202.506
2001-01-26,201.948
2001-01-29,202.967
2001-01-30,201.924
2001-01-31,202.472
2001-02-01,206.261
2001-02-02,204.358
2001-02-05,202.887
2001-02-06,203.21
2001-02-07,200.171
2001-02-08,197.749
2001-02-09,196.614
2001-02-12,198.499
2001-02-13,197.904
2001-02-14,194.835
2001-02-15,189.81
2001-02-16,192.438
2001-02-19,192.105
2001-02-20,191.474
2001-02-21,192.924
2001-02-22,192.149
2001-02-23,190.644
2001-02-26,191.021
2001-02-27,192.623
2001-02-28,194.203
2001-03-01,194.544
2001-03-02,197.037
2001-03-05,195.727
2001-03-06,195.082
2001-03-07,193.085
2001-03-08,191.472
2001-03-09,189.886
2001-03-12,189.093
2001-03-13,184.839
2001-03-14,184.697
2001-03-15,181.273
2001-03-16,180.63
2001-03-19,181.506
2001-03-20,181.987
2001-03-21,181.713
2001-03-22,180.405
2001-03-23,180.469
2001-03-26,182.636
2001-03-27,183.649
2001-03-28,180.046
2001-03-29,178.807
2001-03-30,176.631
2001-04-02,178.512
2001-04-03,177.919
2001-04-04,181.449
2001-04-05,182.27
2001-04-06,185.109
2001-04-09,184.086
2001-04-10,185.313
2001-04-11,187.9
2001-04-12,190.256
2001-04-13,190.256
2001-04-16,190.856
2001-04-17,189.358
2001-04-18,186.449
2001-04-19,192.796
2001-04-20,195.355
2001-04-23,187.546
2001-04-24,185.795
2001-04-25,186.237
2001-04-26,189.808
2001-04-27,189.729
2001-04-30,190.939
2001-05-01,194.651
2001-05-02,195.616
2001-05-03,197.059
2001-05-04,196.923
2001-05-07,197.939
2001-05-08,198.594
2001-05-09,201.971
2001-05-10,204.609
2001-05-11,201.519
2001-05-14,200.001
2001-05-15,201.454
2001-05-16,202.765
2001-05-17,205.358
2001-05-18,203.727
2001-05-21,207.268
2001-05-22,204.677
2001-05-23,203.974
2001-05-24,203.665
2001-05-25,203.985
2001-05-28,203.457
2001-05-29,201.955
2001-05-30,201.292
2001-05-31,197.628
2001-06-01,199.738
2001-06-04,201.098
2001-06-05,200.708
2001-06-06,202.314
2001-06-07,206.429
2001-06-08,206.387
2001-06-11,205.973
2001-06-12,205.927
2001-06-13,209.779
2001-06-14,210.214
2001-06-15,210.983
2001-06-18,207.116
2001-06-19,206.672
2001-06-20,207.387
2001-06-21,208.147
2001-06-22,209.214
2001-06-25,209.567
2001-06-26,211.574
2001-06-27,210.074
2001-06-28,207.196
2001-06-29,209.476
2001-07-02,206.688
2001-07-03,210.086
2001-07-04,209.705
2001-07-05,207.691
2001-07-06,202.177
2001-07-09,202.409
2001-07-10,204.189
2001-07-11,203.512
2001-07-12,203.525
2001-07-13,204.467
2001-07-16,205.896
2001-07-17,204.548
2001-07-18,206.51
2001-07-19,207.053
2001-07-20,203.41
2001-07-23,203.599
2001-07-24,203.556
2001-07-25,202.56
2001-07-26,201.399
2001-07-27,199.955
2001-07-30,200.57
2001-07-31,201.952
2001-08-01,206.287
2001-08-02,209.693
2001-08-03,209.154
2001-08-06,209.288
2001-08-07,208.677
2001-08-08,210.906
2001-08-09,211.002
2001-08-10,211.825
2001-08-13,212.856
2001-08-14,211.596
2001-08-15,213.311
2001-08-16,210.992
2001-08-17,213.631
