Date,AUSTRALIA MID VALUE Mid Cap
1994-05-31,114.488
1994-06-30,106.825
1994-07-29,113.397
1994-08-31,116.313
1994-09-30,111.342
1994-10-31,111.712
1994-11-30,107.21
1994-12-30,112.212
1995-01-31,104.589
1995-02-28,106.435
1995-03-31,104.841
1995-04-28,112.149
1995-05-31,108.702
1995-06-30,106.464
1995-07-31,112.88
1995-08-31,116.325
1995-09-29,119.978
1995-10-31,118.373
1995-11-30,119.988
1995-12-29,123.602
1996-01-31,131.001
1996-02-29,137.74
1996-03-29,138.494
1996-04-30,140.577
1996-05-31,141.77
1996-06-28,141.325
1996-07-31,137.883
1996-08-30,144.473
1996-09-30,150.295
1996-10-31,157.184
1996-11-29,164.382
1996-12-31,164.217
1997-01-31,157.397
1997-02-28,161.532
1997-03-31,162.468
1997-04-30,164.466
1997-05-30,165.609
1997-06-30,177.764
1997-07-31,183.195
1997-08-29,174.47
1997-09-30,183.268
1997-10-31,163.554
1997-11-28,157.007
1997-12-31,158.673
1998-01-30,170.052
1998-02-27,169.144
1998-03-31,170.249
1998-04-30,169.62
1998-05-29,161.629
1998-06-30,153.093
1998-07-31,152.094
1998-08-31,137.138
1998-09-30,150.003
1998-10-30,159.47
1998-11-30,165.001
1998-12-31,162.886
1999-01-29,167.325
1999-02-26,169.199
1999-03-31,172.592
1999-04-30,189.253
1999-05-31,178.169
1999-06-30,184.263
1999-07-30,188.406
1999-08-31,183.534
1999-09-30,185.461
1999-10-29,176.274
1999-11-30,178.562
1999-12-31,187.181
2000-01-31,176.445
2000-02-29,163.157
2000-03-31,164.639
2000-04-28,164.599
2000-05-31,160.706
2000-06-30,177.727
2000-07-31,173.661
2000-08-31,177.255
2000-09-29,161.593
2000-10-31,159.076
2000-11-30,167.593
2000-12-29,181.285
2001-01-31,184.14
2001-02-28,176.872
2001-03-30,161.357
2001-04-30,174.428
2001-05-31,180.687
2001-06-29,191.785
2001-07-31,184.967
2001-08-31,192.279
2001-09-28,177.751
2001-10-31,189.79
2001-11-30,200.699
2001-12-31,202.605
2002-01-31,205.111
2002-02-28,208.605
2002-03-29,217.758
2002-04-30,216.843
2002-05-31,236.288
2002-06-28,226.776
2002-07-31,215.82
2002-08-30,224.814
2002-09-30,216.444
2002-10-31,220.455
2002-11-29,226.858
2002-12-31,229.002
2003-01-31,236.462
2003-02-28,240.878
2003-03-31,243.772
2003-04-30,261.415
2003-05-30,275.187
2003-06-30,289.834
2003-07-31,287.082
2003-08-29,296.713
2003-09-30,310.771
2003-10-31,343.43
2003-11-28,344.036
2003-12-31,370.925
2004-01-30,367.285
2004-02-27,387.68
2004-03-31,403.49
2004-04-30,378.004
2004-05-31,385.818
2004-06-30,389.702
2004-07-30,405.032
2004-08-31,424.195
2004-09-30,455.557
2004-10-29,481.664
2004-11-30,525.989
2004-12-31,554.304
2005-01-31,556.277
2005-02-28,558.006
2005-03-31,532.701
2005-04-29,517.815
2005-05-31,518.767
2005-06-30,550.435
2005-07-29,561.142
2005-08-31,568.807
2005-09-30,615.092
2005-10-31,568.64
2005-11-30,580.226
2005-12-30,596.491
2006-01-31,643.845
2006-02-28,625.8
2006-03-31,601.172
2006-04-28,655.758
2006-05-31,635.966
2006-06-30,644.822
2006-07-31,661.267
2006-08-31,684.573
2006-09-29,696.722
2006-10-31,753.941
2006-11-30,802.715
2006-12-29,846.526
2007-01-31,836.278
2007-02-28,867.671
2007-03-30,899.785
2007-04-30,973.551
2007-05-31,1000.0
2007-06-29,1017.094
2007-07-31,996.978
2007-08-31,952.541
2007-09-28,1047.328
2007-10-31,1067.369
2007-11-30,984.453
2007-12-31,916.727
2008-01-31,816.419
2008-02-29,865.546
2008-03-31,822.507
2008-04-30,866.496
2008-05-30,903.948
2008-06-30,801.657
2008-07-31,773.326
2008-08-29,760.725
2008-09-30,656.717
2008-10-31,434.838
2008-11-28,424.226
2008-12-31,470.369
2009-01-30,399.028
2009-02-27,335.81
2009-03-31,394.195
2009-04-30,441.875
2009-05-29,490.26
2009-06-30,505.102
2009-07-31,570.088
2009-08-31,601.306
2009-09-30,663.732
2009-10-30,655.026
2009-11-30,655.939
2009-12-31,684.126
2010-01-29,643.988
2010-02-26,646.906
2010-03-31,694.713
2010-04-30,698.537
2010-05-31,577.061
2010-06-30,575.463
2010-07-30,646.41
2010-08-31,646.925
2010-09-30,731.885
2010-10-29,744.841
2010-11-30,720.067
2010-12-31,787.043
2011-01-31,766.812
2011-02-28,798.794
2011-03-31,808.322
2011-04-29,842.774
2011-05-31,810.013
2011-06-30,808.31
2011-07-29,800.993
2011-08-31,773.977
2011-09-30,671.898
2011-10-31,775.819
2011-11-30,732.816
2011-12-30,712.505
2012-01-31,770.123
2012-02-29,813.627
2012-03-30,791.33
2012-04-30,806.365
2012-05-31,728.493
2012-06-29,763.528
2012-07-31,819.302
2012-08-31,810.06
2012-09-28,821.124
2012-10-31,852.59
2012-11-30,872.943
2012-12-31,892.255
2013-01-31,950.86
2013-02-28,979.232
2013-03-29,986.311
2013-04-30,1021.768
2013-05-31,905.715
2013-06-28,841.941
2013-07-31,825.829
2013-08-30,825.605
2013-09-30,880.364
2013-10-31,931.261
2013-11-29,876.198
2013-12-31,863.771
2014-01-31,835.094
2014-02-28,891.116
2014-03-31,909.281
2014-04-30,949.024
2014-05-30,958.585
2014-06-30,980.507
2014-07-31,995.589
2014-08-29,1014.684
2014-09-30,900.631
2014-10-31,951.537
2014-11-28,909.429
2014-12-31,897.165
2015-01-30,896.629
2015-02-27,978.464
2015-03-31,938.138
2015-04-30,963.753
2015-05-29,965.009
2015-06-30,906.956
2015-07-31,902.863
2015-08-31,828.575
2015-09-30,800.379
2015-10-30,863.451
2015-11-30,872.967
2015-12-31,912.003
2016-01-29,856.576
2016-02-29,863.182
2016-03-31,984.801
2016-04-29,1002.118
2016-05-31,966.13
2016-06-30,987.365
2016-07-29,1071.725
2016-08-31,1058.535
2016-09-30,1063.666
2016-10-31,1048.004
2016-11-30,1059.615
2016-12-30,1109.06
2017-01-31,1160.901
2017-02-28,1190.236
2017-03-31,1205.568
2017-04-28,1183.132
2017-05-31,1160.822
2017-06-30,1185.699
2017-07-31,1241.041
2017-08-31,1265.172
2017-09-29,1247.123
2017-10-31,1230.047
2017-11-30,1240.269
2017-12-29,1306.498
2018-01-31,1320.356
2018-02-28,1261.941
2018-03-30,1187.449
2018-04-30,1213.035
2018-05-31,1228.783
2018-06-29,1194.067
2018-07-31,1243.838
2018-08-31,1243.857
2018-09-28,1226.595
2018-10-31,1150.28
2018-11-30,1184.056
2018-12-31,1153.979
2019-01-31,1279.339
2019-02-28,1301.966
2019-03-29,1336.341
2019-04-30,1334.849
2019-05-31,1409.654
2019-06-28,1403.8
2019-07-31,1424.476
2019-08-30,1391.762
2019-09-30,1453.207
2019-10-31,1509.857
2019-11-29,1513.345
2019-12-31,1501.372
2020-01-31,1493.034
2020-02-28,1349.511
2020-03-31,856.447
2020-04-30,1030.926
2020-05-29,1125.355
2020-06-30,1174.654
2020-07-31,1161.194
2020-08-31,1251.961
2020-09-30,1145.167
2020-10-30,1131.235
2020-11-30,1397.659
2020-12-31,1400.641
2021-01-29,1376.186
2021-02-26,1398.686
2021-03-31,1417.501
2021-04-30,1446.99
