Date,AUSTRALIA MID VALUE Mid Cap
1994-05-31,139.064
1994-06-30,129.528
1994-07-29,137.497
1994-08-31,140.881
1994-09-30,134.485
1994-10-31,134.499
1994-11-30,128.983
1994-12-30,134.863
1995-01-31,125.701
1995-02-28,127.722
1995-03-31,125.359
1995-04-28,134.013
1995-05-31,129.791
1995-06-30,126.908
1995-07-31,134.556
1995-08-31,138.46
1995-09-29,142.335
1995-10-31,140.135
1995-11-30,141.891
1995-12-29,145.99
1996-01-31,154.633
1996-02-29,162.212
1996-03-29,162.87
1996-04-30,165.079
1996-05-31,166.408
1996-06-28,165.637
1996-07-31,161.539
1996-08-30,168.885
1996-09-30,175.412
1996-10-31,183.133
1996-11-29,191.346
1996-12-31,190.976
1997-01-31,183.045
1997-02-28,187.359
1997-03-31,188.195
1997-04-30,190.251
1997-05-30,191.496
1997-06-30,204.791
1997-07-31,211.047
1997-08-29,200.8
1997-09-30,210.519
1997-10-31,187.755
1997-11-28,179.943
1997-12-31,181.55
1998-01-30,194.57
1998-02-27,193.304
1998-03-31,194.34
1998-04-30,193.416
1998-05-29,184.199
1998-06-30,174.065
1998-07-31,172.929
1998-08-31,155.701
1998-09-30,169.906
1998-10-30,180.286
1998-11-30,186.244
1998-12-31,183.805
1999-01-29,188.741
1999-02-26,190.684
1999-03-31,194.045
1999-04-30,212.719
1999-05-31,200.164
1999-06-30,206.711
1999-07-30,211.274
1999-08-31,205.576
1999-09-30,207.156
1999-10-29,196.76
1999-11-30,199.077
1999-12-31,208.687
2000-01-31,196.665
2000-02-29,181.578
2000-03-31,182.74
2000-04-28,182.696
2000-05-31,178.332
2000-06-30,196.928
2000-07-31,192.381
2000-08-31,196.024
2000-09-29,178.161
2000-10-31,175.213
2000-11-30,184.372
2000-12-29,199.333
2001-01-31,202.472
2001-02-28,194.203
2001-03-30,176.631
2001-04-30,190.939
2001-05-31,197.628
2001-06-29,209.476
2001-07-31,201.952
2001-08-31,209.54
2001-09-28,193.213
2001-10-31,206.202
2001-11-30,217.807
2001-12-31,219.841
2002-01-31,222.56
2002-02-28,226.036
2002-03-29,235.064
2002-04-30,234.077
2002-05-31,254.83
2002-06-28,244.358
2002-07-31,232.553
2002-08-30,241.664
2002-09-30,231.861
2002-10-31,236.063
2002-11-29,242.818
2002-12-31,244.922
2003-01-31,252.901
2003-02-28,257.208
2003-03-31,259.455
2003-04-30,278.233
2003-05-30,292.399
2003-06-30,307.581
2003-07-31,304.661
2003-08-29,314.357
2003-09-30,328.158
2003-10-31,362.645
2003-11-28,363.018
2003-12-31,390.703
2004-01-30,386.868
2004-02-27,407.374
2004-03-31,422.794
2004-04-30,396.088
2004-05-31,403.943
2004-06-30,407.766
2004-07-30,423.31
2004-08-31,442.235
2004-09-30,473.776
2004-10-29,500.683
2004-11-30,546.2
2004-12-31,574.779
2005-01-31,576.825
2005-02-28,577.184
2005-03-31,549.374
2005-04-29,534.022
2005-05-31,534.868
2005-06-30,566.504
2005-07-29,577.523
2005-08-31,584.129
2005-09-30,629.591
2005-10-31,581.886
2005-11-30,593.743
2005-12-30,608.771
2006-01-31,657.1
2006-02-28,637.239
2006-03-31,610.552
2006-04-28,665.99
2006-05-31,645.44
2006-06-30,652.803
2006-07-31,669.452
2006-08-31,691.668
2006-09-29,702.014
2006-10-31,759.433
2006-11-30,808.562
2006-12-29,850.075
2007-01-31,839.785
2007-02-28,870.055
2007-03-30,900.002
2007-04-30,973.551
2007-05-31,1000.0
2007-06-29,1013.547
2007-07-31,993.501
2007-08-31,947.842
2007-09-28,1040.271
2007-10-31,1059.124
2007-11-30,976.581
2007-12-31,907.656
2008-01-31,808.341
2008-02-29,854.58
2008-03-31,810.527
2008-04-30,853.348
2008-05-30,890.109
2008-06-30,787.014
2008-07-31,759.201
2008-08-29,744.832
2008-09-30,640.467
2008-10-31,423.52
2008-11-28,413.18
2008-12-31,456.562
2009-01-30,387.315
2009-02-27,325.953
2009-03-31,382.308
2009-04-30,428.551
2009-05-29,475.308
2009-06-30,488.555
2009-07-31,551.412
2009-08-31,581.608
2009-09-30,641.631
2009-10-30,633.214
2009-11-30,633.837
2009-12-31,660.107
2010-01-29,621.378
2010-02-26,624.01
2010-03-31,669.805
2010-04-30,673.492
2010-05-31,556.131
2010-06-30,553.691
2010-07-30,621.954
2010-08-31,622.291
2010-09-30,703.143
2010-10-29,715.421
2010-11-30,691.331
2010-12-31,754.192
2011-01-31,734.805
2011-02-28,765.197
2011-03-31,773.51
2011-04-29,806.478
2011-05-31,774.842
2011-06-30,771.761
2011-07-29,764.775
2011-08-31,738.76
2011-09-30,640.769
2011-10-31,739.653
2011-11-30,698.55
2011-12-30,677.931
2012-01-31,732.753
2012-02-29,773.903
2012-03-30,752.323
2012-04-30,766.617
2012-05-31,692.273
2012-06-29,723.575
2012-07-31,776.431
2012-08-31,767.407
2012-09-28,777.585
2012-10-31,807.128
2012-11-30,826.218
2012-12-31,842.069
2013-01-31,897.138
2013-02-28,923.744
2013-03-29,930.42
2013-04-30,963.867
2013-05-31,854.048
2013-06-28,791.28
2013-07-31,776.137
2013-08-30,775.659
2013-09-30,827.088
2013-10-31,874.905
2013-11-29,823.03
2013-12-31,808.533
2014-01-31,781.69
2014-02-28,834.129
2014-03-31,851.058
2014-04-30,888.256
2014-05-30,897.06
2014-06-30,914.98
2014-07-31,929.055
2014-08-29,946.857
2014-09-30,840.228
2014-10-31,887.719
2014-11-28,848.289
2014-12-31,834.824
2015-01-30,834.326
2015-02-27,910.432
2015-03-31,872.91
2015-04-30,896.745
2015-05-29,897.913
2015-06-30,842.017
2015-07-31,838.217
2015-08-31,769.248
2015-09-30,743.071
2015-10-30,801.627
2015-11-30,810.461
2015-12-31,844.61
2016-01-29,793.278
2016-02-29,799.291
2016-03-31,911.907
2016-04-29,927.943
2016-05-31,894.619
2016-06-30,912.372
2016-07-29,990.325
2016-08-31,978.112
2016-09-30,982.853
2016-10-31,968.381
2016-11-30,978.972
2016-12-30,1022.089
2017-01-31,1069.865
2017-02-28,1096.899
2017-03-31,1110.965
2017-04-28,1090.289
2017-05-31,1069.367
2017-06-30,1089.96
2017-07-31,1140.833
2017-08-31,1163.016
2017-09-29,1146.045
2017-10-31,1130.353
2017-11-30,1139.417
2017-12-29,1197.806
2018-01-31,1210.511
2018-02-28,1156.849
2018-03-30,1088.337
2018-04-30,1111.788
2018-05-31,1125.759
2018-06-29,1090.512
2018-07-31,1135.967
2018-08-31,1135.984
2018-09-28,1120.219
2018-10-31,1050.523
2018-11-30,1081.071
2018-12-31,1050.997
2019-01-31,1165.169
2019-02-28,1185.522
2019-03-29,1216.523
2019-04-30,1215.166
2019-05-31,1282.865
2019-06-28,1275.766
2019-07-31,1294.557
2019-08-30,1263.466
2019-09-30,1319.247
2019-10-31,1370.675
2019-11-29,1373.604
2019-12-31,1359.881
2020-01-31,1352.328
2020-02-28,1222.331
2020-03-31,775.381
2020-04-30,933.345
2020-05-29,1018.391
2020-06-30,1061.506
2020-07-31,1049.343
2020-08-31,1130.642
2020-09-30,1033.751
2020-10-30,1021.175
2020-11-30,1261.529
2020-12-31,1261.595
2021-01-29,1239.567
2021-02-26,1258.463
2021-03-31,1274.564
2021-04-30,1301.08
2021-05-31,1306.886
2021-06-30,1292.524
2021-07-30,1237.833
2021-08-31,1310.165
2021-09-30,1295.963
2021-10-29,1334.38
2021-11-30,1251.466
2021-12-31,1300.399
2022-01-31,1201.097
2022-02-28,1304.63
2022-03-31,1390.549
2022-04-29,1346.933
2022-05-31,1321.344
2022-06-30,1148.748
2022-07-29,1216.54
2022-08-31,1203.072
2022-09-30,1029.532
2022-10-31,1085.951
2022-11-30,1216.073
2022-12-30,1208.047
2023-01-31,1337.723
2023-02-28,1289.044
2023-03-31,1261.604
2023-04-28,1288.777
2023-05-31,1223.616
2023-06-30,1260.681
2023-07-31,1328.857
2023-08-31,1241.839
2023-09-29,1185.665
2023-10-31,1120.629
2023-11-30,1225.804
2023-12-29,1351.59
2024-01-31,1318.853
2024-02-29,1293.323
2024-03-29,1361.544
2024-04-30,1310.624
2024-05-31,1313.07
2024-06-28,1333.822
2024-07-31,1373.846
2024-08-30,1412.207
2024-09-30,1479.504
2024-10-31,1365.678
2024-11-29,1429.823
2024-12-31,1306.685
2025-01-31,1388.713
2025-02-28,1381.805
2025-03-31,1373.415
2025-04-30,1464.979
2025-05-30,1519.096
2025-06-30,1593.166
2025-07-31,1585.883
2025-08-29,1649.318
2025-09-30,1596.545
2025-10-31,1562.409
2025-11-28,1538.128
2025-12-31,1573.829
2026-01-30,1704.692
