Date,ACWI VALUE Standard (Large+Mid Cap)
2001-01-01,100.005
2001-01-02,99.336
2001-01-03,100.366
2001-01-04,100.425
2001-01-05,99.656
2001-01-08,99.583
2001-01-09,98.933
2001-01-10,98.882
2001-01-11,99.052
2001-01-12,98.744
2001-01-15,98.615
2001-01-16,99.025
2001-01-17,99.324
2001-01-18,99.905
2001-01-19,99.312
2001-01-22,99.513
2001-01-23,100.231
2001-01-24,100.206
2001-01-25,100.474
2001-01-26,100.191
2001-01-29,100.656
2001-01-30,101.449
2001-01-31,101.575
2001-02-01,101.921
2001-02-02,100.888
2001-02-05,101.307
2001-02-06,101.011
2001-02-07,100.445
2001-02-08,100.026
2001-02-09,99.681
2001-02-12,100.534
2001-02-13,100.236
2001-02-14,99.567
2001-02-15,99.643
2001-02-16,99.054
2001-02-19,98.965
2001-02-20,97.882
2001-02-21,96.598
2001-02-22,96.519
2001-02-23,95.89
2001-02-26,97.154
2001-02-27,97.336
2001-02-28,96.594
2001-03-01,96.421
2001-03-02,96.393
2001-03-05,96.753
2001-03-06,97.842
2001-03-07,98.282
2001-03-08,98.81
2001-03-09,97.6
2001-03-12,94.676
2001-03-13,94.044
2001-03-14,91.735
2001-03-15,92.697
2001-03-16,90.716
2001-03-19,91.394
2001-03-20,90.879
2001-03-21,89.638
2001-03-22,86.874
2001-03-23,88.598
2001-03-26,90.926
2001-03-27,92.838
2001-03-28,91.371
2001-03-29,90.817
2001-03-30,91.449
2001-04-02,90.674
2001-04-03,88.727
2001-04-04,89.298
2001-04-05,91.48
2001-04-06,90.677
2001-04-09,91.282
2001-04-10,92.758
2001-04-11,92.69
2001-04-12,93.581
2001-04-13,93.558
2001-04-16,93.374
2001-04-17,93.545
2001-04-18,95.835
2001-04-19,96.76
2001-04-20,96.288
2001-04-23,95.663
2001-04-24,95.436
2001-04-25,96.207
2001-04-26,97.02
2001-04-27,97.673
2001-04-30,97.448
2001-05-01,98.469
2001-05-02,98.246
2001-05-03,97.29
2001-05-04,98.12
2001-05-07,98.167
2001-05-08,97.258
2001-05-09,97.071
2001-05-10,97.597
2001-05-11,96.925
2001-05-14,96.515
2001-05-15,97.094
2001-05-16,98.373
2001-05-17,98.914
2001-05-18,99.101
2001-05-21,99.888
2001-05-22,99.716
2001-05-23,98.816
2001-05-24,98.82
2001-05-25,98.155
2001-05-28,98.122
2001-05-29,97.647
2001-05-30,96.701
2001-05-31,96.986
2001-06-01,96.859
2001-06-04,97.251
2001-06-05,97.864
2001-06-06,97.01
2001-06-07,97.031
2001-06-08,96.659
2001-06-11,95.975
2001-06-12,95.524
2001-06-13,95.581
2001-06-14,94.526
2001-06-15,94.247
2001-06-18,93.495
2001-06-19,93.61
2001-06-20,93.551
2001-06-21,94.404
2001-06-22,94.304
2001-06-25,94.132
2001-06-26,93.661
2001-06-27,93.413
2001-06-28,93.598
2001-06-29,94.316
2001-07-02,95.037
2001-07-03,94.7
2001-07-04,94.478
2001-07-05,93.669
2001-07-06,92.164
2001-07-09,92.415
2001-07-10,92.123
2001-07-11,91.596
2001-07-12,92.696
2001-07-13,92.985
2001-07-16,92.644
2001-07-17,92.521
2001-07-18,92.25
2001-07-19,92.574
2001-07-20,92.347
2001-07-23,91.394
2001-07-24,90.333
2001-07-25,90.955
2001-07-26,91.716
2001-07-27,92.187
2001-07-30,92.34
2001-07-31,92.87
2001-08-01,93.327
2001-08-02,93.877
2001-08-03,93.438
2001-08-06,92.777
2001-08-07,92.935
2001-08-08,91.962
2001-08-09,91.528
2001-08-10,91.927
2001-08-13,91.967
2001-08-14,92.432
2001-08-15,92.61
2001-08-16,92.398
2001-08-17,91.341
2001-08-20,91.319
2001-08-21,91.414
2001-08-22,91.935
2001-08-23,91.555
2001-08-24,92.513
2001-08-27,92.336
2001-08-28,91.402
2001-08-29,90.813
2001-08-30,89.484
2001-08-31,89.784
2001-09-03,89.189
2001-09-04,89.456
2001-09-05,88.598
2001-09-06,87.192
2001-09-07,85.829
2001-09-10,85.304
2001-09-11,84.062
2001-09-12,83.299
2001-09-13,83.76
2001-09-14,82.983
2001-09-17,80.546
2001-09-18,80.391
2001-09-19,79.614
2001-09-20,77.127
2001-09-21,75.246
2001-09-24,77.787
2001-09-25,78.58
2001-09-26,78.652
2001-09-27,79.318
2001-09-28,81.205
2001-10-01,80.706
2001-10-02,81.707
2001-10-03,82.414
2001-10-04,83.195
2001-10-05,82.817
2001-10-08,82.21
2001-10-09,81.98
2001-10-10,83.176
2001-10-11,84.047
2001-10-12,83.769
2001-10-15,83.07
2001-10-16,83.772
2001-10-17,83.65
2001-10-18,82.322
2001-10-19,81.696
2001-10-22,82.365
2001-10-23,82.892
2001-10-24,82.809
2001-10-25,83.119
2001-10-26,83.892
2001-10-29,82.605
2001-10-30,81.241
2001-10-31,81.215
2001-11-01,82.289
2001-11-02,82.302
2001-11-05,83.19
2001-11-06,83.708
2001-11-07,83.714
2001-11-08,84.401
2001-11-09,84.239
2001-11-12,83.542
2001-11-13,84.675
2001-11-14,84.716
2001-11-15,84.775
2001-11-16,84.977
2001-11-19,85.765
2001-11-20,85.411
2001-11-21,84.878
2001-11-22,85.157
2001-11-23,85.611
2001-11-26,86.024
2001-11-27,85.574
2001-11-28,84.288
2001-11-29,84.607
2001-11-30,84.93
2001-12-03,83.92
2001-12-04,85.065
2001-12-05,87.459
2001-12-06,87.836
2001-12-07,87.01
2001-12-10,85.361
2001-12-11,85.201
2001-12-12,85.373
2001-12-13,83.739
2001-12-14,83.592
2001-12-17,84.555
2001-12-18,84.807
2001-12-19,84.685
2001-12-20,83.996
2001-12-21,84.105
2001-12-24,84.05
2001-12-25,84.064
2001-12-26,84.326
2001-12-27,85.517
2001-12-28,86.024
2001-12-31,85.74
2002-01-01,85.742
2002-01-02,86.264
2002-01-03,87.574
2002-01-04,88.436
2002-01-07,88.058
2002-01-08,87.275
2002-01-09,86.896
2002-01-10,86.466
2002-01-11,85.854
2002-01-14,84.926
2002-01-15,85.274
2002-01-16,83.791
2002-01-17,84.52
2002-01-18,84.111
2002-01-21,84.036
2002-01-22,83.182
2002-01-23,83.865
2002-01-24,84.5
2002-01-25,84.342
2002-01-28,84.65
2002-01-29,82.635
2002-01-30,82.569
2002-01-31,83.625
2002-02-01,83.09
2002-02-04,81.5
2002-02-05,80.563
2002-02-06,79.865
2002-02-07,80.131
2002-02-08,81.175
2002-02-11,82.398
2002-02-12,82.052
2002-02-13,82.617
2002-02-14,82.947
2002-02-15,82.169
2002-02-18,81.996
2002-02-19,80.335
2002-02-20,80.462
2002-02-21,80.166
2002-02-22,80.401
2002-02-25,81.612
2002-02-26,81.747
2002-02-27,82.255
2002-02-28,82.138
2002-03-01,83.801
2002-03-04,86.508
2002-03-05,86.319
2002-03-06,87.467
2002-03-07,88.007
2002-03-08,88.451
2002-03-11,88.682
2002-03-12,87.863
2002-03-13,87.108
2002-03-14,87.396
2002-03-15,88.396
2002-03-18,88.423
2002-03-19,88.846
2002-03-20,87.861
2002-03-21,87.84
2002-03-22,87.36
2002-03-25,86.277
2002-03-26,86.6
2002-03-27,87.017
2002-03-28,87.576
2002-03-29,87.403
2002-04-01,87.569
2002-04-02,87.215
2002-04-03,86.846
2002-04-04,86.834
2002-04-05,86.697
2002-04-08,86.304
2002-04-09,85.828
2002-04-10,86.575
2002-04-11,85.118
2002-04-12,85.222
2002-04-15,85.332
2002-04-16,87.312
2002-04-17,87.867
2002-04-18,87.658
2002-04-19,87.739
2002-04-22,86.823
2002-04-23,86.44
2002-04-24,86.017
2002-04-25,85.817
2002-04-26,84.976
2002-04-29,84.405
2002-04-30,85.148
2002-05-01,85.583
2002-05-02,85.498
2002-05-03,85.257
2002-05-06,84.176
2002-05-07,83.665
2002-05-08,86.074
2002-05-09,85.433
2002-05-10,84.448
2002-05-13,85.462
2002-05-14,86.606
2002-05-15,87.065
2002-05-16,87.381
2002-05-17,87.962
2002-05-20,87.241
2002-05-21,86.651
2002-05-22,86.889
2002-05-23,87.301
2002-05-24,87.028
2002-05-27,86.934
2002-05-28,86.554
2002-05-29,86.127
2002-05-30,85.688
2002-05-31,85.781
2002-06-03,84.632
2002-06-04,84.137
2002-06-05,83.914
2002-06-06,83.076
2002-06-07,82.695
2002-06-10,82.691
2002-06-11,82.143
2002-06-12,81.902
2002-06-13,81.004
2002-06-14,80.066
2002-06-17,81.876
2002-06-18,82.072
2002-06-19,80.789
2002-06-20,79.907
2002-06-21,79.409
2002-06-24,79.071
2002-06-25,78.763
2002-06-26,77.744
2002-06-27,78.654
2002-06-28,80.273
2002-07-01,79.414
2002-07-02,77.687
2002-07-03,77.154
2002-07-04,77.517
2002-07-05,79.922
2002-07-08,79.754
2002-07-09,78.936
2002-07-10,76.799
2002-07-11,76.114
2002-07-12,75.856
2002-07-15,74.739
2002-07-16,74.054
2002-07-17,74.734
2002-07-18,74.301
2002-07-19,71.813
2002-07-22,68.819
2002-07-23,66.553
2002-07-24,68.018
2002-07-25,68.491
2002-07-26,68.665
2002-07-29,71.71
2002-07-30,72.213
2002-07-31,72.505
2002-08-01,70.453
2002-08-02,69.336
2002-08-05,67.171
2002-08-06,68.458
2002-08-07,69.207
2002-08-08,71.301
2002-08-09,72.097
2002-08-12,71.448
2002-08-13,70.809
2002-08-14,72.078
2002-08-15,73.181
2002-08-16,73.314
2002-08-19,74.705
2002-08-20,73.838
2002-08-21,74.765
2002-08-22,75.686
2002-08-23,74.406
2002-08-26,74.877
2002-08-27,75.007
2002-08-28,73.167
2002-08-29,72.775
2002-08-30,72.784
2002-09-02,72.424
2002-09-03,69.785
2002-09-04,70.186
2002-09-05,69.422
2002-09-06,70.523
2002-09-09,70.586
2002-09-10,71.246
2002-09-11,71.669
2002-09-12,70.024
2002-09-13,69.494
2002-09-16,69.202
2002-09-17,68.35
2002-09-18,67.461
2002-09-19,66.208
2002-09-20,66.109
2002-09-23,64.859
2002-09-24,63.563
2002-09-25,64.495
2002-09-26,66.253
2002-09-27,65.265
2002-09-30,63.995
2002-10-01,65.405
2002-10-02,64.661
2002-10-03,63.873
2002-10-04,62.527
2002-10-07,61.03
2002-10-08,61.016
2002-10-09,59.748
2002-10-10,61.581
2002-10-11,64.135
2002-10-14,63.878
2002-10-15,67.272
2002-10-16,66.148
2002-10-17,67.61
2002-10-18,67.731
2002-10-21,68.605
2002-10-22,68.031
2002-10-23,67.847
2002-10-24,67.937
2002-10-25,68.369
2002-10-28,68.605
2002-10-29,67.232
2002-10-30,68.254
2002-10-31,68.411
2002-11-01,69.088
2002-11-04,70.312
2002-11-05,71.028
2002-11-06,71.098
2002-11-07,69.784
2002-11-08,69.284
2002-11-11,68.001
2002-11-12,68.705
2002-11-13,68.289
2002-11-14,69.471
2002-11-15,70.32
2002-11-18,70.108
2002-11-19,69.833
2002-11-20,70.485
2002-11-21,72.4
2002-11-22,72.489
2002-11-25,72.546
2002-11-26,71.058
2002-11-27,72.745
2002-11-28,73.301
2002-11-29,73.31
2002-12-02,73.227
2002-12-03,71.915
2002-12-04,71.18
2002-12-05,70.396
2002-12-06,70.718
2002-12-09,69.07
2002-12-10,69.823
2002-12-11,70.074
2002-12-12,69.886
2002-12-13,69.158
2002-12-16,70.805
2002-12-17,70.54
2002-12-18,69.299
2002-12-19,68.918
2002-12-20,69.778
2002-12-23,69.867
2002-12-24,69.608
2002-12-25,69.591
2002-12-26,69.69
2002-12-27,68.497
2002-12-30,68.85
2002-12-31,69.16
2003-01-01,69.159
2003-01-02,70.984
2003-01-03,71.363
2003-01-06,73.05
2003-01-07,72.293
2003-01-08,71.165
2003-01-09,72.246
2003-01-10,72.609
2003-01-13,72.724
2003-01-14,73.408
2003-01-15,72.625
2003-01-16,72.416
2003-01-17,71.456
2003-01-20,71.105
2003-01-21,70.191
2003-01-22,69.37
2003-01-23,70.004
2003-01-24,68.649
2003-01-27,67.118
2003-01-28,67.543
2003-01-29,67.808
2003-01-30,67.128
2003-01-31,67.515
2003-02-03,68.221
2003-02-04,67.313
2003-02-05,67.409
2003-02-06,66.584
2003-02-07,65.916
2003-02-10,65.893
2003-02-11,65.938
2003-02-12,65.227
2003-02-13,65.316
2003-02-14,66.356
2003-02-17,66.813
2003-02-18,67.62
2003-02-19,66.933
2003-02-20,66.518
2003-02-21,66.964
2003-02-24,65.996
2003-02-25,65.383
2003-02-26,64.788
2003-02-27,65.334
2003-02-28,65.902
2003-03-03,65.929
2003-03-04,64.981
2003-03-05,65.311
2003-03-06,64.638
2003-03-07,64.39
2003-03-10,62.762
2003-03-11,62.245
2003-03-12,61.609
2003-03-13,63.618
2003-03-14,64.42
2003-03-17,66.018
2003-03-18,66.395
2003-03-19,66.835
2003-03-20,67.074
2003-03-21,68.362
2003-03-24,66.462
2003-03-25,66.989
2003-03-26,66.92
2003-03-27,66.55
2003-03-28,66.253
2003-03-31,64.891
2003-04-01,65.702
2003-04-02,67.203
2003-04-03,66.993
2003-04-04,67.373
2003-04-07,68.264
2003-04-08,67.758
2003-04-09,67.216
2003-04-10,67.391
2003-04-11,67.248
2003-04-14,68.225
2003-04-15,69.019
2003-04-16,68.677
2003-04-17,69.477
2003-04-18,69.501
2003-04-21,69.377
2003-04-22,70.6
2003-04-23,71.451
2003-04-24,70.758
2003-04-25,69.766
2003-04-28,70.964
2003-04-29,71.19
2003-04-30,71.726
2003-05-01,71.832
2003-05-02,72.611
2003-05-05,72.775
2003-05-06,73.731
2003-05-07,73.361
2003-05-08,72.451
2003-05-09,73.353
2003-05-12,74.164
2003-05-13,74.149
2003-05-14,74.191
2003-05-15,74.723
2003-05-16,75.029
2003-05-19,73.363
2003-05-20,73.377
2003-05-21,73.511
2003-05-22,74.272
2003-05-23,74.743
2003-05-26,74.851
2003-05-27,75.748
2003-05-28,76.124
2003-05-29,76.34
2003-05-30,76.902
2003-06-02,77.833
2003-06-03,77.782
2003-06-04,78.665
2003-06-05,79.213
2003-06-06,79.481
2003-06-09,78.744
2003-06-10,79.11
2003-06-11,80.35
2003-06-12,80.63
2003-06-13,80.075
2003-06-16,81.381
2003-06-17,81.622
2003-06-18,81.326
2003-06-19,80.22
2003-06-20,80.428
2003-06-23,79.379
2003-06-24,79.157
2003-06-25,79.019
2003-06-26,79.071
2003-06-27,78.759
2003-06-30,78.558
2003-07-01,78.844
2003-07-02,79.794
2003-07-03,79.794
2003-07-04,79.654
2003-07-07,80.875
2003-07-08,80.867
2003-07-09,80.543
2003-07-10,79.624
2003-07-11,80.035
2003-07-14,80.754
2003-07-15,80.174
2003-07-16,79.506
2003-07-17,78.623
2003-07-18,79.442
2003-07-21,78.833
2003-07-22,79.4
2003-07-23,79.546
2003-07-24,79.884
2003-07-25,80.662
2003-07-28,80.936
2003-07-29,80.498
2003-07-30,80.113
2003-07-31,80.311
2003-08-01,79.747
2003-08-04,79.772
2003-08-05,79.168
2003-08-06,79.008
2003-08-07,79.441
2003-08-08,79.757
2003-08-11,80.111
2003-08-12,80.721
2003-08-13,80.735
2003-08-14,81.5
2003-08-15,81.548
2003-08-18,82.033
2003-08-19,82.161
2003-08-20,82.268
2003-08-21,82.499
2003-08-22,81.77
2003-08-25,81.602
2003-08-26,81.421
2003-08-27,81.548
2003-08-28,81.893
2003-08-29,82.283
2003-09-01,82.769
2003-09-02,83.323
2003-09-03,83.964
2003-09-04,83.991
2003-09-05,83.818
2003-09-08,84.458
2003-09-09,84.058
2003-09-10,83.252
2003-09-11,83.36
2003-09-12,83.703
2003-09-15,83.563
2003-09-16,84.411
2003-09-17,84.583
2003-09-18,85.592
2003-09-19,85.499
2003-09-22,84.709
2003-09-23,84.777
2003-09-24,84.114
2003-09-25,83.52
2003-09-26,82.954
2003-09-29,83.281
2003-09-30,82.812
2003-10-01,84.521
2003-10-02,85.046
2003-10-03,85.92
2003-10-06,86.25
2003-10-07,86.649
2003-10-08,86.334
2003-10-09,86.947
2003-10-10,87.132
2003-10-13,87.638
2003-10-14,87.861
2003-10-15,87.801
2003-10-16,88.079
2003-10-17,87.475
2003-10-20,87.738
2003-10-21,87.669
2003-10-22,86.753
2003-10-23,86.229
2003-10-24,86.274
2003-10-27,86.597
2003-10-28,87.367
2003-10-29,87.818
2003-10-30,87.975
2003-10-31,87.809
2003-11-03,88.243
2003-11-04,88.417
2003-11-05,88.113
2003-11-06,88.041
2003-11-07,88.413
2003-11-10,88.097
2003-11-11,87.597
2003-11-12,88.34
2003-11-13,88.717
2003-11-14,88.524
2003-11-17,87.401
2003-11-18,87.203
2003-11-19,87.245
2003-11-20,86.995
2003-11-21,87.265
2003-11-24,87.863
2003-11-25,88.351
2003-11-26,89.039
2003-11-27,89.163
2003-11-28,89.231
2003-12-01,90.348
2003-12-02,90.625
2003-12-03,90.908
2003-12-04,91.025
2003-12-05,90.796
2003-12-08,91.202
2003-12-09,91.237
2003-12-10,90.896
2003-12-11,91.414
2003-12-12,91.994
2003-12-15,92.144
2003-12-16,92.343
2003-12-17,92.47
2003-12-18,93.291
2003-12-19,93.601
2003-12-22,94.056
2003-12-23,94.288
2003-12-24,94.333
2003-12-25,94.333
2003-12-26,94.454
2003-12-29,95.318
2003-12-30,95.766
2003-12-31,96.163
2004-01-01,96.168
2004-01-02,96.444
2004-01-05,97.748
2004-01-06,97.843
2004-01-07,97.47
2004-01-08,98.026
2004-01-09,97.713
