Date,ACWI VALUE Standard (Large+Mid Cap)
2001-01-01,152.949
2001-01-02,151.928
2001-01-03,153.507
2001-01-04,153.597
2001-01-05,152.421
2001-01-08,152.315
2001-01-09,151.323
2001-01-10,151.248
2001-01-11,151.51
2001-01-12,151.038
2001-01-15,150.842
2001-01-16,151.472
2001-01-17,151.932
2001-01-18,152.821
2001-01-19,151.915
2001-01-22,152.222
2001-01-23,153.32
2001-01-24,153.283
2001-01-25,153.693
2001-01-26,153.261
2001-01-29,153.974
2001-01-30,155.191
2001-01-31,155.389
2001-02-01,155.922
2001-02-02,154.343
2001-02-05,154.984
2001-02-06,154.533
2001-02-07,153.674
2001-02-08,153.034
2001-02-09,152.506
2001-02-12,153.813
2001-02-13,153.359
2001-02-14,152.342
2001-02-15,152.461
2001-02-16,151.561
2001-02-19,151.426
2001-02-20,149.768
2001-02-21,147.807
2001-02-22,147.688
2001-02-23,146.726
2001-02-26,148.662
2001-02-27,148.943
2001-02-28,147.815
2001-03-01,147.55
2001-03-02,147.508
2001-03-05,148.06
2001-03-06,149.727
2001-03-07,150.404
2001-03-08,151.214
2001-03-09,149.363
2001-03-12,144.889
2001-03-13,143.923
2001-03-14,140.391
2001-03-15,141.864
2001-03-16,138.832
2001-03-19,139.873
2001-03-20,139.086
2001-03-21,137.189
2001-03-22,132.96
2001-03-23,135.6
2001-03-26,139.165
2001-03-27,142.106
2001-03-28,139.868
2001-03-29,139.021
2001-03-30,139.991
2001-04-02,138.805
2001-04-03,135.825
2001-04-04,136.705
2001-04-05,140.044
2001-04-06,138.83
2001-04-09,139.757
2001-04-10,142.022
2001-04-11,141.924
2001-04-12,143.297
2001-04-13,143.262
2001-04-16,142.98
2001-04-17,143.242
2001-04-18,146.748
2001-04-19,148.171
2001-04-20,147.45
2001-04-23,146.493
2001-04-24,146.145
2001-04-25,147.331
2001-04-26,148.582
2001-04-27,149.59
2001-04-30,149.249
2001-05-01,150.813
2001-05-02,150.483
2001-05-03,149.024
2001-05-04,150.298
2001-05-07,150.373
2001-05-08,148.982
2001-05-09,148.704
2001-05-10,149.517
2001-05-11,148.494
2001-05-14,147.875
2001-05-15,148.764
2001-05-16,150.728
2001-05-17,151.56
2001-05-18,151.855
2001-05-21,153.076
2001-05-22,152.813
2001-05-23,151.444
2001-05-24,151.45
2001-05-25,150.431
2001-05-28,150.383
2001-05-29,149.666
2001-05-30,148.234
2001-05-31,148.672
2001-06-01,148.479
2001-06-04,149.081
2001-06-05,150.023
2001-06-06,148.721
2001-06-07,148.754
2001-06-08,148.19
2001-06-11,147.145
2001-06-12,146.455
2001-06-13,146.545
2001-06-14,144.93
2001-06-15,144.503
2001-06-18,143.364
2001-06-19,143.54
2001-06-20,143.452
2001-06-21,144.761
2001-06-22,144.607
2001-06-25,144.345
2001-06-26,143.624
2001-06-27,143.249
2001-06-28,143.535
2001-06-29,144.636
2001-07-02,145.746
2001-07-03,145.232
2001-07-04,144.893
2001-07-05,143.653
2001-07-06,141.355
2001-07-09,141.74
2001-07-10,141.297
2001-07-11,140.489
2001-07-12,142.178
2001-07-13,142.621
2001-07-16,142.099
2001-07-17,141.91
2001-07-18,141.496
2001-07-19,141.992
2001-07-20,141.644
2001-07-23,140.184
2001-07-24,138.556
2001-07-25,139.51
2001-07-26,140.679
2001-07-27,141.404
2001-07-30,141.639
2001-07-31,142.452
2001-08-01,143.159
2001-08-02,144.007
2001-08-03,143.341
2001-08-06,142.326
2001-08-07,142.569
2001-08-08,141.081
2001-08-09,140.424
2001-08-10,141.036
2001-08-13,141.101
2001-08-14,141.815
2001-08-15,142.104
2001-08-16,141.779
2001-08-17,140.161
2001-08-20,140.127
2001-08-21,140.273
2001-08-22,141.074
2001-08-23,140.491
2001-08-24,141.963
2001-08-27,141.696
2001-08-28,140.264
2001-08-29,139.366
2001-08-30,137.328
2001-08-31,137.79
2001-09-03,136.877
2001-09-04,137.287
2001-09-05,135.977
2001-09-06,133.82
2001-09-07,131.728
2001-09-10,130.924
2001-09-11,129.017
2001-09-12,127.847
2001-09-13,128.555
2001-09-14,127.362
2001-09-17,123.625
2001-09-18,123.39
2001-09-19,122.197
2001-09-20,118.38
2001-09-21,115.493
2001-09-24,119.393
2001-09-25,120.623
2001-09-26,120.739
2001-09-27,121.762
2001-09-28,124.659
2001-10-01,123.893
2001-10-02,125.43
2001-10-03,126.523
2001-10-04,127.721
2001-10-05,127.151
2001-10-08,126.22
2001-10-09,125.868
2001-10-10,127.707
2001-10-11,129.045
2001-10-12,128.617
2001-10-15,127.545
2001-10-16,128.623
2001-10-17,128.426
2001-10-18,126.388
2001-10-19,125.427
2001-10-22,126.455
2001-10-23,127.264
2001-10-24,127.137
2001-10-25,127.612
2001-10-26,128.8
2001-10-29,126.827
2001-10-30,124.733
2001-10-31,124.698
2001-11-01,126.352
2001-11-02,126.372
2001-11-05,127.736
2001-11-06,128.531
2001-11-07,128.553
2001-11-08,129.609
2001-11-09,129.36
2001-11-12,128.289
2001-11-13,130.036
2001-11-14,130.105
2001-11-15,130.196
2001-11-16,130.508
2001-11-19,131.721
2001-11-20,131.179
2001-11-21,130.361
2001-11-22,130.79
2001-11-23,131.487
2001-11-26,132.122
2001-11-27,131.431
2001-11-28,129.461
2001-11-29,129.955
2001-11-30,130.451
2001-12-03,128.9
2001-12-04,130.659
2001-12-05,134.343
2001-12-06,134.923
2001-12-07,133.655
2001-12-10,131.121
2001-12-11,130.878
2001-12-12,131.147
2001-12-13,128.638
2001-12-14,128.413
2001-12-17,129.893
2001-12-18,130.28
2001-12-19,130.094
2001-12-20,129.035
2001-12-21,129.205
2001-12-24,129.121
2001-12-25,129.142
2001-12-26,129.544
2001-12-27,131.38
2001-12-28,132.16
2001-12-31,131.724
2002-01-01,131.727
2002-01-02,132.533
2002-01-03,134.545
2002-01-04,135.871
2002-01-07,135.29
2002-01-08,134.093
2002-01-09,133.513
2002-01-10,132.853
2002-01-11,131.914
2002-01-14,130.488
2002-01-15,131.023
2002-01-16,128.744
2002-01-17,129.867
2002-01-18,129.241
2002-01-21,129.126
2002-01-22,127.813
2002-01-23,128.863
2002-01-24,129.839
2002-01-25,129.596
2002-01-28,130.07
2002-01-29,126.977
2002-01-30,126.88
2002-01-31,128.509
2002-02-01,127.686
2002-02-04,125.243
2002-02-05,123.805
2002-02-06,122.735
2002-02-07,123.152
2002-02-08,124.758
2002-02-11,126.638
2002-02-12,126.108
2002-02-13,126.985
2002-02-14,127.493
2002-02-15,126.299
2002-02-18,126.035
2002-02-19,123.482
2002-02-20,123.68
2002-02-21,123.226
2002-02-22,123.586
2002-02-25,125.448
2002-02-26,125.659
2002-02-27,126.449
2002-02-28,126.27
2002-03-01,128.827
2002-03-04,132.992
2002-03-05,132.701
2002-03-06,134.469
2002-03-07,135.301
2002-03-08,135.985
2002-03-11,136.34
2002-03-12,135.082
2002-03-13,133.925
2002-03-14,134.369
2002-03-15,135.905
2002-03-18,135.948
2002-03-19,136.599
2002-03-20,135.089
2002-03-21,135.058
2002-03-22,134.322
2002-03-25,132.656
2002-03-26,133.171
2002-03-27,133.814
2002-03-28,134.674
2002-03-29,134.408
2002-04-01,134.663
2002-04-02,134.121
2002-04-03,133.559
2002-04-04,133.541
2002-04-05,133.331
2002-04-08,132.732
2002-04-09,132.001
2002-04-10,133.152
2002-04-11,130.917
2002-04-12,131.078
2002-04-15,131.248
2002-04-16,134.292
2002-04-17,135.149
2002-04-18,134.828
2002-04-19,134.961
2002-04-22,133.554
2002-04-23,132.965
2002-04-24,132.317
2002-04-25,132.017
2002-04-26,130.729
2002-04-29,129.854
2002-04-30,130.998
2002-05-01,131.671
2002-05-02,131.548
2002-05-03,131.181
2002-05-06,129.521
2002-05-07,128.735
2002-05-08,132.448
2002-05-09,131.469
