Date,ACWI VALUE Standard (Large+Mid Cap)
1996-12-31,100.0
1997-01-31,101.53
1997-02-28,103.028
1997-03-31,101.311
1997-04-30,103.404
1997-05-30,109.848
1997-06-30,114.933
1997-07-31,120.188
1997-08-29,112.601
1997-09-30,118.286
1997-10-31,112.575
1997-11-28,113.355
1997-12-31,115.15
1998-01-30,116.379
1998-02-27,123.87
1998-03-31,130.221
1998-04-30,132.005
1998-05-29,129.229
1998-06-30,129.149
1998-07-31,129.141
1998-08-31,108.894
1998-09-30,110.643
1998-10-30,121.035
1998-11-30,127.866
1998-12-31,130.726
1999-01-29,131.479
1999-02-26,129.997
1999-03-31,136.515
1999-04-30,147.811
1999-05-31,142.292
1999-06-30,147.449
1999-07-30,147.842
1999-08-31,145.871
1999-09-30,142.734
1999-10-29,148.068
1999-11-30,148.105
1999-12-31,154.942
2000-01-31,147.44
2000-02-29,142.342
2000-03-31,153.326
2000-04-28,150.214
2000-05-31,151.051
2000-06-30,152.514
2000-07-31,151.431
2000-08-31,155.689
2000-09-29,152.614
2000-10-31,153.222
2000-11-30,146.049
2000-12-29,152.942
2001-01-31,155.389
2001-02-28,147.815
2001-03-30,139.991
2001-04-30,149.249
2001-05-31,148.672
2001-06-29,144.636
2001-07-31,142.452
2001-08-31,137.79
2001-09-28,124.659
2001-10-31,124.698
2001-11-30,130.451
2001-12-31,131.724
2002-01-31,128.509
2002-02-28,126.27
2002-03-29,134.408
2002-04-30,130.998
2002-05-31,132.068
2002-06-28,123.644
2002-07-31,111.712
2002-08-30,112.194
2002-09-30,98.684
2002-10-31,105.531
2002-11-29,113.139
2002-12-31,106.763
2003-01-31,104.256
2003-02-28,101.817
2003-03-31,100.309
2003-04-30,110.953
2003-05-30,119.044
2003-06-30,121.696
2003-07-31,124.469
2003-08-29,127.588
2003-09-30,128.466
2003-10-31,136.271
2003-11-28,138.54
2003-12-31,149.375
2004-01-30,151.312
2004-02-27,154.828
2004-03-31,154.534
2004-04-30,150.958
2004-05-31,152.059
2004-06-30,156.315
2004-07-30,153.662
2004-08-31,155.694
2004-09-30,158.879
2004-10-29,162.882
2004-11-30,172.158
2004-12-31,178.965
2005-01-31,175.925
2005-02-28,183.195
2005-03-31,179.21
2005-04-29,175.471
2005-05-31,177.482
2005-06-30,180.15
2005-07-29,185.747
2005-08-31,187.081
2005-09-30,193.508
2005-10-31,187.698
2005-11-30,194.784
2005-12-30,199.683
2006-01-31,209.249
2006-02-28,210.803
2006-03-31,214.858
2006-04-28,223.681
2006-05-31,216.111
2006-06-30,216.413
2006-07-31,220.73
2006-08-31,226.301
2006-09-29,229.653
2006-10-31,238.577
2006-11-30,245.262
2006-12-29,252.461
2007-01-31,254.102
2007-02-28,253.238
2007-03-30,258.314
2007-04-30,269.836
2007-05-31,278.169
2007-06-29,276.543
2007-07-31,269.94
2007-08-31,268.649
2007-09-28,281.437
2007-10-31,290.314
2007-11-30,275.246
2007-12-31,271.024
2008-01-31,251.809
2008-02-29,248.834
2008-03-31,246.074
2008-04-30,259.629
2008-05-30,259.717
2008-06-30,235.198
2008-07-31,230.648
2008-08-29,226.789
2008-09-30,202.485
2008-10-31,163.207
2008-11-28,154.558
2008-12-31,159.815
2009-01-30,142.494
2009-02-27,125.842
2009-03-31,137.037
2009-04-30,156.594
2009-05-29,173.255
2009-06-30,171.428
2009-07-31,187.612
2009-08-31,197.478
2009-09-30,205.718
2009-10-30,201.099
2009-11-30,209.12
2009-12-31,212.062
2010-01-29,204.251
2010-02-26,205.824
