Date,NEW ZEALAND MID VALUE Mid Cap
1994-05-31,234.628
1994-06-30,211.265
1994-07-29,220.251
1994-08-31,235.323
1994-09-30,218.074
1994-10-31,218.026
1994-11-30,205.66
1994-12-30,224.826
1995-01-31,229.855
1995-02-28,223.93
1995-03-31,234.314
1995-04-28,257.042
1995-05-31,248.947
1995-06-30,244.412
1995-07-31,240.852
1995-08-31,253.189
1995-09-29,257.646
1995-10-31,277.962
1995-11-30,277.704
1995-12-29,292.662
1996-01-31,289.635
1996-02-29,279.092
1996-03-29,305.845
1996-04-30,310.447
1996-05-31,295.196
1996-06-28,323.127
1996-07-31,329.137
1996-08-30,334.768
1996-09-30,320.211
1996-10-31,329.07
1996-11-29,332.472
1996-12-31,329.59
1997-01-31,339.904
1997-02-28,332.695
1997-03-31,321.566
1997-04-30,322.692
1997-05-30,314.116
1997-06-30,310.735
1997-07-31,317.754
1997-08-29,312.178
1997-09-30,307.538
1997-10-31,293.56
1997-11-28,287.388
1997-12-31,273.723
1998-01-30,266.147
1998-02-27,266.079
1998-03-31,259.532
1998-04-30,262.844
1998-05-29,243.728
1998-06-30,214.149
1998-07-31,227.007
1998-08-31,175.509
1998-09-30,157.619
1998-10-30,196.66
1998-11-30,211.937
1998-12-31,222.9
1999-01-29,235.666
1999-02-26,221.011
1999-03-31,230.729
1999-04-30,279.416
1999-05-31,253.76
1999-06-30,268.316
1999-07-30,275.223
1999-08-31,248.305
1999-09-30,239.138
1999-10-29,236.956
1999-11-30,233.012
1999-12-31,248.226
2000-01-31,211.875
2000-02-29,195.005
2000-03-31,190.306
2000-04-28,216.341
2000-05-31,206.545
2000-06-30,225.599
2000-07-31,228.14
2000-08-31,204.982
2000-09-29,181.29
2000-10-31,182.933
2000-11-30,200.185
2000-12-29,206.687
2001-01-31,207.846
2001-02-28,212.769
2001-03-30,202.39
2001-04-30,220.469
2001-05-31,210.423
2001-06-29,202.164
2001-07-31,227.527
2001-08-31,215.968
2001-09-28,178.17
2001-10-31,174.732
2001-11-30,214.13
2001-12-31,209.484
2002-01-31,236.338
2002-02-28,250.194
2002-03-29,256.748
2002-04-30,242.197
2002-05-31,289.461
2002-06-28,284.938
2002-07-31,262.263
2002-08-30,273.765
2002-09-30,268.096
2002-10-31,288.097
2002-11-29,289.562
2002-12-31,316.11
2003-01-31,331.981
2003-02-28,347.592
2003-03-31,345.909
2003-04-30,332.636
2003-05-30,337.866
2003-06-30,381.568
2003-07-31,356.691
2003-08-29,364.826
2003-09-30,376.193
