Date,NEW ZEALAND MID VALUE Mid Cap
1994-05-31,268.182
1994-06-30,241.478
1994-07-29,251.748
1994-08-31,268.976
1994-09-30,249.261
1994-10-31,249.205
1994-11-30,235.071
1994-12-30,255.085
1995-01-31,260.791
1995-02-28,254.069
1995-03-31,265.851
1995-04-28,291.638
1995-05-31,282.453
1995-06-30,275.804
1995-07-31,271.787
1995-08-31,285.709
1995-09-29,290.738
1995-10-31,312.907
1995-11-30,312.616
1995-12-29,327.957
1996-01-31,324.565
1996-02-29,312.751
1996-03-29,342.73
1996-04-30,347.086
1996-05-31,330.036
1996-06-28,359.118
1996-07-31,365.797
1996-08-30,372.055
1996-09-30,355.046
1996-10-31,364.868
1996-11-29,368.641
1996-12-31,363.597
1997-01-31,374.975
1997-02-28,367.022
1997-03-31,354.745
1997-04-30,355.398
1997-05-30,345.953
1997-06-30,341.342
1997-07-31,348.436
1997-08-29,342.32
1997-09-30,336.635
1997-10-31,321.335
1997-11-28,314.579
1997-12-31,298.699
1998-01-30,290.432
1998-02-27,290.357
1998-03-31,282.625
1998-04-30,285.868
1998-05-29,265.077
1998-06-30,231.752
1998-07-31,245.666
1998-08-31,189.936
1998-09-30,170.575
1998-10-30,212.353
1998-11-30,228.323
1998-12-31,239.787
1999-01-29,253.52
1999-02-26,237.755
1999-03-31,247.741
1999-04-30,300.017
1999-05-31,272.319
1999-06-30,287.835
1999-07-30,295.245
1999-08-31,266.369
1999-09-30,256.342
1999-10-29,254.003
1999-11-30,249.691
1999-12-31,265.733
2000-01-31,226.818
2000-02-29,208.758
2000-03-31,203.452
2000-04-28,231.286
2000-05-31,220.592
2000-06-30,240.557
2000-07-31,243.268
2000-08-31,218.574
2000-09-29,193.31
2000-10-31,195.062
2000-11-30,212.998
2000-12-29,219.4
2001-01-31,220.63
2001-02-28,225.856
2001-03-30,214.839
2001-04-30,233.647
2001-05-31,221.936
2001-06-29,213.226
2001-07-31,239.977
2001-08-31,227.785
2001-09-28,187.919
2001-10-31,184.293
2001-11-30,225.847
2001-12-31,220.947
2002-01-31,249.27
2002-02-28,262.634
2002-03-29,269.513
2002-04-30,254.24
2002-05-31,303.853
2002-06-28,298.477
2002-07-31,274.724
2002-08-30,286.39
2002-09-30,279.444
2002-10-31,300.291
2002-11-29,301.494
2002-12-31,329.136
2003-01-31,345.661
2003-02-28,359.929
2003-03-31,357.266
2003-04-30,343.558
2003-05-30,348.959
2003-06-30,394.096
2003-07-31,368.402
2003-08-29,376.096
2003-09-30,386.687
2003-10-31,416.103
2003-11-28,438.932
2003-12-31,479.015
2004-01-30,499.489
2004-02-27,513.733
