Date,NEW ZEALAND MID VALUE Mid Cap
2001-01-01,219.4
2001-01-02,219.053
2001-01-03,220.877
2001-01-04,221.596
2001-01-05,226.803
2001-01-08,225.12
2001-01-09,224.86
2001-01-10,219.5
2001-01-11,221.219
2001-01-12,221.278
2001-01-15,221.06
2001-01-16,221.643
2001-01-17,225.654
2001-01-18,227.146
2001-01-19,230.402
2001-01-22,232.319
2001-01-23,229.5
2001-01-24,221.083
2001-01-25,216.644
2001-01-26,217.31
2001-01-29,215.429
2001-01-30,215.959
2001-01-31,220.63
2001-02-01,227.481
2001-02-02,224.67
2001-02-05,223.059
2001-02-06,223.084
2001-02-07,226.284
2001-02-08,224.246
2001-02-09,225.142
2001-02-12,228.158
2001-02-13,225.645
2001-02-14,216.611
2001-02-15,218.284
2001-02-16,222.916
2001-02-19,224.456
2001-02-20,227.346
2001-02-21,228.149
2001-02-22,228.718
2001-02-23,230.571
2001-02-26,230.745
2001-02-27,232.662
2001-02-28,225.856
2001-03-01,230.44
2001-03-02,235.866
2001-03-05,238.535
2001-03-06,238.96
2001-03-07,241.593
2001-03-08,237.995
2001-03-09,233.273
2001-03-12,232.637
2001-03-13,227.357
2001-03-14,231.737
2001-03-15,230.072
2001-03-16,230.114
2001-03-19,236.955
2001-03-20,243.896
2001-03-21,242.692
2001-03-22,228.04
2001-03-23,236.948
2001-03-26,231.753
2001-03-27,227.761
2001-03-28,224.725
2001-03-29,219.123
2001-03-30,214.839
2001-04-02,216.058
2001-04-03,221.504
2001-04-04,222.737
2001-04-05,223.405
2001-04-06,223.52
2001-04-09,224.293
2001-04-10,224.559
2001-04-11,223.796
2001-04-12,225.083
2001-04-13,225.083
2001-04-16,225.525
2001-04-17,219.0
2001-04-18,219.594
2001-04-19,232.173
2001-04-20,233.029
2001-04-23,224.374
2001-04-24,222.269
2001-04-25,223.632
2001-04-26,226.361
2001-04-27,233.3
2001-04-30,233.647
2001-05-01,235.264
2001-05-02,238.1
2001-05-03,238.303
2001-05-04,234.92
2001-05-07,231.894
2001-05-08,231.896
2001-05-09,232.364
2001-05-10,237.367
2001-05-11,234.917
2001-05-14,232.253
2001-05-15,231.663
2001-05-16,233.398
2001-05-17,240.1
2001-05-18,239.294
2001-05-21,239.07
2001-05-22,238.278
2001-05-23,236.911
2001-05-24,237.687
2001-05-25,236.361
2001-05-28,235.424
2001-05-29,231.687
2001-05-30,227.427
2001-05-31,221.936
2001-06-01,224.277
2001-06-04,223.704
2001-06-05,235.495
2001-06-06,240.029
2001-06-07,238.842
2001-06-08,234.124
2001-06-11,229.322
2001-06-12,230.063
2001-06-13,238.746
2001-06-14,238.137
2001-06-15,229.706
2001-06-18,226.626
2001-06-19,226.353
2001-06-20,223.01
2001-06-21,217.959
2001-06-22,220.565
2001-06-25,216.486
2001-06-26,218.059
2001-06-27,221.339
2001-06-28,219.898
2001-06-29,213.226
2001-07-02,217.667
2001-07-03,218.822
2001-07-04,222.01
2001-07-05,222.565
2001-07-06,219.962
2001-07-09,220.714
2001-07-10,224.768
2001-07-11,222.757
2001-07-12,215.495
2001-07-13,215.906
2001-07-16,217.896
2001-07-17,218.07
2001-07-18,220.405
2001-07-19,223.307
2001-07-20,222.966
2001-07-23,223.567
2001-07-24,231.797
2001-07-25,237.046
2001-07-26,239.129
2001-07-27,238.578
2001-07-30,238.017
2001-07-31,239.977
2001-08-01,238.769
2001-08-02,233.817
2001-08-03,233.178
2001-08-06,231.232
2001-08-07,225.845
2001-08-08,228.372
2001-08-09,230.083
2001-08-10,231.441
2001-08-13,229.8
2001-08-14,229.612
2001-08-15,232.458
2001-08-16,232.361
2001-08-17,236.431
2001-08-20,234.498
2001-08-21,237.197
2001-08-22,238.31
2001-08-23,236.216
2001-08-24,238.121
2001-08-27,235.357
2001-08-28,232.196
2001-08-29,235.59
2001-08-30,232.201
2001-08-31,227.785
2001-09-03,227.499
2001-09-04,228.06
2001-09-05,232.001
2001-09-06,233.505
2001-09-07,229.854
2001-09-10,216.209
2001-09-11,215.865
2001-09-12,202.415
2001-09-13,201.371
2001-09-14,197.188
2001-09-17,181.407
2001-09-18,187.911
2001-09-19,184.728
2001-09-20,182.605
2001-09-21,181.739
2001-09-24,178.794
2001-09-25,185.607
2001-09-26,189.569
2001-09-27,189.677
2001-09-28,187.919
2001-10-01,181.236
2001-10-02,188.631
2001-10-03,193.709
2001-10-04,195.7
2001-10-05,196.295
2001-10-08,190.824
2001-10-09,191.176
2001-10-10,188.41
2001-10-11,192.7
2001-10-12,194.227
2001-10-15,196.334
2001-10-16,202.927
2001-10-17,205.21
2001-10-18,199.21
2001-10-19,193.235
2001-10-22,193.421
2001-10-23,195.702
2001-10-24,197.054
2001-10-25,192.839
2001-10-26,189.379
2001-10-29,183.625
2001-10-30,185.476
2001-10-31,184.293
2001-11-01,186.391
2001-11-02,186.346
2001-11-05,186.795
2001-11-06,192.499
2001-11-07,188.818
2001-11-08,188.323
2001-11-09,188.256
2001-11-12,189.492
2001-11-13,195.241
2001-11-14,203.798
2001-11-15,203.238
2001-11-16,215.953
2001-11-19,211.315
2001-11-20,222.607
2001-11-21,213.339
2001-11-22,206.134
2001-11-23,203.598
2001-11-26,209.992
2001-11-27,216.318
2001-11-28,222.231
2001-11-29,226.932
2001-11-30,225.847
2001-12-03,213.573
2001-12-04,207.189
2001-12-05,214.763
2001-12-06,227.5
2001-12-07,228.113
2001-12-10,226.571
2001-12-11,228.882
2001-12-12,234.376
2001-12-13,232.928
2001-12-14,220.596
2001-12-17,221.451
2001-12-18,214.809
2001-12-19,216.657
2001-12-20,209.559
2001-12-21,214.427
2001-12-24,213.624
2001-12-25,213.624
2001-12-26,213.779
2001-12-27,217.797
2001-12-28,219.832
2001-12-31,220.947
2002-01-01,220.947
2002-01-02,223.175
2002-01-03,230.979
2002-01-04,237.844
2002-01-07,241.571
2002-01-08,239.206
2002-01-09,237.761
2002-01-10,241.147
2002-01-11,240.576
2002-01-14,233.912
2002-01-15,237.876
2002-01-16,232.42
2002-01-17,229.985
2002-01-18,231.405
2002-01-21,233.044
2002-01-22,245.297
2002-01-23,251.705
2002-01-24,252.574
2002-01-25,263.234
2002-01-28,257.95
2002-01-29,259.943
2002-01-30,248.851
2002-01-31,249.27
2002-02-01,251.321
2002-02-04,251.02
2002-02-05,249.989
2002-02-06,250.199
2002-02-07,251.503
2002-02-08,249.075
2002-02-11,248.043
2002-02-12,246.981
2002-02-13,246.479
2002-02-14,247.512
2002-02-15,244.037
2002-02-18,243.719
2002-02-19,248.368
2002-02-20,250.815
2002-02-21,247.945
2002-02-22,259.022
2002-02-25,255.552
2002-02-26,257.393
2002-02-27,260.437
2002-02-28,262.634
2002-03-01,262.8
2002-03-04,259.626
2002-03-05,263.6
2002-03-06,261.584
2002-03-07,267.064
2002-03-08,263.948
2002-03-11,268.608
2002-03-12,272.355
2002-03-13,269.55
2002-03-14,266.229
2002-03-15,268.748
2002-03-18,263.977
