Date,EUROPE SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,100.561
2001-01-03,99.562
2001-01-04,100.975
2001-01-05,101.829
2001-01-08,101.408
2001-01-09,100.249
2001-01-10,100.362
2001-01-11,101.762
2001-01-12,102.407
2001-01-15,102.341
2001-01-16,102.121
2001-01-17,102.785
2001-01-18,104.275
2001-01-19,104.551
2001-01-22,104.466
2001-01-23,104.954
2001-01-24,103.832
2001-01-25,103.876
2001-01-26,103.509
2001-01-29,103.672
2001-01-30,104.416
2001-01-31,105.378
2001-02-01,106.808
2001-02-02,106.025
2001-02-05,106.239
2001-02-06,105.735
2001-02-07,105.387
2001-02-08,104.022
2001-02-09,103.728
2001-02-12,103.987
2001-02-13,103.424
2001-02-14,102.536
2001-02-15,101.854
2001-02-16,102.293
2001-02-19,102.276
2001-02-20,101.441
2001-02-21,101.101
2001-02-22,100.297
2001-02-23,100.053
2001-02-26,100.476
2001-02-27,101.461
2001-02-28,101.303
2001-03-01,101.465
2001-03-02,102.383
2001-03-05,102.642
2001-03-06,103.735
2001-03-07,103.561
2001-03-08,104.092
2001-03-09,103.236
2001-03-12,101.47
2001-03-13,98.978
2001-03-14,97.123
2001-03-15,96.861
2001-03-16,95.363
2001-03-19,94.535
2001-03-20,95.301
2001-03-21,93.266
2001-03-22,89.296
2001-03-23,90.96
2001-03-26,92.328
2001-03-27,92.995
2001-03-28,92.409
2001-03-29,91.71
2001-03-30,92.088
2001-04-02,91.793
2001-04-03,90.715
2001-04-04,91.364
2001-04-05,92.667
2001-04-06,93.389
2001-04-09,93.678
2001-04-10,93.1
2001-04-11,93.446
2001-04-12,94.421
2001-04-13,94.421
2001-04-16,93.669
2001-04-17,93.27
2001-04-18,93.506
2001-04-19,95.313
2001-04-20,96.341
2001-04-23,95.807
2001-04-24,96.055
2001-04-25,96.475
2001-04-26,97.307
2001-04-27,97.188
2001-04-30,97.696
2001-05-01,98.168
2001-05-02,98.646
2001-05-03,99.31
2001-05-04,99.598
2001-05-07,99.634
2001-05-08,99.103
2001-05-09,98.624
2001-05-10,99.033
2001-05-11,98.441
2001-05-14,98.196
2001-05-15,98.883
2001-05-16,99.183
2001-05-17,99.933
2001-05-18,99.894
2001-05-21,100.193
2001-05-22,99.637
2001-05-23,98.973
2001-05-24,98.452
2001-05-25,98.601
2001-05-28,98.935
2001-05-29,98.243
2001-05-30,98.233
2001-05-31,97.598
2001-06-01,97.455
2001-06-04,97.754
2001-06-05,98.688
2001-06-06,98.485
2001-06-07,98.391
2001-06-08,98.18
2001-06-11,97.049
2001-06-12,96.511
2001-06-13,96.956
2001-06-14,97.138
2001-06-15,96.779
2001-06-18,96.255
2001-06-19,95.897
2001-06-20,94.659
2001-06-21,95.137
2001-06-22,94.991
2001-06-25,95.155
2001-06-26,94.262
2001-06-27,93.783
2001-06-28,92.857
2001-06-29,93.088
2001-07-02,93.196
2001-07-03,93.243
2001-07-04,93.238
2001-07-05,91.816
2001-07-06,91.241
2001-07-09,91.244
2001-07-10,92.035
2001-07-11,91.606
2001-07-12,91.236
2001-07-13,91.197
2001-07-16,91.272
2001-07-17,90.401
2001-07-18,91.664
2001-07-19,91.936
2001-07-20,92.19
2001-07-23,91.583
2001-07-24,91.734
2001-07-25,91.444
2001-07-26,91.093
2001-07-27,91.025
2001-07-30,91.325
2001-07-31,91.624
2001-08-01,92.489
2001-08-02,92.951
2001-08-03,93.136
2001-08-06,92.328
2001-08-07,91.684
2001-08-08,91.296
2001-08-09,91.398
2001-08-10,91.891
2001-08-13,92.048
2001-08-14,92.503
2001-08-15,93.707
2001-08-16,93.7
2001-08-17,93.64
2001-08-20,93.084
2001-08-21,93.486
2001-08-22,94.04
2001-08-23,93.231
2001-08-24,93.392
2001-08-27,93.326
2001-08-28,93.161
2001-08-29,93.117
2001-08-30,92.511
2001-08-31,92.366
2001-09-03,91.48
2001-09-04,90.3
2001-09-05,89.709
2001-09-06,88.77
2001-09-07,88.914
2001-09-10,86.536
2001-09-11,84.004
2001-09-12,83.109
2001-09-13,83.786
2001-09-14,82.286
2001-09-17,80.719
2001-09-18,79.759
2001-09-19,79.532
2001-09-20,76.312
2001-09-21,72.287
2001-09-24,74.415
2001-09-25,76.012
2001-09-26,76.882
2001-09-27,76.482
2001-09-28,76.87
2001-10-01,76.921
2001-10-02,76.66
2001-10-03,76.674
2001-10-04,78.227
2001-10-05,78.509
2001-10-08,77.706
2001-10-09,78.251
2001-10-10,78.67
2001-10-11,80.32
2001-10-12,80.838
2001-10-15,80.546
2001-10-16,81.768
2001-10-17,82.623
2001-10-18,81.516
2001-10-19,80.618
2001-10-22,80.332
2001-10-23,81.071
2001-10-24,81.605
2001-10-25,81.875
2001-10-26,82.224
2001-10-29,82.829
2001-10-30,81.573
2001-10-31,81.832
2001-11-01,82.289
2001-11-02,82.51
2001-11-05,82.768
2001-11-06,83.263
2001-11-07,84.004
2001-11-08,84.666
2001-11-09,84.844
2001-11-12,83.9
2001-11-13,84.673
2001-11-14,85.687
2001-11-15,86.201
2001-11-16,86.857
2001-11-19,87.77
2001-11-20,87.533
2001-11-21,86.593
2001-11-22,87.219
2001-11-23,86.965
2001-11-26,87.774
2001-11-27,87.631
2001-11-28,87.808
2001-11-29,87.519
2001-11-30,88.522
2001-12-03,87.541
2001-12-04,88.093
2001-12-05,89.294
2001-12-06,90.506
2001-12-07,90.895
2001-12-10,90.378
2001-12-11,90.295
2001-12-12,90.155
2001-12-13,89.232
2001-12-14,89.302
2001-12-17,89.829
2001-12-18,89.647
2001-12-19,88.858
2001-12-20,88.525
2001-12-21,87.873
2001-12-24,87.4
2001-12-25,87.4
2001-12-26,87.602
2001-12-27,89.001
2001-12-28,89.121
2001-12-31,90.063
2002-01-01,90.063
2002-01-02,91.273
2002-01-03,92.175
2002-01-04,92.626
2002-01-07,92.798
2002-01-08,92.389
2002-01-09,92.321
2002-01-10,92.215
2002-01-11,92.402
2002-01-14,91.896
2002-01-15,91.496
2002-01-16,90.057
2002-01-17,90.197
2002-01-18,90.226
2002-01-21,90.036
2002-01-22,90.18
