Date,EUROPE SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,100.561
2001-01-03,99.56
2001-01-04,100.973
2001-01-05,101.826
2001-01-08,101.403
2001-01-09,100.244
2001-01-10,100.355
2001-01-11,101.754
2001-01-12,102.399
2001-01-15,102.333
2001-01-16,102.112
2001-01-17,102.776
2001-01-18,104.266
2001-01-19,104.541
2001-01-22,104.456
2001-01-23,104.943
2001-01-24,103.822
2001-01-25,103.866
2001-01-26,103.498
2001-01-29,103.661
2001-01-30,104.405
2001-01-31,105.367
2001-02-01,106.797
2001-02-02,106.014
2001-02-05,106.228
2001-02-06,105.724
2001-02-07,105.376
2001-02-08,104.011
2001-02-09,103.717
2001-02-12,103.976
2001-02-13,103.414
2001-02-14,102.526
2001-02-15,101.844
2001-02-16,102.279
2001-02-19,102.262
2001-02-20,101.427
2001-02-21,101.087
2001-02-22,100.284
2001-02-23,100.04
2001-02-26,100.46
2001-02-27,101.445
2001-02-28,101.287
2001-03-01,101.449
2001-03-02,102.366
2001-03-05,102.625
2001-03-06,103.719
2001-03-07,103.545
2001-03-08,104.07
2001-03-09,103.21
2001-03-12,101.444
2001-03-13,98.953
2001-03-14,97.093
2001-03-15,96.829
2001-03-16,95.33
2001-03-19,94.495
2001-03-20,95.261
2001-03-21,93.222
2001-03-22,89.254
2001-03-23,90.912
2001-03-26,92.279
2001-03-27,92.941
2001-03-28,92.356
2001-03-29,91.654
2001-03-30,92.024
2001-04-02,91.728
2001-04-03,90.647
2001-04-04,91.289
2001-04-05,92.59
2001-04-06,93.306
2001-04-09,93.59
2001-04-10,93.013
2001-04-11,93.357
2001-04-12,94.33
2001-04-13,94.33
2001-04-16,93.579
2001-04-17,93.18
2001-04-18,93.416
2001-04-19,95.213
2001-04-20,96.233
2001-04-23,95.693
2001-04-24,95.937
2001-04-25,96.35
2001-04-26,97.175
2001-04-27,97.02
2001-04-30,97.527
2001-05-01,97.999
2001-05-02,98.472
2001-05-03,99.125
2001-05-04,99.413
2001-05-07,99.426
2001-05-08,98.89
2001-05-09,98.404
2001-05-10,98.812
2001-05-11,98.243
2001-05-14,97.99
2001-05-15,98.667
2001-05-16,98.921
2001-05-17,99.669
2001-05-18,99.627
2001-05-21,99.913
2001-05-22,99.355
2001-05-23,98.687
2001-05-24,98.163
2001-05-25,98.31
2001-05-28,98.633
2001-05-29,97.943
2001-05-30,97.931
2001-05-31,97.29
2001-06-01,97.144
2001-06-04,97.439
2001-06-05,98.365
2001-06-06,98.155
2001-06-07,98.059
2001-06-08,97.848
2001-06-11,96.718
2001-06-12,96.18
2001-06-13,96.618
2001-06-14,96.796
2001-06-15,96.434
2001-06-18,95.912
2001-06-19,95.555
2001-06-20,94.314
2001-06-21,94.784
2001-06-22,94.634
2001-06-25,94.794
2001-06-26,93.905
2001-06-27,93.426
2001-06-28,92.502
2001-06-29,92.723
2001-07-02,92.827
2001-07-03,92.871
2001-07-04,92.863
2001-07-05,91.446
2001-07-06,90.872
2001-07-09,90.871
2001-07-10,91.658
2001-07-11,91.231
2001-07-12,90.86
2001-07-13,90.82
2001-07-16,90.895
2001-07-17,90.028
2001-07-18,91.285
2001-07-19,91.557
2001-07-20,91.807
2001-07-23,91.201
2001-07-24,91.352
2001-07-25,91.062
2001-07-26,90.712
2001-07-27,90.645
2001-07-30,90.941
2001-07-31,91.239
2001-08-01,92.1
2001-08-02,92.56
2001-08-03,92.745
2001-08-06,91.941
2001-08-07,91.299
2001-08-08,90.912
2001-08-09,91.013
2001-08-10,91.503
2001-08-13,91.659
2001-08-14,92.112
2001-08-15,93.311
2001-08-16,93.304
2001-08-17,93.244
2001-08-20,92.69
2001-08-21,93.091
2001-08-22,93.642
2001-08-23,92.837
2001-08-24,92.998
2001-08-27,92.932
2001-08-28,92.766
2001-08-29,92.722
2001-08-30,92.118
2001-08-31,91.974
2001-09-03,91.091
2001-09-04,89.917
2001-09-05,89.328
2001-09-06,88.392
2001-09-07,88.535
2001-09-10,86.164
2001-09-11,83.642
2001-09-12,82.751
2001-09-13,83.425
2001-09-14,81.931
2001-09-17,80.371
2001-09-18,79.416
2001-09-19,79.188
2001-09-20,75.98
2001-09-21,71.972
2001-09-24,74.091
2001-09-25,75.675
2001-09-26,76.542
2001-09-27,76.143
2001-09-28,76.53
2001-10-01,76.58
2001-10-02,76.319
2001-10-03,76.332
2001-10-04,77.878
2001-10-05,78.159
2001-10-08,77.358
2001-10-09,77.901
2001-10-10,78.318
2001-10-11,79.96
2001-10-12,80.476
2001-10-15,80.184
2001-10-16,81.4
2001-10-17,82.251
2001-10-18,81.15
2001-10-19,80.255
2001-10-22,79.971
2001-10-23,80.706
2001-10-24,81.238
2001-10-25,81.507
2001-10-26,81.854
2001-10-29,82.456
2001-10-30,81.206
2001-10-31,81.464
2001-11-01,81.919
2001-11-02,82.139
2001-11-05,82.395
2001-11-06,82.888
2001-11-07,83.626
2001-11-08,84.284
2001-11-09,84.451
2001-11-12,83.511
2001-11-13,84.281
2001-11-14,85.29
2001-11-15,85.801
2001-11-16,86.455
2001-11-19,87.362
2001-11-20,87.127
2001-11-21,86.191
2001-11-22,86.814
2001-11-23,86.562
2001-11-26,87.367
2001-11-27,87.224
2001-11-28,87.4
2001-11-29,87.113
2001-11-30,88.111
2001-12-03,87.134
2001-12-04,87.684
2001-12-05,88.878
2001-12-06,90.075
2001-12-07,90.462
2001-12-10,89.947
2001-12-11,89.865
2001-12-12,89.726
2001-12-13,88.807
2001-12-14,88.876
2001-12-17,89.4
2001-12-18,89.22
2001-12-19,88.434
2001-12-20,88.1
2001-12-21,87.451
2001-12-24,86.98
2001-12-25,86.98
2001-12-26,87.181
2001-12-27,88.574
2001-12-28,88.693
2001-12-31,89.63
2002-01-01,89.63
2002-01-02,90.834
2002-01-03,91.731
2002-01-04,92.18
2002-01-07,92.35
2002-01-08,91.943
2002-01-09,91.876
2002-01-10,91.77
2002-01-11,91.956
2002-01-14,91.451
2002-01-15,91.052
2002-01-16,89.62
2002-01-17,89.759
2002-01-18,89.787
2002-01-21,89.597
2002-01-22,89.74
