Date,KOKUSAI INDEX (WORLD ex JP) LARGE CAP Large Cap
1994-05-31,239.915
1994-06-30,234.505
1994-07-29,244.332
1994-08-31,253.712
1994-09-30,246.78
1994-10-31,254.141
1994-11-30,244.413
1994-12-30,246.514
1995-01-31,248.16
1995-02-28,256.6
1995-03-31,265.595
1995-04-28,273.392
1995-05-31,282.964
1995-06-30,287.964
1995-07-31,299.977
1995-08-31,296.619
1995-09-29,308.208
1995-10-31,307.789
1995-11-30,316.783
1995-12-29,324.021
1996-01-31,332.782
1996-02-29,337.267
1996-03-29,340.138
1996-04-30,344.951
1996-05-31,352.318
1996-06-28,354.181
1996-07-31,342.035
1996-08-30,351.629
1996-09-30,366.732
1996-10-31,376.118
1996-11-29,401.18
1996-12-31,399.583
1997-01-31,413.997
1997-02-28,417.033
1997-03-31,409.892
1997-04-30,423.464
1997-05-30,448.542
1997-06-30,469.121
1997-07-31,500.433
1997-08-29,470.73
1997-09-30,502.85
1997-10-31,479.933
1997-11-28,495.203
1997-12-31,507.881
1998-01-30,517.9
1998-02-27,557.844
1998-03-31,589.402
1998-04-30,596.24
1998-05-29,593.601
1998-06-30,612.025
1998-07-31,612.374
1998-08-31,528.437
1998-09-30,542.517
1998-10-30,587.005
1998-11-30,622.215
1998-12-31,656.726
1999-01-29,675.076
1999-02-26,656.266
1999-03-31,677.962
1999-04-30,705.079
1999-05-31,680.222
1999-06-30,707.62
1999-07-30,694.86
1999-08-31,694.129
1999-09-30,681.6
1999-10-29,719.667
1999-11-30,740.318
1999-12-31,801.651
2000-01-31,756.895
2000-02-29,765.412
2000-03-31,807.5
2000-04-28,769.477
2000-05-31,749.754
2000-06-30,778.9
2000-07-31,765.659
2000-08-31,798.041
2000-09-29,754.665
2000-10-31,743.259
2000-11-30,685.761
2000-12-29,705.131
2001-01-31,721.495
2001-02-28,650.23
2001-03-30,602.179
2001-04-30,648.432
2001-05-31,638.297
2001-06-29,620.307
2001-07-31,615.529
2001-08-31,583.738
2001-09-28,533.629
2001-10-31,546.275
2001-11-30,581.762
2001-12-31,589.161
2002-01-31,571.349
2002-02-28,562.25
2002-03-29,585.781
2002-04-30,560.055
2002-05-31,557.992
2002-06-28,523.769
2002-07-31,482.133
2002-08-30,484.911
2002-09-30,428.443
2002-10-31,468.57
2002-11-29,492.679
2002-12-31,467.41
2003-01-31,452.621
2003-02-28,444.616
2003-03-31,445.258
2003-04-30,488.391
2003-05-30,513.989
2003-06-30,521.317
2003-07-31,528.985
2003-08-29,534.022
2003-09-30,534.455
2003-10-31,564.608
2003-11-28,574.886
2003-12-31,612.008
2004-01-30,620.925
2004-02-27,631.941
2004-03-31,617.597
2004-04-30,608.773
2004-05-31,616.585
2004-06-30,625.914
2004-07-30,608.518
2004-08-31,611.446
2004-09-30,623.573
2004-10-29,637.413
2004-11-30,667.898
2004-12-31,691.83
2005-01-31,675.911
2005-02-28,697.269
2005-03-31,683.71
2005-04-29,671.956
2005-05-31,685.259
2005-06-30,690.294
2005-07-29,714.941
2005-08-31,715.516
2005-09-30,727.311
2005-10-31,711.56
2005-11-30,732.329
2005-12-30,740.896
2006-01-31,769.67
2006-02-28,769.608
2006-03-31,784.695
2006-04-28,808.475
2006-05-31,786.857
2006-06-30,788.933
2006-07-31,799.658
2006-08-31,821.643
2006-09-29,834.6
2006-10-31,865.822
2006-11-30,885.81
2006-12-29,904.467
2007-01-31,913.492
2007-02-28,900.915
2007-03-30,920.797
2007-04-30,970.527
2007-05-31,1000.0
2007-06-29,993.259
2007-07-31,970.808
2007-08-31,976.03
2007-09-28,1028.663
2007-10-31,1065.188
2007-11-30,1024.816
2007-12-31,1014.466
2008-01-31,934.131
2008-02-29,926.3
2008-03-31,921.121
2008-04-30,968.167
2008-05-30,980.467
2008-06-30,902.196
2008-07-31,886.065
2008-08-29,875.061
2008-09-30,775.55
2008-10-31,631.892
2008-11-28,588.19
2008-12-31,601.935
2009-01-30,546.1
2009-02-27,491.843
2009-03-31,533.095
2009-04-30,590.917
2009-05-29,645.283
2009-06-30,641.599
2009-07-31,698.624
2009-08-31,726.401
2009-09-30,758.23
2009-10-30,747.826
2009-11-30,783.994
2009-12-31,795.93
2010-01-29,757.145
2010-02-26,767.047
2010-03-31,814.792
2010-04-30,812.632
2010-05-31,734.041
2010-06-30,708.126
2010-07-30,769.157
2010-08-31,739.414
2010-09-30,810.05
2010-10-29,841.863
2010-11-30,817.829
2010-12-31,877.014
2011-01-31,900.142
2011-02-28,930.504
2011-03-31,928.083
2011-04-29,972.378
2011-05-31,951.716
2011-06-30,935.647
2011-07-29,915.312
2011-08-31,852.988
2011-09-30,777.214
2011-10-31,865.169
2011-11-30,846.941
2011-12-30,848.035
2012-01-31,889.036
2012-02-29,932.382
2012-03-30,945.64
2012-04-30,937.639
2012-05-31,859.799
2012-06-29,906.059
2012-07-31,922.088
2012-08-31,947.832
2012-09-28,974.41
2012-10-31,968.796
2012-11-30,979.778
2012-12-31,993.712
2013-01-31,1045.123
2013-02-28,1043.989
2013-03-29,1065.64
2013-04-30,1095.24
2013-05-31,1102.48
2013-06-28,1070.943
2013-07-31,1131.469
2013-08-30,1107.552
2013-09-30,1158.019
2013-10-31,1210.538
2013-11-29,1236.068
2013-12-31,1262.904
2014-01-31,1213.814
2014-02-28,1278.916
2014-03-31,1284.94
2014-04-30,1305.72
2014-05-30,1330.236
2014-06-30,1349.503
2014-07-31,1328.786
2014-08-29,1363.038
2014-09-30,1328.788
2014-10-31,1338.491
2014-11-28,1367.995
2014-12-31,1343.95
2015-01-30,1313.461
2015-02-27,1390.229
2015-03-31,1363.18
2015-04-30,1395.614
2015-05-29,1400.182
2015-06-30,1367.318
2015-07-31,1397.107
2015-08-31,1301.0
2015-09-30,1258.681
2015-10-30,1358.909
2015-11-30,1352.819
2015-12-31,1328.092
2016-01-29,1255.92
2016-02-29,1245.931
2016-03-31,1329.805
2016-04-29,1347.097
2016-05-31,1358.818
2016-06-30,1348.9
2016-07-29,1400.025
2016-08-31,1402.183
2016-09-30,1407.806
2016-10-31,1379.621
2016-11-30,1403.539
2016-12-30,1443.427
