Date,KOKUSAI INDEX (WORLD ex JP) LARGE CAP Large Cap
2001-01-01,728.433
2001-01-02,712.689
2001-01-03,733.396
2001-01-04,733.589
2001-01-05,721.247
2001-01-08,718.157
2001-01-09,715.677
2001-01-10,719.208
2001-01-11,730.049
2001-01-12,728.994
2001-01-15,728.197
2001-01-16,727.17
2001-01-17,731.928
2001-01-18,741.245
2001-01-19,737.428
2001-01-22,737.2
2001-01-23,743.841
2001-01-24,743.467
2001-01-25,739.74
2001-01-26,738.827
2001-01-29,741.686
2001-01-30,746.282
2001-01-31,745.221
2001-02-01,747.651
2001-02-02,735.1
2001-02-05,737.472
2001-02-06,735.694
2001-02-07,728.038
2001-02-08,721.385
2001-02-09,712.543
2001-02-12,721.035
2001-02-13,714.463
2001-02-14,710.083
2001-02-15,712.989
2001-02-16,701.182
2001-02-19,701.586
2001-02-20,688.503
2001-02-21,678.824
2001-02-22,675.657
2001-02-23,669.813
2001-02-26,679.511
2001-02-27,677.906
2001-02-28,671.446
2001-03-01,671.853
2001-03-02,669.778
2001-03-05,673.829
2001-03-06,682.162
2001-03-07,683.814
2001-03-08,683.65
2001-03-09,669.783
2001-03-12,644.97
2001-03-13,646.227
2001-03-14,630.82
2001-03-15,635.43
2001-03-16,619.532
2001-03-19,625.302
2001-03-20,619.563
2001-03-21,607.228
2001-03-22,594.082
2001-03-23,608.015
2001-03-26,619.999
2001-03-27,635.352
2001-03-28,619.681
2001-03-29,616.111
2001-03-30,621.648
2001-04-02,615.559
2001-04-03,595.964
2001-04-04,599.177
2001-04-05,619.684
2001-04-06,612.477
2001-04-09,618.47
2001-04-10,631.776
2001-04-11,631.273
2001-04-12,639.302
2001-04-13,639.302
2001-04-16,635.812
2001-04-17,638.223
2001-04-18,658.523
2001-04-19,668.756
2001-04-20,666.39
2001-04-23,656.174
2001-04-24,650.758
2001-04-25,657.561
2001-04-26,661.653
2001-04-27,668.947
2001-04-30,669.13
2001-05-01,675.687
2001-05-02,676.093
2001-05-03,665.466
2001-05-04,673.062
2001-05-07,672.696
2001-05-08,670.474
2001-05-09,666.847
2001-05-10,670.521
2001-05-11,664.161
2001-05-14,660.296
2001-05-15,663.897
2001-05-16,677.481
2001-05-17,680.723
2001-05-18,682.35
2001-05-21,690.545
2001-05-22,688.961
2001-05-23,678.543
2001-05-24,679.594
2001-05-25,672.733
2001-05-28,673.658
2001-05-29,666.899
2001-05-30,657.5
2001-05-31,658.248
2001-06-01,659.392
2001-06-04,662.747
2001-06-05,670.889
2001-06-06,664.881
2001-06-07,667.878
2001-06-08,662.863
2001-06-11,655.796
2001-06-12,653.391
2001-06-13,650.929
2001-06-14,642.709
2001-06-15,639.195
2001-06-18,634.833
2001-06-19,635.812
2001-06-20,637.688
2001-06-21,642.932
2001-06-22,640.379
2001-06-25,639.283
2001-06-26,635.014
2001-06-27,632.807
2001-06-28,638.283
2001-06-29,639.482
2001-07-02,646.977
2001-07-03,644.01
2001-07-04,642.255
2001-07-05,633.176
2001-07-06,621.033
2001-07-09,624.687
2001-07-10,618.858
2001-07-11,616.524
2001-07-12,626.664
2001-07-13,630.184
2001-07-16,625.351
2001-07-17,626.988
2001-07-18,626.147
2001-07-19,631.069
2001-07-20,628.868
2001-07-23,622.099
2001-07-24,614.259
2001-07-25,618.282
2001-07-26,623.213
2001-07-27,627.433
2001-07-30,629.671
2001-07-31,634.423
2001-08-01,638.213
2001-08-02,640.46
2001-08-03,637.127
2001-08-06,631.693
2001-08-07,632.557
2001-08-08,622.685
2001-08-09,621.028
2001-08-10,622.717
2001-08-13,624.569
2001-08-14,625.386
2001-08-15,624.131
2001-08-16,622.985
2001-08-17,613.814
2001-08-20,615.888
2001-08-21,613.483
2001-08-22,617.455
2001-08-23,615.177
2001-08-24,626.443
2001-08-27,624.319
2001-08-28,615.575
2001-08-29,611.065
2001-08-30,600.083
2001-08-31,601.434
2001-09-03,598.712
2001-09-04,598.214
2001-09-05,594.173
2001-09-06,581.596
2001-09-07,572.069
2001-09-10,572.059
2001-09-11,561.435
2001-09-12,563.196
2001-09-13,565.686
2001-09-14,558.096
2001-09-17,544.405
2001-09-18,540.915
2001-09-19,533.188
2001-09-20,515.481
2001-09-21,503.031
2001-09-24,524.78
2001-09-25,531.512
2001-09-26,531.894
2001-09-27,538.007
2001-09-28,549.679
2001-10-01,546.088
2001-10-02,551.744
2001-10-03,560.527
2001-10-04,564.777
2001-10-05,565.413
2001-10-08,562.505
2001-10-09,560.184
2001-10-10,571.498
2001-10-11,577.989
2001-10-12,575.627
2001-10-15,571.495
2001-10-16,576.217
2001-10-17,573.391
2001-10-18,566.676
2001-10-19,563.723
2001-10-22,571.216
2001-10-23,573.797
2001-10-24,575.261
2001-10-25,577.023
2001-10-26,582.244
2001-10-29,571.554
2001-10-30,561.254
2001-10-31,562.607
2001-11-01,572.97
2001-11-02,574.114
2001-11-05,582.456
2001-11-06,588.003
2001-11-07,589.298
2001-11-08,592.917
2001-11-09,591.53
2001-11-12,587.053
2001-11-13,597.829
2001-11-14,599.527
2001-11-15,600.118
2001-11-16,601.159
2001-11-19,606.621
2001-11-20,601.493
2001-11-21,597.861
2001-11-22,600.2
2001-11-23,603.089
2001-11-26,606.298
2001-11-27,601.906
2001-11-28,593.009
2001-11-29,596.963
2001-11-30,598.979
2001-12-03,593.639
2001-12-04,601.364
2001-12-05,615.472
2001-12-06,615.748
2001-12-07,610.682
2001-12-10,600.776
2001-12-11,599.741
2001-12-12,599.627
2001-12-13,590.523
2001-12-14,590.664
2001-12-17,600.002
2001-12-18,601.858
2001-12-19,601.883
2001-12-20,597.137
2001-12-21,599.907
2001-12-24,598.337
2001-12-25,598.337
2001-12-26,600.253
2001-12-27,607.471
2001-12-28,609.193
2001-12-31,606.462
2002-01-01,606.462
2002-01-02,609.112
2002-01-03,615.767
2002-01-04,617.551
2002-01-07,612.865
2002-01-08,609.466
2002-01-09,607.121
2002-01-10,606.161
2002-01-11,603.053
2002-01-14,596.995
2002-01-15,600.517
2002-01-16,590.859
2002-01-17,596.263
2002-01-18,592.121
2002-01-21,591.096
2002-01-22,588.49
2002-01-23,592.324
2002-01-24,594.884
2002-01-25,591.732
2002-01-28,592.334
2002-01-29,578.943
