Date,HONG KONG SMALL CAP Small Cap
2000-12-29,100.0
2001-01-31,106.946
2001-02-28,110.537
2001-03-30,97.721
2001-04-30,106.728
2001-05-31,115.646
2001-06-29,110.829
2001-07-31,101.334
2001-08-31,94.203
2001-09-28,83.175
2001-10-31,89.879
2001-11-30,95.251
2001-12-31,99.462
2002-01-31,100.273
2002-02-28,99.677
2002-03-29,105.082
2002-04-30,112.056
2002-05-31,112.895
2002-06-28,110.363
2002-07-31,99.807
2002-08-30,93.762
2002-09-30,84.692
2002-10-31,86.962
2002-11-29,92.285
2002-12-31,88.85
2003-01-31,91.726
2003-02-28,90.248
2003-03-31,85.466
2003-04-30,83.052
2003-05-30,93.068
2003-06-30,96.323
2003-07-31,103.838
2003-08-29,118.916
2003-09-30,132.527
2003-10-31,139.896
2003-11-28,137.888
2003-12-31,147.97
2004-01-30,168.025
2004-02-27,173.316
2004-03-31,167.849
2004-04-30,157.7
2004-05-31,154.916
2004-06-30,153.93
2004-07-30,160.591
2004-08-31,162.775
2004-09-30,166.429
2004-10-29,170.558
2004-11-30,191.663
2004-12-31,191.622
2005-01-31,189.344
2005-02-28,203.266
2005-03-31,194.644
2005-04-29,196.419
2005-05-31,201.343
2005-06-30,203.414
2005-07-29,207.116
2005-08-31,199.791
2005-09-30,199.999
2005-10-31,181.752
2005-11-30,195.127
2005-12-30,199.853
2006-01-31,212.756
2006-02-28,218.746
2006-03-31,229.709
2006-04-28,236.431
2006-05-31,219.742
2006-06-30,211.906
2006-07-31,212.232
2006-08-31,216.328
2006-09-29,223.29
2006-10-31,228.662
2006-11-30,242.986
2006-12-29,251.434
2007-01-31,270.813
2007-02-28,278.094
2007-03-30,286.572
2007-04-30,299.614
2007-05-31,327.899
2007-06-29,333.584
2007-07-31,350.664
2007-08-31,331.682
2007-09-28,342.641
2007-10-31,357.557
2007-11-30,334.857
2007-12-31,332.801
2008-01-31,272.059
2008-02-29,277.846
2008-03-31,248.926
2008-04-30,266.198
2008-05-30,266.889
2008-06-30,237.03
2008-07-31,222.777
2008-08-29,201.196
2008-09-30,160.03
2008-10-31,103.18
2008-11-28,97.86
2008-12-31,115.669
2009-01-30,113.706
2009-02-27,113.215
2009-03-31,115.038
2009-04-30,138.445
2009-05-29,184.957
2009-06-30,185.079
2009-07-31,214.853
2009-08-31,205.001
2009-09-30,217.443
2009-10-30,228.531
2009-11-30,234.726
2009-12-31,242.117
2010-01-29,235.31
2010-02-26,242.79
2010-03-31,265.795
2010-04-30,273.411
2010-05-31,246.636
2010-06-30,252.675
2010-07-30,268.856
2010-08-31,269.875
2010-09-30,305.211
2010-10-29,315.9
2010-11-30,326.072
2010-12-31,337.03
2011-01-31,338.212
2011-02-28,320.539
2011-03-31,329.434
2011-04-29,344.742
2011-05-31,343.544
2011-06-30,328.558
2011-07-29,326.554
2011-08-31,297.683
2011-09-30,235.315
2011-10-31,268.793
2011-11-30,252.867
2011-12-30,248.789
2012-01-31,264.623
2012-02-29,296.057
2012-03-30,284.746
2012-04-30,287.437
2012-05-31,261.204
2012-06-29,254.576
2012-07-31,259.085
2012-08-31,266.227
2012-09-28,282.935
2012-10-31,287.873
2012-11-30,302.351
2012-12-31,306.384
2013-01-31,327.227
2013-02-28,331.675
2013-03-29,335.305
2013-04-30,337.704
2013-05-31,352.313
2013-06-28,327.014
2013-07-31,331.65
2013-08-30,343.933
2013-09-30,360.69
2013-10-31,371.618
2013-11-29,381.73
2013-12-31,388.84
2014-01-31,368.856
2014-02-28,377.617
2014-03-31,365.943
2014-04-30,364.656
2014-05-30,364.153
2014-06-30,366.221
2014-07-31,373.753
2014-08-29,372.419
2014-09-30,348.46
2014-10-31,354.059
2014-11-28,356.995
2014-12-31,341.459
2015-01-30,343.044
2015-02-27,345.618
2015-03-31,345.835
2015-04-30,389.31
2015-05-29,401.524
2015-06-30,368.524
2015-07-31,328.217
2015-08-31,290.345
2015-09-30,286.405
2015-10-30,306.554
2015-11-30,298.896
2015-12-31,296.042
2016-01-29,251.489
2016-02-29,254.824
2016-03-31,272.645
2016-04-29,275.244
2016-05-31,270.616
2016-06-30,261.912
2016-07-29,267.632
2016-08-31,275.041
2016-09-30,282.667
2016-10-31,280.966
2016-11-30,285.573
2016-12-30,272.573
2017-01-31,278.665
2017-02-28,287.251
2017-03-31,284.658
2017-04-28,288.486
2017-05-31,297.622
2017-06-30,293.903
2017-07-31,294.704
2017-08-31,296.061
2017-09-29,303.787
2017-10-31,311.978
2017-11-30,317.347
2017-12-29,315.333
2018-01-31,333.03
2018-02-28,322.385
2018-03-30,305.351
2018-04-30,308.403
2018-05-31,302.224
2018-06-29,278.279
2018-07-31,275.813
2018-08-31,261.054
2018-09-28,257.602
2018-10-31,230.501
2018-11-30,238.923
2018-12-31,230.805
2019-01-31,244.218
2019-02-28,255.531
2019-03-29,256.114
2019-04-30,256.763
2019-05-31,233.19
2019-06-28,240.023
2019-07-31,234.625
2019-08-30,214.269
2019-09-30,221.714
2019-10-31,228.178
2019-11-29,226.731
2019-12-31,236.191
2020-01-31,220.094
2020-02-28,217.506
2020-03-31,187.433
2020-04-30,199.841
2020-05-29,193.294
2020-06-30,214.913
2020-07-31,218.67
2020-08-31,234.149
2020-09-30,235.232
2020-10-30,236.675
2020-11-30,263.431
2020-12-31,264.98
2021-01-29,280.122
2021-02-26,313.433
2021-03-31,317.787
2021-04-30,325.352
2021-05-31,324.654
2021-06-30,329.069
2021-07-30,305.73
2021-08-31,308.291
2021-09-30,285.077
2021-10-29,290.627
2021-11-30,277.078
2021-12-31,272.202
2022-01-31,267.766
2022-02-28,265.32
2022-03-31,252.794
2022-04-29,242.327
2022-05-31,244.556
2022-06-30,240.97
2022-07-29,231.012
2022-08-31,229.102
2022-09-30,200.492
2022-10-31,176.555
2022-11-30,217.606
2022-12-30,243.306
2023-01-31,264.489
2023-02-28,252.807
2023-03-31,251.467
2023-04-28,251.442
2023-05-31,228.62
2023-06-30,234.573
2023-07-31,245.729
2023-08-31,232.258
2023-09-29,223.478
2023-10-31,217.554
2023-11-30,217.314
2023-12-29,222.06
2024-01-31,199.69
2024-02-29,211.081
2024-03-29,213.399
2024-04-30,219.384
2024-05-31,228.064
2024-06-28,220.265
2024-07-31,205.356
2024-08-30,211.055
2024-09-30,235.28
2024-10-31,224.682
2024-11-29,221.801
2024-12-31,222.153
2025-01-31,215.179
2025-02-28,222.25
2025-03-31,224.559
2025-04-30,217.122
2025-05-30,229.227
2025-06-30,251.934
