Date,HONG KONG SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,99.603
2001-01-03,97.958
2001-01-04,102.001
2001-01-05,102.588
2001-01-08,105.323
2001-01-09,104.266
2001-01-10,103.367
2001-01-11,100.618
2001-01-12,103.585
2001-01-15,103.494
2001-01-16,102.587
2001-01-17,101.254
2001-01-18,104.155
2001-01-19,106.056
2001-01-22,106.89
2001-01-23,108.314
2001-01-24,108.315
2001-01-25,108.315
2001-01-26,108.314
2001-01-29,107.64
2001-01-30,105.618
2001-01-31,106.946
2001-02-01,107.478
2001-02-02,108.362
2001-02-05,107.356
2001-02-06,108.319
2001-02-07,107.539
2001-02-08,106.13
2001-02-09,106.946
2001-02-12,108.46
2001-02-13,109.135
2001-02-14,109.638
2001-02-15,108.751
2001-02-16,108.865
2001-02-19,109.191
2001-02-20,110.065
2001-02-21,108.432
2001-02-22,108.165
2001-02-23,110.33
2001-02-26,112.527
2001-02-27,112.057
2001-02-28,110.537
2001-03-01,107.736
2001-03-02,108.279
2001-03-05,106.41
2001-03-06,107.581
2001-03-07,107.058
2001-03-08,108.961
2001-03-09,107.665
2001-03-12,103.259
2001-03-13,101.653
2001-03-14,100.69
2001-03-15,100.764
2001-03-16,101.338
2001-03-19,100.531
2001-03-20,98.763
2001-03-21,99.752
2001-03-22,95.789
2001-03-23,96.424
2001-03-26,97.925
2001-03-27,96.962
2001-03-28,97.448
2001-03-29,97.366
2001-03-30,97.721
2001-04-02,99.11
2001-04-03,97.509
2001-04-04,95.118
2001-04-05,95.116
2001-04-06,95.646
2001-04-09,94.28
2001-04-10,96.076
2001-04-11,97.926
2001-04-12,98.907
2001-04-13,98.907
2001-04-16,98.904
2001-04-17,100.252
2001-04-18,102.163
2001-04-19,106.242
2001-04-20,106.994
2001-04-23,108.66
2001-04-24,107.372
2001-04-25,107.032
2001-04-26,106.225
2001-04-27,106.725
2001-04-30,106.728
2001-05-01,106.729
2001-05-02,108.706
2001-05-03,107.953
2001-05-04,105.673
2001-05-07,105.806
2001-05-08,106.612
2001-05-09,106.604
2001-05-10,106.254
2001-05-11,106.499
2001-05-14,104.963
2001-05-15,106.532
2001-05-16,107.983
2001-05-17,107.502
2001-05-18,107.945
2001-05-21,108.616
2001-05-22,111.105
2001-05-23,112.335
2001-05-24,113.192
2001-05-25,116.545
2001-05-28,118.794
2001-05-29,118.32
2001-05-30,116.094
2001-05-31,115.646
2001-06-01,115.673
2001-06-04,115.915
2001-06-05,117.667
2001-06-06,118.521
2001-06-07,119.545
2001-06-08,118.608
2001-06-11,118.693
2001-06-12,117.301
2001-06-13,114.781
2001-06-14,111.474
2001-06-15,111.178
2001-06-18,110.625
2001-06-19,112.08
2001-06-20,111.59
2001-06-21,113.658
2001-06-22,114.688
2001-06-25,114.689
2001-06-26,112.575
2001-06-27,112.531
2001-06-28,110.854
2001-06-29,110.829
2001-07-02,110.831
2001-07-03,109.819
2001-07-04,110.31
2001-07-05,108.246
2001-07-06,108.244
2001-07-09,105.303
2001-07-10,106.229
2001-07-11,105.48
2001-07-12,106.021
2001-07-13,104.888
2001-07-16,103.969
