Date,SINGAPORE SMID CAP SMID (Small+Mid Cap)
2001-01-01,280.668
2001-01-02,274.109
2001-01-03,269.965
2001-01-04,279.799
2001-01-05,285.969
2001-01-08,282.059
2001-01-09,283.816
2001-01-10,282.145
2001-01-11,274.13
2001-01-12,276.196
2001-01-15,275.42
2001-01-16,275.28
2001-01-17,274.085
2001-01-18,274.269
2001-01-19,280.849
2001-01-22,280.241
2001-01-23,279.3
2001-01-24,279.326
2001-01-25,279.575
2001-01-26,276.997
2001-01-29,280.474
2001-01-30,283.659
2001-01-31,289.721
2001-02-01,291.795
2001-02-02,294.101
2001-02-05,290.724
2001-02-06,290.174
2001-02-07,288.085
2001-02-08,292.986
2001-02-09,290.649
2001-02-12,292.88
2001-02-13,292.95
2001-02-14,289.005
2001-02-15,290.997
2001-02-16,291.295
2001-02-19,288.459
2001-02-20,293.488
2001-02-21,291.569
2001-02-22,289.499
2001-02-23,289.459
2001-02-26,289.318
2001-02-27,286.047
2001-02-28,286.86
2001-03-01,281.517
2001-03-02,280.369
2001-03-05,278.935
2001-03-06,279.16
2001-03-07,280.511
2001-03-08,280.18
2001-03-09,279.837
2001-03-12,272.908
2001-03-13,269.437
2001-03-14,266.173
2001-03-15,267.066
2001-03-16,264.623
2001-03-19,261.122
2001-03-20,261.323
2001-03-21,259.21
2001-03-22,253.272
2001-03-23,258.26
2001-03-26,257.097
2001-03-27,253.121
2001-03-28,247.975
2001-03-29,241.638
2001-03-30,244.372
2001-04-02,238.681
2001-04-03,238.636
2001-04-04,235.636
2001-04-05,243.704
2001-04-06,243.346
2001-04-09,235.859
2001-04-10,238.542
2001-04-11,241.431
2001-04-12,241.93
2001-04-13,241.912
2001-04-16,240.24
2001-04-17,235.121
2001-04-18,242.468
2001-04-19,246.537
2001-04-20,247.092
2001-04-23,249.114
2001-04-24,249.15
2001-04-25,247.763
2001-04-26,249.982
2001-04-27,250.559
2001-04-30,255.487
2001-05-01,256.569
2001-05-02,262.534
2001-05-03,260.227
2001-05-04,259.126
2001-05-07,258.803
2001-05-08,258.93
2001-05-09,256.744
2001-05-10,260.432
2001-05-11,261.751
2001-05-14,258.736
2001-05-15,259.872
2001-05-16,255.64
2001-05-17,260.24
2001-05-18,258.051
2001-05-21,258.566
2001-05-22,263.346
2001-05-23,266.141
2001-05-24,268.022
2001-05-25,267.54
2001-05-28,265.154
2001-05-29,264.151
2001-05-30,259.838
2001-05-31,260.784
2001-06-01,259.729
2001-06-04,261.377
2001-06-05,262.654
2001-06-06,264.7
2001-06-07,266.34
2001-06-08,268.499
2001-06-11,264.989
2001-06-12,262.709
2001-06-13,268.714
2001-06-14,268.236
2001-06-15,270.561
2001-06-18,271.734
2001-06-19,271.237
2001-06-20,267.815
2001-06-21,270.662
2001-06-22,275.967
2001-06-25,278.41
2001-06-26,278.585
2001-06-27,277.583
2001-06-28,275.204
2001-06-29,279.268
2001-07-02,276.105
2001-07-03,274.966
2001-07-04,272.411
2001-07-05,271.626
2001-07-06,266.795
2001-07-09,265.502
2001-07-10,267.112
2001-07-11,263.095
2001-07-12,266.583
2001-07-13,264.943
2001-07-16,266.595
2001-07-17,264.031
2001-07-18,261.981
2001-07-19,263.522
2001-07-20,264.225
2001-07-23,262.474
2001-07-24,265.439
2001-07-25,264.787
2001-07-26,267.192
2001-07-27,270.018
2001-07-30,269.902
2001-07-31,270.609
2001-08-01,273.4
2001-08-02,276.87
2001-08-03,274.715
2001-08-06,274.103
2001-08-07,273.224
2001-08-08,271.767
2001-08-09,271.782
2001-08-10,273.313
2001-08-13,270.932
2001-08-14,274.188
2001-08-15,274.936
2001-08-16,272.385
2001-08-17,271.58
2001-08-20,267.58
2001-08-21,275.454
2001-08-22,276.758
2001-08-23,276.596
2001-08-24,276.14
2001-08-27,277.774
2001-08-28,275.454
2001-08-29,274.562
2001-08-30,263.8
2001-08-31,262.647
2001-09-03,261.742
2001-09-04,262.549
2001-09-05,260.892
2001-09-06,260.114
2001-09-07,255.956
2001-09-10,253.269
2001-09-11,253.443
2001-09-12,240.55
2001-09-13,237.797
2001-09-14,229.817
2001-09-17,217.171
2001-09-18,216.75
2001-09-19,222.91
2001-09-20,218.443
2001-09-21,206.437
