Date,SINGAPORE SMID CAP SMID (Small+Mid Cap)
1994-05-31,386.772
1994-06-30,377.625
1994-07-29,384.128
1994-08-31,401.838
1994-09-30,411.563
1994-10-31,431.604
1994-11-30,395.148
1994-12-30,393.458
1995-01-31,364.696
1995-02-28,371.695
1995-03-31,372.653
1995-04-28,369.436
1995-05-31,391.876
1995-06-30,392.209
1995-07-31,410.268
1995-08-31,405.629
1995-09-29,404.673
1995-10-31,392.49
1995-11-30,396.152
1995-12-29,421.884
1996-01-31,440.994
1996-02-29,442.411
1996-03-29,433.952
1996-04-30,435.382
1996-05-31,422.264
1996-06-28,413.979
1996-07-31,374.483
1996-08-30,384.613
1996-09-30,382.828
1996-10-31,373.823
1996-11-29,397.906
1996-12-31,401.515
1997-01-31,417.376
1997-02-28,425.518
1997-03-31,392.554
1997-04-30,388.609
1997-05-30,410.919
1997-06-30,398.693
1997-07-31,401.848
1997-08-29,349.539
1997-09-30,358.857
1997-10-31,277.886
1997-11-28,278.432
1997-12-31,235.839
1998-01-30,194.728
1998-02-27,253.575
1998-03-31,262.409
1998-04-30,240.249
1998-05-29,198.321
1998-06-30,172.6
1998-07-31,159.214
1998-08-31,126.34
1998-09-30,146.101
1998-10-30,212.876
1998-11-30,242.952
1998-12-31,230.546
1999-01-29,234.837
1999-02-26,223.408
1999-03-31,235.865
1999-04-30,301.258
1999-05-31,333.422
1999-06-30,394.861
1999-07-30,367.227
1999-08-31,357.476
1999-09-30,326.134
1999-10-29,335.71
1999-11-30,356.64
1999-12-31,397.033
2000-01-31,365.148
2000-02-29,361.198
2000-03-31,361.236
2000-04-28,331.433
2000-05-31,276.239
2000-06-30,315.816
2000-07-31,317.752
2000-08-31,336.146
2000-09-29,303.519
2000-10-31,291.073
2000-11-30,283.031
2000-12-29,280.025
2001-01-31,288.953
2001-02-28,286.111
2001-03-30,243.737
2001-04-30,254.827
2001-05-31,260.17
2001-06-29,278.628
2001-07-31,270.006
2001-08-31,262.08
2001-09-28,229.813
2001-10-31,233.446
2001-11-30,248.196
2001-12-31,266.228
2002-01-31,285.577
2002-02-28,281.209
2002-03-29,289.428
2002-04-30,284.72
2002-05-31,279.124
2002-06-28,270.126
2002-07-31,258.293
2002-08-30,253.687
2002-09-30,221.375
2002-10-31,237.838
2002-11-29,239.252
2002-12-31,228.092
2003-01-31,228.49
2003-02-28,233.778
2003-03-31,231.578
2003-04-30,236.535
2003-05-30,262.292
2003-06-30,277.02
2003-07-31,297.049
2003-08-29,306.382
2003-09-30,319.708
2003-10-31,335.777
2003-11-28,334.529
2003-12-31,349.944
2004-01-30,372.214
2004-02-27,375.596
2004-03-31,376.626
2004-04-30,365.154
2004-05-31,364.177
2004-06-30,368.601
2004-07-30,370.808
2004-08-31,379.657
2004-09-30,402.169
2004-10-29,404.738
2004-11-30,423.372
2004-12-31,441.276
2005-01-31,453.501
2005-02-28,461.505
