Date,SINGAPORE SMID CAP SMID (Small+Mid Cap)
2001-01-01,279.918
2001-01-02,273.376
2001-01-03,269.243
2001-01-04,279.052
2001-01-05,285.21
2001-01-08,281.31
2001-01-09,283.062
2001-01-10,281.396
2001-01-11,273.401
2001-01-12,275.462
2001-01-15,274.688
2001-01-16,274.549
2001-01-17,273.357
2001-01-18,273.541
2001-01-19,280.103
2001-01-22,279.497
2001-01-23,278.558
2001-01-24,278.584
2001-01-25,278.832
2001-01-26,276.262
2001-01-29,279.729
2001-01-30,282.905
2001-01-31,288.953
2001-02-01,291.021
2001-02-02,293.322
2001-02-05,289.954
2001-02-06,289.405
2001-02-07,287.322
2001-02-08,292.209
2001-02-09,289.879
2001-02-12,292.104
2001-02-13,292.173
2001-02-14,288.24
2001-02-15,290.226
2001-02-16,290.523
2001-02-19,287.695
2001-02-20,292.711
2001-02-21,290.797
2001-02-22,288.732
2001-02-23,288.692
2001-02-26,288.556
2001-02-27,285.293
2001-02-28,286.111
2001-03-01,280.781
2001-03-02,279.637
2001-03-05,278.207
2001-03-06,278.431
2001-03-07,279.779
2001-03-08,279.448
2001-03-09,279.106
2001-03-12,272.195
2001-03-13,268.735
2001-03-14,265.479
2001-03-15,266.37
2001-03-16,263.933
2001-03-19,260.441
2001-03-20,260.641
2001-03-21,258.534
2001-03-22,252.612
2001-03-23,257.587
2001-03-26,256.428
2001-03-27,252.464
2001-03-28,247.332
2001-03-29,241.011
2001-03-30,243.737
2001-04-02,238.062
2001-04-03,238.016
2001-04-04,235.024
2001-04-05,243.072
2001-04-06,242.718
2001-04-09,235.25
2001-04-10,237.926
2001-04-11,240.807
2001-04-12,241.305
2001-04-13,241.287
2001-04-16,239.619
2001-04-17,234.514
2001-04-18,241.842
2001-04-19,245.9
2001-04-20,246.454
2001-04-23,248.47
2001-04-24,248.507
2001-04-25,247.123
2001-04-26,249.337
2001-04-27,249.912
2001-04-30,254.827
2001-05-01,255.906
2001-05-02,261.857
2001-05-03,259.555
2001-05-04,258.457
2001-05-07,258.135
2001-05-08,258.263
2001-05-09,256.082
2001-05-10,259.764
2001-05-11,261.079
2001-05-14,258.077
2001-05-15,259.209
2001-05-16,254.99
2001-05-17,259.579
2001-05-18,257.401
2001-05-21,257.92
2001-05-22,262.689
2001-05-23,265.476
2001-05-24,267.364
2001-05-25,266.887
2001-05-28,264.519
2001-05-29,263.518
2001-05-30,259.219
2001-05-31,260.17
2001-06-01,259.119
2001-06-04,260.765
2001-06-05,262.04
2001-06-06,264.083
2001-06-07,265.719
2001-06-08,267.874
2001-06-11,264.373
