Date,NORWAY GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,121.403
1975-02-28,129.42
1975-03-31,122.09
1975-04-30,139.763
1975-05-30,133.155
1975-06-30,123.385
1975-07-31,123.638
1975-08-29,121.484
1975-09-30,92.853
1975-10-31,96.848
1975-11-28,86.335
1975-12-31,83.868
1976-01-30,106.59
1976-02-27,95.842
1976-03-31,86.619
1976-04-30,84.256
1976-05-31,81.568
1976-06-30,88.426
1976-07-30,86.958
1976-08-31,85.04
1976-09-30,90.144
1976-10-29,86.839
1976-11-30,92.751
1976-12-31,92.467
1977-01-31,89.205
1977-02-28,85.221
1977-03-31,85.055
1977-04-29,77.599
1977-05-31,75.941
1977-06-30,79.828
1977-07-29,80.167
1977-08-31,75.5
1977-09-30,84.713
1977-10-31,76.754
1977-11-30,74.437
1977-12-30,72.092
1978-01-31,66.079
1978-02-28,64.805
1978-03-31,67.02
1978-04-28,67.69
1978-05-31,68.341
1978-06-30,63.715
1978-07-31,68.966
1978-08-31,84.287
1978-09-29,90.565
1978-10-31,77.115
1978-11-30,73.974
1978-12-29,71.656
1979-01-31,80.952
1979-02-28,96.014
1979-03-30,103.396
1979-04-30,125.386
1979-05-31,149.836
1979-06-29,197.503
1979-07-31,196.33
1979-08-31,198.655
1979-09-28,246.506
1979-10-31,269.119
1979-11-30,344.764
1979-12-31,337.096
1980-01-31,344.604
1980-02-29,309.09
1980-03-31,208.414
1980-04-30,253.025
1980-05-30,298.183
1980-06-30,293.873
1980-07-31,282.911
1980-08-29,265.652
1980-09-30,305.155
1980-10-31,298.324
1980-11-28,281.077
1980-12-31,251.897
1981-01-30,228.894
1981-02-27,208.724
1981-03-31,200.609
1981-04-30,186.886
1981-05-29,156.463
1981-06-30,154.612
1981-07-31,180.67
1981-08-31,185.434
1981-09-30,166.409
1981-10-30,181.787
1981-11-30,197.265
1981-12-31,178.625
1982-01-29,173.047
1982-02-26,152.591
1982-03-31,127.122
1982-04-30,143.358
1982-05-31,144.932
1982-06-30,125.329
1982-07-30,122.464
1982-08-31,126.644
1982-09-30,116.073
1982-10-29,119.638
1982-11-30,113.378
1982-12-31,118.846
1983-01-31,132.453
1983-02-28,147.072
1983-03-31,151.878
1983-04-29,194.113
1983-05-31,191.873
1983-06-30,202.196
1983-07-29,226.201
1983-08-31,229.974
1983-09-30,229.141
1983-10-31,208.356
1983-11-30,213.552
1983-12-30,213.091
1984-01-31,236.92
1984-02-29,245.694
1984-03-30,250.04
1984-04-30,269.277
1984-05-31,266.011
1984-06-29,227.365
1984-07-31,214.805
1984-08-31,249.197
1984-09-28,232.947
1984-10-31,232.392
1984-11-30,210.385
1984-12-31,200.472
1985-01-31,220.154
1985-02-28,206.826
1985-03-29,204.267
1985-04-30,218.367
1985-05-31,235.663
1985-06-28,226.212
1985-07-31,256.093
1985-08-30,269.29
1985-09-30,287.344
1985-10-31,312.957
1985-11-29,333.971
1985-12-31,319.187
1986-01-31,315.067
1986-02-28,326.222
1986-03-31,310.27
1986-04-30,295.951
1986-05-30,259.506
1986-06-30,281.622
1986-07-31,267.811
1986-08-29,295.188
1986-09-30,292.961
1986-10-31,289.758
1986-11-28,296.198
1986-12-31,282.989
1987-01-30,318.586
1987-02-27,327.345
1987-03-31,359.695
1987-04-30,370.884
1987-05-29,353.135
1987-06-30,361.53
1987-07-31,402.648
1987-08-31,452.73
1987-09-30,457.683
1987-10-30,310.331
1987-11-30,277.387
1987-12-31,280.266
1988-01-29,257.473
1988-02-29,273.929
1988-03-31,302.126
1988-04-29,310.406
1988-05-31,303.033
1988-06-30,294.738
1988-07-29,292.67
1988-08-31,255.005
1988-09-30,269.949
1988-10-31,289.183
1988-11-30,315.477
1988-12-30,344.748
1989-01-31,386.335
1989-02-28,394.631
1989-03-31,421.396
1989-04-28,442.499
1989-05-31,414.346
1989-06-30,430.459
1989-07-31,430.832
1989-08-31,431.792
1989-09-29,446.365
1989-10-31,395.76
1989-11-30,421.669
1989-12-29,464.409
1990-01-31,515.853
1990-02-28,548.542
1990-03-30,553.57
1990-04-30,512.56
1990-05-31,566.269
1990-06-29,543.054
1990-07-31,596.187
1990-08-31,518.312
1990-09-28,433.654
1990-10-31,443.677
1990-11-30,463.177
1990-12-31,428.536
1991-01-31,423.688
1991-02-28,448.978
1991-03-29,421.641
1991-04-30,394.068
1991-05-31,431.5
1991-06-28,401.238
1991-07-31,446.196
1991-08-30,459.745
1991-09-30,461.953
1991-10-31,452.465
1991-11-29,404.137
1991-12-31,452.651
1992-01-31,461.112
1992-02-28,415.53
1992-03-31,412.777
1992-04-30,409.254
1992-05-29,444.632
1992-06-30,396.32
1992-07-31,395.848
1992-08-31,345.641
1992-09-30,339.275
1992-10-30,301.385
1992-11-30,314.734
1992-12-31,299.421
1993-01-29,316.647
1993-02-26,307.967
1993-03-31,333.411
1993-04-30,347.572
1993-05-31,341.13
1993-06-30,316.991
1993-07-30,321.187
1993-08-31,350.457
1993-09-30,350.865
1993-10-29,379.811
1993-11-30,345.434
1993-12-31,352.204
1994-01-31,417.754
1994-02-28,438.955
1994-03-31,397.571
1994-04-29,412.31
1994-05-31,410.065
1994-06-30,394.448
1994-07-29,456.643
1994-08-31,466.398
1994-09-30,452.641
1994-10-31,494.687
1994-11-30,467.836
1994-12-30,487.778
1995-01-31,490.36
1995-02-28,468.371
1995-03-31,467.692
1995-04-28,508.577
1995-05-31,509.108
1995-06-30,525.634
1995-07-31,554.257
1995-08-31,531.777
1995-09-29,551.367
1995-10-31,531.014
1995-11-30,535.268
1995-12-29,548.669
1996-01-31,548.584
1996-02-29,558.684
1996-03-29,562.178
1996-04-30,594.768
1996-05-31,603.944
1996-06-28,589.254
1996-07-31,546.603
1996-08-30,569.961
1996-09-30,577.041
1996-10-31,585.51
1996-11-29,628.818
1996-12-31,662.15
1997-01-31,696.489
1997-02-28,641.807
1997-03-31,645.153
1997-04-30,626.798
1997-05-30,649.158
1997-06-30,663.204
1997-07-31,652.43
1997-08-29,676.105
1997-09-30,759.888
1997-10-31,732.362
1997-11-28,685.142
1997-12-31,665.831
1998-01-30,623.291
1998-02-27,643.527
1998-03-31,706.029
1998-04-30,755.905
1998-05-29,688.701
1998-06-30,668.74
1998-07-31,664.53
1998-08-31,486.246
1998-09-30,476.221
1998-10-30,568.5
1998-11-30,518.912
1998-12-31,485.828
1999-01-29,522.649
1999-02-26,478.919
1999-03-31,495.779
1999-04-30,521.417
1999-05-31,511.601
1999-06-30,498.726
1999-07-30,503.031
1999-08-31,508.121
1999-09-30,515.52
1999-10-29,493.75
1999-11-30,507.802
1999-12-31,558.118
2000-01-31,522.783
2000-02-29,526.025
2000-03-31,520.958
2000-04-28,492.304
2000-05-31,506.81
2000-06-30,554.812
2000-07-31,563.215
2000-08-31,566.629
2000-09-29,570.41
2000-10-31,557.707
2000-11-30,545.828
2000-12-29,563.383
2001-01-31,592.402
2001-02-28,566.525
2001-03-30,524.731
2001-04-30,561.9
2001-05-31,545.748
2001-06-29,538.945
2001-07-31,531.368
2001-08-31,511.819
2001-09-28,459.011
2001-10-31,477.302
2001-11-30,491.313
2001-12-31,496.321
2002-01-31,467.746
2002-02-28,489.0
2002-03-29,523.426
2002-04-30,517.289
2002-05-31,534.638
2002-06-28,532.485
2002-07-31,508.367
2002-08-30,496.588
2002-09-30,440.065
2002-10-31,456.542
2002-11-29,500.967
2002-12-31,458.372
2003-01-31,418.383
2003-02-28,386.906
2003-03-31,383.696
2003-04-30,435.532
2003-05-30,483.849
2003-06-30,464.033
2003-07-31,495.051
2003-08-29,515.527
2003-09-30,515.517
2003-10-31,573.796
2003-11-28,610.215
2003-12-31,650.977
2004-01-30,667.636
2004-02-27,730.866
2004-03-31,723.055
2004-04-30,709.326
2004-05-31,750.793
2004-06-30,759.814
2004-07-30,726.139
2004-08-31,750.648
2004-09-30,823.727
2004-10-29,845.445
2004-11-30,952.243
2004-12-31,968.77
2005-01-31,953.611
2005-02-28,1041.153
2005-03-31,1010.653
2005-04-29,964.555
2005-05-31,996.862
2005-06-30,1082.417
