Date,NORWAY GROWTH Standard (Large+Mid Cap)
2001-01-01,645.876
2001-01-02,660.299
2001-01-03,641.334
2001-01-04,657.093
2001-01-05,667.164
2001-01-08,666.201
2001-01-09,656.361
2001-01-10,655.942
2001-01-11,656.208
2001-01-12,656.102
2001-01-15,657.266
2001-01-16,653.467
2001-01-17,662.175
2001-01-18,664.956
2001-01-19,659.246
2001-01-22,655.736
2001-01-23,657.32
2001-01-24,660.877
2001-01-25,654.081
2001-01-26,659.167
2001-01-29,651.455
2001-01-30,668.921
2001-01-31,679.144
2001-02-01,688.862
2001-02-02,687.164
2001-02-05,685.485
2001-02-06,690.505
2001-02-07,683.715
2001-02-08,675.526
2001-02-09,673.767
2001-02-12,660.559
2001-02-13,657.771
2001-02-14,646.456
2001-02-15,634.609
2001-02-16,642.014
2001-02-19,655.425
2001-02-20,642.022
2001-02-21,644.005
2001-02-22,644.839
2001-02-23,640.636
2001-02-26,646.932
2001-02-27,652.212
2001-02-28,649.477
2001-03-01,642.579
2001-03-02,649.22
2001-03-05,655.909
2001-03-06,678.796
2001-03-07,670.109
2001-03-08,673.53
2001-03-09,671.173
2001-03-12,655.588
2001-03-13,636.567
2001-03-14,614.326
2001-03-15,619.839
2001-03-16,607.201
2001-03-19,602.411
2001-03-20,613.714
2001-03-21,602.666
2001-03-22,576.027
2001-03-23,579.653
2001-03-26,588.667
2001-03-27,599.36
2001-03-28,589.545
2001-03-29,587.998
2001-03-30,601.564
2001-04-02,599.121
2001-04-03,590.279
2001-04-04,592.96
2001-04-05,606.433
2001-04-06,606.343
2001-04-09,605.25
2001-04-10,616.969
2001-04-11,616.883
2001-04-12,622.739
2001-04-13,622.739
2001-04-16,616.397
2001-04-17,612.898
2001-04-18,618.861
2001-04-19,617.748
2001-04-20,620.472
2001-04-23,621.549
2001-04-24,632.846
2001-04-25,633.177
2001-04-26,634.892
2001-04-27,640.408
2001-04-30,644.203
2001-05-01,648.007
2001-05-02,647.885
2001-05-03,637.295
2001-05-04,638.288
2001-05-07,641.889
2001-05-08,640.014
2001-05-09,632.153
2001-05-10,636.669
2001-05-11,636.811
2001-05-14,623.872
2001-05-15,629.556
2001-05-16,631.646
2001-05-17,631.708
2001-05-18,637.709
2001-05-21,647.78
2001-05-22,645.402
2001-05-23,638.055
2001-05-24,638.36
2001-05-25,649.914
2001-05-28,650.988
2001-05-29,643.268
2001-05-30,640.18
2001-05-31,628.281
2001-06-01,623.487
2001-06-04,624.37
2001-06-05,625.964
2001-06-06,627.676
2001-06-07,627.178
2001-06-08,627.524
2001-06-11,617.624
2001-06-12,607.941
2001-06-13,623.682
2001-06-14,619.436
2001-06-15,618.46
2001-06-18,619.942
2001-06-19,631.121
2001-06-20,624.587
2001-06-21,620.651
2001-06-22,628.839
2001-06-25,632.281
2001-06-26,621.02
2001-06-27,620.583
2001-06-28,616.01
2001-06-29,620.449
2001-07-02,622.134
2001-07-03,622.018
2001-07-04,619.873
2001-07-05,612.431
2001-07-06,614.104
2001-07-09,618.509
2001-07-10,617.569
2001-07-11,617.516
2001-07-12,611.327
2001-07-13,602.211
2001-07-16,595.598
2001-07-17,587.163
2001-07-18,591.936
2001-07-19,604.077
2001-07-20,603.697
2001-07-23,607.874
2001-07-24,604.766
2001-07-25,599.712
2001-07-26,601.722
2001-07-27,606.448
2001-07-30,612.487
2001-07-31,611.726
2001-08-01,617.038
2001-08-02,620.511
2001-08-03,616.691
2001-08-06,611.866
2001-08-07,608.184
2001-08-08,604.777
2001-08-09,607.957
2001-08-10,608.334
2001-08-13,607.256
2001-08-14,611.049
2001-08-15,614.709
2001-08-16,616.156
2001-08-17,612.372
2001-08-20,603.877
2001-08-21,607.341
2001-08-22,610.175
2001-08-23,598.895
2001-08-24,605.703
2001-08-27,603.02
2001-08-28,603.063
2001-08-29,592.923
2001-08-30,591.29
2001-08-31,589.22
2001-09-03,587.375
2001-09-04,590.131
2001-09-05,590.364
2001-09-06,589.589
2001-09-07,585.474
2001-09-10,566.556
2001-09-11,592.091
2001-09-12,564.504
2001-09-13,568.821
2001-09-14,566.981
2001-09-17,559.84
2001-09-18,550.978
2001-09-19,551.297
2001-09-20,531.232
2001-09-21,501.935
2001-09-24,514.004
2001-09-25,533.542
2001-09-26,526.019
2001-09-27,525.699
2001-09-28,528.427
2001-10-01,519.025
2001-10-02,523.033
2001-10-03,524.86
2001-10-04,529.275
2001-10-05,524.83
2001-10-08,521.885
2001-10-09,527.961
2001-10-10,528.973
2001-10-11,532.855
2001-10-12,528.137
2001-10-15,520.28
2001-10-16,527.193
2001-10-17,540.374
2001-10-18,529.438
2001-10-19,516.27
2001-10-22,520.756
2001-10-23,531.372
2001-10-24,538.688
2001-10-25,534.289
2001-10-26,547.284
2001-10-29,555.342
2001-10-30,553.498
2001-10-31,549.483
2001-11-01,544.585
2001-11-02,540.446
2001-11-05,550.993
2001-11-06,550.791
2001-11-07,556.749
