Date,NORWAY GROWTH Standard (Large+Mid Cap)
2001-01-01,563.383
2001-01-02,575.965
2001-01-03,559.422
2001-01-04,573.168
2001-01-05,581.953
2001-01-08,581.112
2001-01-09,572.529
2001-01-10,572.164
2001-01-11,572.396
2001-01-12,572.303
2001-01-15,573.319
2001-01-16,570.005
2001-01-17,577.601
2001-01-18,580.027
2001-01-19,575.046
2001-01-22,571.984
2001-01-23,573.366
2001-01-24,576.468
2001-01-25,570.541
2001-01-26,574.977
2001-01-29,568.25
2001-01-30,583.485
2001-01-31,592.402
2001-02-01,600.879
2001-02-02,599.398
2001-02-05,597.933
2001-02-06,602.313
2001-02-07,596.39
2001-02-08,589.246
2001-02-09,587.712
2001-02-12,576.191
2001-02-13,573.759
2001-02-14,563.889
2001-02-15,553.555
2001-02-16,560.015
2001-02-19,571.713
2001-02-20,560.022
2001-02-21,561.752
2001-02-22,562.479
2001-02-23,558.813
2001-02-26,564.305
2001-02-27,568.91
2001-02-28,566.525
2001-03-01,560.507
2001-03-02,566.3
2001-03-05,572.135
2001-03-06,592.099
2001-03-07,584.521
2001-03-08,587.505
2001-03-09,585.45
2001-03-12,571.855
2001-03-13,555.264
2001-03-14,535.863
2001-03-15,540.672
2001-03-16,529.648
2001-03-19,525.47
2001-03-20,535.329
2001-03-21,525.693
2001-03-22,502.456
2001-03-23,505.619
2001-03-26,513.482
2001-03-27,522.808
2001-03-28,514.247
2001-03-29,512.898
2001-03-30,524.731
2001-04-02,522.6
2001-04-03,514.888
2001-04-04,517.226
2001-04-05,528.978
2001-04-06,528.9
2001-04-09,527.947
2001-04-10,538.168
2001-04-11,538.093
2001-04-12,543.202
2001-04-13,543.202
2001-04-16,537.67
2001-04-17,534.618
2001-04-18,539.818
2001-04-19,538.848
2001-04-20,541.201
2001-04-23,542.141
2001-04-24,551.994
2001-04-25,552.283
2001-04-26,553.779
2001-04-27,558.59
2001-04-30,561.9
2001-05-01,565.218
2001-05-02,565.112
2001-05-03,554.263
2001-05-04,554.703
2001-05-07,557.833
2001-05-08,556.203
2001-05-09,549.372
2001-05-10,553.296
2001-05-11,553.228
2001-05-14,541.987
2001-05-15,546.925
2001-05-16,548.688
2001-05-17,548.742
2001-05-18,553.955
2001-05-21,562.703
2001-05-22,560.638
2001-05-23,554.239
2001-05-24,554.504
2001-05-25,564.54
2001-05-28,565.473
2001-05-29,558.767
2001-05-30,556.084
2001-05-31,545.748
2001-06-01,541.584
2001-06-04,542.351
2001-06-05,543.736
2001-06-06,545.223
2001-06-07,544.79
2001-06-08,545.091
2001-06-11,536.491
2001-06-12,528.08
2001-06-13,541.754
2001-06-14,538.066
2001-06-15,537.217
2001-06-18,538.505
2001-06-19,548.215
2001-06-20,542.539
2001-06-21,539.121
2001-06-22,546.233
2001-06-25,549.223
2001-06-26,539.441
2001-06-27,539.062
2001-06-28,535.09
2001-06-29,538.945
2001-07-02,540.409
2001-07-03,540.308
2001-07-04,538.445
2001-07-05,531.98
2001-07-06,533.434
2001-07-09,537.26
2001-07-10,536.443
2001-07-11,536.397
2001-07-12,531.022
2001-07-13,523.103
2001-07-16,517.358
2001-07-17,510.032
2001-07-18,514.178
2001-07-19,524.724
2001-07-20,524.394
2001-07-23,528.022
2001-07-24,525.322
2001-07-25,520.933
2001-07-26,522.678
2001-07-27,526.784
2001-07-30,532.029
2001-07-31,531.368
2001-08-01,535.983
2001-08-02,538.999
2001-08-03,535.681
2001-08-06,531.49
2001-08-07,528.292
2001-08-08,525.332
2001-08-09,528.094
2001-08-10,528.422
2001-08-13,527.485
2001-08-14,530.78
2001-08-15,533.959
2001-08-16,535.216
2001-08-17,531.929
2001-08-20,524.55
2001-08-21,527.559
2001-08-22,530.021
2001-08-23,520.222
2001-08-24,526.136
2001-08-27,523.806
2001-08-28,523.843
2001-08-29,515.035
2001-08-30,513.616
2001-08-31,511.819
2001-09-03,510.216
2001-09-04,512.61
2001-09-05,512.812
2001-09-06,512.139
2001-09-07,508.565
2001-09-10,492.132
2001-09-11,514.312
2001-09-12,490.349
2001-09-13,494.099
2001-09-14,492.501
2001-09-17,486.298
2001-09-18,478.6
2001-09-19,478.877
2001-09-20,461.448
2001-09-21,435.999
2001-09-24,446.483
2001-09-25,463.454
2001-09-26,456.92
2001-09-27,456.642
2001-09-28,459.011
2001-10-01,450.845
2001-10-02,454.326
2001-10-03,455.913
2001-10-04,459.748
2001-10-05,455.887
2001-10-08,453.329
2001-10-09,458.607
2001-10-10,459.486
2001-10-11,462.858
2001-10-12,458.759
2001-10-15,451.934
2001-10-16,457.939
2001-10-17,469.389
2001-10-18,459.89
2001-10-19,448.452
