Date,NORWAY GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,121.435
1975-02-28,129.494
1975-03-31,122.202
1975-04-30,139.926
1975-05-30,133.355
1975-06-30,123.615
1975-07-31,123.901
1975-08-29,121.778
1975-09-30,93.122
1975-10-31,97.165
1975-11-28,86.657
1975-12-31,84.219
1976-01-30,107.065
1976-02-27,96.309
1976-03-31,87.081
1976-04-30,84.744
1976-05-31,82.079
1976-06-30,89.014
1976-07-30,87.573
1976-08-31,85.68
1976-09-30,90.859
1976-10-29,87.58
1976-11-30,93.59
1976-12-31,93.355
1977-01-31,90.113
1977-02-28,86.142
1977-03-31,86.026
1977-04-29,78.542
1977-05-31,76.918
1977-06-30,80.904
1977-07-29,81.3
1977-08-31,76.62
1977-09-30,86.012
1977-10-31,77.998
1977-11-30,75.714
1977-12-30,73.404
1978-01-31,67.359
1978-02-28,66.129
1978-03-31,68.461
1978-04-28,69.216
1978-05-31,69.954
1978-06-30,65.298
1978-07-31,70.749
1978-08-31,86.53
1978-09-29,93.051
1978-10-31,79.351
1978-11-30,76.198
1978-12-29,73.901
1979-01-31,83.561
1979-02-28,99.18
1979-03-30,106.882
1979-04-30,129.679
1979-05-31,155.033
1979-06-29,204.415
1979-07-31,203.287
1979-08-31,205.775
1979-09-28,255.413
1979-10-31,278.93
1979-11-30,357.411
1979-12-31,349.566
1980-01-31,357.454
1980-02-29,320.727
1980-03-31,216.394
1980-04-30,262.797
1980-05-30,309.789
1980-06-30,305.416
1980-07-31,294.129
1980-08-29,276.298
1980-09-30,317.498
1980-10-31,310.52
1980-11-28,292.702
1980-12-31,262.446
1981-01-30,238.599
1981-02-27,217.743
1981-03-31,209.444
1981-04-30,195.277
1981-05-29,163.661
1981-06-30,161.862
1981-07-31,189.259
1981-08-31,194.39
1981-09-30,174.611
1981-10-30,190.871
1981-11-30,207.262
1981-12-31,187.828
1982-01-29,182.107
1982-02-26,160.712
1982-03-31,134.027
1982-04-30,151.253
1982-05-31,153.043
1982-06-30,132.486
1982-07-30,129.582
1982-08-31,134.116
1982-09-30,123.041
1982-10-29,126.924
1982-11-30,120.405
1982-12-31,126.319
1983-01-31,140.881
1983-02-28,156.531
1983-03-31,161.754
1983-04-29,206.827
1983-05-31,204.554
1983-06-30,215.665
1983-07-29,241.365
1983-08-31,245.495
1983-09-30,244.715
1983-10-31,222.636
1983-11-30,228.289
1983-12-30,227.897
1984-01-31,253.47
1984-02-29,262.978
1984-03-30,267.746
1984-04-30,288.449
1984-05-31,285.07
1984-06-29,243.788
1984-07-31,230.433
1984-08-31,267.424
1984-09-28,250.092
1984-10-31,249.6
1984-11-30,226.074
1984-12-31,215.528
1985-01-31,236.778
1985-02-28,222.543
1985-03-29,219.847
1985-04-30,235.078
1985-05-31,253.764
1985-06-28,243.663
1985-07-31,275.923
1985-08-30,290.217
1985-09-30,309.789
1985-10-31,337.521
1985-11-29,360.32
1985-12-31,344.517
1986-01-31,340.217
1986-02-28,352.418
1986-03-31,335.328
1986-04-30,320.009
1986-05-30,280.733
1986-06-30,304.794
1986-07-31,290.001
1986-08-29,319.781
1986-09-30,317.542
1986-10-31,314.252
1986-11-28,321.401
1986-12-31,307.244
1987-01-30,346.052
1987-02-27,355.738
1987-03-31,391.029
1987-04-30,403.335
1987-05-29,384.193
1987-06-30,393.478
1987-07-31,438.365
1987-08-31,493.03
1987-09-30,498.56
1987-10-30,338.268
1987-11-30,302.529
1987-12-31,305.826
1988-01-29,281.12
1988-02-29,299.236
1988-03-31,330.146
1988-04-29,339.311
1988-05-31,331.362
1988-06-30,322.38
1988-07-29,320.21
1988-08-31,279.101
1988-09-30,295.58
1988-10-31,316.77
1988-11-30,345.693
1988-12-30,377.884
1989-01-31,423.577
1989-02-28,432.832
1989-03-31,462.33
1989-04-28,485.636
1989-05-31,454.895
1989-06-30,472.728
1989-07-31,473.305
1989-08-31,474.509
1989-09-29,490.577
1989-10-31,435.012
1989-11-30,463.537
1989-12-29,510.573
1990-01-31,567.183
1990-02-28,603.177
1990-03-30,608.791
1990-04-30,563.793
1990-05-31,622.982
1990-06-29,597.577
1990-07-31,656.167
1990-08-31,570.617
1990-09-28,477.641
1990-10-31,488.859
1990-11-30,510.533
1990-12-31,472.559
1991-01-31,467.414
1991-02-28,495.506
1991-03-29,465.519
1991-04-30,435.174
1991-05-31,476.609
1991-06-28,443.286
1991-07-31,493.055
1991-08-30,508.132
1991-09-30,510.696
1991-10-31,500.325
1991-11-29,447.025
1991-12-31,500.805
1992-01-31,510.275
1992-02-28,459.975
1992-03-31,457.058
1992-04-30,453.29
1992-05-29,492.61
1992-06-30,439.264
1992-07-31,438.899
1992-08-31,383.427
1992-09-30,376.525
1992-10-30,334.625
1992-11-30,349.577
1992-12-31,332.702
1993-01-29,351.972
1993-02-26,342.448
1993-03-31,370.868
1993-04-30,386.749
1993-05-31,379.719
1993-06-30,352.98
1993-07-30,357.77
1993-08-31,390.493
1993-09-30,391.076
1993-10-29,423.453
1993-11-30,385.258
1993-12-31,392.924
1994-01-31,466.159
1994-02-28,489.979
1994-03-31,443.967
1994-04-29,460.584
1994-05-31,458.247
1994-06-30,440.978
1994-07-29,510.662
1994-08-31,521.736
1994-09-30,506.515
1994-10-31,553.719
1994-11-30,523.832
1994-12-30,546.315
1995-01-31,549.371
1995-02-28,524.961
1995-03-31,524.433
1995-04-28,570.481
1995-05-31,571.298
1995-06-30,590.058
1995-07-31,622.408
1995-08-31,597.382
1995-09-29,619.596
1995-10-31,596.946
1995-11-30,601.928
1995-12-29,617.204
1996-01-31,617.306
1996-02-29,628.945
1996-03-29,633.128
1996-04-30,670.059
1996-05-31,680.578
1996-06-28,664.212
1996-07-31,616.34
1996-08-30,642.854
1996-09-30,651.038
1996-10-31,660.801
1996-11-29,709.868
1996-12-31,747.693
1997-01-31,786.682
1997-02-28,725.131
1997-03-31,729.128
1997-04-30,708.611
1997-05-30,734.116
1997-06-30,750.222
1997-07-31,738.247
1997-08-29,765.254
1997-09-30,860.316
1997-10-31,829.388
1997-11-28,776.141
1997-12-31,754.49
1998-01-30,706.5
1998-02-27,729.675
1998-03-31,800.751
1998-04-30,857.529
1998-05-29,781.496
1998-06-30,759.047
1998-07-31,754.474
1998-08-31,552.256
1998-09-30,541.076
1998-10-30,646.128
1998-11-30,589.973
1998-12-31,552.558
1999-01-29,594.638
1999-02-26,545.081
1999-03-31,564.469
1999-04-30,593.857
1999-05-31,582.872
1999-06-30,568.4
1999-07-30,573.506
1999-08-31,579.507
1999-09-30,588.151
1999-10-29,563.522
1999-11-30,579.761
1999-12-31,637.41
2000-01-31,597.252
2000-02-29,601.174
2000-03-31,595.6
2000-04-28,563.009
2000-05-31,579.771
2000-06-30,634.863
2000-07-31,644.653
2000-08-31,648.732
2000-09-29,653.279
2000-10-31,638.946
2000-11-30,625.553
2000-12-29,645.876
2001-01-31,679.144
2001-02-28,649.477
2001-03-30,601.564
2001-04-30,644.203
2001-05-31,628.281
2001-06-29,620.449
2001-07-31,611.726
2001-08-31,589.22
2001-09-28,528.427
2001-10-31,549.483
2001-11-30,565.613
2001-12-31,571.378
2002-01-31,538.483
2002-02-28,562.951
2002-03-29,602.583
2002-04-30,595.625
2002-05-31,618.336
2002-06-28,615.845
2002-07-31,587.952
2002-08-30,574.329
2002-09-30,508.957
2002-10-31,528.013
2002-11-29,579.393
2002-12-31,530.13
2003-01-31,483.88
2003-02-28,447.476
2003-03-31,443.763
2003-04-30,503.793
2003-05-30,563.874
2003-06-30,540.78
2003-07-31,576.929
2003-08-29,600.792
2003-09-30,600.779
2003-10-31,668.698
2003-11-28,711.14
2003-12-31,758.644
2004-01-30,778.059
2004-02-27,851.746
2004-03-31,842.643
2004-04-30,828.214
2004-05-31,880.245
2004-06-30,890.822
2004-07-30,851.34
2004-08-31,880.075
2004-09-30,965.754
2004-10-29,991.217
2004-11-30,1116.43
2004-12-31,1135.806
2005-01-31,1118.033
2005-02-28,1220.67
2005-03-31,1185.367
2005-04-29,1134.04
2005-05-31,1178.596
2005-06-30,1279.747
2005-07-29,1379.622
2005-08-31,1487.125
2005-09-30,1513.921
2005-10-31,1401.742
2005-11-30,1373.793
2005-12-30,1434.053
2006-01-31,1584.177
2006-02-28,1599.7
2006-03-31,1751.98
2006-04-28,1939.602
2006-05-31,1875.069
2006-06-30,1792.959
2006-07-31,1830.47
2006-08-31,1778.651
2006-09-29,1652.601
2006-10-31,1834.404
2006-11-30,2029.498
2006-12-29,2091.56
2007-01-31,2154.525
2007-02-28,2098.649
2007-03-30,2213.117
2007-04-30,2342.148
2007-05-31,2405.932
2007-06-29,2558.489
2007-07-31,2514.911
2007-08-31,2409.905
2007-09-28,2752.758
2007-10-31,2883.315
2007-11-30,2707.974
2007-12-31,2799.167
2008-01-31,2181.168
2008-02-29,2452.065
2008-03-31,2434.264
2008-04-30,2736.794
2008-05-30,2898.009
2008-06-30,2753.579
2008-07-31,2420.718
2008-08-29,2308.34
2008-09-30,1590.378
2008-10-31,966.466
2008-11-28,869.2
2008-12-31,1008.869
2009-01-30,1015.517
2009-02-27,862.92
2009-03-31,971.351
2009-04-30,1091.639
2009-05-29,1424.086
2009-06-30,1296.152
2009-07-31,1437.509
2009-08-31,1428.397
2009-09-30,1616.357
2009-10-30,1661.627
2009-11-30,1800.199
2009-12-31,1979.992
2010-01-29,1785.223
2010-02-26,1674.922
2010-03-31,1811.245
2010-04-30,1765.454
2010-05-31,1462.622
2010-06-30,1389.3
2010-07-30,1709.713
2010-08-31,1658.654
2010-09-30,1953.048
2010-10-29,2064.884
2010-11-30,1916.524
2010-12-31,2287.663
2011-01-31,2234.751
2011-02-28,2335.05
2011-03-31,2313.5
2011-04-29,2499.774
2011-05-31,2449.661
2011-06-30,2322.445
2011-07-29,2318.802
2011-08-31,2127.389
2011-09-30,1652.203
2011-10-31,1946.19
2011-11-30,1742.852
2011-12-30,1690.087
2012-01-31,1786.313
2012-02-29,2063.684
2012-03-30,2010.629
2012-04-30,1998.676
2012-05-31,1663.865
2012-06-29,1786.425
2012-07-31,1854.06
2012-08-31,1995.618
2012-09-28,2018.872
2012-10-31,1989.962
2012-11-30,1980.644
2012-12-31,2014.805
2013-01-31,2139.757
2013-02-28,2006.162
2013-03-29,1975.161
2013-04-30,1936.063
2013-05-31,2039.336
2013-06-28,1609.09
2013-07-31,1805.156
2013-08-30,1955.453
2013-09-30,1984.662
2013-10-31,2021.301
2013-11-29,1862.371
2013-12-31,1887.37
2014-01-31,1811.779
2014-02-28,2000.07
2014-03-31,1983.057
2014-04-30,2126.458
2014-05-30,2180.503
2014-06-30,2128.137
2014-07-31,2214.51
2014-08-29,2202.858
2014-09-30,2034.444
2014-10-31,1903.622
2014-11-28,1997.043
2014-12-31,1927.853
2015-01-30,2003.794
2015-02-27,1955.029
2015-03-31,1791.409
2015-04-30,1608.547
2015-05-29,1638.638
2015-06-30,1600.755
2015-07-31,1499.395
2015-08-31,1337.069
2015-09-30,1242.278
2015-10-30,1392.806
2015-11-30,1446.201
2015-12-31,1354.489
2016-01-29,1268.642
2016-02-29,1243.994
2016-03-31,1342.941
2016-04-29,1349.162
2016-05-31,1416.822
2016-06-30,1392.893
2016-07-29,1429.777
2016-08-31,1418.46
2016-09-30,1450.295
2016-10-31,1372.017
2016-11-30,1304.495
2016-12-30,1354.984
2017-01-31,1404.854
2017-02-28,1400.208
2017-03-31,1347.873
2017-04-28,1337.311
2017-05-31,1403.464
2017-06-30,1414.395
2017-07-31,1564.374
2017-08-31,1620.167
2017-09-29,1673.564
2017-10-31,1721.826
2017-11-30,1695.119
2017-12-29,1804.958
2018-01-31,1811.484
2018-02-28,1756.111
2018-03-30,1656.381
2018-04-30,1660.085
2018-05-31,1653.752
2018-06-29,1640.793
2018-07-31,1636.829
2018-08-31,1620.311
2018-09-28,1734.92
2018-10-31,1616.459
2018-11-30,1579.532
2018-12-31,1501.401
2019-01-31,1563.074
2019-02-28,1612.066
2019-03-29,1602.554
2019-04-30,1615.052
2019-05-31,1653.335
2019-06-28,1732.909
2019-07-31,1686.378
2019-08-30,1654.718
2019-09-30,1689.811
2019-10-31,1686.401
2019-11-29,1694.405
2019-12-31,1804.479
2020-01-31,1680.155
2020-02-28,1503.343
2020-03-31,1250.411
2020-04-30,1389.91
2020-05-29,1444.94
2020-06-30,1436.245
2020-07-31,1588.08
2020-08-31,1727.828
2020-09-30,1653.152
2020-10-30,1507.512
2020-11-30,1682.119
2020-12-31,1739.717
2021-01-29,1574.861
2021-02-26,1573.072
2021-03-31,1645.056
2021-04-30,1935.655
2021-05-31,1968.401
2021-06-30,1937.263
2021-07-30,2015.651
