Date,FINLAND SMALL VALUE Small Cap
1994-05-31,87.233
1994-06-30,77.905
1994-07-29,86.389
1994-08-31,86.711
1994-09-30,86.257
1994-10-31,92.084
1994-11-30,80.445
1994-12-30,81.05
1995-01-31,79.782
1995-02-28,81.893
1995-03-31,82.053
1995-04-28,93.03
1995-05-31,93.291
1995-06-30,87.092
1995-07-31,90.918
1995-08-31,90.087
1995-09-29,93.128
1995-10-31,86.831
1995-11-30,86.886
1995-12-29,86.587
1996-01-31,87.104
1996-02-29,99.862
1996-03-29,98.034
1996-04-30,101.213
1996-05-31,109.681
1996-06-28,111.154
1996-07-31,115.977
1996-08-30,123.48
1996-09-30,123.237
1996-10-31,124.47
1996-11-29,129.838
1996-12-31,133.717
1997-01-31,134.668
1997-02-28,143.056
1997-03-31,147.34
1997-04-30,142.856
1997-05-30,148.482
1997-06-30,150.327
1997-07-31,151.944
1997-08-29,146.746
1997-09-30,159.982
1997-10-31,161.592
1997-11-28,160.415
1997-12-31,162.173
1998-01-30,173.554
1998-02-27,185.641
1998-03-31,187.7
1998-04-30,200.143
1998-05-29,203.132
1998-06-30,200.04
1998-07-31,200.055
1998-08-31,168.548
1998-09-30,157.597
1998-10-30,165.197
1998-11-30,159.642
1998-12-31,159.861
1999-01-29,150.14
1999-02-26,149.732
1999-03-31,156.712
1999-04-30,161.866
1999-05-31,163.931
1999-06-30,160.443
1999-07-30,162.845
1999-08-31,160.079
1999-09-30,158.364
1999-10-29,155.379
1999-11-30,148.362
1999-12-31,165.765
2000-01-31,173.178
2000-02-29,175.153
2000-03-31,168.596
2000-04-28,154.509
2000-05-31,148.655
2000-06-30,154.346
2000-07-31,145.793
2000-08-31,142.822
2000-09-29,135.667
2000-10-31,125.075
2000-11-30,123.613
2000-12-29,136.926
2001-01-31,137.701
2001-02-28,140.19
2001-03-30,134.505
2001-04-30,148.329
2001-05-31,147.663
2001-06-29,137.278
2001-07-31,141.215
2001-08-31,149.189
2001-09-28,137.142
2001-10-31,143.69
2001-11-30,151.136
2001-12-31,154.339
2002-01-31,158.324
2002-02-28,169.706
2002-03-29,177.148
2002-04-30,187.281
2002-05-31,199.489
2002-06-28,202.024
2002-07-31,183.951
2002-08-30,182.45
2002-09-30,166.343
2002-10-31,163.784
2002-11-29,174.778
2002-12-31,183.91
2003-01-31,185.573
2003-02-28,175.859
2003-03-31,176.429
2003-04-30,191.442
2003-05-30,201.549
2003-06-30,201.514
2003-07-31,212.805
2003-08-29,216.826
2003-09-30,234.246
2003-10-31,259.494
2003-11-28,281.948
2003-12-31,292.085
2004-01-30,299.635
2004-02-27,318.108
2004-03-31,317.618
2004-04-30,318.845
2004-05-31,318.365
2004-06-30,332.095
2004-07-30,327.775
2004-08-31,334.67
2004-09-30,348.276
2004-10-29,365.139
2004-11-30,405.347
2004-12-31,414.927
2005-01-31,413.224
2005-02-28,452.278
2005-03-31,455.425
2005-04-29,444.166
2005-05-31,459.733
2005-06-30,474.682
2005-07-29,505.765
2005-08-31,511.616
2005-09-30,527.35
2005-10-31,497.756
2005-11-30,498.173
2005-12-30,526.228
2006-01-31,582.368
2006-02-28,615.239
2006-03-31,654.616
2006-04-28,691.581
2006-05-31,653.706
2006-06-30,648.357
2006-07-31,644.915
2006-08-31,670.982
2006-09-29,678.218
2006-10-31,746.286
2006-11-30,799.353
2006-12-29,854.401
2007-01-31,867.143
2007-02-28,877.811
2007-03-30,933.289
2007-04-30,993.956
2007-05-31,1000.0
2007-06-29,980.159
2007-07-31,945.684
2007-08-31,906.504
2007-09-28,903.4
2007-10-31,918.446
2007-11-30,837.975
2007-12-31,823.102
2008-01-31,713.515
2008-02-29,754.884
2008-03-31,806.918
2008-04-30,773.971
2008-05-30,737.455
2008-06-30,660.927
2008-07-31,629.027
2008-08-29,599.852
2008-09-30,496.137
2008-10-31,362.417
2008-11-28,332.32
2008-12-31,351.838
2009-01-30,340.152
2009-02-27,331.431
2009-03-31,332.513
2009-04-30,436.448
2009-05-29,492.971
2009-06-30,486.063
2009-07-31,546.127
2009-08-31,631.419
2009-09-30,693.925
2009-10-30,690.55
2009-11-30,729.805
2009-12-31,740.316
2010-01-29,761.712
2010-02-26,739.602
2010-03-31,794.377
2010-04-30,786.299
2010-05-31,663.119
2010-06-30,648.505
2010-07-30,766.342
2010-08-31,713.954
2010-09-30,840.228
2010-10-29,849.981
2010-11-30,784.641
2010-12-31,887.124
2011-01-31,901.913
2011-02-28,897.883
2011-03-31,945.085
2011-04-29,1024.2
2011-05-31,968.305
2011-06-30,935.019
2011-07-29,838.168
2011-08-31,731.624
2011-09-30,604.025
2011-10-31,706.727
2011-11-30,665.532
2011-12-30,614.982
2012-01-31,708.518
2012-02-29,792.681
2012-03-30,789.742
2012-04-30,782.904
2012-05-31,614.99
2012-06-29,636.915
2012-07-31,642.527
2012-08-31,647.694
2012-09-28,689.23
2012-10-31,700.543
2012-11-30,717.48
2012-12-31,744.368
2013-01-31,797.352
2013-02-28,805.356
2013-03-29,783.837
2013-04-30,803.515
2013-05-31,812.803
2013-06-28,750.461
2013-07-31,799.028
2013-08-30,821.531
2013-09-30,884.079
2013-10-31,897.516
2013-11-29,935.678
2013-12-31,944.822
2014-01-31,913.713
2014-02-28,1002.142
2014-03-31,993.281
2014-04-30,1022.545
2014-05-30,1051.704
2014-06-30,1057.931
2014-07-31,977.709
2014-08-29,958.976
2014-09-30,884.506
2014-10-31,864.897
2014-11-28,887.629
2014-12-31,870.982
2015-01-30,896.088
2015-02-27,972.089
2015-03-31,968.359
2015-04-30,994.456
2015-05-29,971.688
2015-06-30,941.574
2015-07-31,999.247
2015-08-31,940.972
2015-09-30,864.856
2015-10-30,913.095
2015-11-30,923.758
2015-12-31,926.245
2016-01-29,890.886
2016-02-29,888.694
2016-03-31,976.851
2016-04-29,1003.203
2016-05-31,1020.094
2016-06-30,1016.44
2016-07-29,1105.068
2016-08-31,1125.352
2016-09-30,1196.191
2016-10-31,1131.878
2016-11-30,1119.498
2016-12-30,1169.983
2017-01-31,1200.664
2017-02-28,1146.384
2017-03-31,1172.336
2017-04-28,1296.05
2017-05-31,1353.992
2017-06-30,1390.483
2017-07-31,1410.285
2017-08-31,1428.799
2017-09-29,1446.85
2017-10-31,1407.156
2017-11-30,1403.596
2017-12-29,1467.443
2018-01-31,1545.541
2018-02-28,1513.194
2018-03-30,1498.255
2018-04-30,1527.638
2018-05-31,1503.724
2018-06-29,1508.953
2018-07-31,1474.625
2018-08-31,1478.014
2018-09-28,1454.287
2018-10-31,1371.046
2018-11-30,1297.875
2018-12-31,1197.934
2019-01-31,1315.05
2019-02-28,1339.114
2019-03-29,1370.342
2019-04-30,1403.846
2019-05-31,1279.763
2019-06-28,1427.176
2019-07-31,1375.336
2019-08-30,1372.985
2019-09-30,1416.906
2019-10-31,1531.645
2019-11-29,1552.826
2019-12-31,1595.683
2020-01-31,1607.878
2020-02-28,1489.493
2020-03-31,1125.336
2020-04-30,1322.835
2020-05-29,1411.585
2020-06-30,1412.09
2020-07-31,1630.505
2020-08-31,1733.64
2020-09-30,1805.919
2020-10-30,1811.333
2020-11-30,1999.954
2020-12-31,2115.55
2021-01-29,2169.928
2021-02-26,2146.412
2021-03-31,2211.915
2021-04-30,2413.063
2021-05-31,2380.149
2021-06-30,2331.312
2021-07-30,2488.774
2021-08-31,2459.032
2021-09-30,2200.199
2021-10-29,2258.668
2021-11-30,2170.201
2021-12-31,2267.795
2022-01-31,2163.184
2022-02-28,1878.803
2022-03-31,1823.986
2022-04-29,1704.659
2022-05-31,1756.221
2022-06-30,1513.286
2022-07-29,1630.331
2022-08-31,1533.571
2022-09-30,1328.832
2022-10-31,1469.578
2022-11-30,1603.617
2022-12-30,1654.525
2023-01-31,1801.063
2023-02-28,1811.314
2023-03-31,1777.794
2023-04-28,1848.208
2023-05-31,1686.793
2023-06-30,1688.329
2023-07-31,1628.511
2023-08-31,1575.797
2023-09-29,1479.209
2023-10-31,1422.544
2023-11-30,1609.885
2023-12-29,1774.009
2024-01-31,1717.044
2024-02-29,1746.03
2024-03-29,1790.336
2024-04-30,1808.101
2024-05-31,1935.042
2024-06-28,1906.234
2024-07-31,1974.766
2024-08-30,2021.499
2024-09-30,2173.663
2024-10-31,1921.76
2024-11-29,1834.99
2024-12-31,1822.532
2025-01-31,1986.098
2025-02-28,2001.932
2025-03-31,1979.872
2025-04-30,2187.063
2025-05-30,2220.419
2025-06-30,2269.766
