Date,FINLAND SMALL VALUE Small Cap
2001-01-01,150.126
2001-01-02,153.037
2001-01-03,149.148
2001-01-04,152.793
2001-01-05,154.808
2001-01-08,155.04
2001-01-09,150.458
2001-01-10,149.504
2001-01-11,149.924
2001-01-12,150.605
2001-01-15,150.421
2001-01-16,149.768
2001-01-17,150.139
2001-01-18,152.095
2001-01-19,151.926
2001-01-22,153.255
2001-01-23,153.4
2001-01-24,150.422
2001-01-25,149.048
2001-01-26,148.039
2001-01-29,147.748
2001-01-30,147.688
2001-01-31,150.975
2001-02-01,154.86
2001-02-02,154.802
2001-02-05,157.421
2001-02-06,156.257
2001-02-07,155.287
2001-02-08,152.062
2001-02-09,151.845
2001-02-12,152.679
2001-02-13,151.033
2001-02-14,150.185
2001-02-15,149.138
2001-02-16,152.059
2001-02-19,153.967
2001-02-20,151.759
2001-02-21,153.141
2001-02-22,151.108
2001-02-23,151.295
2001-02-26,150.686
2001-02-27,153.419
2001-02-28,153.705
2001-03-01,153.867
2001-03-02,155.36
2001-03-05,155.087
2001-03-06,156.681
2001-03-07,156.235
2001-03-08,158.13
2001-03-09,158.115
2001-03-12,156.885
2001-03-13,154.377
2001-03-14,152.138
2001-03-15,152.036
2001-03-16,150.491
2001-03-19,151.259
2001-03-20,151.979
2001-03-21,151.087
2001-03-22,146.954
2001-03-23,146.806
2001-03-26,147.371
2001-03-27,148.361
2001-03-28,148.352
2001-03-29,146.673
2001-03-30,146.608
2001-04-02,147.847
2001-04-03,148.317
2001-04-04,148.897
2001-04-05,149.345
2001-04-06,150.334
2001-04-09,150.595
2001-04-10,150.513
2001-04-11,152.115
2001-04-12,153.628
2001-04-13,153.628
2001-04-16,152.055
2001-04-17,153.27
2001-04-18,152.275
2001-04-19,155.244
2001-04-20,157.228
2001-04-23,155.572
2001-04-24,155.752
2001-04-25,156.938
2001-04-26,160.111
2001-04-27,159.403
2001-04-30,161.178
2001-05-01,162.033
2001-05-02,162.54
2001-05-03,161.963
2001-05-04,160.642
2001-05-07,161.617
2001-05-08,161.104
2001-05-09,161.543
2001-05-10,161.877
2001-05-11,161.785
2001-05-14,161.851
2001-05-15,163.147
2001-05-16,164.581
2001-05-17,166.151
2001-05-18,166.039
2001-05-21,166.055
2001-05-22,164.904
2001-05-23,163.3
2001-05-24,162.683
2001-05-25,162.462
2001-05-28,163.83
2001-05-29,162.389
2001-05-30,162.208
2001-05-31,160.447
2001-06-01,160.683
2001-06-04,161.112
2001-06-05,163.987
2001-06-06,164.324
2001-06-07,164.745
2001-06-08,164.972
2001-06-11,162.012
2001-06-12,161.714
2001-06-13,159.99
2001-06-14,159.339
2001-06-15,157.043
2001-06-18,155.728
2001-06-19,155.62
2001-06-20,153.963
2001-06-21,154.847
2001-06-22,155.039
2001-06-25,155.871
2001-06-26,154.766
2001-06-27,152.222
2001-06-28,149.712
2001-06-29,149.163
2001-07-02,151.968
2001-07-03,152.746
2001-07-04,152.683
2001-07-05,151.702
2001-07-06,151.053
2001-07-09,151.058
2001-07-10,152.836
2001-07-11,153.106
2001-07-12,151.295
2001-07-13,151.145
2001-07-16,152.395
2001-07-17,149.573
2001-07-18,153.672
2001-07-19,153.358
2001-07-20,154.241
2001-07-23,152.018
2001-07-24,153.658
2001-07-25,153.909
2001-07-26,152.135
2001-07-27,151.99
2001-07-30,152.628
2001-07-31,153.442
2001-08-01,154.724
2001-08-02,156.055
2001-08-03,156.147
2001-08-06,155.436
2001-08-07,154.168
2001-08-08,153.64
2001-08-09,155.495
2001-08-10,155.72
2001-08-13,158.323
2001-08-14,158.21
2001-08-15,161.168
2001-08-16,161.689
2001-08-17,162.855
2001-08-20,160.978
2001-08-21,161.65
2001-08-22,162.874
2001-08-23,161.442
2001-08-24,161.914
2001-08-27,161.199
2001-08-28,160.82
2001-08-29,159.128
2001-08-30,159.3
2001-08-31,162.106
2001-09-03,161.787
2001-09-04,158.503
2001-09-05,159.089
2001-09-06,160.031
2001-09-07,162.285
2001-09-10,159.503
2001-09-11,158.316
2001-09-12,156.941
2001-09-13,157.411
2001-09-14,156.552
2001-09-17,154.326
2001-09-18,155.535
2001-09-19,155.375
2001-09-20,152.319
2001-09-21,147.147
2001-09-24,148.061
2001-09-25,148.138
2001-09-26,149.555
2001-09-27,148.669
2001-09-28,149.015
2001-10-01,150.252
2001-10-02,150.757
2001-10-03,151.495
2001-10-04,152.566
2001-10-05,154.117
2001-10-08,154.016
2001-10-09,154.593
2001-10-10,153.822
2001-10-11,155.436
2001-10-12,156.109
2001-10-15,156.238
2001-10-16,156.313
2001-10-17,156.141
2001-10-18,155.315
2001-10-19,153.971
2001-10-22,153.215
2001-10-23,152.171
2001-10-24,154.793
2001-10-25,157.575
2001-10-26,155.921
2001-10-29,156.855
2001-10-30,156.448
2001-10-31,156.13
2001-11-01,155.483
2001-11-02,154.772
2001-11-05,154.39
2001-11-06,154.725
2001-11-07,155.771
2001-11-08,158.261
2001-11-09,158.039
2001-11-12,156.421
2001-11-13,154.868
2001-11-14,156.157
2001-11-15,155.55
2001-11-16,157.059
2001-11-19,158.573
2001-11-20,159.022
2001-11-21,158.485
2001-11-22,158.964
2001-11-23,159.037
2001-11-26,159.441
2001-11-27,160.171
2001-11-28,161.289
2001-11-29,160.09
2001-11-30,164.221
2001-12-03,160.088
2001-12-04,160.953
2001-12-05,161.096
2001-12-06,161.649
2001-12-07,161.759
2001-12-10,161.466
2001-12-11,161.804
2001-12-12,162.25
2001-12-13,164.014
2001-12-14,165.309
2001-12-17,165.473
2001-12-18,165.688
2001-12-19,164.788
2001-12-20,163.781
2001-12-21,163.094
2001-12-24,161.466
2001-12-25,161.466
2001-12-26,161.604
2001-12-27,164.474
2001-12-28,166.081
2001-12-31,167.701
2002-01-01,167.701
2002-01-02,172.717
2002-01-03,173.973
2002-01-04,175.07
2002-01-07,176.517
2002-01-08,176.892
2002-01-09,176.69
2002-01-10,177.248
2002-01-11,177.876
2002-01-14,176.641
2002-01-15,175.927
2002-01-16,173.502
2002-01-17,174.434
2002-01-18,175.201
2002-01-21,175.09
2002-01-22,174.953
2002-01-23,174.61
2002-01-24,174.785
2002-01-25,172.779
2002-01-28,172.253
2002-01-29,173.1
2002-01-30,173.389
2002-01-31,172.031
2002-02-01,173.811
2002-02-04,176.162
2002-02-05,175.871
2002-02-06,175.778
2002-02-07,177.226
2002-02-08,177.454
2002-02-11,179.325
2002-02-12,180.096
2002-02-13,180.508
2002-02-14,180.875
2002-02-15,183.093
2002-02-18,183.72
2002-02-19,184.531
2002-02-20,183.742
2002-02-21,184.361
2002-02-22,184.96
2002-02-25,183.87
2002-02-26,183.566
2002-02-27,183.794
2002-02-28,184.399
2002-03-01,185.625
2002-03-04,186.698
2002-03-05,187.555
2002-03-06,189.118
2002-03-07,190.653
2002-03-08,190.39
