Date,FINLAND SMALL VALUE Small Cap
2001-01-01,136.926
2001-01-02,139.581
2001-01-03,136.034
2001-01-04,139.358
2001-01-05,141.196
2001-01-08,141.408
2001-01-09,137.228
2001-01-10,136.359
2001-01-11,136.741
2001-01-12,137.363
2001-01-15,137.195
2001-01-16,136.6
2001-01-17,136.938
2001-01-18,138.722
2001-01-19,138.568
2001-01-22,139.78
2001-01-23,139.912
2001-01-24,137.195
2001-01-25,135.942
2001-01-26,135.022
2001-01-29,134.757
2001-01-30,134.702
2001-01-31,137.701
2001-02-01,141.243
2001-02-02,141.191
2001-02-05,143.579
2001-02-06,142.518
2001-02-07,141.633
2001-02-08,138.691
2001-02-09,138.493
2001-02-12,139.254
2001-02-13,137.753
2001-02-14,136.98
2001-02-15,136.024
2001-02-16,138.689
2001-02-19,140.429
2001-02-20,138.415
2001-02-21,139.676
2001-02-22,137.821
2001-02-23,137.992
2001-02-26,137.437
2001-02-27,139.929
2001-02-28,140.19
2001-03-01,140.338
2001-03-02,141.7
2001-03-05,141.451
2001-03-06,142.904
2001-03-07,142.497
2001-03-08,144.288
2001-03-09,144.301
2001-03-12,143.179
2001-03-13,140.89
2001-03-14,138.923
2001-03-15,138.83
2001-03-16,137.418
2001-03-19,138.178
2001-03-20,138.835
2001-03-21,138.128
2001-03-22,134.59
2001-03-23,134.455
2001-03-26,134.972
2001-03-27,135.938
2001-03-28,135.93
2001-03-29,134.408
2001-03-30,134.505
2001-04-02,135.642
2001-04-03,136.073
2001-04-04,136.869
2001-04-05,137.281
2001-04-06,138.204
2001-04-09,138.444
2001-04-10,138.369
2001-04-11,139.876
2001-04-12,141.267
2001-04-13,141.267
2001-04-16,139.82
2001-04-17,140.938
2001-04-18,140.023
2001-04-19,142.753
2001-04-20,144.663
2001-04-23,143.138
2001-04-24,143.318
2001-04-25,144.41
2001-04-26,147.329
2001-04-27,146.696
2001-04-30,148.329
2001-05-01,149.115
2001-05-02,149.583
2001-05-03,149.051
2001-05-04,147.836
2001-05-07,148.733
2001-05-08,148.261
2001-05-09,148.665
2001-05-10,148.972
2001-05-11,148.887
2001-05-14,148.948
2001-05-15,150.141
2001-05-16,151.467
2001-05-17,152.912
2001-05-18,152.809
2001-05-21,152.824
2001-05-22,151.765
2001-05-23,150.288
2001-05-24,149.721
2001-05-25,149.517
2001-05-28,150.776
2001-05-29,149.449
2001-05-30,149.284
2001-05-31,147.663
2001-06-01,147.88
2001-06-04,148.275
2001-06-05,150.921
2001-06-06,151.231
2001-06-07,151.618
2001-06-08,151.827
2001-06-11,149.103
2001-06-12,148.828
2001-06-13,147.242
2001-06-14,146.643
2001-06-15,144.53
2001-06-18,143.32
2001-06-19,143.221
2001-06-20,141.695
2001-06-21,142.509
2001-06-22,142.686
2001-06-25,143.451
2001-06-26,142.434
2001-06-27,140.093
2001-06-28,137.783
2001-06-29,137.278
2001-07-02,139.859
2001-07-03,140.575
2001-07-04,140.518
2001-07-05,139.614
2001-07-06,139.017
2001-07-09,139.022
2001-07-10,140.658
2001-07-11,140.907
2001-07-12,139.24
2001-07-13,139.101
2001-07-16,140.253
2001-07-17,137.655
2001-07-18,141.427
2001-07-19,141.139
2001-07-20,141.951
2001-07-23,139.905
2001-07-24,141.414
2001-07-25,141.645
2001-07-26,140.013
2001-07-27,139.879
2001-07-30,140.467
2001-07-31,141.215
2001-08-01,142.396
2001-08-02,143.621
2001-08-03,143.706
2001-08-06,143.051
2001-08-07,141.884
2001-08-08,141.398
2001-08-09,143.105
2001-08-10,143.313
2001-08-13,145.708
2001-08-14,145.603
2001-08-15,148.326
2001-08-16,148.806
2001-08-17,149.879
2001-08-20,148.152
2001-08-21,148.769
2001-08-22,149.896
2001-08-23,148.579
2001-08-24,149.013
2001-08-27,148.354
2001-08-28,148.006
2001-08-29,146.448
2001-08-30,146.607
2001-08-31,149.189
2001-09-03,148.896
2001-09-04,145.874
2001-09-05,146.413
2001-09-06,147.28
2001-09-07,149.354
