Date,FINLAND SMALL VALUE Small Cap
1994-05-31,98.186
1994-06-30,87.687
1994-07-29,97.236
1994-08-31,97.598
1994-09-30,97.087
1994-10-31,103.645
1994-11-30,90.545
1994-12-30,91.226
1995-01-31,89.799
1995-02-28,92.175
1995-03-31,92.054
1995-04-28,104.075
1995-05-31,104.367
1995-06-30,97.433
1995-07-31,101.713
1995-08-31,100.757
1995-09-29,104.158
1995-10-31,97.115
1995-11-30,97.177
1995-12-29,96.842
1996-01-31,97.421
1996-02-29,111.69
1996-03-29,109.343
1996-04-30,112.659
1996-05-31,122.084
1996-06-28,123.724
1996-07-31,129.092
1996-08-30,137.38
1996-09-30,137.109
1996-10-31,138.482
1996-11-29,144.454
1996-12-31,148.769
1997-01-31,149.827
1997-02-28,159.16
1997-03-31,163.639
1997-04-30,158.291
1997-05-30,164.525
1997-06-30,166.569
1997-07-31,168.361
1997-08-29,162.527
1997-09-30,177.186
1997-10-31,178.969
1997-11-28,177.665
1997-12-31,179.612
1998-01-30,192.217
1998-02-27,205.604
1998-03-31,207.571
1998-04-30,220.767
1998-05-29,224.064
1998-06-30,220.653
1998-07-31,220.671
1998-08-31,185.781
1998-09-30,173.71
1998-10-30,182.087
1998-11-30,175.964
1998-12-31,176.205
1999-01-29,165.491
1999-02-26,165.041
1999-03-31,172.542
1999-04-30,178.04
1999-05-31,180.312
1999-06-30,176.474
1999-07-30,179.117
1999-08-31,176.074
1999-09-30,174.188
1999-10-29,170.904
1999-11-30,163.186
1999-12-31,182.329
2000-01-31,190.482
2000-02-29,192.654
2000-03-31,185.098
2000-04-28,169.471
2000-05-31,163.051
2000-06-30,169.292
2000-07-31,159.911
2000-08-31,156.591
2000-09-29,148.745
2000-10-31,137.132
2000-11-30,135.53
2000-12-29,150.126
2001-01-31,150.975
2001-02-28,153.705
2001-03-30,146.608
2001-04-30,161.178
2001-05-31,160.447
2001-06-29,149.163
2001-07-31,153.442
2001-08-31,162.106
2001-09-28,149.015
2001-10-31,156.13
2001-11-30,164.221
2001-12-31,167.701
2002-01-31,172.031
2002-02-28,184.399
2002-03-29,190.954
2002-04-30,200.598
2002-05-31,213.675
2002-06-28,216.39
2002-07-31,197.032
2002-08-30,195.425
2002-09-30,178.172
2002-10-31,175.431
2002-11-29,187.207
2002-12-31,196.988
2003-01-31,198.769
2003-02-28,188.103
2003-03-31,187.174
2003-04-30,201.607
2003-05-30,212.251
2003-06-30,212.214
2003-07-31,224.105
2003-08-29,228.339
2003-09-30,246.683
2003-10-31,273.272
2003-11-28,296.91
2003-12-31,307.408
2004-01-30,315.354
2004-02-27,334.796
2004-03-31,330.248
2004-04-30,330.799
2004-05-31,330.3
2004-06-30,344.545
2004-07-30,340.063
2004-08-31,347.217
2004-09-30,361.332
2004-10-29,378.827
2004-11-30,420.31
2004-12-31,429.545
2005-01-31,427.782
2005-02-28,468.212
2005-03-31,467.171
2005-04-29,454.527
2005-05-31,470.456
2005-06-30,485.754
2005-07-29,517.562
2005-08-31,523.549
2005-09-30,539.65
2005-10-31,509.366
2005-11-30,509.793
2005-12-30,538.502
2006-01-31,595.952
2006-02-28,629.59
2006-03-31,664.933
2006-04-28,700.442
2006-05-31,662.082
2006-06-30,656.664
2006-07-31,653.178
2006-08-31,679.579
2006-09-29,686.908
2006-10-31,755.849
2006-11-30,808.614
2006-12-29,864.208
2007-01-31,877.096
2007-02-28,887.887
2007-03-30,936.179
2007-04-30,993.956
2007-05-31,1000.0
2007-06-29,980.159
2007-07-31,945.684
2007-08-31,906.504
2007-09-28,903.4
2007-10-31,918.446
2007-11-30,837.975
2007-12-31,823.102
