Date,IRELAND SMID VALUE SMID (Small+Mid Cap)
2001-01-01,309.924
2001-01-02,309.78
2001-01-03,300.413
2001-01-04,307.949
2001-01-05,311.649
2001-01-08,307.711
2001-01-09,303.703
2001-01-10,298.816
2001-01-11,304.672
2001-01-12,303.371
2001-01-15,299.607
2001-01-16,297.594
2001-01-17,297.592
2001-01-18,302.372
2001-01-19,299.505
2001-01-22,298.928
2001-01-23,300.716
2001-01-24,296.05
2001-01-25,298.683
2001-01-26,295.388
2001-01-29,299.129
2001-01-30,298.289
2001-01-31,299.594
2001-02-01,304.529
2001-02-02,302.487
2001-02-05,302.207
2001-02-06,301.12
2001-02-07,303.711
2001-02-08,299.48
2001-02-09,299.51
2001-02-12,301.129
2001-02-13,297.148
2001-02-14,297.031
2001-02-15,293.922
2001-02-16,299.596
2001-02-19,296.838
2001-02-20,296.52
2001-02-21,295.123
2001-02-22,297.46
2001-02-23,298.03
2001-02-26,294.635
2001-02-27,299.264
2001-02-28,298.069
2001-03-01,297.586
2001-03-02,296.279
2001-03-05,299.5
2001-03-06,302.117
2001-03-07,303.653
2001-03-08,306.239
2001-03-09,301.838
2001-03-12,298.602
2001-03-13,293.208
2001-03-14,288.023
2001-03-15,283.851
2001-03-16,275.063
2001-03-19,274.446
2001-03-20,277.918
2001-03-21,269.584
2001-03-22,253.049
2001-03-23,261.413
2001-03-26,266.331
2001-03-27,272.965
2001-03-28,268.616
2001-03-29,265.112
2001-03-30,264.361
2001-04-02,264.438
2001-04-03,261.338
2001-04-04,263.762
2001-04-05,261.878
2001-04-06,266.423
2001-04-09,270.682
2001-04-10,272.213
2001-04-11,271.242
2001-04-12,274.398
2001-04-13,274.398
2001-04-16,271.588
2001-04-17,270.54
2001-04-18,269.116
2001-04-19,275.279
2001-04-20,281.015
2001-04-23,280.096
2001-04-24,277.716
2001-04-25,279.364
2001-04-26,281.697
2001-04-27,281.924
2001-04-30,282.245
2001-05-01,282.307
2001-05-02,282.554
2001-05-03,282.609
2001-05-04,285.289
2001-05-07,284.125
2001-05-08,284.539
2001-05-09,285.81
2001-05-10,287.331
2001-05-11,284.385
2001-05-14,285.497
2001-05-15,284.748
2001-05-16,287.774
2001-05-17,289.368
2001-05-18,287.999
2001-05-21,289.193
2001-05-22,288.241
2001-05-23,290.714
2001-05-24,286.325
2001-05-25,283.905
2001-05-28,285.616
2001-05-29,281.889
2001-05-30,283.077
2001-05-31,279.275
2001-06-01,281.049
2001-06-04,281.431
2001-06-05,286.542
2001-06-06,289.638
2001-06-07,291.884
2001-06-08,291.358
2001-06-11,289.198
2001-06-12,290.501
2001-06-13,291.763
2001-06-14,293.7
2001-06-15,294.661
2001-06-18,295.593
2001-06-19,292.145
2001-06-20,290.365
2001-06-21,292.903
2001-06-22,292.55
2001-06-25,295.077
2001-06-26,292.737
2001-06-27,291.199
2001-06-28,286.204
2001-06-29,287.951
2001-07-02,288.262
2001-07-03,290.52
2001-07-04,290.128
2001-07-05,285.084
2001-07-06,286.531
2001-07-09,290.046
2001-07-10,291.132
2001-07-11,291.65
2001-07-12,289.486
2001-07-13,293.331
2001-07-16,294.547
2001-07-17,292.875
2001-07-18,300.26
2001-07-19,300.092
2001-07-20,301.144
2001-07-23,299.639
2001-07-24,299.525
2001-07-25,299.405
2001-07-26,297.706
2001-07-27,299.897
2001-07-30,298.635
2001-07-31,299.06
2001-08-01,299.942
2001-08-02,301.566
2001-08-03,303.047
2001-08-06,301.266
2001-08-07,300.555
2001-08-08,299.424
2001-08-09,300.623
2001-08-10,303.741
2001-08-13,304.831
2001-08-14,304.998
2001-08-15,311.912
2001-08-16,311.701
2001-08-17,310.619
2001-08-20,310.011
2001-08-21,308.996
2001-08-22,311.964
2001-08-23,310.827
2001-08-24,309.847
2001-08-27,309.995
2001-08-28,311.732
2001-08-29,312.375
2001-08-30,311.181
2001-08-31,309.918
2001-09-03,309.747
2001-09-04,305.33
2001-09-05,302.465
2001-09-06,302.195
