Date,IRELAND SMID VALUE SMID (Small+Mid Cap)
1994-05-31,87.32
1994-06-30,85.426
1994-07-29,90.578
1994-08-31,93.236
1994-09-30,93.692
1994-10-31,98.722
1994-11-30,95.615
1994-12-30,96.629
1995-01-31,95.905
1995-02-28,99.107
1995-03-31,103.347
1995-04-28,107.566
1995-05-31,111.597
1995-06-30,117.343
1995-07-31,121.239
1995-08-31,119.669
1995-09-29,126.806
1995-10-31,128.639
1995-11-30,132.313
1995-12-29,135.91
1996-01-31,139.677
1996-02-29,140.098
1996-03-29,144.657
1996-04-30,145.449
1996-05-31,152.056
1996-06-28,157.795
1996-07-31,148.364
1996-08-30,154.382
1996-09-30,162.081
1996-10-31,170.653
1996-11-29,179.057
1996-12-31,180.943
1997-01-31,177.555
1997-02-28,200.604
1997-03-31,201.271
1997-04-30,195.49
1997-05-30,210.033
1997-06-30,211.904
1997-07-31,220.168
1997-08-29,217.151
1997-09-30,217.508
1997-10-31,222.52
1997-11-28,222.162
1997-12-31,234.336
1998-01-30,255.171
1998-02-27,298.894
1998-03-31,322.723
1998-04-30,342.826
1998-05-29,320.173
1998-06-30,313.395
1998-07-31,305.519
1998-08-31,257.316
1998-09-30,259.626
1998-10-30,283.578
1998-11-30,283.735
1998-12-31,290.471
1999-01-29,285.925
1999-02-26,306.072
1999-03-31,303.085
1999-04-30,324.172
1999-05-31,302.36
1999-06-30,271.747
1999-07-30,290.785
1999-08-31,289.958
1999-09-30,297.17
1999-10-29,276.012
1999-11-30,285.153
1999-12-31,304.159
2000-01-31,311.364
2000-02-29,314.15
2000-03-31,313.062
2000-04-28,287.662
2000-05-31,277.632
2000-06-30,271.53
2000-07-31,256.873
2000-08-31,276.955
2000-09-29,282.097
2000-10-31,274.897
2000-11-30,267.343
2000-12-29,305.812
2001-01-31,295.619
2001-02-28,294.115
2001-03-30,260.853
2001-04-30,278.866
2001-05-31,276.041
2001-06-29,284.657
2001-07-31,295.683
2001-08-31,306.455
2001-09-28,260.294
2001-10-31,273.431
2001-11-30,289.506
2001-12-31,293.498
2002-01-31,288.185
2002-02-28,297.855
2002-03-29,321.751
2002-04-30,349.387
2002-05-31,384.246
2002-06-28,355.19
2002-07-31,303.534
2002-08-30,312.257
2002-09-30,261.524
2002-10-31,280.331
2002-11-29,302.568
2002-12-31,282.88
2003-01-31,286.081
2003-02-28,268.788
2003-03-31,298.117
2003-04-30,322.419
2003-05-30,343.598
2003-06-30,335.14
2003-07-31,375.428
2003-08-29,381.445
2003-09-30,385.746
2003-10-31,402.261
2003-11-28,417.344
2003-12-31,462.634
2004-01-30,484.385
2004-02-27,494.031
2004-03-31,508.6
2004-04-30,522.426
2004-05-31,525.727
2004-06-30,539.145
2004-07-30,501.702
2004-08-31,520.048
2004-09-30,548.502
2004-10-29,587.453
2004-11-30,614.097
2004-12-31,648.042
2005-01-31,631.762
2005-02-28,569.12
2005-03-31,499.312
2005-04-29,503.628
2005-05-31,521.233
2005-06-30,533.332
2005-07-29,550.5
2005-08-31,583.069
2005-09-30,589.272
2005-10-31,568.877
2005-11-30,587.855
2005-12-30,662.077
2006-01-31,699.776
2006-02-28,703.083
2006-03-31,742.413
2006-04-28,781.369
2006-05-31,790.333
2006-06-30,753.366
2006-07-31,738.477
2006-08-31,800.277
2006-09-29,772.446
2006-10-31,809.53
2006-11-30,853.142
2006-12-29,920.621
2007-01-31,876.741
2007-02-28,929.04
