Date,IRELAND SMID VALUE SMID (Small+Mid Cap)
2012-08-31,116.118
2012-09-28,129.748
2012-10-31,129.333
2012-11-30,144.797
2012-12-31,151.987
2013-01-31,176.588
2013-02-28,174.453
2013-03-29,188.027
2013-04-30,194.723
2013-05-31,206.591
2013-06-28,212.916
2013-07-31,240.574
2013-08-30,243.287
2013-09-30,260.812
2013-10-31,274.398
2013-11-29,280.94
2013-12-31,285.797
2014-01-31,275.966
2014-02-28,327.035
2014-03-31,293.485
2014-04-30,272.521
2014-05-30,289.426
2014-06-30,282.605
2014-07-31,263.103
2014-08-29,271.793
2014-09-30,260.87
2014-10-31,242.194
2014-11-28,262.562
2014-12-31,257.684
2015-01-30,256.117
2015-02-27,284.381
2015-03-31,276.498
2015-04-30,295.892
2015-05-29,288.87
2015-06-30,279.109
2015-07-31,295.451
2015-08-31,292.545
2015-09-30,274.216
2015-10-30,289.607
2015-11-30,279.38
2015-12-31,278.746
2016-01-29,248.641
2016-02-29,242.518
2016-03-31,272.415
2016-04-29,274.544
2016-05-31,274.802
2016-06-30,213.587
2016-07-29,222.523
2016-08-31,234.817
2016-09-30,223.064
2016-10-31,220.828
2016-11-30,221.803
2016-12-30,237.327
2017-01-31,260.889
2017-02-28,251.131
2017-03-31,253.855
2017-04-28,260.828
2017-05-31,273.962
2017-06-30,282.29
2017-07-31,281.291
2017-08-31,283.711
2017-09-29,289.938
2017-10-31,278.948
2017-11-30,290.088
2017-12-29,304.316
2018-01-31,328.182
2018-02-28,315.677
2018-03-30,318.384
2018-04-30,330.757
2018-05-31,311.334
2018-06-29,308.057
2018-07-31,322.52
2018-08-31,315.08
2018-09-28,298.207
2018-10-31,282.528
2018-11-30,262.882
2018-12-31,242.807
2019-01-31,254.397
2019-02-28,261.37
2019-03-29,249.006
2019-04-30,263.327
2019-05-31,233.23
2019-06-28,238.341
2019-07-31,225.056
2019-08-30,208.898
2019-09-30,229.197
2019-10-31,254.295
2019-11-29,269.419
2019-12-31,286.927
2020-01-31,261.731
2020-02-28,232.498
2020-03-31,177.078
2020-04-30,215.567
2020-05-29,216.044
2020-06-30,225.819
2020-07-31,230.376
2020-08-31,245.593
2020-09-30,245.581
2020-10-30,249.893
2020-11-30,301.777
2020-12-31,333.097
2021-01-29,327.911
2021-02-26,342.257
2021-03-31,364.798
2021-04-30,400.257
2021-05-31,425.823
2021-06-30,400.249
2021-07-30,405.853
2021-08-31,431.062
2021-09-30,400.332
2021-10-29,401.171
2021-11-30,367.591
2021-12-31,395.751
2022-01-31,402.155
2022-02-28,393.049
2022-03-31,365.926
2022-04-29,355.534
2022-05-31,361.23
2022-06-30,317.406
2022-07-29,320.179
2022-08-31,320.741
2022-09-30,300.808
2022-10-31,337.381
2022-11-30,364.397
2022-12-30,406.019
2023-01-31,447.645
2023-02-28,441.661
2023-03-31,426.362
2023-04-28,443.782
2023-05-31,416.81
2023-06-30,415.958
2023-07-31,464.926
2023-08-31,471.199
2023-09-29,429.453
2023-10-31,410.194
2023-11-30,452.823
2023-12-29,455.642
2024-01-31,456.888
2024-02-29,473.591
2024-03-29,521.512
2024-04-30,520.851
2024-05-31,569.96
2024-06-28,529.844
2024-07-31,574.205
2024-08-30,586.626
2024-09-30,574.643
2024-10-31,521.347
2024-11-29,507.78
2024-12-31,512.195
2025-01-31,552.53
2025-02-28,624.489
2025-03-31,611.748
2025-04-30,641.759
2025-05-30,745.497
2025-06-30,768.965
2025-07-31,727.159
2025-08-29,768.537
2025-09-30,834.914
