Date,IRELAND SMID VALUE SMID (Small+Mid Cap)
2001-01-01,305.812
2001-01-02,305.67
2001-01-03,296.427
2001-01-04,303.862
2001-01-05,307.513
2001-01-08,303.628
2001-01-09,299.673
2001-01-10,294.851
2001-01-11,300.629
2001-01-12,299.346
2001-01-15,295.631
2001-01-16,293.645
2001-01-17,293.643
2001-01-18,298.36
2001-01-19,295.531
2001-01-22,294.961
2001-01-23,296.726
2001-01-24,292.122
2001-01-25,294.72
2001-01-26,291.469
2001-01-29,295.16
2001-01-30,294.331
2001-01-31,295.619
2001-02-01,300.488
2001-02-02,298.473
2001-02-05,298.197
2001-02-06,297.125
2001-02-07,299.681
2001-02-08,295.506
2001-02-09,295.536
2001-02-12,297.133
2001-02-13,293.206
2001-02-14,293.09
2001-02-15,290.022
2001-02-16,295.62
2001-02-19,292.899
2001-02-20,292.586
2001-02-21,291.207
2001-02-22,293.513
2001-02-23,294.076
2001-02-26,290.725
2001-02-27,295.293
2001-02-28,294.115
2001-03-01,293.638
2001-03-02,292.348
2001-03-05,295.526
2001-03-06,298.109
2001-03-07,299.624
2001-03-08,302.175
2001-03-09,297.833
2001-03-12,294.64
2001-03-13,289.318
2001-03-14,284.201
2001-03-15,280.085
2001-03-16,271.413
2001-03-19,270.805
2001-03-20,274.231
2001-03-21,266.007
2001-03-22,249.692
2001-03-23,257.945
2001-03-26,262.797
2001-03-27,269.343
2001-03-28,265.051
2001-03-29,261.594
2001-03-30,260.853
2001-04-02,260.929
2001-04-03,257.871
2001-04-04,260.263
2001-04-05,258.403
2001-04-06,262.888
2001-04-09,267.091
2001-04-10,268.601
2001-04-11,267.78
2001-04-12,270.896
2001-04-13,270.896
2001-04-16,268.121
2001-04-17,267.087
2001-04-18,265.681
2001-04-19,271.766
2001-04-20,277.428
2001-04-23,276.521
2001-04-24,274.171
2001-04-25,276.018
2001-04-26,278.324
2001-04-27,278.548
2001-04-30,278.866
2001-05-01,278.927
2001-05-02,279.19
2001-05-03,279.244
2001-05-04,281.892
2001-05-07,280.742
2001-05-08,281.151
2001-05-09,282.426
2001-05-10,283.929
2001-05-11,281.018
2001-05-14,282.116
2001-05-15,281.376
2001-05-16,284.367
2001-05-17,285.941
2001-05-18,284.589
2001-05-21,285.768
2001-05-22,284.828
2001-05-23,287.333
2001-05-24,282.995
2001-05-25,280.604
2001-05-28,282.294
2001-05-29,278.611
2001-05-30,279.799
2001-05-31,276.041
2001-06-01,277.794
2001-06-04,278.172
2001-06-05,283.223
2001-06-06,286.284
2001-06-07,288.504
2001-06-08,287.983
2001-06-11,285.849
2001-06-12,287.137
2001-06-13,288.419
2001-06-14,290.334
2001-06-15,291.283
2001-06-18,292.205
2001-06-19,288.797
2001-06-20,287.044
2001-06-21,289.553
2001-06-22,289.203
2001-06-25,291.701
2001-06-26,289.389
2001-06-27,287.868
2001-06-28,282.93
2001-06-29,284.657
2001-07-02,284.965
2001-07-03,287.197
2001-07-04,286.81
2001-07-05,281.823
2001-07-06,283.254
2001-07-09,286.728
2001-07-10,287.802
2001-07-11,288.324
2001-07-12,286.185
2001-07-13,289.986
2001-07-16,291.188
2001-07-17,289.535
2001-07-18,296.836
2001-07-19,296.669
2001-07-20,297.71
2001-07-23,296.222
2001-07-24,296.11
2001-07-25,296.187
2001-07-26,294.506
2001-07-27,296.674
2001-07-30,295.262
2001-07-31,295.683
2001-08-01,296.555
2001-08-02,298.161
2001-08-03,299.625
2001-08-06,297.864
2001-08-07,297.16
2001-08-08,296.078
2001-08-09,297.263
2001-08-10,300.347
2001-08-13,301.424
2001-08-14,301.589
2001-08-15,308.426
2001-08-16,308.218
2001-08-17,307.148
2001-08-20,306.546
2001-08-21,305.543
2001-08-22,308.477
2001-08-23,307.354
2001-08-24,306.384
2001-08-27,306.53
2001-08-28,308.248
2001-08-29,308.884
2001-08-30,307.704
2001-08-31,306.455
2001-09-03,306.285
2001-09-04,301.918
2001-09-05,299.084
2001-09-06,298.818
2001-09-07,302.167
2001-09-10,294.489
2001-09-11,290.8
2001-09-12,282.592
2001-09-13,284.021
2001-09-14,287.27
2001-09-17,279.871
2001-09-18,279.051
2001-09-19,276.007
2001-09-20,263.667
2001-09-21,252.77
2001-09-24,261.331
2001-09-25,262.638
2001-09-26,262.87
2001-09-27,260.914
2001-09-28,260.294
2001-10-01,259.833
2001-10-02,257.352
