Date,HONG KONG SMID VALUE SMID (Small+Mid Cap)
2002-02-07,252.601
2002-02-08,254.618
2002-02-11,258.863
2002-02-12,258.882
2002-02-13,258.885
2002-02-14,258.885
2002-02-15,258.876
2002-02-18,260.006
2002-02-19,259.138
2002-02-20,260.599
2002-02-21,261.545
2002-02-22,260.51
2002-02-25,257.425
2002-02-26,257.744
2002-02-27,258.156
2002-02-28,255.125
2002-03-01,254.175
2002-03-04,257.464
2002-03-05,260.295
2002-03-06,261.093
2002-03-07,262.302
2002-03-08,262.81
2002-03-11,264.784
2002-03-12,264.756
2002-03-13,263.422
2002-03-14,263.451
2002-03-15,262.755
2002-03-18,261.797
2002-03-19,261.857
2002-03-20,260.899
2002-03-21,259.549
2002-03-22,258.802
2002-03-25,258.843
2002-03-26,257.229
2002-03-27,260.665
2002-03-28,260.658
2002-03-29,260.658
2002-04-01,260.661
2002-04-02,259.796
2002-04-03,259.185
2002-04-04,259.906
2002-04-05,259.96
2002-04-08,259.889
2002-04-09,260.184
2002-04-10,257.826
2002-04-11,258.98
2002-04-12,259.381
2002-04-15,262.216
2002-04-16,262.748
2002-04-17,266.468
2002-04-18,268.572
2002-04-19,269.781
2002-04-22,271.389
2002-04-23,274.334
2002-04-24,274.7
2002-04-25,274.059
2002-04-26,275.18
2002-04-29,276.495
2002-04-30,278.577
2002-05-01,278.584
2002-05-02,289.035
2002-05-03,289.038
2002-05-06,287.999
2002-05-07,291.126
2002-05-08,290.773
2002-05-09,288.802
2002-05-10,287.749
2002-05-13,289.188
2002-05-14,289.253
2002-05-15,290.705
2002-05-16,290.655
2002-05-17,294.569
2002-05-20,294.451
2002-05-21,293.044
2002-05-22,292.406
2002-05-23,289.067
2002-05-24,289.083
2002-05-27,289.014
2002-05-28,288.592
2002-05-29,287.292
2002-05-30,285.908
2002-05-31,284.184
2002-06-03,286.338
2002-06-04,285.843
2002-06-05,288.697
2002-06-06,289.094
2002-06-07,287.664
2002-06-10,289.765
2002-06-11,288.689
2002-06-12,287.632
2002-06-13,288.518
2002-06-14,284.574
2002-06-17,280.625
2002-06-18,278.943
2002-06-19,273.809
2002-06-20,275.512
2002-06-21,273.156
2002-06-24,274.813
2002-06-25,274.474
2002-06-26,270.062
2002-06-27,273.881
2002-06-28,274.927
2002-07-01,274.932
2002-07-02,274.307
2002-07-03,276.122
2002-07-04,279.573
2002-07-05,279.815
2002-07-08,278.952
2002-07-09,278.026
2002-07-10,276.24
2002-07-11,271.101
2002-07-12,272.512
2002-07-15,272.159
2002-07-16,267.956
2002-07-17,264.498
2002-07-18,262.847
2002-07-19,259.448
2002-07-22,253.422
2002-07-23,258.133
2002-07-24,253.02
2002-07-25,251.081
2002-07-26,246.588
2002-07-29,248.125
2002-07-30,253.299
2002-07-31,253.863
2002-08-01,252.469
2002-08-02,249.391
2002-08-05,245.522
2002-08-06,240.106
2002-08-07,245.733
2002-08-08,245.131
2002-08-09,245.811
2002-08-12,243.439
2002-08-13,245.451
2002-08-14,241.749
2002-08-15,244.755
2002-08-16,248.013
2002-08-19,247.834
2002-08-20,249.424
2002-08-21,251.308
2002-08-22,253.27
2002-08-23,252.451
2002-08-26,251.514
2002-08-27,249.378
2002-08-28,248.677
2002-08-29,246.316
2002-08-30,247.34
2002-09-02,245.339
2002-09-03,243.914
2002-09-04,243.761
2002-09-05,242.085
2002-09-06,241.821
2002-09-09,242.488
2002-09-10,244.882
2002-09-11,245.219
2002-09-12,245.705
2002-09-13,240.971
2002-09-16,235.444
2002-09-17,239.155
2002-09-18,234.598
2002-09-19,234.474
2002-09-20,232.655
2002-09-23,230.368
2002-09-24,226.449
2002-09-25,225.378
2002-09-26,229.975
2002-09-27,230.388
2002-09-30,224.658
2002-10-01,224.664
2002-10-02,224.379
2002-10-03,223.288
2002-10-04,224.782
2002-10-07,221.551
2002-10-08,220.538
2002-10-09,219.221
2002-10-10,214.823
2002-10-11,216.821
2002-10-14,216.821
2002-10-15,222.177
2002-10-16,225.557
2002-10-17,229.525
2002-10-18,229.983
2002-10-21,228.546
2002-10-22,229.04
2002-10-23,235.876
2002-10-24,236.022
2002-10-25,235.986
2002-10-28,238.217
2002-10-29,233.587
2002-10-30,233.166
2002-10-31,231.663
2002-11-01,230.392
2002-11-04,235.034
2002-11-05,232.844
2002-11-06,235.548
2002-11-07,236.469
2002-11-08,236.814
2002-11-11,232.553
2002-11-12,232.717
2002-11-13,232.408
2002-11-14,236.029
2002-11-15,240.586
2002-11-18,238.276
2002-11-19,239.229
2002-11-20,238.599
2002-11-21,239.45
2002-11-22,240.851
2002-11-25,241.629
2002-11-26,240.122
2002-11-27,239.215
2002-11-28,241.592
2002-11-29,240.092
2002-12-02,243.287
2002-12-03,243.858
2002-12-04,243.117
2002-12-05,243.707
2002-12-06,242.465
2002-12-09,241.983
2002-12-10,243.155
2002-12-11,241.009
2002-12-12,241.663
2002-12-13,241.391
2002-12-16,241.536
2002-12-17,242.566
2002-12-18,239.061
2002-12-19,238.873
2002-12-20,240.039
2002-12-23,239.823
2002-12-24,239.919
2002-12-25,239.919
2002-12-26,239.922
2002-12-27,237.15
2002-12-30,234.316
2002-12-31,234.976
