Date,HONG KONG SMID VALUE SMID (Small+Mid Cap)
1994-05-31,356.934
1994-06-30,334.101
1994-07-29,347.843
1994-08-31,358.465
1994-09-30,357.01
1994-10-31,351.839
1994-11-30,306.843
1994-12-30,292.474
1995-01-31,261.077
1995-02-28,285.745
1995-03-31,287.196
1995-04-28,285.205
1995-05-31,314.944
1995-06-30,316.241
1995-07-31,335.204
1995-08-31,318.672
1995-09-29,330.86
1995-10-31,334.813
1995-11-30,335.181
1995-12-29,337.95
1996-01-31,397.159
1996-02-29,397.042
1996-03-29,393.362
1996-04-30,397.735
1996-05-31,402.691
1996-06-28,403.322
1996-07-31,396.255
1996-08-30,413.547
1996-09-30,436.725
1996-10-31,460.587
1996-11-29,518.791
1996-12-31,510.463
1997-01-31,513.142
1997-02-28,514.016
1997-03-31,482.144
1997-04-30,486.49
1997-05-30,525.266
1997-06-30,542.938
1997-07-31,561.277
1997-08-29,553.303
1997-09-30,539.561
1997-10-31,359.839
1997-11-28,347.995
1997-12-31,332.127
1998-01-30,237.61
1998-02-27,310.841
1998-03-31,299.822
1998-04-30,271.725
1998-05-29,228.577
1998-06-30,198.563
1998-07-31,181.258
1998-08-31,159.862
1998-09-30,169.586
1998-10-30,230.937
1998-11-30,255.281
1998-12-31,240.953
1999-01-29,206.317
1999-02-26,208.564
1999-03-31,240.556
1999-04-30,295.848
1999-05-31,283.312
1999-06-30,317.597
1999-07-30,315.014
1999-08-31,308.574
1999-09-30,297.368
1999-10-29,286.435
1999-11-30,291.224
1999-12-31,327.693
2000-01-31,296.923
2000-02-29,280.568
2000-03-31,284.662
2000-04-28,258.456
2000-05-31,226.677
2000-06-30,246.412
2000-07-31,255.519
2000-08-31,278.664
2000-09-29,256.526
2000-10-31,238.144
2000-11-30,233.915
2000-12-29,256.776
2001-01-31,273.154
2001-02-28,282.549
2001-03-30,250.13
2001-04-30,258.077
2001-05-31,268.423
2001-06-29,270.873
2001-07-31,259.972
2001-08-31,253.257
2001-09-28,223.947
2001-10-31,233.231
2001-11-30,245.366
2001-12-31,253.221
2002-01-31,251.469
2002-02-28,255.125
2002-03-29,260.658
2002-04-30,278.577
2002-05-31,284.184
2002-06-28,274.927
2002-07-31,253.863
2002-08-30,247.34
2002-09-30,224.658
2002-10-31,231.663
2002-11-29,240.092
2002-12-31,234.976
2003-01-31,238.518
2003-02-28,242.177
2003-03-31,235.804
2003-04-30,231.301
2003-05-30,254.22
2003-06-30,261.945
2003-07-31,287.857
2003-08-29,335.778
2003-09-30,375.319
2003-10-31,391.27
2003-11-28,387.289
2003-12-31,406.372
2004-01-30,473.524
2004-02-27,483.891
2004-03-31,463.53
2004-04-30,432.472
2004-05-31,421.223
2004-06-30,423.232
2004-07-30,441.713
2004-08-31,457.958
2004-09-30,471.46
2004-10-29,474.205
2004-11-30,529.414
2004-12-31,539.234
2005-01-31,517.268
2005-02-28,542.918
2005-03-31,527.662
2005-04-29,542.919
2005-05-31,544.522
2005-06-30,565.401
2005-07-29,598.784
2005-08-31,583.547
2005-09-30,583.259
2005-10-31,545.25
2005-11-30,572.229
2005-12-30,588.855
2006-01-31,626.596
2006-02-28,658.67
2006-03-31,701.647
2006-04-28,727.315
2006-05-31,681.589
2006-06-30,681.684
2006-07-31,700.213
2006-08-31,732.228
2006-09-29,745.085
2006-10-31,761.11
2006-11-30,821.649
2006-12-29,844.88
2007-01-31,900.596
2007-02-28,914.361
2007-03-30,933.208
2007-04-30,971.096
2007-05-31,1000.0
2007-06-29,999.264
2007-07-31,1049.388
2007-08-31,1004.632
2007-09-28,1074.8
2007-10-31,1150.043
2007-11-30,1062.795
2007-12-31,1065.262
2008-01-31,953.978
2008-02-29,970.131
2008-03-31,923.002
2008-04-30,973.149
2008-05-30,996.641
2008-06-30,887.483
2008-07-31,862.775
2008-08-29,833.903
2008-09-30,687.807
2008-10-31,490.038
2008-11-28,498.513
2008-12-31,574.39
2009-01-30,576.202
2009-02-27,557.475
2009-03-31,577.422
2009-04-30,659.412
2009-05-29,836.062
2009-06-30,843.066
2009-07-31,966.22
2009-08-31,913.414
2009-09-30,957.402
2009-10-30,998.561
2009-11-30,1020.459
2009-12-31,1032.035
2010-01-29,995.717
2010-02-26,1027.64
2010-03-31,1094.201
2010-04-30,1116.16
2010-05-31,1014.351
2010-06-30,1057.072
2010-07-30,1122.105
2010-08-31,1126.302
2010-09-30,1255.167
2010-10-29,1288.659
2010-11-30,1309.466
2010-12-31,1349.01
2011-01-31,1369.379
2011-02-28,1291.307
2011-03-31,1315.889
2011-04-29,1355.97
2011-05-31,1368.836
2011-06-30,1296.958
2011-07-29,1298.555
2011-08-31,1189.732
2011-09-30,963.843
2011-10-31,1070.127
2011-11-30,1007.646
2011-12-30,1016.106
2012-01-31,1118.972
2012-02-29,1286.701
2012-03-30,1226.199
2012-04-30,1242.328
2012-05-31,1122.563
2012-06-29,1149.927
2012-07-31,1199.041
2012-08-31,1206.307
2012-09-28,1311.978
2012-10-31,1335.733
2012-11-30,1394.535
2012-12-31,1423.825
2013-01-31,1526.339
2013-02-28,1540.685
2013-03-29,1489.069
2013-04-30,1530.773
2013-05-31,1503.752
2013-06-28,1389.968
2013-07-31,1400.418
2013-08-30,1398.278
2013-09-30,1458.361
2013-10-31,1466.236
2013-11-29,1465.36
2013-12-31,1448.073
2014-01-31,1356.324
2014-02-28,1398.138
2014-03-31,1389.107
2014-04-30,1410.738
2014-05-30,1458.325
2014-06-30,1492.044
2014-07-31,1552.704
2014-08-29,1572.942
2014-09-30,1491.965
2014-10-31,1533.19
2014-11-28,1586.285
2014-12-31,1551.046
2015-01-30,1616.726
2015-02-27,1594.516
2015-03-31,1559.597
2015-04-30,1678.959
2015-05-29,1664.34
2015-06-30,1571.709
2015-07-31,1485.262
2015-08-31,1304.476
2015-09-30,1283.525
2015-10-30,1382.264
2015-11-30,1320.609
2015-12-31,1314.862
2016-01-29,1158.258
2016-02-29,1194.057
2016-03-31,1308.957
2016-04-29,1332.293
2016-05-31,1315.556
2016-06-30,1318.267
2016-07-29,1406.919
2016-08-31,1447.224
2016-09-30,1474.918
2016-10-31,1468.306
2016-11-30,1449.421
2016-12-30,1395.762
2017-01-31,1464.609
2017-02-28,1522.958
2017-03-31,1553.757
2017-04-28,1579.409
2017-05-31,1598.395
2017-06-30,1611.673
2017-07-31,1626.016
2017-08-31,1641.173
2017-09-29,1661.38
2017-10-31,1701.675
2017-11-30,1720.796
2017-12-29,1750.173
2018-01-31,1852.934
2018-02-28,1782.408
2018-03-30,1704.512
2018-04-30,1744.009
2018-05-31,1763.248
2018-06-29,1648.093
2018-07-31,1663.248
2018-08-31,1556.339
2018-09-28,1554.313
2018-10-31,1442.533
2018-11-30,1514.545
2018-12-31,1483.456
2019-01-31,1611.673
2019-02-28,1675.668
2019-03-29,1703.024
2019-04-30,1660.856
2019-05-31,1543.411
2019-06-28,1595.827
2019-07-31,1540.575
2019-08-30,1413.319
2019-09-30,1431.376
2019-10-31,1482.209
2019-11-29,1448.214
2019-12-31,1476.489
2020-01-31,1401.805
2020-02-28,1403.587
2020-03-31,1208.209
2020-04-30,1317.958
2020-05-29,1192.463
2020-06-30,1304.133
2020-07-31,1297.34
2020-08-31,1395.006
2020-09-30,1332.499
2020-10-30,1313.9
2020-11-30,1416.593
2020-12-31,1434.996
2021-01-29,1443.915
2021-02-26,1562.816
2021-03-31,1567.734
2021-04-30,1625.287
2021-05-31,1626.438
2021-06-30,1630.549
2021-07-30,1554.128
2021-08-31,1553.737
2021-09-30,1436.49
2021-10-29,1485.803
2021-11-30,1395.627
2021-12-31,1399.45
2022-01-31,1422.896
2022-02-28,1415.65
2022-03-31,1396.345
2022-04-29,1373.824
2022-05-31,1407.228
2022-06-30,1389.744
2022-07-29,1368.881
2022-08-31,1338.434
2022-09-30,1213.193
2022-10-31,1052.452
2022-11-30,1240.037
2022-12-30,1357.165
2023-01-31,1423.747
2023-02-28,1358.248
2023-03-31,1366.906
2023-04-28,1378.4
2023-05-31,1271.122
2023-06-30,1287.885
2023-07-31,1321.567
2023-08-31,1213.036
2023-09-29,1176.074
2023-10-31,1128.395
2023-11-30,1161.135
2023-12-29,1263.278
2024-01-31,1162.011
2024-02-29,1220.197
2024-03-29,1186.419
2024-04-30,1223.55
2024-05-31,1227.985
2024-06-28,1182.095
2024-07-31,1201.368
2024-08-30,1302.973
2024-09-30,1397.199
2024-10-31,1355.978
2024-11-29,1346.929
2024-12-31,1343.856
2025-01-31,1300.812
2025-02-28,1355.497
2025-03-31,1390.21
2025-04-30,1412.102
2025-05-30,1482.471
2025-06-30,1588.843
2025-07-31,1689.412
2025-08-29,1724.733
