Date,USA SMID CAP SMID (Small+Mid Cap)
1994-05-31,203.592
1994-06-30,198.024
1994-07-29,203.392
1994-08-31,214.222
1994-09-30,211.601
1994-10-31,211.844
1994-11-30,202.729
1994-12-30,206.633
1995-01-31,207.525
1995-02-28,217.306
1995-03-31,222.559
1995-04-28,226.415
1995-05-31,231.01
1995-06-30,241.739
1995-07-31,255.442
1995-08-31,259.877
1995-09-29,265.214
1995-10-31,256.915
1995-11-30,268.154
1995-12-29,272.069
1996-01-31,274.179
1996-02-29,281.488
1996-03-29,287.358
1996-04-30,300.464
1996-05-31,308.128
1996-06-28,298.95
1996-07-31,277.085
1996-08-30,292.497
1996-09-30,305.577
1996-10-31,303.033
1996-11-29,316.953
1996-12-31,319.548
1997-01-31,328.355
1997-02-28,323.089
1997-03-31,307.519
1997-04-30,309.597
1997-05-30,339.327
1997-06-30,355.353
1997-07-31,379.132
1997-08-29,382.803
1997-09-30,408.299
1997-10-31,390.891
1997-11-28,392.635
1997-12-31,400.415
1998-01-30,394.237
1998-02-27,424.621
1998-03-31,444.282
1998-04-30,447.542
1998-05-29,426.878
1998-06-30,429.559
1998-07-31,403.766
1998-08-31,325.793
1998-09-30,348.165
1998-10-30,368.736
1998-11-30,388.241
1998-12-31,410.975
1999-01-29,414.732
1999-02-26,389.186
1999-03-31,398.614
1999-04-30,433.125
1999-05-31,436.502
1999-06-30,458.985
1999-07-30,448.113
1999-08-31,437.524
1999-09-30,430.444
1999-10-29,446.944
1999-11-30,476.244
1999-12-31,530.409
2000-01-31,514.115
2000-02-29,587.404
2000-03-31,588.718
2000-04-28,544.513
2000-05-31,520.874
2000-06-30,557.392
2000-07-31,544.258
2000-08-31,592.855
2000-09-29,572.402
2000-10-31,547.204
2000-11-30,484.092
2000-12-29,519.324
2001-01-31,546.675
2001-02-28,501.826
2001-03-30,469.412
2001-04-30,514.217
2001-05-31,528.782
2001-06-29,533.63
2001-07-31,513.884
2001-08-31,490.884
2001-09-28,425.611
2001-10-31,447.367
2001-11-30,483.496
2001-12-31,509.552
2002-01-31,504.477
2002-02-28,494.224
2002-03-29,529.576
2002-04-30,524.145
2002-05-31,511.123
2002-06-28,474.224
2002-07-31,422.865
2002-08-30,424.221
2002-09-30,387.906
2002-10-31,406.352
2002-11-29,436.344
2002-12-31,416.953
