Date,USA SMID CAP SMID (Small+Mid Cap)
2001-01-01,519.324
2001-01-02,496.047
2001-01-03,518.636
2001-01-04,510.781
2001-01-05,496.0
2001-01-08,493.025
2001-01-09,495.665
2001-01-10,507.595
2001-01-11,517.221
2001-01-12,519.255
2001-01-15,519.255
2001-01-16,523.402
2001-01-17,526.397
2001-01-18,527.88
2001-01-19,523.433
2001-01-22,526.168
2001-01-23,538.435
2001-01-24,540.366
2001-01-25,536.609
2001-01-26,537.165
2001-01-29,546.983
2001-01-30,549.7
2001-01-31,546.675
2001-02-01,545.91
2001-02-02,536.931
2001-02-05,536.293
2001-02-06,540.542
2001-02-07,538.34
2001-02-08,535.372
2001-02-09,529.86
2001-02-12,533.987
2001-02-13,530.994
2001-02-14,532.632
2001-02-15,538.008
2001-02-16,528.303
2001-02-19,528.298
2001-02-20,518.381
2001-02-21,510.225
2001-02-22,504.798
2001-02-23,504.298
2001-02-26,516.449
2001-02-27,507.589
2001-02-28,501.826
2001-03-01,501.007
2001-03-02,503.321
2001-03-05,503.826
2001-03-06,509.838
2001-03-07,513.444
2001-03-08,510.079
2001-03-09,500.002
2001-03-12,481.819
2001-03-13,485.288
2001-03-14,476.054
2001-03-15,474.443
2001-03-16,464.137
2001-03-19,473.508
2001-03-20,466.049
2001-03-21,456.186
2001-03-22,451.856
2001-03-23,463.01
2001-03-26,468.909
2001-03-27,474.523
2001-03-28,463.648
2001-03-29,462.45
2001-03-30,469.412
2001-04-02,459.319
2001-04-03,442.615
2001-04-04,441.143
2001-04-05,461.537
2001-04-06,451.791
2001-04-09,458.248
2001-04-10,472.144
2001-04-11,470.53
2001-04-12,478.142
2001-04-13,478.142
2001-04-16,474.843
2001-04-17,479.688
2001-04-18,496.843
2001-04-19,502.922
2001-04-20,498.484
2001-04-23,490.421
2001-04-24,489.092
2001-04-25,498.371
2001-04-26,502.919
2001-04-27,509.583
2001-04-30,514.217
2001-05-01,518.782
2001-05-02,521.068
2001-05-03,513.068
2001-05-04,520.212
2001-05-07,517.646
2001-05-08,518.841
2001-05-09,517.65
2001-05-10,517.94
2001-05-11,514.683
2001-05-14,513.858
2001-05-15,516.893
2001-05-16,529.073
2001-05-17,537.258
2001-05-18,538.562
2001-05-21,550.657
2001-05-22,551.639
2001-05-23,541.115
2001-05-24,543.635
2001-05-25,541.661
2001-05-28,541.661
2001-05-29,533.805
2001-05-30,522.921
2001-05-31,528.782
2001-06-01,533.651
2001-06-04,536.273
2001-06-05,545.909
2001-06-06,541.592
2001-06-07,544.122
2001-06-08,540.035
2001-06-11,532.958
2001-06-12,532.389
2001-06-13,529.04
2001-06-14,516.034
2001-06-15,515.733
2001-06-18,509.939
2001-06-19,508.952
2001-06-20,514.913
2001-06-21,516.976
2001-06-22,511.082
2001-06-25,509.289
2001-06-26,512.987
2001-06-27,515.87
2001-06-28,522.108
2001-06-29,533.63
2001-07-02,528.698
2001-07-03,527.07
2001-07-04,527.07
2001-07-05,522.627
2001-07-06,511.564
2001-07-09,512.379
2001-07-10,505.474
2001-07-11,503.874
2001-07-12,515.822
2001-07-13,518.091
2001-07-16,511.108
2001-07-17,516.408
2001-07-18,511.989
2001-07-19,514.325
2001-07-20,512.973
2001-07-23,507.764
2001-07-24,497.83
2001-07-25,503.059
2001-07-26,510.888
2001-07-27,512.96
2001-07-30,512.483
2001-07-31,513.884
2001-08-01,516.923
2001-08-02,517.283
2001-08-03,515.569
2001-08-06,509.588
2001-08-07,508.822
2001-08-08,500.72
2001-08-09,500.171
2001-08-10,501.438
2001-08-13,504.533
2001-08-14,505.346
2001-08-15,503.045
2001-08-16,503.588
2001-08-17,497.237
2001-08-20,498.978
2001-08-21,494.054
2001-08-22,497.748
2001-08-23,496.407
2001-08-24,502.859
2001-08-27,502.033
2001-08-28,496.55
2001-08-29,494.625
2001-08-30,488.825
2001-08-31,490.884
2001-09-03,490.884
2001-09-04,489.472
2001-09-05,484.832
2001-09-06,476.4
2001-09-07,468.261
2001-09-10,465.261
2001-09-11,465.272
2001-09-12,465.305
2001-09-13,465.306
2001-09-14,465.307
2001-09-17,438.323
2001-09-18,431.309
2001-09-19,422.454
2001-09-20,408.773
2001-09-21,400.571
2001-09-24,413.822
2001-09-25,415.754
2001-09-26,410.178
2001-09-27,414.576
2001-09-28,425.611
2001-10-01,419.623
2001-10-02,424.95
2001-10-03,437.445
2001-10-04,440.054
2001-10-05,438.373
2001-10-08,434.767
2001-10-09,433.136
2001-10-10,444.425
2001-10-11,455.016
2001-10-12,452.004
2001-10-15,452.2
2001-10-16,457.155
2001-10-17,446.174
2001-10-18,442.261
2001-10-19,446.315
2001-10-22,451.643
2001-10-23,449.942
2001-10-24,450.632
2001-10-25,458.165
2001-10-26,460.76
2001-10-29,451.492
2001-10-30,443.548
2001-10-31,447.367
2001-11-01,454.161
2001-11-02,454.243
2001-11-05,461.131
2001-11-06,466.846
2001-11-07,466.793
2001-11-08,464.155
2001-11-09,463.694
2001-11-12,464.556
2001-11-13,473.243
2001-11-14,475.442
2001-11-15,473.891
2001-11-16,474.968
2001-11-19,481.187
2001-11-20,477.452
2001-11-21,475.297
2001-11-22,475.297
2001-11-23,481.131
2001-11-26,485.309
2001-11-27,485.089
2001-11-28,477.783
2001-11-29,484.4
2001-11-30,483.496
2001-12-03,480.0
2001-12-04,489.8
2001-12-05,503.031
2001-12-06,504.706
2001-12-07,502.01
2001-12-10,495.341
2001-12-11,496.232
2001-12-12,495.762
2001-12-13,488.849
2001-12-14,490.852
2001-12-17,495.891
2001-12-18,502.025
2001-12-19,501.035
2001-12-20,494.948
2001-12-21,500.66
2001-12-24,502.629
2001-12-25,502.629
2001-12-26,507.017
2001-12-27,510.183
2001-12-28,513.578
2001-12-31,509.552
2002-01-01,509.548
2002-01-02,508.224
2002-01-03,513.637
2002-01-04,518.646
2002-01-07,514.734
2002-01-08,515.227
2002-01-09,513.47
2002-01-10,512.901
2002-01-11,508.178
2002-01-14,501.353
2002-01-15,503.327
2002-01-16,494.833
2002-01-17,499.858
2002-01-18,494.346
2002-01-21,494.346
2002-01-22,490.125
2002-01-23,497.577
2002-01-24,501.626
2002-01-25,502.617
2002-01-28,503.583
2002-01-29,495.248
2002-01-30,499.51
2002-01-31,504.477
2002-02-01,502.224
2002-02-04,491.119
2002-02-05,488.444
2002-02-06,483.654
2002-02-07,479.836
2002-02-08,487.777
2002-02-11,494.617
2002-02-12,494.473
2002-02-13,499.228
2002-02-14,496.623
2002-02-15,493.25
2002-02-18,493.25
2002-02-19,483.802
2002-02-20,489.297
2002-02-21,483.424
2002-02-22,486.626
2002-02-25,492.266
2002-02-26,495.729
2002-02-27,496.61
2002-02-28,494.224
2002-03-01,503.18
2002-03-04,515.545
2002-03-05,514.996
2002-03-06,522.396
2002-03-07,521.239
2002-03-08,525.778
2002-03-11,527.329
2002-03-12,525.062
2002-03-13,521.302
2002-03-14,522.301
2002-03-15,525.666
2002-03-18,528.945
2002-03-19,530.772
2002-03-20,524.616
2002-03-21,528.324
2002-03-22,525.749
2002-03-25,518.481
2002-03-26,522.121
2002-03-27,527.377
2002-03-28,529.576
2002-03-29,529.576
2002-04-01,528.751
2002-04-02,523.385
2002-04-03,517.914
2002-04-04,519.226
2002-04-05,519.063
2002-04-08,523.405
2002-04-09,522.598
2002-04-10,529.957
2002-04-11,522.399
2002-04-12,528.302
2002-04-15,526.992
2002-04-16,536.006
2002-04-17,534.757
2002-04-18,534.095
2002-04-19,534.304
2002-04-22,528.048
2002-04-23,527.186
2002-04-24,524.877
2002-04-25,525.288
2002-04-26,519.429
2002-04-29,515.722
2002-04-30,524.145
2002-05-01,525.465
2002-05-02,525.396
2002-05-03,522.769
2002-05-06,514.527
2002-05-07,511.882
2002-05-08,524.488
2002-05-09,517.449
2002-05-10,510.161
2002-05-13,516.327
2002-05-14,527.123
2002-05-15,527.297
2002-05-16,524.411
2002-05-17,526.393
2002-05-20,521.216
2002-05-21,514.678
2002-05-22,514.399
2002-05-23,520.804
2002-05-24,516.182
2002-05-27,516.182
2002-05-28,513.887
2002-05-29,510.747
2002-05-30,510.03
2002-05-31,511.123
2002-06-03,498.161
2002-06-04,496.144
2002-06-05,499.069
2002-06-06,490.39
2002-06-07,493.3
2002-06-10,493.5
2002-06-11,485.14
2002-06-12,484.874
2002-06-13,479.765
2002-06-14,480.646
2002-06-17,493.484
2002-06-18,492.818
2002-06-19,486.664
2002-06-20,480.957
2002-06-21,476.372
2002-06-24,474.404
2002-06-25,466.626
2002-06-26,463.952
2002-06-27,470.128
2002-06-28,474.224
2002-07-01,461.39
2002-07-02,447.809
2002-07-03,446.76
2002-07-04,446.76
2002-07-05,462.217
2002-07-08,455.098
2002-07-09,445.413
2002-07-10,433.543
2002-07-11,433.901
2002-07-12,431.922
2002-07-15,429.468
2002-07-16,425.545
2002-07-17,426.581
2002-07-18,415.475
2002-07-19,403.342
2002-07-22,392.132
2002-07-23,379.493
2002-07-24,398.424
2002-07-25,397.332
2002-07-26,400.65
2002-07-29,422.14
2002-07-30,424.719
2002-07-31,422.865
2002-08-01,413.899
2002-08-02,401.943
2002-08-05,390.222
2002-08-06,403.367
2002-08-07,407.411
2002-08-08,417.123
2002-08-09,417.989
2002-08-12,417.831
2002-08-13,408.178
2002-08-14,421.247
2002-08-15,427.107
