Date,USA SMID CAP SMID (Small+Mid Cap)
2001-01-01,507.355
2001-01-02,484.615
2001-01-03,506.686
2001-01-04,499.013
2001-01-05,484.573
2001-01-08,481.67
2001-01-09,484.25
2001-01-10,495.907
2001-01-11,505.313
2001-01-12,507.301
2001-01-15,507.301
2001-01-16,511.355
2001-01-17,514.282
2001-01-18,515.736
2001-01-19,511.391
2001-01-22,514.063
2001-01-23,526.048
2001-01-24,527.939
2001-01-25,524.275
2001-01-26,524.818
2001-01-29,534.417
2001-01-30,537.075
2001-01-31,534.128
2001-02-01,533.385
2001-02-02,524.614
2001-02-05,523.999
2001-02-06,528.151
2001-02-07,526.004
2001-02-08,523.105
2001-02-09,517.72
2001-02-12,521.758
2001-02-13,518.84
2001-02-14,520.451
2001-02-15,525.706
2001-02-16,516.224
2001-02-19,516.219
2001-02-20,506.53
2001-02-21,498.565
2001-02-22,493.269
2001-02-23,492.781
2001-02-26,504.657
2001-02-27,496.008
2001-02-28,490.383
2001-03-01,489.588
2001-03-02,491.85
2001-03-05,492.345
2001-03-06,498.224
2001-03-07,501.763
2001-03-08,498.477
2001-03-09,488.63
2001-03-12,470.86
2001-03-13,474.261
2001-03-14,465.239
2001-03-15,463.667
2001-03-16,453.602
2001-03-19,462.762
2001-03-20,455.474
2001-03-21,445.837
2001-03-22,441.607
2001-03-23,452.508
2001-03-26,458.273
2001-03-27,463.761
2001-03-28,453.143
2001-03-29,451.975
2001-03-30,458.779
2001-04-02,448.915
2001-04-03,432.59
2001-04-04,431.154
2001-04-05,451.086
2001-04-06,441.569
2001-04-09,447.881
2001-04-10,461.467
2001-04-11,459.892
2001-04-12,467.332
2001-04-13,467.332
2001-04-16,464.108
2001-04-17,468.843
2001-04-18,485.61
2001-04-19,491.554
2001-04-20,487.216
2001-04-23,479.335
2001-04-24,478.036
2001-04-25,487.111
2001-04-26,491.565
2001-04-27,498.082
2001-04-30,502.612
2001-05-01,507.074
2001-05-02,509.315
2001-05-03,501.509
2001-05-04,508.496
2001-05-07,505.992
2001-05-08,507.161
2001-05-09,506.002
2001-05-10,506.287
2001-05-11,503.108
2001-05-14,502.304
2001-05-15,505.273
2001-05-16,517.191
2001-05-17,525.195
2001-05-18,526.47
2001-05-21,538.293
2001-05-22,539.253
2001-05-23,528.973
2001-05-24,531.441
2001-05-25,529.511
2001-05-28,529.511
2001-05-29,521.833
2001-05-30,511.206
2001-05-31,516.94
2001-06-01,521.699
2001-06-04,524.265
2001-06-05,533.685
2001-06-06,529.473
2001-06-07,531.95
2001-06-08,527.955
2001-06-11,521.037
2001-06-12,520.481
2001-06-13,517.218
2001-06-14,504.51
2001-06-15,504.216
2001-06-18,498.558
2001-06-19,497.595
2001-06-20,503.424
2001-06-21,505.446
2001-06-22,499.683
2001-06-25,497.931
2001-06-26,501.546
2001-06-27,504.379
2001-06-28,510.48
2001-06-29,521.746
2001-07-02,516.923
2001-07-03,515.335
2001-07-04,515.335
2001-07-05,510.991
2001-07-06,500.183
2001-07-09,500.98
2001-07-10,494.229
2001-07-11,492.67
2001-07-12,504.352
2001-07-13,506.575
2001-07-16,499.748
2001-07-17,504.93
2001-07-18,500.612
2001-07-19,502.898
2001-07-20,501.576
2001-07-23,496.482
2001-07-24,486.769
2001-07-25,491.884
2001-07-26,499.544
2001-07-27,501.577
2001-07-30,501.114
2001-07-31,502.485
2001-08-01,505.461
2001-08-02,505.819
2001-08-03,504.149
2001-08-06,498.302
2001-08-07,497.554
2001-08-08,489.637
2001-08-09,489.105
2001-08-10,490.346
2001-08-13,493.381
2001-08-14,494.178
2001-08-15,491.934
2001-08-16,492.473
2001-08-17,486.263
2001-08-20,487.965
2001-08-21,483.151
2001-08-22,486.77
2001-08-23,485.463
2001-08-24,491.772
2001-08-27,490.966
2001-08-28,485.604
2001-08-29,483.736
2001-08-30,478.066
2001-08-31,480.082
2001-09-03,480.082
2001-09-04,478.701
2001-09-05,474.171
2001-09-06,465.935
2001-09-07,457.978
2001-09-10,455.044
2001-09-11,455.055
2001-09-12,455.088
2001-09-13,455.089
2001-09-14,455.089
2001-09-17,428.718
2001-09-18,421.865
2001-09-19,413.206
2001-09-20,399.827
2001-09-21,391.805
2001-09-24,404.766
2001-09-25,406.656
2001-09-26,401.217
2001-09-27,405.528
2001-09-28,416.322
2001-10-01,410.465
2001-10-02,415.675
2001-10-03,427.907
2001-10-04,430.46
2001-10-05,428.824
2001-10-08,425.297
2001-10-09,423.702
2001-10-10,434.746
2001-10-11,445.109
2001-10-12,442.166
2001-10-15,442.359
2001-10-16,447.207
2001-10-17,436.466
2001-10-18,432.644
2001-10-19,436.61
2001-10-22,441.822
2001-10-23,440.158
2001-10-24,440.836
2001-10-25,448.208
2001-10-26,450.747
2001-10-29,441.687
2001-10-30,433.919
2001-10-31,437.66
2001-11-01,444.313
2001-11-02,444.398
2001-11-05,451.142
2001-11-06,456.734
2001-11-07,456.693
2001-11-08,454.116
2001-11-09,453.667
2001-11-12,454.51
2001-11-13,463.016
2001-11-14,465.171
2001-11-15,463.662
2001-11-16,464.718
2001-11-19,470.806
2001-11-20,467.157
2001-11-21,465.053
2001-11-22,465.053
2001-11-23,470.76
2001-11-26,474.849
2001-11-27,474.633
2001-11-28,467.494
2001-11-29,473.978
2001-11-30,473.094
2001-12-03,469.674
2001-12-04,479.264
2001-12-05,492.22
2001-12-06,493.869
2001-12-07,491.232
2001-12-10,484.708
2001-12-11,485.58
2001-12-12,485.136
2001-12-13,478.382
2001-12-14,480.342
2001-12-17,485.276
2001-12-18,491.284
2001-12-19,490.32
2001-12-20,484.363
2001-12-21,489.957
2001-12-24,491.885
2001-12-25,491.885
2001-12-26,496.184
2001-12-27,499.298
2001-12-28,502.626
2001-12-31,498.686
2002-01-01,498.681
2002-01-02,497.386
2002-01-03,502.685
2002-01-04,507.587
2002-01-07,503.758
2002-01-08,504.249
2002-01-09,502.533
2002-01-10,501.976
2002-01-11,497.358
2002-01-14,490.677
2002-01-15,492.61
2002-01-16,484.299
2002-01-17,489.219
2002-01-18,483.825
2002-01-21,483.825
2002-01-22,479.694
2002-01-23,486.99
2002-01-24,490.955
2002-01-25,491.925
2002-01-28,492.87
2002-01-29,484.719
2002-01-30,488.898
2002-01-31,493.768
2002-02-01,491.565
2002-02-04,480.7
2002-02-05,478.089
2002-02-06,473.405
2002-02-07,469.673
2002-02-08,477.447
2002-02-11,484.145
2002-02-12,484.006
2002-02-13,488.674
2002-02-14,486.127
2002-02-15,482.825
2002-02-18,482.826
2002-02-19,473.578
2002-02-20,478.966
2002-02-21,473.22
2002-02-22,476.355
2002-02-25,481.876
2002-02-26,485.267
2002-02-27,486.141
2002-02-28,483.81
2002-03-01,492.578
2002-03-04,504.684
2002-03-05,504.147
2002-03-06,511.404
2002-03-07,510.285
2002-03-08,514.729
2002-03-11,516.248
2002-03-12,514.033
2002-03-13,510.366
2002-03-14,511.349
2002-03-15,514.643
2002-03-18,517.861
2002-03-19,519.652
2002-03-20,513.626
2002-03-21,517.262
2002-03-22,514.742
2002-03-25,507.627
2002-03-26,511.203
2002-03-27,516.356
2002-03-28,518.51
2002-03-29,518.51
2002-04-01,517.701
2002-04-02,512.449
2002-04-03,507.099
2002-04-04,508.383
2002-04-05,508.224
2002-04-08,512.484
2002-04-09,511.695
2002-04-10,518.902
2002-04-11,511.503
2002-04-12,517.284
2002-04-15,516.004
2002-04-16,524.83
2002-04-17,523.608
2002-04-18,522.961
2002-04-19,523.167
2002-04-22,517.042
2002-04-23,516.198
2002-04-24,513.94
2002-04-25,514.345
2002-04-26,508.615
2002-04-29,504.989
2002-04-30,513.24
2002-05-01,514.537
2002-05-02,514.481
2002-05-03,511.917
2002-05-06,503.853
2002-05-07,501.262
2002-05-08,513.613
2002-05-09,506.723
2002-05-10,499.589
2002-05-13,505.635
2002-05-14,516.209
2002-05-15,516.389
2002-05-16,513.566
2002-05-17,515.508
2002-05-20,510.438
2002-05-21,504.036
2002-05-22,503.769
2002-05-23,510.045
2002-05-24,505.518
2002-05-27,505.518
2002-05-28,503.272
2002-05-29,500.205
2002-05-30,499.507
2002-05-31,500.578
2002-06-03,487.885
2002-06-04,485.912
2002-06-05,488.8
2002-06-06,480.313
2002-06-07,483.163
2002-06-10,483.361
2002-06-11,475.172
2002-06-12,474.929
2002-06-13,469.929
2002-06-14,470.796
2002-06-17,483.372
2002-06-18,482.727
2002-06-19,476.702
2002-06-20,471.113
2002-06-21,466.621
2002-06-24,464.697
2002-06-25,457.079
2002-06-26,454.481
2002-06-27,460.536
2002-06-28,464.548
2002-07-01,451.979
2002-07-02,438.679
2002-07-03,437.654
2002-07-04,437.654
2002-07-05,452.797
2002-07-08,445.832
2002-07-09,436.344
2002-07-10,424.718
2002-07-11,425.07
2002-07-12,423.131
2002-07-15,420.728
2002-07-16,416.888
2002-07-17,417.905
2002-07-18,407.026
2002-07-19,395.14
2002-07-22,384.157
2002-07-23,371.777
2002-07-24,390.327
2002-07-25,389.259
2002-07-26,392.511
2002-07-29,413.573
2002-07-30,416.106
2002-07-31,414.297
2002-08-01,405.521
2002-08-02,393.81
2002-08-05,382.333
2002-08-06,395.214
2002-08-07,399.184
2002-08-08,408.711
2002-08-09,409.565
2002-08-12,409.424
2002-08-13,399.973
2002-08-14,412.797
2002-08-15,418.547
2002-08-16,420.226
2002-08-19,427.221
2002-08-20,422.723
2002-08-21,429.1
2002-08-22,434.662
2002-08-23,425.668
2002-08-26,430.492
2002-08-27,422.701
2002-08-28,414.869
2002-08-29,417.249
2002-08-30,415.789
2002-09-02,415.789
2002-09-03,402.618
2002-09-04,410.09
2002-09-05,403.542
2002-09-06,412.141
2002-09-09,414.644
2002-09-10,416.341
2002-09-11,416.426
2002-09-12,407.275
2002-09-13,409.465
2002-09-16,407.456
2002-09-17,399.686
2002-09-18,398.105
2002-09-19,387.205
2002-09-20,388.08
2002-09-23,381.249
2002-09-24,375.383
2002-09-25,385.337
2002-09-26,392.175
2002-09-27,383.458
2002-09-30,380.365
2002-10-01,389.21
2002-10-02,379.776
2002-10-03,374.977
2002-10-04,365.352
2002-10-07,356.327
2002-10-08,360.285
2002-10-09,348.54
2002-10-10,361.317
2002-10-11,373.116
2002-10-14,376.058
2002-10-15,391.319
2002-10-16,380.606
2002-10-17,392.479
2002-10-18,393.37
2002-10-21,402.002
2002-10-22,394.755
2002-10-23,399.948
2002-10-24,395.211
2002-10-25,401.268
2002-10-28,397.22
2002-10-29,393.798
2002-10-30,398.906
2002-10-31,398.584
2002-11-01,407.148
2002-11-04,410.163
2002-11-05,409.729
2002-11-06,416.294
2002-11-07,406.103
2002-11-08,400.36
2002-11-11,391.629
2002-11-12,396.289
2002-11-13,396.896
2002-11-14,407.061
2002-11-15,409.843
2002-11-18,406.856
2002-11-19,403.734
2002-11-20,412.875
2002-11-21,422.936
2002-11-22,423.772
2002-11-25,426.129
2002-11-26,417.846
2002-11-27,429.299
2002-11-28,429.306
2002-11-29,428.199
2002-12-02,428.804
2002-12-03,421.899
2002-12-04,418.734
2002-12-05,415.57
2002-12-06,417.562
2002-12-09,407.885
2002-12-10,414.177
2002-12-11,415.21
2002-12-12,415.894
2002-12-13,409.693
2002-12-16,418.057
2002-12-17,415.375
2002-12-18,409.551
2002-12-19,407.225
2002-12-20,412.109
2002-12-23,414.041
2002-12-24,412.294
2002-12-25,412.294
2002-12-26,413.074
2002-12-27,407.253
2002-12-30,407.657
2002-12-31,409.391
2003-01-01,409.391
2003-01-02,421.17
2003-01-03,419.97
2003-01-06,427.676
2003-01-07,424.249
2003-01-08,418.942
2003-01-09,426.184
2003-01-10,426.757
2003-01-13,425.819
2003-01-14,426.713
2003-01-15,423.118
2003-01-16,422.164
2003-01-17,416.257
2003-01-20,416.223
2003-01-21,409.836
2003-01-22,407.067
2003-01-23,411.775
2003-01-24,402.583
2003-01-27,395.29
2003-01-28,400.514
2003-01-29,403.117
2003-01-30,396.497
2003-01-31,401.275
2003-02-03,401.295
2003-02-04,397.22
2003-02-05,395.614
2003-02-06,392.832
2003-02-07,388.432
2003-02-10,391.612
2003-02-11,389.397
2003-02-12,383.641
2003-02-13,381.843
2003-02-14,387.035
2003-02-17,387.035
2003-02-18,394.796
2003-02-19,391.521
2003-02-20,390.339
2003-02-21,395.824
2003-02-24,389.28
2003-02-25,391.786
2003-02-26,387.958
2003-02-27,392.071
2003-02-28,393.716
2003-03-03,391.529
2003-03-04,386.139
2003-03-05,387.016
